time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.010499508385895868,-0.003249799107184083,0.09125554426701968,0.011920848339147992,-0.002216191528987605,0.003895509345491377
0.02,1,seg1,-0.15037253527921665,-0.0052761153217298126,0.08959382766387168,0.0007813413159688035,-0.004874975405931149,0.0037671042693696727
0.02,2,seg2,-0.3262722383570024,0.00132271594448824,0.08913864453893876,0.0011974169120178187,0.0009092512103335076,0.003310128650996072
0.02,3,seg3,-0.500581763918853,0.007995741748311571,0.08871720970489262,2.535383124386468e-05,0.006727016037663964,0.0028868712129456048
0.02,4,seg4,-0.6751293476767636,0.009245372831168254,0.08831261884864564,-0.0009330409166041955,0.00705783710587928,0.002480455983016175
0.02,5,seg5,-0.8512857611848678,0.004700574189125602,0.08789465332119775,-0.0003080621705034598,0.001535448985596322,0.002060653194945042
0.02,6,seg6,-1.0170622572161434,-0.0072940016593864305,0.08770775662269094,-0.010094758977340964,-0.011413695973705621,0.0018718868773210384
0.04,0,head,-0.0353524609089695,-0.014643681117320624,0.09182750302571899,0.03672202496102037,-0.013722339210144804,0.004467468104190686
0.04,1,seg1,-0.15767530364946394,-0.013879330351310783,0.09015131677591415,0.008045132286559847,-0.013511124747057825,0.0043245933814121396
0.04,2,seg2,-0.33243405335071,0.006394342460377508,0.08902909957951828,0.007382102213372008,0.0059529628646723355,0.0032005836915755953
0.04,3,seg3,-0.5006051378909026,0.023124177928694395,0.08810281845284028,0.0001171365925193382,0.02185519185403745,0.0022724799608932617
0.04,4,seg4,-0.6704041403195877,0.023064449776119388,0.08729892025902876,-0.005595711705967722,0.02089813960563467,0.0014667573933992983
0.04,5,seg5,-0.845759339967174,0.004633033838004902,0.0865054146068405,-0.005834732296597649,0.0014928991586871322,0.000671414480587787
0.04,6,seg6,-0.993010754541154,-0.02838073336510324,0.08644378799075275,-0.03424136750108676,-0.032391453997086886,0.0006079182453828519
0.06,0,head,-0.05595042424810692,-0.030294854160653903,0.08660485811677608,0.057249004926544764,-0.029466493832960086,-0.0007551768047522195
0.06,1,seg1,-0.17224252006485985,-0.02088401820326538,0.08590934168898351,0.022580525385700947,-0.020581612242302105,8.261829448150126e-05
0.06,2,seg2,-0.34458490197447295,0.014542627077599193,0.08627082320204515,0.019569672203862094,0.01404621945210982,0.00044230731410246915
0.06,3,seg3,-0.5016317051344971,0.039121285885490194,0.08688746785584843,0.001216030401561087,0.037847494242482044,0.0010571293639014129
0.06,4,seg4,-0.6632040247514909,0.03794657590726849,0.08740101844630851,-0.012728458418470373,0.035812671670169986,0.0015688555806790544
0.06,5,seg5,-0.8364860086158231,0.006687740981615338,0.08759570253588786,-0.015098677692319254,0.0035895182207779128,0.0017617024096351491
0.06,6,seg6,-0.973256441568995,-0.04429448258778828,0.08821907232079561,-0.054067438630846856,-0.04821571381662835,0.002383202575425708
0.08,0,head,-0.07105832411098975,-0.04186962439016883,0.09120631991268227,0.07230441056453817,-0.04110946188993683,0.00384628499115397
0.08,1,seg1,-0.18682939780564714,-0.01928552430937671,0.08956030306603291,0.03717448219608437,-0.019049094854866284,0.003733579671530901
0.08,2,seg2,-0.3564806402570104,0.029713960706280955,0.08857364688039343,0.03153389187182262,0.029163606828259445,0.002745130992450745
0.08,3,seg3,-0.5047289127757447,0.05780818202866046,0.08809294742804936,0.004397706347592831,0.05652019412259026,0.0022626089361023477
0.08,4,seg4,-0.6555362121629225,0.05325291523018994,0.08744294739299154,-0.020326979127092717,0.05115352746092579,0.0016107845273620747
0.08,5,seg5,-0.824677867120045,0.006243344121246542,0.08601661745943227,-0.026908707974524392,0.0031985209456737336,0.0001826173331795633
0.08,6,seg6,-0.9532692915576055,-0.05832568125961076,0.0853710533883577,-0.07411783174479632,-0.06215638947006946,-0.00046481635701220436
0.1,0,head,-0.09041766306128088,-0.05982371453502761,0.08751208293101267,0.0915823652815193,-0.05915090915442596,0.00015204800948437347
0.1,1,seg1,-0.20464857072627343,-0.018602463424852465,0.08728130327909318,0.054996561658303196,-0.0184466171803147,0.0014545798845911756
0.1,2,seg2,-0.36715862972204466,0.0477649720603459,0.08847394519602772,0.04229339673996137,0.04716614900709022,0.0026454293080850344
0.1,3,seg3,-0.5078556885417038,0.08117896419502699,0.08973598249826266,0.0076301301036580515,0.07987659843530948,0.0039056440063156422
0.1,4,seg4,-0.6530838187097797,0.07358075938877039,0.09047861687828981,-0.022687427361255657,0.07149225323017155,0.004646454012660353
0.1,5,seg5,-0.8144049536213268,0.011329578070494693,0.09006591550596188,-0.03715851708655848,0.0083311558139338,0.00423191537970917
0.1,6,seg6,-0.9360453429901539,-0.06520042914979107,0.08993741223241439,-0.09137269102754504,-0.06895318238316829,0.004101542487044488
0.12,0,head,-0.10724506936774536,-0.070798634309185,0.08996636472452911,0.10835997223711309,-0.07020180829683419,0.002606329803000809
0.12,1,seg1,-0.21888232425978282,-0.012142386003572788,0.08830423816881669,0.069259381386752,-0.012050969182615891,0.002477514774314682
0.12,2,seg2,-0.37472674509984205,0.06919718758556401,0.08750160334346956,0.049958348727552414,0.06856392327718484,0.0016730874555268699
0.12,3,seg3,-0.5118440199013372,0.10653168644199561,0.08775086767062039,0.011733062747440421,0.10521102671159008,0.001920529178673372
0.12,4,seg4,-0.6529482355362775,0.09410295294896717,0.0885776317951382,-0.022730210177078717,0.09201485006754885,0.0027454689295087348
0.12,5,seg5,-0.8027044612347821,0.015564776511083794,0.08965557847093834,-0.04883973877464184,0.012619219219943079,0.0038215783446856333
0.12,6,seg6,-0.9167786444010402,-0.07285991871433761,0.09131133151835816,-0.11067382795776612,-0.07652547186971172,0.005475461772988258
0.14,0,head,-0.13314213438793082,-0.07960834004354764,0.09296470307425388,0.13421693602571252,-0.07912852747745669,0.005604668152725575
0.14,1,seg1,-0.23185485628744015,-0.009507572319097428,0.09049566599056041,0.08224369510632293,-0.009474842716216637,0.004668942596058406
0.14,2,seg2,-0.3770480148790346,0.08256501661772657,0.0885324316397709,0.052340042541991684,0.08192111912791997,0.002703915751828212
0.14,3,seg3,-0.5128954324017738,0.12273973148863068,0.08778117341988274,0.012857755392287997,0.12141415168594155,0.0019508349279357268
0.14,4,seg4,-0.6534950095236116,0.10436276778549011,0.08774931339056857,-0.022137048090920597,0.10227208756175288,0.0019171505249391124
0.14,5,seg5,-0.7902381553519303,0.015558606958646663,0.08825036806429916,-0.06130594510205947,0.012669420915210713,0.0024163679380464487
0.14,6,seg6,-0.8971565673160133,-0.07966474030369762,0.0894277000609053,-0.13032647504142764,-0.08324149513878919,0.0035918303155353937
0.16,0,head,-0.16228800533210774,-0.09159588947593035,0.09294051841167086,0.16330830268359664,-0.09124774858892008,0.005580483490142563
0.16,1,seg1,-0.24546972016296553,-0.011938555583795713,0.09136023206384937,0.09584742716227507,-0.011967365957330965,0.005533508669347362
0.16,2,seg2,-0.3778072975987227,0.09105153647569585,0.09029839470466594,0.053137692554281725,0.09040411883356718,0.004469878816723255
0.16,3,seg3,-0.5118992376403666,0.13425131616399474,0.08939197074494966,0.011913624862326362,0.13293012334632448,0.0035616322530026417
0.16,4,seg4,-0.6510916624462255,0.1090630697497721,0.088139629704256,-0.024519116378289775,0.10698320912706785,0.0023074668386265373
0.16,5,seg5,-0.7779985956220216,0.01085768765513895,0.08641061822080048,-0.07356663670688396,0.008023895537722307,0.0005766180945477734
0.16,6,seg6,-0.8787924437048464,-0.08712129524522998,0.08542204269931347,-0.14872412857472442,-0.09061493341610209,-0.00041382704605642806
0.18,0,head,-0.18879524998301445,-0.10605087006486126,0.08759459199181023,0.18974991258848412,-0.10582244406941818,0.0002345570702819294
0.18,1,seg1,-0.25818631796310443,-0.014559371232962422,0.08695916268462846,0.10855204392660793,-0.014645657787440312,0.0011324392901264496
0.18,2,seg2,-0.3782919940096441,0.10102951242904828,0.08732130666791266,0.0536675032560604,0.1003798010336334,0.0014927907799699713
0.18,3,seg3,-0.5104696994689899,0.1472838977419859,0.08771253355885072,0.01054303312385003,0.1459690358874907,0.001882195066903708
0.18,4,seg4,-0.6468204172669119,0.11423428980797098,0.08770578021003975,-0.02876693423367895,0.11217369038961134,0.001873617344410286
0.18,5,seg5,-0.7690358924773109,0.006312790687292414,0.08701712604495436,-0.08254979971369719,0.0035195733365741035,0.0011831259187016496
0.18,6,seg6,-0.8685828243348173,-0.09092546426240192,0.08692013175921576,-0.1589508455729841,-0.0943728968295264,0.0010842620138458575
0.2,0,head,-0.2052148093625316,-0.11375591572321875,0.08921592977349074,0.20613446277718772,-0.11360165829011533,0.0018558948519624419
0.2,1,seg1,-0.26438170151752655,-0.01449282900038246,0.08718658859987119,0.1147476650366952,-0.014607131038713866,0.0013598652053691818
0.2,2,seg2,-0.3783212919985052,0.10964278989369627,0.08567501836896847,0.05373574918391463,0.10899285795603104,-0.00015349751897421327
0.2,3,seg3,-0.5103826156855905,0.1553832837493477,0.085176124173006,0.01049257471193355,0.15406873287134143,-0.0006542143189410127
0.2,4,seg4,-0.6435038518455085,0.11568961757746868,0.08543271103595497,-0.03207688492422582,0.11364400040309657,-0.0003994518296744909
0.2,5,seg5,-0.7629174442040547,0.002761575779760244,0.0860042562755911,-0.0886842436135826,-3.938353007508611e-06,0.0001702561493383964
0.2,6,seg6,-0.8649831903937969,-0.0918429889553577,0.08697869757733724,-0.1625545916518539,-0.09527413501609268,0.0011428278319673413
0.22,0,head,-0.22115187124285782,-0.12044730955505156,0.08925971019862294,0.22204110401529442,-0.12036504925008117,0.0018996752770946423
0.22,1,seg1,-0.2698753136989202,-0.01650321355569305,0.0882716084256897,0.12023213032726537,-0.0166423365153685,0.002444885031187685
0.22,2,seg2,-0.3782666136511852,0.11361813570469191,0.08809332277955621,0.05369904744683837,0.1129684103731361,0.0022648068916135272
0.22,3,seg3,-0.508986755740661,0.15770856537274186,0.08832950092343406,0.009107243690995246,0.1564003026378442,0.0024991624314870398
0.22,4,seg4,-0.6407046646012581,0.11201429217981099,0.08855789987359321,-0.03489266294387273,0.10998137018012086,0.0027257370079637466
0.22,5,seg5,-0.760170592213077,-0.0011081721576875992,0.08846163895368551,-0.09144856607112731,-0.003861225781967958,0.0026276388274328044
0.22,6,seg6,-0.8681146187876009,-0.0882085985568725,0.0888551265842871,-0.15940676098273496,-0.09165394172959837,0.0030192568389171975
0.24,0,head,-0.23265972901593931,-0.12437822292162994,0.08667008636986957,0.23353106900107953,-0.12434795962171262,-0.0006899485516587284
0.24,1,seg1,-0.2737252919828948,-0.015174329852474737,0.08654750705845923,0.1240880783071929,-0.015330875552167824,0.0007207836639572252
0.24,2,seg2,-0.37619048960876855,0.11425382522308324,0.08754600468447338,0.05162581914440672,0.113613481383728,0.0017174887965306918
0.24,3,seg3,-0.5072451565275482,0.1545235268599192,0.0882474773492251,0.00735125991013013,0.1532231719971076,0.002417138857278081
0.24,4,seg4,-0.6376890904950901,0.10618392690853268,0.08828602446383652,-0.03793457045270119,0.10416470059236395,0.002453861598207055
0.24,5,seg5,-0.7612371140545389,-0.0042012338812482605,0.08747884776645252,-0.09039604159883974,-0.006959078570449065,0.0016448476401998147
0.24,6,seg6,-0.8756421961657184,-0.0804145634481942,0.08742491855838311,-0.1518440168453964,-0.08389402513432823,0.001589048813013208
0.26,0,head,-0.23486396246784857,-0.12198341278653686,0.08778790634618917,0.23574610897006565,-0.12196314125778965,0.00042787142466087225
0.26,1,seg1,-0.2736019603617994,-0.011080469397002274,0.0861152309888951,0.1239832599076739,-0.01123649926013667,0.0002885075943930976
0.26,2,seg2,-0.37372160928555614,0.11245437052311591,0.08534396181124641,0.0491488271378303,0.11182520907051254,-0.0004845540766962725
0.26,3,seg3,-0.5056786539734889,0.14762769456525204,0.08533423703377213,0.005753591220432866,0.14633449374610458,-0.0004961014581748857
0.26,4,seg4,-0.636000601405274,0.09794428029693147,0.085835601032721,-0.039660301002972145,0.09593277337219361,3.4381670915434315e-06
0.26,5,seg5,-0.7633844546770475,-0.0055032127712456936,0.08630189880837275,-0.08825461032743741,-0.008270754173747313,0.0004678986821200354
0.26,6,seg6,-0.8869310096368681,-0.06962973073800072,0.08694997089848965,-0.14050655103050472,-0.07316034938672186,0.0011141011531197453
0.28,0,head,-0.236295861593025,-0.11803602910129873,0.08750242658150671,0.2371958430654864,-0.11802227281091697,0.00014239165997841086
0.28,1,seg1,-0.2704255839781088,-0.009164091100121112,0.08715419875416033,0.12081558163841152,-0.009305777351457984,0.0013274753596583255
0.28,2,seg2,-0.37208648316437243,0.11276494966259212,0.08806468426739844,0.04751512213663586,0.11214317888475704,0.002236168379455755
0.28,3,seg3,-0.5054804271092427,0.14212663193885638,0.08901849598777421,0.005530491217683191,0.14083438372011362,0.0031881574958271958
0.28,4,seg4,-0.636294101164374,0.08909701121445433,0.08963776107257235,-0.03940681056596624,0.08708426757038724,0.0038055982069428868
0.28,5,seg5,-0.7681979768143186,-0.008457344497278713,0.08974586680173288,-0.08345449564276265,-0.01124662188442733,0.003911866675480172
0.28,6,seg6,-0.8968206446668116,-0.05748897222059686,0.09044398582174241,-0.13056211801311549,-0.061064434772473156,0.004608116076372515
0.3,0,head,-0.23281296521834602,-0.11443810910918023,0.08818126491757446,0.23372925167494157,-0.11440864035096103,0.000821229996046155
0.3,1,seg1,-0.26869142021094533,-0.006226256919257947,0.08739861598948695,0.11909472014539485,-0.00636013151956241,0.0015718925949849416
0.3,2,seg2,-0.37095651589050577,0.10824870088097892,0.08787284669684522,0.046364744463846225,0.1076320858567553,0.002044330808902539
0.3,3,seg3,-0.5070218156843769,0.1325644845687574,0.08864246440509309,0.007028625116076401,0.13126536413141313,0.0028121259131460713
0.3,4,seg4,-0.6375506250133776,0.08046188111789852,0.089442274732424,-0.03818934661704274,0.07844354390276484,0.003610111866794538
0.3,5,seg5,-0.7770254019348832,-0.008829022566501293,0.08986706982247694,-0.07462884145730421,-0.01165821274293952,0.004033069696224231
0.3,6,seg6,-0.9077630548459232,-0.042157949592786424,0.0907465627717377,-0.11955049460683909,-0.045783049191063324,0.0049106930263678045
0.32,0,head,-0.2239874067377875,-0.10988777959355271,0.08740788477060464,0.22492435948605508,-0.10981844920833736,4.78498490763396e-05
0.32,1,seg1,-0.2651229886902594,-0.0035577757431256157,0.08589898348484362,0.1155383916691555,-0.0036755415932480527,7.226009034161374e-05
0.32,2,seg2,-0.37203111223348456,0.10273232148586765,0.0854145903063912,0.04741438539454332,0.10211090366020587,-0.00041392558155148307
0.32,3,seg3,-0.5090992829906822,0.12097248319467806,0.08553664668915958,0.009053653501230923,0.11966408720584493,-0.00029369180278743245
0.32,4,seg4,-0.6416288850002103,0.069476161708089,0.08605376172690771,-0.034160804470630635,0.06743949539129007,0.00022159886127824657
0.32,5,seg5,-0.7873023449120835,-0.007104768793941795,0.08631320795676765,-0.06434420667491444,-0.009980447739073812,0.00047920783051494387
0.32,6,seg6,-0.921283954440742,-0.02208033691173295,0.0867134241132348,-0.10593894461895163,-0.02576678171355376,0.0008775543678648939
0.34,0,head,-0.2196389874953308,-0.10994770133994825,0.08799113482681406,0.22057571374194632,-0.10985870729627249,0.0006310999052857591
0.34,1,seg1,-0.2603335688894149,-0.002949974710413951,0.08799922603481412,0.11075176924009193,-0.0030460895755086152,0.0021725026403121156
0.34,2,seg2,-0.374222450914108,0.1017559577825377,0.08876709323261285,0.04960128666822005,0.10112464096046164,0.002938577344670165
0.34,3,seg3,-0.5123839000766837,0.11354334976837699,0.08883683517083572,0.012304643328889158,0.11222017707701692,0.0030064966788887065
0.34,4,seg4,-0.6447565752498217,0.06164422673931524,0.08835074947579755,-0.031068561296677382,0.05959349744303327,0.002518586610168086
0.34,5,seg5,-0.7982634995359732,-0.005499517361513129,0.087196806882762,-0.053375905355837076,-0.008424777784138355,0.0013628067565092938
0.34,6,seg6,-0.9348434721858906,-0.0022148314033665715,0.08723983817132773,-0.0922897359995158,-0.005962793866978896,0.00140396842595783
0.36,0,head,-0.21003110682259446,-0.10667101384727024,0.08860373937093989,0.21098274809817544,-0.1065386075852549,0.0012437044494115895
0.36,1,seg1,-0.2564897839685649,-0.0013889109950720666,0.08814075145187598,0.1069150825659473,-0.0014676606719695342,0.0023140280573739763
