time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.006392916045094238,0.009263046927634959,0.08907596990151352,0.007870879617347705,0.010315096110115685,0.0017159349799852203
0.02,1,seg1,-0.14967559529200358,0.0007144904681096554,0.08775413539803181,0.0001114972765220307,0.001118720618868811,0.0019274120035298048
0.02,2,seg2,-0.32549026264323966,-0.005064105709618278,0.08785448215634149,0.00038656872863819877,-0.0054739691432004085,0.0020259662683988072
0.02,3,seg3,-0.500959156980567,-0.005819877410151769,0.08797542137850334,0.00034027041218205877,-0.007090168400620813,0.002145082886556321
0.02,4,seg4,-0.6750736303494557,-0.0028814185360672754,0.08812867639282512,-0.0010435936138645865,-0.005068578332579231,0.002296513527195662
0.02,5,seg5,-0.851014219752169,0.005251964409648162,0.08826008071520218,-0.0005771075045855967,0.0020880614475952074,0.0024260805889494697
0.02,6,seg6,-1.0188493507981589,0.011224810018914736,0.08852800439610756,-0.008223943754547084,0.007096845343321714,0.002692134650737657
0.04,0,head,-0.026755002089413317,0.03248899764646113,0.08780357047946827,0.02833778252988031,0.03344873438843169,0.0004435355579399669
0.04,1,seg1,-0.15408524432439427,0.005593125200838387,0.08653428771778787,0.004543161844023256,0.00597736555374625,0.0007075643232858642
0.04,2,seg2,-0.3285034223343532,-0.017529009167531414,0.08647644515350063,0.003343332770578064,-0.017952370320341016,0.0006479292655579422
0.04,3,seg3,-0.5016520464377143,-0.023278919700724897,0.08660168887737874,0.00095420502748387,-0.02455216535949029,0.0007713503854317183
0.04,4,seg4,-0.6709230163344253,-0.013743743153356148,0.08690864250790381,-0.0052432833617853955,-0.015912023302364665,0.00107647964227435
0.04,5,seg5,-0.8459471841814946,0.00972975088004673,0.08720126235535351,-0.005623843241309476,0.006588714683394714,0.0013672622291008019
0.04,6,seg6,-0.9989920150447702,0.028844684897401884,0.08784737255901445,-0.0280014014657377,0.02480633264197561,0.002011502813644553
0.06,0,head,-0.0425836390318141,0.049361416777189124,0.08898776586906261,0.044242552759121236,0.05024940576501373,0.0016277309475343088
0.06,1,seg1,-0.16342041841508304,0.0075008814106223625,0.08765809776473656,0.013886867145059968,0.007842889688071035,0.001831374370234548
0.06,2,seg2,-0.33497772349696464,-0.02933337813493042,0.08726413519848035,0.009764189757994795,-0.02978589463911644,0.0014356193105376641
0.06,3,seg3,-0.5020439577119599,-0.037828054008948696,0.08693056831395422,0.0012803228023598684,-0.039102923097914265,0.0011002298220072065
0.06,4,seg4,-0.6642022634160163,-0.021143986060972845,0.08659625376155597,-0.011997430605739176,-0.023281800088938532,0.0007640908959265086
0.06,5,seg5,-0.837498480496344,0.01349580349194213,0.08592205791127791,-0.014055430896595882,0.010392932847017502,8.805778502520012e-05
0.06,6,seg6,-0.9825619911292696,0.039688956901753655,0.08589256931535222,-0.04438222086715299,0.03572478843335806,5.669956998231862e-05
0.08,0,head,-0.06112840567436367,0.06802782357528354,0.08824081142427755,0.06287153712275323,0.06883176444519132,0.0008807765027492448
0.08,1,seg1,-0.17556696678848105,0.01005273048646167,0.08659953095530759,0.026044830498783478,0.010339787396018665,0.0007728075608055829
0.08,2,seg2,-0.3420107438694831,-0.041007462867008175,0.08622399112507176,0.016744349373219926,-0.04149166251782135,0.0003954752371290726
0.08,3,seg3,-0.5021616330080136,-0.052406863146464186,0.08653498758975135,0.0013320732166616563,-0.053682115299057934,0.0007046490978043357
0.08,4,seg4,-0.6576982617625499,-0.029687710105980442,0.08728382146961071,-0.018539999489437155,-0.031796026446216,0.0014516586039812485
0.08,5,seg5,-0.8285929756569773,0.014194885310637105,0.08795480449686734,-0.022957683520920986,0.011132277175105088,0.0021208043706146262
0.08,6,seg6,-0.9722513744728597,0.046834768183517846,0.08899249178082795,-0.054660419582344424,0.04291715006678451,0.003156622035458051
0.1,0,head,-0.08339821038752132,0.08596231496983117,0.08861114708459358,0.08522221183652959,0.08666537101604409,0.0012511121630652822
0.1,1,seg1,-0.1874614879802133,0.015780242625248873,0.08809335257998735,0.037965129226403875,0.0160134553372603,0.0022666291854853415
0.1,2,seg2,-0.34670130832216056,-0.04630524141898309,0.08841024290512949,0.021410909932138948,-0.04681059709319851,0.0025817270171867995
0.1,3,seg3,-0.5010237547697616,-0.057798461582950995,0.0883952024056002,0.00016982643107555357,-0.05906851326010072,0.0025648639136531814
0.1,4,seg4,-0.6482032402873388,-0.03198158072880794,0.08803342201238833,-0.028045296505194134,-0.034046938234766934,0.002201259146758866
0.1,5,seg5,-0.8174778761761634,0.015739960981807632,0.08685728157297867,-0.03406568271039758,0.012727598236284244,0.0010232814467259627
0.1,6,seg6,-0.9623684782851911,0.05135004704178185,0.08639627322595304,-0.06452279716329104,0.04747707206847471,0.0005604034805831437
0.12,0,head,-0.10499626077429869,0.10106487215460161,0.08791223658301923,0.10688833341483192,0.10167010992505798,0.0005522016614909336
0.12,1,seg1,-0.19944235205706237,0.019887461140041293,0.08685279142934915,0.049964443177141056,0.02006645578753419,0.001026068034847144
0.12,2,seg2,-0.35131571362075426,-0.05123165245848305,0.08667978065265233,0.026002991396295087,-0.05175782357004322,0.0008512647647096472
0.12,3,seg3,-0.49768225169810704,-0.06155600430824372,0.08665896710754643,-0.003188633648618361,-0.06281090768107266,0.0008286286155994166
0.12,4,seg4,-0.6407969350527505,-0.03257311190121512,0.0865262101288117,-0.03545420085408911,-0.03460497290901984,0.0006940472631822431
