time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.0033173395952491363,-0.0034532667517692068,0.0912741277843859,0.004737832920782143,-0.002387180161809179,0.003914092862857599
0.02,1,seg1,-0.14998674734598727,-0.005168663429016335,0.08950339408762872,0.000396043211927622,-0.004765780123636976,0.0036766706931267157
0.02,2,seg2,-0.32557277368801096,0.0013398515251979999,0.08909131645685542,0.000498036879338721,0.0009295495136968544,0.0032628005689127326
0.02,3,seg3,-0.5006612021206465,0.007932919024847884,0.08869034428619604,0.00010450714382838486,0.006663834746180133,0.0028600057942490265
0.02,4,seg4,-0.6757777536580054,0.009238038146735144,0.08831035085605568,-0.0002846747311465985,0.007047570480035328,0.00247818799042622
0.02,5,seg5,-0.8515249576402085,0.004818930536346372,0.08793737598068728,-6.833296703612725e-05,0.0016527225042309484,0.0021033758544345693
0.02,6,seg6,-1.023041559554569,-0.0075430364066461685,0.08767120345253851,-0.004116643876457017,-0.011689765884317301,0.0018353337071686099
0.04,0,head,-0.013648495600019678,-0.013087245935267982,0.09190732128160198,0.015025319568592802,-0.012067777135061224,0.004547286360073677
0.04,1,seg1,-0.15305649631788962,-0.012644050579981359,0.08993025997275993,0.0034319579683012376,-0.012254971895631569,0.004103536578257919
0.04,2,seg2,-0.32817964120260334,0.0040157452869880855,0.08896251499706871,0.0031169778219999915,0.003593627966201807,0.003133999109126026
0.04,3,seg3,-0.500787432985138,0.021342216522295548,0.08805005315098084,0.0002913720008535224,0.02007242434879493,0.002219714659033825
0.04,4,seg4,-0.6743076639643527,0.023445347142921645,0.0872587133171647,-0.0016905055966026773,0.021261381798521044,0.0014265504515352384
0.04,5,seg5,-0.8494160081197029,0.006677648113538244,0.0865762348140331,-0.002168856021373355,0.003520957502660161,0.0007422346877803965
0.04,6,seg6,-1.0122695457147204,-0.029243144411289657,0.08627578819124958,-0.014986672948598059,-0.033340942238925385,0.0004399184458796779
0.06,0,head,-0.022594008087572042,-0.020959719808629207,0.08629253208814303,0.023935142187832895,-0.019980621088645994,-0.0010675028333852754
0.06,1,seg1,-0.15929455569379314,-0.019236991149673588,0.08531838581049697,0.009640141057165692,-0.018876052839266588,-0.0005083375840050364
0.06,2,seg2,-0.3333110485353008,0.004856354182193221,0.08588441172662103,0.008252133827662945,0.004411024640346014,5.589583867834924e-05
0.06,3,seg3,-0.5014096592266958,0.03280590562134758,0.08657856521354207,0.0009654293491671164,0.03153318261108243,0.0007482267215950522
0.06,4,seg4,-0.6726178157970566,0.03798894355623828,0.08705060476895089,-0.0033145720363553332,0.03581247081825905,0.0012184419033214322
0.06,5,seg5,-0.8463266977226518,0.011674863903546955,0.08716713076779962,-0.005235538005459229,0.008532091704436813,0.0013331306415469146
0.06,6,seg6,-1.0020558103484496,-0.04242028576532932,0.08719230717634047,-0.02525988939136981,-0.04647176355006312,0.0013564374309705668
0.08,0,head,-0.02648096226138925,-0.021712542247523278,0.08632294966467145,0.02781865244660186,-0.020751012185347636,-0.0010370852568568484
0.08,1,seg1,-0.16301715092392985,-0.021119670948045278,0.0852978434331978,0.013354184969113177,-0.020775546532027307,-0.0005288799613042128
0.08,2,seg2,-0.3362017555761785,0.0055586707267717885,0.08552701277607626,0.01114598710813318,0.005100262563725378,-0.0003015031118664274
0.08,3,seg3,-0.5023854323982784,0.04116566698815463,0.08582955513083694,0.001978994412840807,0.03988844617688413,-7.833611100765969e-07
0.08,4,seg4,-0.6708776656120219,0.05091894095565118,0.08621547887567439,-0.004996236486563993,0.048750204781027,0.00038331601004493177
0.08,5,seg5,-0.8419490506552151,0.01774685470759314,0.08662434767969947,-0.00958568348062924,0.014623815640513358,0.0007903475534467574
0.08,6,seg6,-0.9908897209997446,-0.050906144352685034,0.0872838457100559,-0.03646423664503242,-0.05490704362321223,0.0014479759646860019
0.1,0,head,-0.029308406512420872,-0.020475778645188736,0.08841217204684963,0.030651660291425915,-0.019527046601300772,0.0010521371253213313
