time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.007054278582423625,-0.01153474699940727,0.08889898460446001,0.008438190188724886,-0.010485475789536512,0.001538949682931709
0.02,1,seg1,-0.1503659639514587,-0.0018878796948240014,0.08736431425306358,0.0007900912626749504,-0.0014867447047821312,0.0015375908585615744
0.02,2,seg2,-0.3257667378725181,0.005459828325968859,0.08722297144594715,0.0007106291365176255,0.005048607109306397,0.0013944555580044649
0.02,3,seg3,-0.5014217763151656,0.008275789800707126,0.08710211620206813,0.0008666239841188348,0.007003262788600421,0.0012717777101211164
0.02,4,seg4,-0.676044448091813,0.008030738604133938,0.08701611617656782,-2.3442292039472896e-05,0.005839077319387778,0.0011839533109383599
0.02,5,seg5,-0.8488280393898315,0.0035249945053595307,0.08698423562452597,-0.002771074672751908,0.00037099485266244047,0.0011502354982732554
0.02,6,seg6,-1.0191129441038083,-0.008375326810363022,0.08702850983478118,-0.008048982682076222,-0.012504283036953367,0.0011926400894112787
0.04,0,head,-0.030309380330588442,-0.035622845037881226,0.08760621860877604,0.03158413060395415,-0.03467848442102768,0.00024618368724774187
0.04,1,seg1,-0.15670594562226253,-0.008680812259028538,0.08646731427377503,0.007099291263873265,-0.008308276479015537,0.0006405908792730258
0.04,2,seg2,-0.3287691383473975,0.015012477253606186,0.08652701118713803,0.0037561948823448604,0.01458758186728416,0.0006984952991953425
0.04,3,seg3,-0.5036700771144201,0.023154780131964328,0.08659576691250782,0.0031821828602119967,0.021871934445903702,0.000765428420560807
0.04,4,seg4,-0.6746369245891936,0.018775569387076183,0.08676169830036456,-0.0013823645297457153,0.016590162907168842,0.0009295354347351042
0.04,5,seg5,-0.8386030614367146,0.0012325498259331468,0.08706005108424096,-0.01300631425551129,-0.001875190228810202,0.0012260509579882506
0.04,6,seg6,-0.9960008947623817,-0.03319751737546147,0.08745512956813616,-0.03127303878741069,-0.03722170982791011,0.0016192598227662558
0.06,0,head,-0.04908142010239629,-0.05316884205003592,0.09017148238421527,0.050276637496564885,-0.052309187026515144,0.0028114474626869668
0.06,1,seg1,-0.16837572336330103,-0.011450999395709208,0.08892630253363633,0.018756423231132448,-0.011131204670999598,0.0030995791391343203
0.06,2,seg2,-0.33408871469473855,0.026017220611986,0.08870451145589657,0.009125479012277032,0.025568158210457517,0.0028759955679538846
0.06,3,seg3,-0.506837758382355,0.03853333747934475,0.08828563302271736,0.006419371789314643,0.03723601068037206,0.002455294530770341
0.06,4,seg4,-0.6706150565925072,0.029422147051093105,0.08795559244486911,-0.005356048822068687,0.02725481814213997,0.0021234295792396524
0.06,5,seg5,-0.823598944268089,-0.0010676979661270883,0.08769721112892861,-0.028020679477424388,-0.00410756763170537,0.0018632110026759047
0.06,6,seg6,-0.9673331515357211,-0.05589021491733226,0.08738537535650613,-0.060043102657809294,-0.059784543165791564,0.0015495056111362315
0.08,0,head,-0.07289100208379339,-0.07211318129096336,0.09135342226442317,0.07400031195491351,-0.07136099674415398,0.003993387342894866
0.08,1,seg1,-0.18461737984188503,-0.012839251368771648,0.08926083872699121,0.03499163614383153,-0.012592885331619957,0.0034341153324892043
0.08,2,seg2,-0.34122297711992194,0.04008782738415354,0.08817009060726563,0.016323294144644285,0.03960636082345319,0.0023415747193229475
0.08,3,seg3,-0.5089435665122055,0.05724092038693535,0.08713009140672137,0.008609751902994296,0.055933880106635664,0.0012997529147743547
0.08,4,seg4,-0.6647952554255704,0.0423919762860149,0.08654083730992022,-0.011117142429582444,0.04025083124021922,0.0007086744442907633
0.08,5,seg5,-0.8055439029676567,-0.0021795354098717145,0.08635006343177748,-0.04608056378568245,-0.00513775091239716,0.0005160633055247693
0.08,6,seg6,-0.9343091775373679,-0.07845293084465665,0.0863537157534156,-0.09316876500078602,-0.08219769784936795,0.0005178460080457054
0.1,0,head,-0.10080839431477814,-0.08823800603221028,0.08709865291571356,0.10184450418179677,-0.08761189582814123,-0.000261382005814742
0.1,1,seg1,-0.20217509493703395,-0.013730412397606936,0.08598391463930859,0.052545142005344415,-0.013563431194083979,0.00015719124480657876
0.1,2,seg2,-0.3487081733737546,0.053070743192687966,0.08608259704109622,0.023867121105788345,0.05255529671117757,0.00025408115315353474
0.1,3,seg3,-0.5090100521446335,0.07478020640244042,0.08606554286515058,0.008755547466331141,0.07347268616424929,0.00023520437320356802
0.1,4,seg4,-0.6582279246730007,0.055106598772761604,0.0861936883185281,-0.017626911995332884,0.052995020441102096,0.0003615254528986367
0.1,5,seg5,-0.7882953519367387,-0.001963860986878771,0.08643140779716883,-0.06332796321564421,-0.004844082753681144,0.0005974076709161225
0.1,6,seg6,-0.9006465126322857,-0.09636581513676512,0.08654844106055784,-0.12691208572298096,-0.09995818035056761,0.0007125713151879404
0.12,0,head,-0.1272003373925654,-0.09901160679705606,0.09154645945030428,0.12818746046362078,-0.09850472774183164,0.0041864245287759755
0.12,1,seg1,-0.2158679015696726,-0.015205223885924098,0.08949219475912484,0.06623113971905724,-0.015100144882574244,0.0036654713646228354
0.12,2,seg2,-0.3518522994820635,0.060957908809549724,0.08857512572553117,0.02704687991431528,0.06042816431907214,0.0027466098375884818
0.12,3,seg3,-0.5088066341306412,0.08545919811484318,0.08788348740544623,0.008600420690061799,0.08415248852970386,0.0020531489134992115
0.12,4,seg4,-0.6513513278223425,0.06204545272723652,0.087870756335927,-0.024472061850572796,0.0599648986251424,0.0020385934702975422
0.12,5,seg5,-0.7744569115775066,-0.007422049587236607,0.08833182137117519,-0.07719094338675435,-0.010239639733712984,0.0024978212449224824
0.12,6,seg6,-0.8673656009524108,-0.11281056019832673,0.08922871840456974,-0.16026701836816903,-0.11625226487479963,0.0033928486591998375
