time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.009480237992999553,-0.015473153348972757,0.08918324077445529,0.007896991550468394,-0.010287889656182856,0.001823522552406337
0.02,1,seg1,-0.15186047432047248,0.0005365542614435565,0.08779300248022119,-9.960717056660223e-05,-0.0010723948390315026,0.0019662806205499456
0.02,2,seg2,-0.32754628943202874,0.015587748401535094,0.08779752891492958,0.0006096049294336831,0.005559435171250016,0.0019688404499852014
0.02,3,seg3,-0.5027576696337905,0.02569576752007084,0.08783096381421106,0.0005985025301246345,0.00717354399470022,0.0020005111150418337
0.02,4,seg4,-0.6765399916328078,0.03220447307367837,0.08790279490969449,-0.0010104617498563483,0.005127092476402973,0.0020705653887742453
0.02,5,seg5,-0.852657855993541,0.03379019445602162,0.08794892217100547,-0.0005225005223408043,-0.0020570909112013983,0.002114949847039249
0.02,6,seg6,-1.0205529584912838,0.03676254264814463,0.08813620004142449,-0.008182147997889916,-0.007514972007274678,0.0023004898224989467
0.04,0,head,-0.030762194234486343,-0.037620212276054416,0.0881347648354498,0.028100823446361403,-0.03342269151925589,0.0007750466134008455
0.04,1,seg1,-0.15670778939447202,-0.00406389097543615,0.08666296036624697,0.004523273730044438,-0.005898317753843159,0.0008362385065757288
0.04,2,seg2,-0.32977351915880276,0.028141321872329598,0.08636896514568937,0.003431753063709746,0.017992787054413633,0.0005402766807449944
0.04,3,seg3,-0.5026450786360287,0.04303142918487601,0.08630254435066254,0.0013110674820447758,0.02449492076671945,0.00047209165149331156
0.04,4,seg4,-0.6718862823553534,0.04261102378889807,0.08647166942365295,-0.005163635555271092,0.01574332792809624,0.0006394399027326997
0.04,5,seg5,-0.8479191521959024,0.02882591334737449,0.08665121757730511,-0.005492091912299938,-0.00679022539294326,0.0008172452533388858
0.04,6,seg6,-1.0020077952235527,0.0180957788069601,0.08719115962314783,-0.027594674892065716,-0.025277994060998753,0.0013554494042222892
0.06,0,head,-0.05054224830545289,-0.057674089697065056,0.08823071024379787,0.0469040724298543,-0.0543952060627692,0.0008709920217489231
0.06,1,seg1,-0.16683863219573597,-0.009921088693597214,0.08722719580177839,0.014363884918719493,-0.012231019578010371,0.0014004739421071416
0.06,2,seg2,-0.3359921934448172,0.03623182424492886,0.08720119807698468,0.010028419208793875,0.025778166575259345,0.0013725096120403013
0.06,3,seg3,-0.501296945634539,0.053719580424822215,0.0871924694458016,0.00047312612506520665,0.03523512066240315,0.0013620167466323746
0.06,4,seg4,-0.6646300650085185,0.046141542600391355,0.0870990886105478,-0.012243608465381018,0.019615179791009282,0.0012668590896275506
0.06,5,seg5,-0.839625857363502,0.021477904066890287,0.08666200989665337,-0.014125691540929613,-0.013735219058117884,0.0008280375726871514
0.06,6,seg6,-0.9846378082505118,0.003951223349617923,0.08686422855147324,-0.0456181388802339,-0.03857986018451887,0.0010285183325477038
0.08,0,head,-0.06930989048899232,-0.07611257905598925,0.08964368317589193,0.06477293527854529,-0.07370598086376352,0.0022839649538429763
0.08,1,seg1,-0.17989214236716636,-0.012633824733382228,0.08760679780501245,0.027273501093111087,-0.015561916578359675,0.0017800759453412002
0.08,2,seg2,-0.34346662494326435,0.04690875217717367,0.08663380739560557,0.018002511259823578,0.03608727770340501,0.0008051189306611944
0.08,3,seg3,-0.5003998647606872,0.06654552450038152,0.08642285065969611,0.00018746635224859697,0.048089224832559556,0.0005923979605268886
0.08,4,seg4,-0.6551897251417996,0.052232478960318476,0.0866532046279147,-0.02138337518839371,0.026148493404885367,0.0008209751069944565
0.08,5,seg5,-0.8280438084978406,0.016673818325827632,0.08672963682619787,-0.02592324979689478,-0.017982655333950718,0.0008956645022316495
0.08,6,seg6,-0.9710787328921959,-0.009373367492455154,0.08731092187589268,-0.05979598618342279,-0.05124405741576296,0.0014752116569671375
0.1,0,head,-0.093835903103027,-0.09573727370412982,0.08828513842320808,0.08833719050776492,-0.094475665747959,0.0009254202011591273
0.1,1,seg1,-0.19449338753827725,-0.018946487437467935,0.08729451179605995,0.04155777296701233,-0.022562319993060315,0.0014677899363886998
0.1,2,seg2,-0.34831924882473514,0.05157789943610809,0.08724794692213887,0.02307184781686941,0.04052019113927059,0.0014192584571944972
0.1,3,seg3,-0.49888787330193013,0.0718885175806448,0.0872336319220665,-0.0010685313405011478,0.05349812148736981,0.0014031792228972745
0.1,4,seg4,-0.6451956878842144,0.05275252056642469,0.08708439145235819,-0.03134133856942923,0.0271435759485007,0.0012521619314379423
0.1,5,seg5,-0.8156999698794636,0.01029411089768641,0.0862218152088559,-0.03855672065058782,-0.023767673300964354,0.0003878428848896748
0.1,6,seg6,-0.9587704058711342,-0.020568510915141766,0.08605386331090545,-0.07262315900871015,-0.0618407449929301,0.0002181530919799085
0.12,0,head,-0.1162698879695752,-0.10956699637114398,0.08778951518508793,0.11008757930962829,-0.10935738248166492,0.0004297969630389781
0.12,1,seg1,-0.20623504438032977,-0.023302039310806932,0.08614174635089762,0.05307883838762647,-0.027471738398019748,0.0003150244912263761
0.12,2,seg2,-0.35288189450956897,0.05552174974987712,0.08560706648664787,0.027817016859745677,0.04424242994076191,-0.00022162197829650454
0.12,3,seg3,-0.4961964117988271,0.0741806175483656,0.08579857577571609,-0.003647858873162806,0.055915714663028644,-3.187692345313353e-05
0.12,4,seg4,-0.6372383388228696,0.051318504219518064,0.0862622435092484,-0.039357917900765295,0.026089885868460203,0.0004300139883281484
0.12,5,seg5,-0.8066204174939351,0.0070146696433706366,0.08622947429294629,-0.04778205807436146,-0.026611289989434326,0.0003955019689800693
0.12,6,seg6,-0.9497930353959684,-0.023968848181031784,0.08668346541361102,-0.08175218391591767,-0.06480998368413501,0.0008477551946854817
0.14,0,head,-0.13385155746120628,-0.11908866172054311,0.08803708761086299,0.12719617742607275,-0.11970499494009347,0.0006773693888140336
0.14,1,seg1,-0.21346976550066574,-0.026750297529020178,0.08698413854023633,0.06014125432550536,-0.03126039984269575,0.0011574166805650848
0.14,2,seg2,-0.35381012614627116,0.05686617252591676,0.08679914382114336,0.028808179664704295,0.04554115349337243,0.000970455356198982
0.14,3,seg3,-0.4945115481645874,0.07367889721176092,0.08682061187333072,-0.005354690939336514,0.05549474784756021,0.0009901591741614951
0.14,4,seg4,-0.6341753122213931,0.04825766475765845,0.08674823288456456,-0.04256314337680204,0.02317828839979407,0.0009160033636443077
