time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.009001805669520885,0.005274017700227519,0.08890014724489598,0.00840648821649408,0.01045854177622106,0.0015404290228470258
0.02,1,seg1,-0.1525494296385457,0.003121946185084063,0.08736481123993671,0.0007116098992069725,0.0014772791979416639,0.0015380893802654644
0.02,2,seg2,-0.3282580737359902,0.0050028341007964956,0.08721824103925416,0.0008168318338614138,-0.00504736004026666,0.0013895525743097825
0.02,3,seg3,-0.5038034527539214,0.011565878169285344,0.08709621341826053,0.0009706394744539501,-0.00699010488169233,0.001265760719091305
0.02,4,seg4,-0.6780740660900445,0.021314549456427308,0.0870113394265345,3.607740778453687e-06,-0.00582350037956896,0.0011791099056142479
0.02,5,seg5,-0.8503823919926458,0.03537672995748682,0.08697921040280657,-0.0027198807240346097,-0.0003640606204773251,0.0011452380788403438
0.02,6,seg6,-1.0197768886570309,0.056753029473088225,0.08702372835182334,-0.008005963245792603,0.01248979759444976,0.001188018132897803
0.04,0,head,-0.031106867604091034,0.03053494350665827,0.08761287074727164,0.03168870539708542,0.03463883331379496,0.00025315252522269127
0.04,1,seg1,-0.1585037090405068,0.010265126885131568,0.08648822178663605,0.006999096386796151,0.008328993390423929,0.0006614999269648064
0.04,2,seg2,-0.33175403877304643,-0.00437616715416707,0.08654599416221644,0.003862475768648639,-0.0145821116941459,0.000717305697272061
0.04,3,seg3,-0.5068050852384214,-0.0032162790366358825,0.0866016447181557,0.003265367246585094,-0.021898364125549196,0.000771192018986469
0.04,4,seg4,-0.6774388849765955,0.010430842333842472,0.08673983660275453,-0.0011488244767752663,-0.016664645879976257,0.0009076070818342802
0.04,5,seg5,-0.8402419623694842,0.03703448857447793,0.08700063838051049,-0.0127699250486984,0.0017744167899134576,0.001166666056544266
0.04,6,seg6,-0.9953318225001251,0.08037684851502347,0.08734563814666482,-0.03129903981922952,0.037250223059364596,0.0015099279277392824
0.06,0,head,-0.049515543029716766,0.04903117405452813,0.09025571788723737,0.050956783187439854,0.05223801095481311,0.0028959996651884146
0.06,1,seg1,-0.17013789265006762,0.013712306641023079,0.08876885639731573,0.018784153259530603,0.011218580042945042,0.0029421345376444835
0.06,2,seg2,-0.33760785337577937,-0.015111410638438853,0.08833921778100184,0.009198752096528321,-0.025583782158978535,0.0025105293160574693
0.06,3,seg3,-0.5107836840804676,-0.018495315476442113,0.08789774726275479,0.0065123071860633056,-0.03734943477779719,0.0020672945635855644
0.06,4,seg4,-0.6745163382059531,-0.00047660165159510155,0.08768547081313284,-0.004587160179152534,-0.027420642417696435,0.001853241292212593
0.06,5,seg5,-0.8259305249144899,0.038438044630646595,0.08770382193029125,-0.026998348838861916,0.0038574837727219573,0.0018698496063250247
0.06,6,seg6,-0.9658899009455958,0.10170467375439103,0.0878554869346417,-0.05969257934499871,0.05995506367428836,0.002019776715716154
0.08,0,head,-0.07262312587349143,0.06910394708907153,0.09175827893374622,0.07499347386544913,0.07118831711006916,0.004398560711697266
0.08,1,seg1,-0.18664569461808853,0.016356411070282042,0.08921110813417915,0.03539908665496215,0.013074059033333026,0.0033843862745079056
0.08,2,seg2,-0.3455261887604661,-0.027764868751476032,0.08781479845105432,0.01650591935627202,-0.03859974712939969,0.0019861099861099435
0.08,3,seg3,-0.5138471215178981,-0.03555899743959125,0.08690350280436245,0.008760188926712126,-0.05453957493865536,0.0010730501051932212
0.08,4,seg4,-0.6697749672372943,-0.012254114512529566,0.08676468962042856,-0.00988366694094152,-0.038959161558940046,0.0009324600995083143
0.08,5,seg5,-0.8083164428953862,0.039346602244382745,0.08735445666361642,-0.04454923259276849,0.00560329067342695,0.0015204843396501994
0.08,6,seg6,-0.9322356548587419,0.12308469789109608,0.08851340935380086,-0.09229118614658614,0.08291251445198355,0.002677699134875325
0.1,0,head,-0.10283260505590734,0.0892681454716241,0.08833366330704558,0.10612836469396456,0.08989195584403707,0.0009739450849966247
0.1,1,seg1,-0.20634322779154585,0.02184565457028058,0.0873655897396476,0.05533554107667504,0.017619649464871275,0.001538867879976355
0.1,2,seg2,-0.35390515426998764,-0.03530245140706493,0.08766175501325782,0.02451666645933287,-0.04652755553657476,0.0018330665483134445
0.1,3,seg3,-0.5141668163274163,-0.046883431828087414,0.08781818647146052,0.008540575823524575,-0.06586639219131903,0.001987733772291292
0.1,4,seg4,-0.6629031085319552,-0.018308059527072616,0.08806818022512664,-0.017035854762366978,-0.044679205410861345,0.002235950704206388
0.1,5,seg5,-0.7889228031056091,0.04504074331710004,0.08844247846229271,-0.06364990507163658,0.012213950070295762,0.0026085061383264857
0.1,6,seg6,-0.8939502499555662,0.1456981093300605,0.08867300763442443,-0.12945700551426073,0.10732235828700913,0.002837297415498888
0.12,0,head,-0.1299450966427941,0.1039575910820918,0.0889780202010609,0.13390922602528182,0.1032744352857534,0.0016183019790119435
0.12,1,seg1,-0.2236881123427966,0.02392298516660501,0.0871096019464988,0.07275963498753353,0.018869158910620992,0.0012828800868275592
0.12,2,seg2,-0.3609697135679947,-0.04381415663167829,0.08644382521456576,0.031168136866379023,-0.055365828293329596,0.0006151367496213811
0.12,3,seg3,-0.5141123768557617,-0.058257883566773166,0.08590710549491543,0.007944871979820772,-0.07722536454546339,7.665279574620154e-05
0.12,4,seg4,-0.6537974966711471,-0.02505095917200187,0.08582685066956458,-0.026452052959329148,-0.05098111579492859,-5.378851355666847e-06
0.12,5,seg5,-0.7713155649573866,0.053124600355752984,0.08608459216182901,-0.0808524701798642,0.02112660026472426,0.00025061983786278663
0.12,6,seg6,-0.8554360082336493,0.16792853929655346,0.0866586231521163,-0.1668696290264213,0.1313605452747569,0.0008229129331907559
0.14,0,head,-0.1576821136745476,0.11669780032355245,0.08806904335166468,0.1622211382602587,0.1146801650237413,0.0007093251296157316
0.14,1,seg1,-0.23760913594157357,0.027890309171653763,0.0868198121213029,0.086853694994176,0.022169466518595173,0.000993090261631649
0.14,2,seg2,-0.3636103700597896,-0.04947592798033757,0.0868877288941162,0.033536349584193714,-0.06114685675149822,0.0010590404291718203
0.14,3,seg3,-0.5132903417855881,-0.06711759650735517,0.0869496826408236,0.006702122244491522,-0.08603591663607889,0.0011192299416543788
0.14,4,seg4,-0.6482639717328808,-0.02930007539417619,0.08731223534860784,-0.032181529171418935,-0.0549620691033869,0.0014800058276875916
0.14,5,seg5,-0.7574485097773251,0.061582524584277036,0.08775459202737362,-0.09430128798793112,0.030234893253155953,0.0019206197034074002
0.14,6,seg6,-0.8228732556192061,0.18660547268004235,0.08836465359690918,-0.1985066230080875,0.15156602250519785,0.0025289433779836362
0.16,0,head,-0.18196612152698258,0.12715028487019658,0.08905958074527223,0.18697507794799811,0.12396509585007659,0.0016998625232232806
0.16,1,seg1,-0.24741881661025797,0.030509845291162345,0.08793520886371968,0.09677692757572766,0.024319177993446732,0.0021084870040484344
0.16,2,seg2,-0.3633516589350857,-0.05631493933346799,0.08785573705019752,0.032952453498070654,-0.06796580631098895,0.002027048585253141
0.16,3,seg3,-0.5112333117883802,-0.07621493694358218,0.08738049826155146,0.004214467945757453,-0.0950250518287365,0.001550045562382238
0.16,4,seg4,-0.6458488538969155,-0.030146999613797243,0.08698488922961137,-0.03463421671441726,-0.055693094828779925,0.00115265970869112
0.16,5,seg5,-0.7437454307539993,0.07206116279401022,0.08670953925896809,-0.10749014683967728,0.041353806671917605,0.0008755669350018619
0.16,6,seg6,-0.7886757051123151,0.20523360178274375,0.08673700755201506,-0.23177888513605033,0.17180055307248576,0.0009012973330895235
0.18,0,head,-0.20196968373902674,0.135698274499766,0.08846751617095999,0.2073627846469332,0.13155140215783953,0.0011077979489110407
0.18,1,seg1,-0.2539080480834715,0.03275550845991978,0.08811517950917366,0.10336568026829225,0.02625346497635625,0.002288457649502418
0.18,2,seg2,-0.3608446454645258,-0.06265164552610925,0.08878958755858977,0.030146708050553465,-0.07417602002685879,0.0029608990936454
0.18,3,seg3,-0.5091803020246553,-0.08480515323880282,0.08859515917905407,0.0017549640718866665,-0.10350782883764621,0.002764706479884846
0.18,4,seg4,-0.6448035089286818,-0.02955232957734813,0.08793688025120995,-0.03565007601079473,-0.055049349192144964,0.0021046507302897033
0.18,5,seg5,-0.731747521419517,0.0814355561901005,0.08719165127475406,-0.11902832070610217,0.05128857510163966,0.0013576789507878384
0.18,6,seg6,-0.7581732915512227,0.22025036680684867,0.08654555703574908,-0.26153206718912847,0.18825195491065877,0.0007098468168235395
0.2,0,head,-0.2181271960253637,0.14282737894121889,0.08984065684921273,0.22384127269830262,0.13790346992623265,0.0024809386271637812
0.2,1,seg1,-0.2567562872491355,0.03342768404932339,0.08811613388509938,0.10624268183416638,0.026789327231881658,0.0022894120254281364
0.2,2,seg2,-0.35645618261682294,-0.07120883367896615,0.08738024713826685,0.02535596927949155,-0.08251465884114527,0.0015515586733224757
0.2,3,seg3,-0.5088877728310859,-0.0952225362832493,0.08662026170921937,0.000966988525736646,-0.11389948594141983,0.0007898090100501437
0.2,4,seg4,-0.6455551470737222,-0.029703993197794668,0.08649760823072469,-0.03490650744011044,-0.055236612470634355,0.0006653787098044456
0.2,5,seg5,-0.7214147148363983,0.09074495183309286,0.0872115749737515,-0.12890637190400384,0.061079174860544656,0.0013776026497852728
0.2,6,seg6,-0.7285097343572682,0.2318312155213093,0.08848215124834194,-0.29061086345388587,0.20123141137196943,0.0026464410294163992
0.22,0,head,-0.23549996751192684,0.14923186078713366,0.08705576634510002,0.24149915712214215,0.14347390029396323,-0.0003039518769489269
0.22,1,seg1,-0.2617527977208232,0.03514128807425542,0.08596638746954084,0.11131508350778749,0.028263198632909162,0.00013966560986959642
0.22,2,seg2,-0.3533046089270925,-0.07550722601119897,0.08614993522048724,0.02200340017799956,-0.08665819281379394,0.00032124675554286164
0.22,3,seg3,-0.5082835542477272,-0.10060158232077716,0.08617136974133835,0.0001074582700068174,-0.11924368130740384,0.00034091704216912544
0.22,4,seg4,-0.6431449238034453,-0.027976819659308913,0.08641391689571656,-0.037231801052985625,-0.05339669011961205,0.0005816873747963164
0.22,5,seg5,-0.7086013570529003,0.09978316668555264,0.086982627097458,-0.14127506943135065,0.07071695400631939,0.0011486547734917835
0.22,6,seg6,-0.6987007243797634,0.23939486040852775,0.08772325414264466,-0.32002613203342617,0.21020513825139017,0.0018875439237191205
0.24,0,head,-0.247821235598776,0.15261292916871505,0.08755002308441782,0.25396737359536675,0.14626475117309196,0.000190304862368873
0.24,1,seg1,-0.26428010359866955,0.036949570169029784,0.0867024213220649,0.11392558433610206,0.02994915372105006,0.0008756994623936587
0.24,2,seg2,-0.35167317423954053,-0.07856122717721079,0.08697287694596494,0.020228469905105732,-0.08963109119549476,0.001144188481020561
0.24,3,seg3,-0.5077787538956465,-0.10272043742062797,0.08680776480093894,-0.0004976093624911707,-0.1213361113515675,0.0009773121017697117
0.24,4,seg4,-0.6394441329754378,-0.024037401165053273,0.0867020091832751,-0.04074091603537976,-0.04928560962125513,0.0008697796623548526
0.24,5,seg5,-0.6953204982955772,0.10715788181855625,0.08693319593578448,-0.1541899064782608,0.0787153673898801,0.0010992236118182591
0.24,6,seg6,-0.6712193004397877,0.24429339410945006,0.08741496134473117,-0.3472432883593112,0.21640600074231614,0.0015792511258056335
0.26,0,head,-0.2577672649275056,0.15346601501628962,0.08715880393666445,0.2639427325008924,0.1466435249396519,-0.00020091428538450418
