time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.010019638170544146,-0.015663429740762153,0.08889060574085383,0.008426725007409321,-0.010503621251851026,0.0015308875188048826
0.02,1,seg1,-0.15270587786096096,0.00015457029828072264,0.08735967572143537,0.0007266592817496806,-0.0014941799076055096,0.001532953861764122
0.02,2,seg2,-0.3277708874046597,0.015098972567100534,0.08721809151624656,0.0008106868820718145,0.0050605242433763385,0.0013894030513021821
0.02,3,seg3,-0.5031271470614722,0.025562084937643913,0.08709948045759641,0.000961199157309658,0.007022428942430228,0.001269027758427188
0.02,4,seg4,-0.6775156969695082,0.03298193856343277,0.08701649999530683,1.1386722732329553e-06,0.005857241829399636,0.0011842704743865867
0.02,5,seg5,-0.850350890630162,0.03611885625540768,0.08698534365039833,-0.0027160275640230563,0.0003787239586979743,0.0011513713264321018
0.02,6,seg6,-1.0209528832800645,0.03178222493884899,0.08703101569416061,-0.00801969665048479,-0.01250867943581265,0.0011953054752350672
0.04,0,head,-0.034261350281960416,-0.03875476264124993,0.08777677628178832,0.031542019718199484,-0.03472248603876494,0.00041705805973936416
0.04,1,seg1,-0.1594114373195624,-0.006493620423650616,0.08658253422499311,0.007108223896742094,-0.008453964429161468,0.0007558123653218646
0.04,2,seg2,-0.3302696441640235,0.024498735481744364,0.08659212166075551,0.003753960125291701,0.014330716841670347,0.000763433195811139
0.04,3,seg3,-0.5047700789128504,0.04028485725514668,0.0866364183121989,0.0033029466968209644,0.021650329278517073,0.0008059656130296744
0.04,4,seg4,-0.6756503683185078,0.04356263852129684,0.08680507201857313,-0.0013585260500241704,0.01651472626131545,0.0009728424976528788
0.04,5,seg5,-0.8402924630667533,0.0334323523932955,0.08712824519120327,-0.012890912270539463,-0.001826041164338847,0.0012942728672370452
0.04,6,seg6,-0.9990289476595424,0.006153021836894895,0.08758215580010124,-0.03113851958483018,-0.03706545102375693,0.001746445581175704
0.06,0,head,-0.05558566025829244,-0.057874629233084326,0.08908844087895729,0.051932225672203285,-0.05483554138965501,0.0017287226569083353
0.06,1,seg1,-0.1730764227583273,-0.010152650709486915,0.08795856982400387,0.02058358700218279,-0.012759184380396655,0.00213184796433262
0.06,2,seg2,-0.3352753161077291,0.034869903927356866,0.08793442670430479,0.009247538482768193,0.024451906661241685,0.0021057382393604163
0.06,3,seg3,-0.5071359043861409,0.055285381759797164,0.08768890951872288,0.006379987353215098,0.036521263559305024,0.0018584568195536555
0.06,4,seg4,-0.671076984232306,0.05345931264123932,0.08751942879874279,-0.0054557314215766895,0.02661784007716568,0.001687199277822543
0.06,5,seg5,-0.8252413504249142,0.029616171553910237,0.08740679496256994,-0.028106587687576432,-0.004921594351621241,0.001572822638603713
0.06,6,seg6,-0.9708233400850493,-0.018856144093544427,0.08723832777769122,-0.06050238819577203,-0.060703934463008126,0.0014026175587656814
0.08,0,head,-0.08258984434009477,-0.07842655894968285,0.08764790683386892,0.07792771590881817,-0.07664935032486218,0.00028818861181996447
0.08,1,seg1,-0.19078939820493174,-0.01330206346107045,0.08624227205760002,0.03812660669779588,-0.016748013754327103,0.00041555019792877124
0.08,2,seg2,-0.3428630923092194,0.047343443859638935,0.08613760312751988,0.017420350081017902,0.03655019979296827,0.0003089146625755018
0.08,3,seg3,-0.5085000859983813,0.07298649509885653,0.08613649954109635,0.008585043921508256,0.05413739623489531,0.0003060468419271295
0.08,4,seg4,-0.6647963127080628,0.06600566920317441,0.08649545903931212,-0.011132187590966148,0.03944888614228155,0.0006632295183918724
0.08,5,seg5,-0.807966005723245,0.02825485875189554,0.0871501893622673,-0.04542714425761173,-0.0054592068304556264,0.001316217038301079
0.08,6,seg6,-0.940076740647956,-0.041709960679232105,0.08793406613586006,-0.09230179335122372,-0.08206858145624721,0.0020983559169345245
0.1,0,head,-0.11063068971972652,-0.09475662355882469,0.08808594215875852,0.10515961725130829,-0.09429541416119323,0.0007262239367095691
0.1,1,seg1,-0.20787292610516017,-0.01669973032734971,0.08711870541443512,0.05502907732163857,-0.02095485965450036,0.0012919835547638703
0.1,2,seg2,-0.34951757429511066,0.05563895776537205,0.08735323296766438,0.02446208689222029,0.044519617848179587,0.0015245445027200072
0.1,3,seg3,-0.5080334708258408,0.08501948546726598,0.08734935220209539,0.008691624308532547,0.06617895873924848,0.0015188995029261632
0.1,4,seg4,-0.6578115197217884,0.07406390504661378,0.0874064135354655,-0.0177255633122282,0.04783040715943207,0.0015741840145452463
0.1,5,seg5,-0.7910086405479744,0.025591775099416843,0.08749742293539796,-0.062492034702320245,-0.007312248197015809,0.0016634506114317354
0.1,6,seg6,-0.9092060022446142,-0.061608848723869084,0.08737877562266982,-0.12408456762966062,-0.10047574022811237,0.0015430654037442842
0.12,0,head,-0.1420458610663995,-0.11023125161498692,0.08786066959266381,0.13580273249089403,-0.11124759963998422,0.0005009513706148577
0.12,1,seg1,-0.2243884019029111,-0.019981666368961305,0.08636975663097338,0.0713696473017213,-0.025019071472451266,0.0005430347713021311
