cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.08317287721786139,0.019372806000252107,-0.0188155546655433,6.0,-8537.18916349922,False,0.23773606438268002,0.0188155546655433,0.06135292736762356,0.05940413639170222,True,True
-0.25,-0.075,0.0,-0.07696971343362771,0.06071259878149168,0.02866054658497963,6.0,-8429.14781691398,False,0.21990313671538894,0.02866054658497963,0.05627797780556867,0.08026920736479884,True,True
-0.25,0.0,0.0,-0.0736198136226394,0.039263524909549735,-0.0012030672791239667,6.0,-8363.181044097637,False,0.1806975222155392,0.0012030672791239667,0.0736198136226394,0.039263524909549735,True,True
-0.25,0.075,0.0,-0.06759588045292782,0.06731232455474073,0.03700723206174753,6.0,-8283.152897766464,False,0.18256605155804365,0.03700723206174753,0.08408716520384123,0.04504998045672354,True,True
-0.25,0.15,0.0,-0.07895066655129754,0.029470418332659662,-0.006400328685696251,6.0,-8107.361550470544,False,0.20924926410897954,0.006400328685696251,0.0828620431908546,0.015349107590771639,True,True
-0.125,-0.15,0.0,0.0896804794586239,-0.03258039406524332,-0.058950470894882555,6.0,-9163.711370899317,False,0.24469383342957007,0.058950470894882555,-0.03238309188525389,0.08975191270010022,False,False
-0.125,-0.075,0.0,-0.03751674268566583,0.03916967284748739,0.031520508236032065,6.0,-6435.941638102695,False,0.1438333567307261,0.031520508236032065,0.012017711027219189,0.052889922238436936,True,True
-0.125,0.0,0.0,-0.03405737395877438,0.018967394047719143,0.010980814325000162,6.0,-5799.759451508181,False,0.09289953319708155,0.010980814325000162,0.03405737395877438,0.018967394047719143,True,True
-0.125,0.075,0.0,-0.035971384662570036,0.042602032118247694,0.0319984493711003,6.0,-6666.250948417073,False,0.09474029064641466,0.0319984493711003,0.05276377257366412,0.01802381643663288,True,True
-0.125,0.15,0.0,0.10110272610618709,0.03786996504490652,0.0707510858474963,6.0,-8870.203636092618,False,0.2523798476338393,0.0707510858474963,-0.035631875011625735,0.10191302645766638,False,False
0.0,-0.15,0.0,0.10544416925016346,-0.03018589364309786,-0.08135422724470447,6.0,-9739.392668048093,False,0.15960542882671683,0.08135422724470447,0.03018589364309786,0.10544416925016346,True,False
