time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.006562749146953892,-0.011401939062309342,0.08917849596693386,0.00794726632060934,-0.010350446571323113,0.0018184610454055616
0.02,1,seg1,-0.14975290091938992,-0.0015435494127730835,0.08776353492474671,0.00017859151993259407,-0.0011396457433889792,0.0019368115302447059
0.02,2,seg2,-0.3254947697882044,0.005879746327347188,0.08774934892710279,0.00044056265310459946,0.0054697506255715275,0.0019208330391601025
0.02,3,seg3,-0.5009358763360087,0.008374135113678535,0.08775553061232166,0.0003811736787849302,0.00710380427927878,0.001925192120374647
0.02,4,seg4,-0.6750568284438814,0.0072895768427774085,0.08779449283704405,-0.0010144032899623498,0.005102389036626414,0.0019623299714145864
0.02,5,seg5,-0.8510736009269382,0.0011432389656093193,0.08780970558257056,-0.0005363061153228252,-0.0020208905045490844,0.0019757054563178528
0.02,6,seg6,-1.0188713528179816,-0.003422390858126714,0.08796954396074555,-0.00826817489781741,-0.007550305274703996,0.00213367421537565
0.04,0,head,-0.027117797131811887,-0.034516024443578326,0.08808796581843899,0.02839758494933964,-0.033557243174748445,0.0007279308969106862
0.04,1,seg1,-0.15429565863778524,-0.006436374302057417,0.08660491812553282,0.004699178009066765,-0.006052962431374308,0.0007781947310308152
0.04,2,seg2,-0.3283840911464109,0.018238601684162165,0.08628550820516409,0.0033857397773284412,0.017815414453330135,0.0004569923172214052
0.04,3,seg3,-0.5015020065613703,0.02559622805862341,0.08618026340392484,0.0010251744166131917,0.024323161174529873,0.00034992491197782805
0.04,4,seg4,-0.6708102158937702,0.017739578413111214,0.0862908755127568,-0.005213718732183081,0.015571486456382296,0.00045871264712733784
0.04,5,seg5,-0.8460578309249005,-0.003776483042029471,0.08640360325138975,-0.005574271247467917,-0.006917881485773012,0.0005696031251370415
0.04,6,seg6,-0.9994068332098198,-0.021076018998313188,0.08688662351314037,-0.0278123231564075,-0.02511573663549959,0.0010507537677704737
0.06,0,head,-0.04553928981647779,-0.05418929107424909,0.08853832296430855,0.046729929073038606,-0.05331360851690155,0.0011782880427802511
0.06,1,seg1,-0.16386377995030132,-0.012121656528395346,0.08761569836977276,0.014241493313967466,-0.011781452463936604,0.0017889749752707518
0.06,2,seg2,-0.3349325607671761,0.02602633782073093,0.08766515792823971,0.009969357684330191,0.025573459552240194,0.001836642040297029
0.06,3,seg3,-0.5011210028833559,0.036011274593410095,0.08767665935536176,0.0006912702625450445,0.03473982408259165,0.001846320863414741
0.06,4,seg4,-0.6642184771535671,0.021250800876789527,0.08756027497408232,-0.011789512740102415,0.019112480097706934,0.0017281121084528617
0.06,5,seg5,-0.8380200134189498,-0.01086299422317314,0.08707535806754585,-0.01364405095515057,-0.013967974140582522,0.0012413579412931391
0.06,6,seg6,-0.9816633139589951,-0.03389443940928856,0.08725933372859658,-0.04561362440611147,-0.037853791864489075,0.0014234639832266804
0.08,0,head,-0.06314771716218175,-0.0719292037394963,0.09087648658011475,0.06425795857210385,-0.07113296307293937,0.003516451658586453
0.08,1,seg1,-0.17632482893034254,-0.014268389627317498,0.08879830924545463,0.02669270761702335,-0.013984511028682641,0.0029715858509526266
0.08,2,seg2,-0.34301769218474953,0.03726836652101007,0.087664018969159,0.018105241586628577,0.03677881329313361,0.0018355030812163137
0.08,3,seg3,-0.5012678713977318,0.04921487593772498,0.08721737878600291,0.0008978424243871569,0.0479426263140121,0.0013870402940558968
0.08,4,seg4,-0.6549743645439446,0.027386779187753046,0.08716147387718488,-0.021005784659464722,0.025290196477429458,0.001329311011555423
0.08,5,seg5,-0.8260563529741106,-0.016225133733198192,0.08686780629583626,-0.025631836056493967,-0.019275960548889595,0.0010338061695835538
0.08,6,seg6,-0.9677014248878198,-0.04762366166020103,0.08714414695032346,-0.05963745267886967,-0.051519739713232246,0.0013082772049535646
0.1,0,head,-0.08490399159823105,-0.08831142943734213,0.08668901739169012,0.08593993205711571,-0.08761340062415389,-0.0006710175298381832
0.1,1,seg1,-0.1904606536038185,-0.01572827924050252,0.08587957989432088,0.04082178631721409,-0.015508306270629853,5.285649981887075e-05
0.1,2,seg2,-0.3501257112362903,0.047748596301875695,0.08610725284065177,0.025260578346650745,0.047226794291492076,0.00027873695270907994
0.1,3,seg3,-0.5004357771528671,0.05963711738260872,0.0864296585816498,0.00011288484988984361,0.058368523837666456,0.0005993200897027873
