time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.0032828596172312643,-0.0034711771250974972,0.09127406587612409,0.004703272306657517,-0.0024049344375774383,0.00391403095459579
0.02,1,seg1,-0.14997479352168439,-0.00514840388918487,0.0895029729534406,0.0003841811211205415,-0.004745466737131798,0.0036762495589385963
0.02,2,seg2,-0.32556495627227394,0.0013393017932483479,0.08909115961158327,0.0004902170577017399,0.0009290351368118665,0.0032626437236405875
0.02,3,seg3,-0.50064933523482,0.007923117975186633,0.08869054654991651,9.25960601208021e-05,0.006654087457399425,0.0028602080579694933
0.02,4,seg4,-0.6757982705743064,0.00923624653040399,0.08831012216467876,-0.0002641661260877168,0.00704568610691307,0.002477959299049301
0.02,5,seg5,-0.8515409323304686,0.004820240485277852,0.08793751224247558,-5.2352516661996866e-05,0.0016539602040792655,0.0021035121162228665
0.02,6,seg6,-1.0230679780241927,-0.0075418337051699385,0.08767144595001973,-0.004090220238455203,-0.01168868265638281,0.0018355762046498303
0.04,0,head,-0.013728181612852518,-0.013297871719097493,0.09190637145812562,0.0151040523414412,-0.012278761096379308,0.00454633653659732
0.04,1,seg1,-0.15299373750666778,-0.012589735310736377,0.08993070457861668,0.0033694454060429068,-0.01220037339365156,0.0041039811841146745
0.04,2,seg2,-0.3281227654441441,0.004138526765626814,0.08896213238616166,0.003060657848589654,0.003716665375112852,0.003133616498218972
0.04,3,seg3,-0.500786118528827,0.021380519273497735,0.08804902758666681,0.00029023075856576564,0.02011073265221715,0.0022186890947197974
0.04,4,seg4,-0.6743528434937165,0.023421631053957965,0.0872576746321363,-0.0016454337705417708,0.02123746165545045,0.0014255117665068345
0.04,5,seg5,-0.8494573444650669,0.0066372803221384094,0.08657678632304984,-0.0021277026370810563,0.003480403205827417,0.0007427861967971294
0.04,6,seg6,-1.012250463796883,-0.029265362221060395,0.08627984795506873,-0.015005855137695825,-0.033363073535334284,0.0004439782096988254
0.06,0,head,-0.02326068947792666,-0.021876750686153322,0.08626563045092647,0.024597670055217544,-0.020900657246331264,-0.0010944044706018285
0.06,1,seg1,-0.15916912834024738,-0.019133648685765225,0.08531634015378085,0.009515182288566064,-0.018772144264009576,-0.0005103832407211545
0.06,2,seg2,-0.3331806379619822,0.005506972321797754,0.0859040793557009,0.008124666607167472,0.005062225829619415,7.556346775820788e-05
0.06,3,seg3,-0.5014681898338,0.033175246012705446,0.08661247392135278,0.0010256294721407667,0.03190225455779495,0.0007821354294057642
0.06,4,seg4,-0.6727235128464425,0.0379787673785835,0.08708593446721592,-0.0032089220830897854,0.03580181679488469,0.001253771601586462
0.06,5,seg5,-0.8464219720381646,0.011451943833342462,0.08718642307041034,-0.005141272682635596,0.008308743093946813,0.001352422944157633
0.06,6,seg6,-1.0017809677701195,-0.04252137169256922,0.08718834737334209,-0.025535186258556747,-0.046571605637665256,0.0013524776279721928
0.08,0,head,-0.027518815614931143,-0.02292542217726132,0.08666277003960456,0.028851010687381776,-0.02196857276698278,-0.0006972648819237454
0.08,1,seg1,-0.16298200523057024,-0.020771609468596783,0.08559027865277555,0.013320613528590009,-0.020427329686342924,-0.00023644474172646035
0.08,2,seg2,-0.3361071778694781,0.006673023392664273,0.08573323188412578,0.011056449341478486,0.006215031506118991,-9.528400381690616e-05
0.08,3,seg3,-0.5026058021977126,0.041908487474913735,0.08594918011666194,0.002202720907064055,0.04063026258262772,0.0001188416247149271
0.08,4,seg4,-0.6709721459604172,0.05102789221775742,0.08626316731390007,-0.004901264439189354,0.04885872770009901,0.0004310044482706138
0.08,5,seg5,-0.8421247535729747,0.017478565441641898,0.08660666341862497,-0.009411195532071863,0.014354734609340032,0.0007726632923722582
0.08,6,seg6,-0.9908262210337635,-0.050467830311802436,0.08723040815327943,-0.03652575395670591,-0.05446844692409352,0.0013945384079095263
0.1,0,head,-0.030406355788428662,-0.020992963163420805,0.08855463829933313,0.031747259693966946,-0.020049190630827354,0.0011946033778048315
0.1,1,seg1,-0.1669074890308134,-0.021507323513842477,0.08695503290156618,0.017242730382029944,-0.02118078679079585,0.0011283095070641763
0.1,2,seg2,-0.33950580561598764,0.0050912467818211606,0.08654077471994401,0.01444788973119194,0.004617902867786613,0.0007122588320013223
0.1,3,seg3,-0.5034758525557941,0.04342980338517669,0.08627926555766276,0.003079641583435236,0.042147628672828584,0.00044892706571574015
