time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.005345348571698831,-0.011605556963727184,0.08886159380076675,0.006728957455395704,-0.010548557447253555,0.001501558879238446
0.02,1,seg1,-0.15020147183510218,-0.0018741047979606862,0.08731591596610026,0.000625663116539285,-0.001472226134540233,0.0014891925715982551
0.02,2,seg2,-0.32558968249348014,0.005459626802305738,0.08719549265374235,0.0005335746563977885,0.005049206211525536,0.0013669767657996656
0.02,3,seg3,-0.5012117317634129,0.00827573665458363,0.08709443395761421,0.000656581339506054,0.007004159440042617,0.0012640954656671921
0.02,4,seg4,-0.676055632291795,0.008041686331160697,0.08702238780560088,-1.2208702055005147e-05,0.005849974360836582,0.0011902249399714238
0.02,5,seg5,-0.8493664436810683,0.0035406324299928757,0.0869972772918885,-0.0022326051731951456,0.0003841980158607668,0.001163277165635787
0.02,6,seg6,-1.0206311971724584,-0.008414236694910315,0.08703755936947413,-0.0065309210817629595,-0.012550057887408227,0.0012016896241042324
0.04,0,head,-0.024393776247524982,-0.0363443782589735,0.0882512412854546,0.025665324311765755,-0.03537326059200475,0.0008912063639262974
0.04,1,seg1,-0.15531903131747474,-0.008869186113795967,0.08682506525043193,0.0057115393340122856,-0.00849037694278676,0.000998341855929924
0.04,2,seg2,-0.3275915222260555,0.014364086317330039,0.08670968119987503,0.002575658852380822,0.01394452260308061,0.0008811653119323443
0.04,3,seg3,-0.502687556552337,0.02244130211028654,0.08671686640244448,0.002196446078655158,0.02116290656231606,0.0008865279104974672
0.04,4,seg4,-0.6748600746685122,0.01851453939501457,0.08689356769759685,-0.0011603970791292772,0.01632812652512437,0.0010614048319673858
0.04,5,seg5,-0.8409402503707925,0.001378331162887975,0.08728752656892348,-0.01066849001021945,-0.0017399788786956782,0.0014535264426707717
0.04,6,seg6,-1.0015406448414,-0.03374987304061518,0.08789488455721513,-0.025735843033924125,-0.037799109951162,0.002059014811845228
0.06,0,head,-0.04646116308497883,-0.06435516898834646,0.08753471824259661,0.0476058239993446,-0.06348355110106914,0.00017468332106830575
0.06,1,seg1,-0.16739216765006526,-0.019590508674142713,0.08664768823036227,0.017736071659690038,-0.019266183208486318,0.0008209648358602634
0.06,2,seg2,-0.3313167908125842,0.01999229043540343,0.08700119549183685,0.006326339436558935,0.01955582394862093,0.0011726796038941667
0.06,3,seg3,-0.5044646640605043,0.03431897233520456,0.08715165666550431,0.004027244860748731,0.03303241947931624,0.0013213181735572954
0.06,4,seg4,-0.6709615810009592,0.026294029347121748,0.08732331654288217,-0.005023672940721925,0.024125165476265895,0.0014911536772527073
0.06,5,seg5,-0.827049325408695,-0.004298807883663269,0.08752065461041156,-0.02458494431604366,-0.007354246737155205,0.0016866544841588477
0.06,6,seg6,-0.9741038309380131,-0.06296655586548237,0.08759130978576023,-0.05330449086824188,-0.06689142799149488,0.001755440040390327
0.08,0,head,-0.0663787750152149,-0.0872821740854783,0.0885127419880297,0.06741955904577077,-0.08650038692135557,0.0011527070665014044
0.08,1,seg1,-0.18162890026874023,-0.02491951122295262,0.0870114687475153,0.03194856159489443,-0.024659508123130502,0.0011847453530132862
0.08,2,seg2,-0.3376468068752449,0.029217444709117316,0.08685187893889806,0.01269800585645991,0.028752260310416593,0.0010233630509553782
0.08,3,seg3,-0.5058297911615187,0.048331696458915795,0.08674961366502916,0.005455721913022915,0.047038827394276374,0.000919275173082143
0.08,4,seg4,-0.6658204240211552,0.03576645489601152,0.08693524389008012,-0.010121944151989342,0.033620741894910856,0.0011030810244506556
0.08,5,seg5,-0.8138907773509727,-0.007763649012016751,0.08735532192071542,-0.03775902545140931,-0.010759551018581028,0.00152132179446271
0.08,6,seg6,-0.946498060456529,-0.08748825670465211,0.08791000480512333,-0.08102086339100008,-0.09128804804455223,0.002074135059753429
0.1,0,head,-0.09164713976494163,-0.10983998638169316,0.08911406640265335,0.09258566165337281,-0.10917222919690536,0.0017540314811250457
0.1,1,seg1,-0.1957515411621229,-0.032419231664894,0.08748382956268681,0.046037145237513954,-0.03222301282848308,0.0016571061681848048
0.1,2,seg2,-0.3429160639000965,0.03545838719648563,0.08723021015489862,0.017995429825093747,0.03496931202469634,0.0014016942669559385
0.1,3,seg3,-0.5063932280273997,0.05968037487727194,0.08714340463983773,0.0060704704217959685,0.05838484199042665,0.0013130661478907152
0.1,4,seg4,-0.6617567800935183,0.043710635872288385,0.08743728802174003,-0.014149623871547747,0.041583216976718476,0.0016051251561105678
0.1,5,seg5,-0.8015185818876147,-0.011290649045943206,0.08804572347499591,-0.05014704310728716,-0.014230569365013664,0.0022117233487431998
0.1,6,seg6,-0.9171850859036392,-0.10993325504663734,0.08885230135353996,-0.11043503192392846,-0.11360026705398898,0.003016431608170056
0.12,0,head,-0.12226080078405933,-0.13332536019861588,0.08815449966062801,0.12309281155567434,-0.13279579431774283,0.0007944647390997067
0.12,1,seg1,-0.2106942265804151,-0.04218048309170143,0.0869813676691398,0.06093553864106258,-0.042051733543254366,0.001154644274637795
0.12,2,seg2,-0.34643000880030794,0.04023555259018151,0.0869419598811179,0.02153094058540038,0.03973053892780194,0.0011134439931752144
0.12,3,seg3,-0.505815968578925,0.07022345254412604,0.08659698837684665,0.005540891445636396,0.068930422167353,0.0007666498848996339
0.12,4,seg4,-0.6584924574480114,0.04946013645286104,0.08627076221901268,-0.017387914570499652,0.047347419662896795,0.0004385993533832233
0.12,5,seg5,-0.7886336057094357,-0.018070979365748707,0.08601491012472694,-0.06306254741642567,-0.02095256600130453,0.00018090999847422684
0.12,6,seg6,-0.8828893050049157,-0.1338691230671599,0.08568726508633721,-0.14483869739853156,-0.13738080882915793,-0.00014860465903268616
0.14,0,head,-0.15017587215720768,-0.15227796305613195,0.08854270779903092,0.15092189606482256,-0.15187443211280166,0.0011826728775026218
0.14,1,seg1,-0.22420208086433893,-0.0505061415152089,0.08669480111583602,0.07440560716424521,-0.05043838779246272,0.0008680777213340152
0.14,2,seg2,-0.34825982026252295,0.04279923699189732,0.08632112151927264,0.023372326022505194,0.0422859229244861,0.0004926056313299537
0.14,3,seg3,-0.504536420681106,0.07780643068559293,0.08636308580437739,0.004295645974569678,0.07651910874891404,0.0005327473124303733
0.14,4,seg4,-0.6558413313471394,0.05383658453798456,0.0870040604496623,-0.020019223777664148,0.05173581108797309,0.001171897584032841
0.14,5,seg5,-0.7795037284627063,-0.023698168696070596,0.08817352912636534,-0.07221777681623467,-0.026538413557984624,0.002339529000112625
0.14,6,seg6,-0.8540682173042025,-0.14978703281647407,0.08966812453033536,-0.17373146937307044,-0.15316823023247544,0.003832254784965461
0.16,0,head,-0.18200694948816373,-0.1721036997822568,0.08756455498348502,0.18266299828542287,-0.1718439025730274,0.00020452006195671724
0.16,1,seg1,-0.23833089121500053,-0.06132572203863524,0.08675297551930314,0.08848534818004906,-0.06132174653538766,0.0009262521248011302
0.16,2,seg2,-0.3484390240217187,0.04285536142829444,0.08741472247404877,0.023551781737722873,0.04234123644853297,0.001586206586106087
0.16,3,seg3,-0.503365184381145,0.08362024903179424,0.08793946392761526,0.003150711059250588,0.08233816385024707,0.002109125435668241
0.16,4,seg4,-0.6548867593295556,0.054703141605201296,0.08848231765358783,-0.020969867565629696,0.05260667575930104,0.002650154787958367
0.16,5,seg5,-0.7690632012055506,-0.033654642182631284,0.0890467201575555,-0.08270321934584038,-0.036447574402464517,0.003212720031302796
0.16,6,seg6,-0.8196238931900918,-0.1669811498043537,0.08944788854277717,-0.20825319113062013,-0.170206418205967,0.0036120187974072737
0.18,0,head,-0.21197445189656597,-0.1891090611037628,0.08765687037252475,0.2125532980457745,-0.18898459959454408,0.0002968354509964438
0.18,1,seg1,-0.2505468989824748,-0.07087977887253342,0.08648543122306299,0.10065802871971916,-0.07093094505649718,0.0006587078285609782
0.18,2,seg2,-0.34922265357342486,0.04454195875613829,0.08642432834955714,0.024343029874610206,0.04402427305134633,0.0005958124616144561
0.18,3,seg3,-0.5022130274335947,0.09054873257699773,0.08600101885228045,0.002029895687615603,0.08927178647989192,0.00017068036033343614
0.18,4,seg4,-0.653718909995729,0.05575899216995013,0.08564138046063743,-0.02213293052615507,0.053667796408075404,-0.00019078240499202648
0.18,5,seg5,-0.7577778411178624,-0.044480930153974335,0.08563344910282816,-0.09403741926844493,-0.047222720603189626,-0.00020055102342454723
0.18,6,seg6,-0.7831670640527104,-0.184383893879268,0.08594472728456362,-0.24478834072333833,-0.1874441308199971,0.00010885753919372132
0.2,0,head,-0.23853726203068595,-0.20226297125224327,0.0881519733505579,0.23905635615493376,-0.20225848919708408,0.0007919384290295955
0.2,1,seg1,-0.261496619110667,-0.07932940212332391,0.0867376635347931,0.11156942868658165,-0.07942999528061195,0.0009109401402910972
0.2,2,seg2,-0.34898862841540973,0.043893913776832785,0.08672247346600834,0.024106076725233593,0.043377292932036085,0.0008939575780656517
0.2,3,seg3,-0.5011939156094141,0.09456126660792698,0.08682719047298601,0.0010289384946893796,0.09328888779268818,0.000996851981038993
0.2,4,seg4,-0.6531435238737647,0.0556235580709605,0.08727059722098848,-0.022708923182705315,0.05353496552282449,0.0014384343553590223
0.2,5,seg5,-0.7489244445168277,-0.05288782589669142,0.08807848491905058,-0.10292874035822618,-0.055589496366499055,0.002244484792797874
0.2,6,seg6,-0.7534391433929563,-0.19552462526031789,0.08892557160128904,-0.2745663345408579,-0.19845032210269337,0.0030897018559191414
0.22,0,head,-0.2679179693517048,-0.21275480573883745,0.08800490018206747,0.26838932023768863,-0.21288307255737274,0.000644865260539168
0.22,1,seg1,-0.2736727840941155,-0.0879420412862622,0.08686672416695984,0.12370652383074507,-0.08809760559116452,0.001040000772457833
0.22,2,seg2,-0.3488259368190181,0.042354926746356054,0.08699298090055142,0.023936427671884707,0.04183905730827447,0.001164465012608737
0.22,3,seg3,-0.5006590356028561,0.09765486894051095,0.08691478027425269,0.0005080528664592926,0.09638487716214969,0.0010844417823056701
0.22,4,seg4,-0.65234210992478,0.05275954525003773,0.086962232000259,-0.023523279670912618,0.05067460588353061,0.001130069134629541
0.22,5,seg5,-0.7369023615389042,-0.06528884577819846,0.08732713275404212,-0.11500677639341,-0.06793602700250893,0.001493132627789412
0.22,6,seg6,-0.7189419606710367,-0.20240432052127114,0.08789074085677498,-0.309094273750844,-0.20517395478104336,0.0020548711114050794
0.24,0,head,-0.29319474594086614,-0.21981363736321932,0.08796353678641232,0.2936339191859986,-0.22005613065643723,0.0006035018648840179
0.24,1,seg1,-0.28406249589977606,-0.0955904180608194,0.0864030871060612,0.13406154434384723,-0.09579288523833222,0.0005763637115591969
0.24,2,seg2,-0.34956983373378636,0.04067425837385266,0.0859970772565898,0.024672717194342136,0.04015504230324616,0.00016856136864711047
0.24,3,seg3,-0.5002708622877956,0.09927693814577464,0.08567076030428257,0.0001272183282347327,0.09800868505831656,-0.00015957818766444698
0.24,4,seg4,-0.6510286643660764,0.049448714137026915,0.08585454925615542,-0.024851682994242064,0.04736974786767479,2.2386390525958033e-05
0.24,5,seg5,-0.7246198577039973,-0.07552879347551747,0.08664952896978713,-0.12733545850610406,-0.07812032995581941,0.0008155288435344188
0.24,6,seg6,-0.6850848654165302,-0.20817492064020238,0.08766960291828389,-0.3429771168383767,-0.21079139805755057,0.0018337331729139927
0.26,0,head,-0.3181550625640385,-0.22381008399634417,0.08779258982042494,0.3185759091523722,-0.22416540407821647,0.00043255489889663934
0.26,1,seg1,-0.29448497677830604,-0.10148882053577854,0.08665372167669362,0.1444572467749646,-0.1017383566551683,0.0008269982821916128
0.26,2,seg2,-0.3493975727863523,0.038514709589310955,0.086737072305064,0.02449069277973746,0.03799629454139113,0.0009085564171213145
0.26,3,seg3,-0.5006402571931173,0.09983763620436883,0.086656080791352,0.0004991448683076783,0.09856770702368443,0.0008257422994049773
0.26,4,seg4,-0.6495773793356783,0.04436511667579675,0.08675052324544594,-0.026325940623181613,0.04229276492200423,0.0009183603798164769
0.26,5,seg5,-0.7106583091924767,-0.08624960954655922,0.0871644678126948,-0.14134534255997538,-0.08877790392191098,0.0013304676864420856
0.26,6,seg6,-0.6518493158655537,-0.20875267595311278,0.0877148437967547,-0.37621493913693954,-0.21121886017582808,0.0018789740513848047
0.28,0,head,-0.3408944160843209,-0.22492750682525955,0.08760089765815747,0.3413099773332773,-0.22538564019353777,0.0002408627366291688
0.28,1,seg1,-0.30467570289563206,-0.10613808353199201,0.08621911839236703,0.1546268452776842,-0.10643365339610814,0.0003923949978650171
0.28,2,seg2,-0.3502835710455555,0.03641767638814787,0.0860497602405942,0.02536719944049868,0.035895276398776016,0.00022124435265151454
0.28,3,seg3,-0.5008164431658213,0.09930822225710254,0.08594827241469362,0.0006729350914439988,0.09803750179655606,0.00011793392274660197
0.28,4,seg4,-0.6466270029547594,0.03801389498107286,0.08627374961998222,-0.029305006325476304,0.035954949419389995,0.00044158675435275463
0.28,5,seg5,-0.6937536909002142,-0.09653392566165615,0.08698667016436093,-0.1582962925031205,-0.0989856741756379,0.0011526700381082194
0.28,6,seg6,-0.6177262232075005,-0.20506785256899293,0.0876976264068692,-0.4103210205835741,-0.20737977381003656,0.0018617566614993059
0.3,0,head,-0.36171609213273076,-0.22297990590551356,0.08743667975143689,0.362140247329097,-0.22353221238190282,7.664482990858701e-05
0.3,1,seg1,-0.31435283064094643,-0.10863657694226989,0.08635680117498543,0.16429257618915943,-0.1089758801080063,0.0005300777804834178
0.3,2,seg2,-0.35158463078815755,0.035119603961234896,0.08635416362649562,0.026662376148800515,0.034591334002289545,0.0005256477385529312
0.3,3,seg3,-0.5004936098125831,0.09803475965343175,0.08609419707074087,0.0003443465890751014,0.09676551202733058,0.0002638585787938519
0.3,4,seg4,-0.64158878073646,0.030437581489546214,0.08606218303714844,-0.034377436241928225,0.028401495640963635,0.00023002017151897702
0.3,5,seg5,-0.6735051277359393,-0.10602313633424401,0.08648109154358756,-0.17858755775604365,-0.10838322618621826,0.0006470914173348497
0.3,6,seg6,-0.5834263311087591,-0.19724534503082916,0.08717701553943304,-0.44458518953700826,-0.19940224612642704,0.0013411457940631366
0.32,0,head,-0.37845776265896997,-0.21993608407764798,0.08777241320626068,0.3788955104994422,-0.22056412555943325,0.00041237828473238147
0.32,1,seg1,-0.32223863649395257,-0.10985922870081802,0.08671307948256388,0.17217277273000628,-0.11023417806292461,0.0008863560880618682
0.32,2,seg2,-0.3535629470271301,0.034891704301223604,0.08662523178002815,0.02863964162605154,0.03435449095643491,0.0007967158920854644
0.32,3,seg3,-0.5007158488937616,0.09632098345683913,0.08626781099854151,0.0005588339015571244,0.0950507484127234,0.00043747250659449677
0.32,4,seg4,-0.635127412038347,0.022796535065104644,0.08621490740648229,-0.04087329080297231,0.02078974489422192,0.00038274454085282517
0.32,5,seg5,-0.650556888425646,-0.1150792290426706,0.08667424496219377,-0.2015765130449063,-0.11733545703933586,0.0008402448359410564
0.32,6,seg6,-0.5479987779100441,-0.18615543530860632,0.08746808723572172,-0.47996223324888654,-0.18815225051164164,0.00163221749035182
0.34,0,head,-0.39382371554921547,-0.21596863028157026,0.08796471662178955,0.3942792466551961,-0.21666619537667878,0.0006046817002612476
0.34,1,seg1,-0.3292004745001434,-0.10947107853777065,0.08662905787349165,0.1791362947294019,-0.10987751248962237,0.0008023344789896414
0.34,2,seg2,-0.35573223151429445,0.035341104922288744,0.08633689262599958,0.03081093607213326,0.034794077730898175,0.0005083767380568982
0.34,3,seg3,-0.5003785241572425,0.09376882383558435,0.0861666052270461,0.00020997204492908872,0.09250014022736507,0.00033626673509908056
0.34,4,seg4,-0.6270453042617476,0.013423657593946762,0.08650190724341908,-0.04899769901082951,0.011453509600127865,0.0006697443777896189
0.34,5,seg5,-0.6244258620613344,-0.1235021725651776,0.08720192267258974,-0.22774535982055194,-0.12564015298699388,0.0013679225463370248
0.34,6,seg6,-0.5119257109230327,-0.1714458020814961,0.08786914776504254,-0.5159684161809056,-0.1732796494609446,0.002033278019672638
0.36,0,head,-0.408390583975878,-0.21076779251158195,0.08773763002055572,0.4088694837358977,-0.21153128046288253,0.0003775950990274196
0.36,1,seg1,-0.33516559512952726,-0.10717081290055246,0.08671766904872576,0.18511175590596027,-0.10760424395117468,0.0008909456542237487
0.36,2,seg2,-0.3572909736271015,0.035556257437234964,0.086663924810234,0.03237063514326023,0.035002179595715305,0.0008354089222913086
0.36,3,seg3,-0.49917518416542567,0.08950871578752723,0.08636391237946385,-0.001012619357065388,0.08824551709708882,0.0005335738875168333
0.36,4,seg4,-0.6166867744140777,0.0016234523083260323,0.08633926470130876,-0.05940948210995241,-0.000299734976269708,0.0005071018356792995
0.36,5,seg5,-0.5940852358683717,-0.13122349557526308,0.08681748821370587,-0.2581205907402793,-0.13322420027483786,0.0009834880874531604
0.36,6,seg6,-0.47626472642380796,-0.15235317551975,0.0876008277138501,-0.5515427014523075,-0.15402596327538043,0.0017649579684801964
