cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.07428503734388377,0.04645378183359677,0.001260876499098081,6.0,-7916.998369687629,False,0.2635713119783008,0.001260876499098081,0.03979862043173062,0.07805312570010663,True,True
-0.25,-0.075,0.0,-0.07591888836334561,0.028135390068023614,-0.02350793618582155,6.0,-8253.594649869994,False,0.20233917592284673,0.02350793618582155,0.06463246197355167,0.04876394819785792,True,True
-0.25,0.0,0.0,-0.07149114601811903,0.03758772461151105,-0.011444963794937868,6.0,-8295.461355777918,False,0.18242326603642228,0.011444963794937868,0.07149114601811903,0.03758772461151105,True,True
-0.25,0.075,0.0,-0.07386889851810866,0.04803924000405082,-0.0002863930496680804,6.0,-8269.16060776521,False,0.1781826239810815,0.0002863930496680804,0.08455754670035641,0.024787174999633857,True,True
-0.25,0.15,0.0,-0.07371542940102817,0.03958640506112309,0.010813386917673418,6.0,-8080.984278810995,False,0.20800820122915892,0.010813386917673418,0.08357749660382674,0.003981213242042176,True,True
-0.125,-0.15,0.0,0.09547150464141009,-0.01732065355455269,-0.02960632176251754,6.0,-8898.534611690357,False,0.25731594068778235,0.02960632176251754,-0.04781327324678442,0.08443165365832862,False,True
-0.125,-0.075,0.0,-0.038656049113843086,0.030119898058663153,0.017494144116857308,6.0,-6136.446668928559,False,0.13603481474422202,0.017494144116857308,0.017650728946025127,0.045715972699156913,True,True
-0.125,0.0,0.0,-0.03135577006526267,0.023654875068278555,0.016069157858242072,6.0,-5692.202422565187,False,0.09658568690321472,0.016069157858242072,0.03135577006526267,0.023654875068278555,True,True
-0.125,0.075,0.0,-0.0358568350357319,0.03824856238792238,0.029114373083186058,6.0,-6534.10857132518,False,0.09642184413503586,0.029114373083186058,0.050425705381372816,0.014349682237369255,True,True
-0.125,0.15,0.0,0.09869733899147663,0.011741300899879584,0.03170488588461887,6.0,-8700.764857120426,False,0.26297522192922523,0.03170488588461887,-0.054164579509296824,0.08333799372075758,False,True
0.0,-0.15,0.0,0.08878946793876265,-0.026185762368098844,-0.05514682011185649,6.0,-11717.539781531548,False,0.1523598866408657,0.05514682011185649,0.026185762368098844,0.08878946793876265,True,False
0.0,-0.075,0.0,0.06072763172237236,0.04018271645141439,0.03561566142402017,6.0,-10739.954661714377,False,0.13021099578658868,0.03561566142402017,-0.04018271645141439,0.06072763172237236,False,True
0.0,0.0,0.0,-2.409727367683958e-06,-4.827673982169548e-05,-0.00021033109946285342,6.0,1788.4340257838664,False,4.833684302680765e-05,0.00021033109946285342,0.0,4.833684302680765e-05,True,True
0.0,0.075,0.0,0.05131859170194784,-0.02074925234297405,-0.0013256906771331363,6.0,-10199.370300952442,False,0.10863478806768,0.0013256906771331363,-0.02074925234297405,0.05131859170194784,False,True
0.0,0.15,0.0,0.10063642863354244,0.03312924557137683,0.0657372881341179,6.0,-11754.525710652291,False,0.1542286095665445,0.0657372881341179,0.03312924557137683,0.10063642863354244,True,False
0.125,-0.15,0.0,0.09664021771289154,-0.04485358213793511,-0.06937515911211693,6.0,-8241.17926035554,False,0.10890384033906311,0.06937515911211693,0.09632503602450262,0.04552650815819109,True,False
0.125,-0.075,0.0,0.05019404912269836,0.005044136607342225,-0.018245088812573956,6.0,-8903.260696505742,False,0.10955817674583732,0.018245088812573956,0.04044585516130761,0.0301499366784727,True,True
0.125,0.0,0.0,0.06020695393193856,-0.02928585997221223,-0.04013896798298496,6.0,-9507.848731774022,False,0.07110415186956352,0.04013896798298496,0.06020695393193856,0.02928585997221223,True,True
0.125,0.075,0.0,0.05010926836896784,0.013107645411784802,0.020838056796931292,6.0,-8888.900128426661,False,0.09715598407048658,0.020838056796931292,0.04971217106703366,0.014541292670058813,True,True
0.125,0.15,0.0,0.09144029186338688,0.04404863238088327,0.05973427390099029,6.0,-8301.000396500292,False,0.11113931037475386,0.05973427390099029,0.0923777450838637,0.04204713074525146,True,False
0.25,-0.15,0.0,0.08781422384487042,-0.007333505120290248,-0.013178599105370337,6.0,-9584.213439589248,False,0.21600452483293966,0.013178599105370337,0.07907313298070957,0.038891616673022905,True,True
0.25,-0.075,0.0,0.094369645753528,-0.010160074186762307,-0.04314346153095191,6.0,-9810.158287932929,False,0.16859722163294544,0.04314346153095191,0.09330920306450109,0.017385332053043472,True,True
0.25,0.0,0.0,0.13658204862886053,0.023901281025705004,-0.02642231052276352,6.0,-10463.245864687671,False,0.11590902867290315,0.02642231052276352,0.13658204862886053,0.023901281025705004,True,True
0.25,0.075,0.0,0.09570574740313552,-0.01098090367876229,-0.04871535358090262,6.0,-10073.419615358203,False,0.17663361000059308,0.04871535358090262,0.0885141410557591,0.03801864233183791,True,True
0.25,0.15,0.0,0.09238908080330892,-0.00834708327193969,-0.020742786789920142,6.0,-9848.504770031517,False,0.22341665253681625,0.020742786789920142,0.07492844428830896,0.05469135477717501,True,True
0.0,0.0,-0.5,0.05317880314400491,-0.026766084338968963,-0.35875302679028853,6.0,-4191.410091139247,False,0.05953493406958327,0.14124697320971147,0.0,0.05953493406958327,False,True
0.0,0.0,-0.25,0.05791575598410279,-0.02973420735173084,-0.37808300461379546,6.0,-3275.5099536472776,False,0.06510267181956407,0.12808300461379546,0.0,0.06510267181956407,False,True
0.0,0.0,0.25,0.05378986357941598,0.02787890086520986,0.3555533627358871,6.0,-3315.042416984543,False,0.06058533269153831,0.10555336273588711,0.0,0.06058533269153831,False,True
0.0,0.0,0.5,0.061478183317398856,0.026599153395680464,0.39087113265743323,6.0,-4156.426981290995,False,0.06698568492875652,0.10912886734256677,0.0,0.06698568492875652,False,True
-0.125,0.0,-0.25,-0.01782930630038477,0.05459150954137579,0.09908177659315028,6.0,-3947.2377409916157,False,0.12027381469822462,0.34908177659315026,0.01782930630038477,0.05459150954137579,True,False
-0.125,0.0,0.25,-0.011110738859968121,-0.06517419138612114,-0.11897477200539959,6.0,-4128.392720974731,False,0.13121904978263302,0.3689747720053996,0.011110738859968121,0.06517419138612114,True,False
0.125,0.0,-0.25,0.04993328512215794,0.0020353049850302643,-0.03779556307944746,6.0,-5205.580066573426,False,0.07509430170747526,0.21220443692055255,0.04993328512215794,0.0020353049850302643,True,True
0.125,0.0,0.25,0.046890563679755075,-0.011952792604930115,0.0030779141864908746,6.0,-5668.973499544628,False,0.07901868951914394,0.24692208581350913,0.046890563679755075,0.011952792604930115,True,True
0.25,0.0,-0.25,0.09366205791817413,0.004351101292956083,-0.06406253892284937,6.0,-5930.63627271623,False,0.15639847894670175,0.18593746107715065,0.09366205791817413,0.004351101292956083,True,True
0.25,0.0,0.25,0.08264402181579486,-0.03169845732663793,0.020502675046323526,6.0,-6086.49950933143,False,0.17033148749095345,0.22949732495367647,0.08264402181579486,0.03169845732663793,True,True
