cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.06261725651729122,0.07513603538677531,0.03983879025817738,6.0,-7826.994676538865,False,0.29291385591122515,0.03983879025817738,0.015036683204956602,0.09664493150491017,True,True
-0.25,-0.075,0.0,-0.07370125996328418,0.03413970871368662,0.0028269060865004914,6.0,-8204.936226625236,False,0.20734686338751754,0.0028269060865004914,0.06078303093402207,0.05387781158978788,True,True
-0.25,0.0,0.0,-0.07432789858199768,0.04648555843330776,0.004014280016116922,6.0,-8384.736700916279,False,0.18171844804387188,0.004014280016116922,0.07432789858199768,0.04648555843330776,True,True
-0.25,0.075,0.0,-0.07650339047092296,0.049824354279471385,0.002432723224071287,6.0,-8225.567331540176,False,0.17531368074263512,0.002432723224071287,0.08759388115350196,0.02573998868257244,True,True
-0.25,0.15,0.0,-0.06826377980243468,0.0649199263506298,0.01980928261871151,6.0,-8199.198199649336,False,0.20066557418720382,0.01980928261871151,0.09193673481305328,0.020546952625652485,True,True
-0.125,-0.15,0.0,0.01750490879314465,-0.010434999286389622,-0.08842162296908988,6.0,-6402.319529520779,False,0.19946437891095375,0.08842162296908988,-0.0031899810225328442,0.020127967185961555,False,False
-0.125,-0.075,0.0,-0.03949693285987929,0.02473629936342253,0.018929263377529464,6.0,-5917.59687549747,False,0.13137010276725153,0.018929263377529464,0.021141619487224303,0.04153220602125642,True,True
-0.125,0.0,0.0,-0.030794315274487793,0.024418915342377667,0.017635634081931473,6.0,-5818.263444494095,False,0.0973190344233892,0.017635634081931473,0.030794315274487793,0.024418915342377667,True,True
-0.125,0.075,0.0,-0.0380835406990818,0.033436303576150773,0.02304007732306553,6.0,-6354.957443436824,False,0.09634319777660522,0.02304007732306553,0.04985920300266421,0.009077573737197288,True,True
-0.125,0.15,0.0,0.029817684204679323,0.025839803551254228,0.10325436445233167,6.0,-6821.073029999712,False,0.19845470446600894,0.10325436445233167,0.0007618706867316602,0.03944881863825699,True,False
0.0,-0.15,0.0,0.01857318775435158,-0.008830995841018876,-0.08605825799436162,6.0,-9856.335391096449,False,0.1423855717360324,0.08605825799436162,0.008830995841018876,0.01857318775435158,True,False
0.0,-0.075,0.0,0.00661313428404177,-0.011557897577323457,-0.06689472368442921,6.0,-6900.905638450932,False,0.06378584407898158,0.06689472368442921,0.011557897577323457,0.00661313428404177,True,False
0.0,0.0,0.0,-2.409727367683958e-06,-4.827673982169548e-05,-0.00021033109946285342,6.0,1788.4340192088528,False,4.833684302680765e-05,0.00021033109946285342,0.0,4.833684302680765e-05,True,True
0.0,0.075,0.0,0.010294104396570004,0.017207443110717216,0.07534435593426081,6.0,-7092.636785758464,False,0.0587021994232624,0.07534435593426081,0.017207443110717216,0.010294104396570004,True,False
0.0,0.15,0.0,0.030435704005585134,0.02548575110901685,0.10066596302833945,6.0,-9827.407443301305,False,0.1281800696489173,0.10066596302833945,0.02548575110901685,0.030435704005585134,True,False
0.125,-0.15,0.0,0.02042561023113581,-0.012028369840606295,-0.08985310785300094,6.0,-7043.466995515602,False,0.17312415696363936,0.08985310785300094,0.022316606694021388,0.007991013702969526,True,False
0.125,-0.075,0.0,0.051386615177162115,0.017830279435170942,0.030481659398937582,6.0,-8823.839106907317,False,0.11847527676729495,0.030481659398937582,0.034890055903247216,0.041727533873574564,True,True
0.125,0.0,0.0,0.05672433373312763,-0.0266756260409407,-0.017356159059527403,6.0,-9548.896898202194,False,0.0733018119070835,0.017356159059527403,0.05672433373312763,0.0266756260409407,True,True
0.125,0.075,0.0,0.050425501460816397,0.012009445492534764,0.009598010979417815,6.0,-9126.181068529682,False,0.09761744613299739,0.009598010979417815,0.04941831950910501,0.015645691915315615,True,True
0.125,0.15,0.0,0.032816439942688354,0.022792176832332353,0.10218408216227821,6.0,-7309.806424300981,False,0.1570975461931108,0.10218408216227821,0.03851800815477943,0.010619091442149127,True,False
0.25,-0.15,0.0,0.07647995924186997,-0.014094216742264685,-0.044914548784219,6.0,-9104.736919213028,False,0.22040777315603377,0.044914548784219,0.07283243869865798,0.02726292325526106,True,True
0.25,-0.075,0.0,0.09686428655720358,-0.005212817568058212,-0.04024279068678105,6.0,-9913.023201299873,False,0.16828784140104533,0.04024279068678105,0.09427705186970803,0.022840774242356268,True,True
0.25,0.0,0.0,0.1473938162996942,0.023028952886482743,0.043013271456515824,6.0,-10758.592453843754,False,0.1051587447842011,0.043013271456515824,0.1473938162996942,0.023028952886482743,True,True
0.25,0.075,0.0,0.1145259841345117,-0.001446940173370364,-0.010888589099951126,6.0,-9908.13089554077,False,0.1555549537513783,0.010888589099951126,0.10928022274549688,0.03429471671465335,True,True
0.25,0.15,0.0,0.07412131697049759,-0.015029338970296229,-0.012572031671769901,6.0,-10012.355819039878,False,0.24118041766520995,0.012572031671769901,0.055825973839599925,0.05102265481318417,True,True
0.0,0.0,-0.5,0.06164700963696828,-0.028599780467642458,-0.39345763475210166,6.0,-4181.7113745130955,False,0.0679580844342879,0.10654236524789834,0.0,0.0679580844342879,False,True
0.0,0.0,-0.25,0.060019389903995767,-0.030916167874927614,-0.3871136774982446,6.0,-3307.736735762333,False,0.06751397337232179,0.1371136774982446,0.0,0.06751397337232179,False,True
0.0,0.0,0.25,0.053194587157589714,0.027981352100196966,0.35573077554888394,6.0,-3234.573863037046,False,0.06010507606035954,0.10573077554888394,0.0,0.06010507606035954,False,True
0.0,0.0,0.5,0.0650155758829781,0.03260677942543028,0.4101743043816735,6.0,-4171.467671468321,False,0.07273394786407476,0.08982569561832648,0.0,0.07273394786407476,False,True
-0.125,0.0,-0.25,-0.021118129618967665,0.04927718007607706,0.0926437258820707,6.0,-3872.0838471263937,False,0.1149768823290653,0.3426437258820707,0.021118129618967665,0.04927718007607706,True,False
-0.125,0.0,0.25,-0.014221843074624103,-0.061956362728550325,-0.11386029941413318,6.0,-4001.567153790689,False,0.12692671481738946,0.36386029941413317,0.014221843074624103,0.061956362728550325,True,False
0.125,0.0,-0.25,0.05063165056245841,0.02786900209512841,0.030042608401705213,6.0,-5337.082218040725,False,0.07941871741499332,0.2800426084017052,0.05063165056245841,0.02786900209512841,True,False
0.125,0.0,0.25,0.04539808794860998,-0.00637869271735391,0.01990796999470164,6.0,-5566.265383042825,False,0.07985707309324364,0.23009203000529835,0.04539808794860998,0.00637869271735391,True,True
0.25,0.0,-0.25,0.09889578579083752,0.0033526554643033245,-0.03183557106845436,6.0,-5528.585380809619,False,0.15114140349497482,0.21816442893154564,0.09889578579083752,0.0033526554643033245,True,True
0.25,0.0,0.25,0.08509872654016293,-0.01222072493099101,0.016879219633589182,6.0,-6063.186140510284,False,0.16535348834093255,0.23312078036641082,0.08509872654016293,0.01222072493099101,True,True
