time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.010464744648787001,-0.0070356596303048635,0.0888631152398594,0.008499093636811384,-0.010495610593455268,0.0015030746879686196
0.02,1,seg1,-0.1531634798760962,-0.003321326010805872,0.08735606282780357,-3.959125806394547e-05,-0.001541861980781373,0.0015293791360526943
0.02,2,seg2,-0.3286383971711092,-0.0031913285920070994,0.08722784717827568,-0.00019600888575389713,0.0050019484767257,0.0013993029316708983
0.02,3,seg3,-0.5033992606158091,-0.007532706143244056,0.08713290011458943,-0.0009035661586002159,0.006970772811145789,0.0013025288725428408
0.02,4,seg4,-0.6786828057087814,-0.014885619063952077,0.08704018821301808,-0.0009811878435972067,0.0058441361589131845,0.00120804630845045
0.02,5,seg5,-0.8522992947199798,-0.026387496120369763,0.08699346460600275,-0.002568713520556771,0.00042335939651123714,0.0011594892341939694
0.02,6,seg6,-1.0268541749398221,-0.0456488335334311,0.08695182405756795,-0.002927766034266682,-0.012757271369301177,0.0011159142787118964
0.04,0,head,-0.03155021574892249,-0.031827304138192264,0.087420172886764,0.030481034114475673,-0.0344959652091058,6.01323348732169e-05
0.04,1,seg1,-0.15771364666429594,-0.010347280788995319,0.08640343023116014,0.00476559713113717,-0.008395928137875763,0.0005767465394092564
0.04,2,seg2,-0.330020152386315,0.006276496972002893,0.08655655793030945,0.0008370210085855558,0.014514141579405579,0.0007280136837046619
0.04,3,seg3,-0.501558568751608,0.007594049735425261,0.08670694778003193,-0.003298684546989477,0.022019702934420966,0.0008765765379853407
0.04,4,seg4,-0.6748612089370241,-0.003357843078515222,0.086794735886013,-0.005223668624521436,0.017223748537014315,0.0009625939814453671
0.04,5,seg5,-0.8449286179829345,-0.027564392323736392,0.08688556715757025,-0.009891183276898986,-0.0010234981971263435,0.0010515917857614604
0.04,6,seg6,-1.0143505445822036,-0.07108460066125484,0.08687574273618202,-0.014488595493433079,-0.0386351817120449,0.001039832957325973
0.06,0,head,-0.04770746253409773,-0.04980866482397066,0.09012215246482727,0.047287906331689854,-0.051871666691848124,0.002762111912936488
0.06,1,seg1,-0.1687745414801322,-0.013135819880169496,0.08882442383680661,0.01592146132008928,-0.0107762723505043,0.00299774014505573
0.06,2,seg2,-0.332627720625752,0.017242545648084463,0.08869669348446875,0.0030400006061440657,0.025568575829159387,0.002868149237863965
0.06,3,seg3,-0.49989727284727037,0.023748655957320754,0.0885522523136257,-0.005552285286465614,0.038102379638600546,0.002721881071579113
0.06,4,seg4,-0.6691664658191486,0.009554046651958891,0.08835992130717937,-0.011388875786397952,0.02991773200297712,0.0025277794026117434
0.06,5,seg5,-0.8349958096099217,-0.02691811301544179,0.08817140005575236,-0.019841028259512384,-0.0007425285755358291,0.002337424683943573
0.06,6,seg6,-0.9968159674985052,-0.09382912801792848,0.08788639451550448,-0.031175836619825318,-0.06200847633959741,0.002050484736648428
0.08,0,head,-0.0699144777171814,-0.07197577365325149,0.09069726582319314,0.07029422378531056,-0.07320805800644958,0.003337225271302355
0.08,1,seg1,-0.18571811887800063,-0.015965039695067372,0.0883788968323482,0.032957532079314414,-0.012981174354263134,0.002552213140597323
0.08,2,seg2,-0.3365955940618325,0.030696700236053035,0.08752250004354942,0.0065109687814702355,0.03915940638534998,0.0016939557969446323
0.08,3,seg3,-0.49925875427069955,0.044161198732642876,0.08703242796102954,-0.006940210774045644,0.058477689976510774,0.0012020567189829495
0.08,4,seg4,-0.6639588488387332,0.025747662822806137,0.08696616393364387,-0.01718783709038517,0.04590912115748051,0.0011340220290762398
0.08,5,seg5,-0.8206762412739462,-0.02486548458747234,0.08741837971923067,-0.03422633353095539,0.0007826969853779644,0.0015844043474218805
0.08,6,seg6,-0.970161645596854,-0.1167977280352672,0.08830492647235165,-0.05696843627350627,-0.0859406986732709,0.0024690166934955987
0.1,0,head,-0.09620246460021285,-0.08743583892905621,0.08806059860466028,0.09713238088471983,-0.08769202141761902,0.000700558052769501
0.1,1,seg1,-0.20483215087940448,-0.021780673433595528,0.08671792570105963,0.052272295986324636,-0.018090744815283815,0.0008912420093087486
0.1,2,seg2,-0.3441065146504503,0.034578436390940034,0.08686538853554585,0.013874227677940042,0.043314430101529404,0.0010368442889410606
0.1,3,seg3,-0.4991420523336734,0.05356324626222039,0.08690894586277435,-0.007402210380285509,0.06786910485681906,0.0010785746207277597
0.1,4,seg4,-0.6578128003361108,0.03242109906313294,0.08691154153081927,-0.023574880612758503,0.052352283307154975,0.0010793996262516425
0.1,5,seg5,-0.8038629533980904,-0.026663144866669496,0.08701174618686805,-0.050962238093251136,-0.0016313722186986636,0.0011777708150592647
0.1,6,seg6,-0.9368069994978545,-0.132830726564156,0.086938621234238,-0.0897116114717695,-0.10318813141059463,0.0011027114553819467
0.12,0,head,-0.11371095007912545,-0.0918301236049806,0.08796348878325189,0.11479046981534062,-0.09144018054629904,0.0006034482313611034
0.12,1,seg1,-0.21785978354988994,-0.025093199159551695,0.08640785125818239,0.06541281883974696,-0.020922475522329103,0.0005811675664315064
0.12,2,seg2,-0.3551881036554536,0.03468009399428223,0.08626335300316289,0.02494460310542688,0.043823092094172844,0.0004348087565581027
0.12,3,seg3,-0.500592174515297,0.05513711573695632,0.0862689726180728,-0.006010881718626753,0.06949518112200401,0.00043860137602620697
0.12,4,seg4,-0.6485968630221491,0.03419846450284766,0.08635092061766252,-0.03284988788525503,0.05378990932412026,0.0005187787130948862
0.12,5,seg5,-0.7886556778304641,-0.029190153032784986,0.0865114462523155,-0.0660664222982575,-0.004715301519782963,0.0006774708805067087
0.12,6,seg6,-0.9092559174675082,-0.13826043329322163,0.08670582305578804,-0.11704464273523672,-0.10962623967810796,0.0008699132769319912
0.14,0,head,-0.12436744789048577,-0.09184775620203528,0.08704596893477058,0.12544042298172073,-0.09106634361500543,-0.00031407161712020126
0.14,1,seg1,-0.22521605008010515,-0.026364499596012413,0.08588700431304104,0.07281082059246304,-0.021922691560364804,6.03206212901608e-05
0.14,2,seg2,-0.36168609936378904,0.03425269789207214,0.08604732087709227,0.0314539131796,0.04363468294784246,0.00021877663048748552
0.14,3,seg3,-0.5019849381546853,0.055093953644777816,0.08625705547710967,-0.0046174725700398895,0.0695032101807284,0.00042668423506307673
0.14,4,seg4,-0.6420597361736535,0.03489397163443262,0.0864004162712632,-0.03940815152567107,0.054244811094277236,0.0005682743666955703
0.14,5,seg5,-0.7766355927390841,-0.030309923642410364,0.08633265351478615,-0.07803726085660422,-0.006275864243288933,0.0004986781429773685
0.14,6,seg6,-0.8879531309077077,-0.138555889920374,0.08615014771835261,-0.13832219810306642,-0.11070403712723602,0.00031423793949655887
0.16,0,head,-0.12940279363399354,-0.09092989545516889,0.08782105890759105,0.13043865337683366,-0.08996413309901445,0.0004610183557002684
0.16,1,seg1,-0.22897563274104016,-0.025494339843841404,0.08643448632417303,0.07653590120920184,-0.02091501394535511,0.0006078026324221469
0.16,2,seg2,-0.36271860514555077,0.03459905619672629,0.08635168956874156,0.032472998909111386,0.044018735731136543,0.0005231453221367782
0.16,3,seg3,-0.5029488058503726,0.05520597531918012,0.08630872302984596,-0.003658370438700551,0.06965056313071469,0.00047835178779936927
0.16,4,seg4,-0.6421958732390877,0.03399698429926479,0.08626938288508414,-0.03923915625550936,0.053353430042936086,0.00043724098051650673
0.16,5,seg5,-0.7691818604777431,-0.02996315883199165,0.0862417053566272,-0.0854987005070926,-0.006203140159768632,0.0004077299848184168
0.16,6,seg6,-0.8742299439130449,-0.13604467725527467,0.08617024858812002,-0.15212837025979964,-0.10869862926529446,0.00033433880926396486
0.18,0,head,-0.1322944703972257,-0.09055162374719498,0.08728196557055629,0.1333144829696624,-0.0894798933443066,-7.80749813344972e-05
0.18,1,seg1,-0.23106886745201616,-0.024608905958700897,0.08600223831916805,0.07859519745746896,-0.019953284419155285,0.0001755546274171682
0.18,2,seg2,-0.36160389355772316,0.03498497117203817,0.08611443072431092,0.031344863403609625,0.04436344223420172,0.0002858864777061376
0.18,3,seg3,-0.5024208736922309,0.055725794943470644,0.086189422339231,-0.004205041424569176,0.07015063876355404,0.0003590510971844124
0.18,4,seg4,-0.6426543427619225,0.033996238806339264,0.08625365931658635,-0.03878096878131559,0.05336952655164936,0.00042151741201872095
0.18,5,seg5,-0.7675270556122953,-0.030392425075879012,0.08637402860877266,-0.08713661975897062,-0.006692904567265083,0.0005400532369638777
0.18,6,seg6,-0.8674747889383411,-0.1332051892412545,0.08651952881198417,-0.15898327223652664,-0.10610920272707815,0.0006836190331281217
0.2,0,head,-0.13376602819047004,-0.09028667316922137,0.08739058134147273,0.13477531482782687,-0.08916106513110582,3.0540789581950945e-05
0.2,1,seg1,-0.23174028192294233,-0.02416636585204819,0.08608028880019525,0.07924990242772117,-0.01948637914006239,0.00025360510844436857
0.2,2,seg2,-0.3610561053106137,0.035352971089613425,0.08616165967665926,0.03078392670146991,0.044711071230622026,0.0003331154300544731
0.2,3,seg3,-0.5021575727871825,0.05607372598242115,0.08617451320652512,-0.004480945579342743,0.07048866283345183,0.00034414196447853096
0.2,4,seg4,-0.6430025271614564,0.03402628878407406,0.08617270863952205,-0.03843412324208318,0.05341234651358284,0.00034056673495441725
0.2,5,seg5,-0.7684106678822397,-0.03158257935906543,0.08622876775416698,-0.08620988453069758,-0.007849796817180822,0.0003947923823581917
0.2,6,seg6,-0.865858695069249,-0.13191077193302964,0.08642176838612244,-0.1606458247078779,-0.1048750249274362,0.0005858586072663846
0.22,0,head,-0.1341037372698981,-0.09210288105074557,0.0875684231274367,0.1351795128714734,-0.09096364174049115,0.00020838257554592343
0.22,1,seg1,-0.23169365480051382,-0.024024396019936924,0.0862407894944752,0.07919809163093781,-0.01934621793604451,0.0004141058027243155
0.22,2,seg2,-0.3609888439823675,0.036434967765032744,0.0863182354174298,0.030676964517369846,0.04578986684753085,0.0004896911708250212
0.22,3,seg3,-0.5023283926449696,0.05669602590933786,0.08635007695977608,-0.004333100685361859,0.07111681767915305,0.0005197057177294823
0.22,4,seg4,-0.6435524936962193,0.033754346163209756,0.08637911016961411,-0.037874538307771016,0.05316078999975895,0.0005469682650464797
0.22,5,seg5,-0.7701396815705754,-0.03289020436096959,0.08646010687172934,-0.08443400327910214,-0.009093025380160949,0.0006261314999205514
0.22,6,seg6,-0.8691514142465397,-0.13281497184276417,0.0866987808035442,-0.15732211284209785,-0.10565765925393458,0.0008628710246881555
0.24,0,head,-0.13378998365663447,-0.09396418871768136,0.08706417462246828,0.1349343446158311,-0.09283521863905961,-0.00029586592942250356
0.24,1,seg1,-0.23147910919427475,-0.023937643396411197,0.0858720557939011,0.07898050404161072,-0.019267405019531968,4.5372102150220694e-05
0.24,2,seg2,-0.3610066660359997,0.03728282632848268,0.08608212225812663,0.03066362915979364,0.046637807846331966,0.00025357801152184334
0.24,3,seg3,-0.5026018572353261,0.0570739101061777,0.0861736523591624,-0.004073701927010189,0.07150449232696955,0.000343281117115804
0.24,4,seg4,-0.6443708579697077,0.03316295560244787,0.08616520834114093,-0.03703500212807156,0.05259986051903099,0.00033306643657329826
0.24,5,seg5,-0.7711879581751069,-0.033765636154512765,0.08612934440481154,-0.08335427592291879,-0.009929358747236236,0.00029536903300275696
0.24,6,seg6,-0.8737151181663394,-0.13595454786459799,0.08609636547594436,-0.15264615936500353,-0.1086274724031476,0.0002604556970883104
0.26,0,head,-0.13349736838588025,-0.09481697396603729,0.08712991512511699,0.13467325319948747,-0.09369817729901973,-0.00023012542677379455
0.26,1,seg1,-0.23125329562407207,-0.02377669469923565,0.08588467466326627,0.07874893056202073,-0.019114860025668895,5.799097151538979e-05
0.26,2,seg2,-0.36100311408310015,0.037748200984539834,0.08604617455547318,0.03064298445137358,0.04710273793019757,0.0002176303088683995
0.26,3,seg3,-0.5030059504470364,0.05726244695923325,0.08610839222969127,-0.003676807194194579,0.07170774596102159,0.0002780209876446782
0.26,4,seg4,-0.6448129428541031,0.03282469997069782,0.08609770329527938,-0.03658079007825797,0.05227807280765254,0.0002655613907117521
0.26,5,seg5,-0.7716678421288657,-0.034477546776828814,0.08608225021650512,-0.08284856440854486,-0.010623160741631475,0.00024827484469633343
0.26,6,seg6,-0.8754064864669633,-0.13752907860934424,0.08606169276793228,-0.15089809353164751,-0.11013880943911251,0.0002257829890762314
0.28,0,head,-0.13302593557072875,-0.09546987664030608,0.08721710171357443,0.13422612240670181,-0.09436795700563509,-0.000142938838316356
0.28,1,seg1,-0.23104038030041324,-0.02371924806356898,0.08591985978168384,0.0785340486861607,-0.019065273430517685,9.317608993296422e-05
0.28,2,seg2,-0.3608605370931937,0.03796403494081939,0.08604067178494444,0.030492575208851153,0.04731318876648467,0.00021212753833965703
0.28,3,seg3,-0.5033739648667219,0.057405560246476396,0.08607481536192699,-0.003314298305737368,0.0718642813623081,0.0002444441198803937
0.28,4,seg4,-0.6451590131073688,0.03269465367254235,0.08606768849135892,-0.03623017625420425,0.052160826885657506,0.00023554658679128537
0.28,5,seg5,-0.7722010372157329,-0.03513177634902788,0.08607044946031644,-0.08229169660785192,-0.011257362276081581,0.00023647408850765994
0.28,6,seg6,-0.8756224196559318,-0.13803175277471863,0.08610310958837017,-0.15066384076249892,-0.1106332122088946,0.00026719980951411815
0.3,0,head,-0.13247607299519953,-0.09605887947753243,0.08727335210082224,0.13369826748031535,-0.09497676105530148,-8.668845106854506e-05
0.3,1,seg1,-0.23080223317547494,-0.02381176948733927,0.08594929826755468,0.07829946099120383,-0.01916648054657757,0.00012261457580380053
0.3,2,seg2,-0.36062214667623005,0.03800608852794553,0.08605201524538328,0.030252800884426684,0.04734645689581774,0.00022347099877849386
0.3,3,seg3,-0.5036396942669082,0.0575160057508646,0.08606324348309594,-0.0030528053778365754,0.07198441367358517,0.00023287224104934223
0.3,4,seg4,-0.6454474912187725,0.03266920048962414,0.08604892886976835,-0.03594095784301357,0.0521459878864654,0.0002167869652007215
0.3,5,seg5,-0.7728182747804565,-0.035741641463929046,0.08604078025372168,-0.08165247274350658,-0.01184414206515567,0.0002068048819128948
0.3,6,seg6,-0.8757249364409633,-0.13843290932863678,0.08609242818688721,-0.1505466570148706,-0.1110303321419791,0.00025651840803116166
0.32,0,head,-0.13193107483844602,-0.0965648269543739,0.08728470549072592,0.1331722227196499,-0.0955023871105298,-7.533506116486066e-05
0.32,1,seg1,-0.23048583853139362,-0.024018053176635485,0.08595163846498714,0.07799085755118028,-0.019384247504741693,0.00012495477323626325
0.32,2,seg2,-0.36036788211374293,0.03796726800215383,0.08605038959846897,0.03000013397198078,0.04729832237279566,0.00022184535186418886
0.32,3,seg3,-0.5037348321080879,0.05762435857662274,0.08605332211529478,-0.002961711999183891,0.07209618817890247,0.00022295087324818164
0.32,4,seg4,-0.6456864024133943,0.0326928729451926,0.08603592014105797,-0.03570307748419966,0.05217842056985117,0.00020377823649034288
0.32,5,seg5,-0.7734755272517985,-0.03634855904930068,0.08601521493375307,-0.08097336925476316,-0.012426506399591194,0.00018123956194428248
0.32,6,seg6,-0.8759128384441909,-0.13893026903119976,0.0860790244960866,-0.15034061173483668,-0.11152045373823591,0.00024311471723055533
0.34,0,head,-0.13143472923178318,-0.09697927367849768,0.0872739819948947,0.13269143646770715,-0.09593478695825038,-8.605855699608811e-05
0.34,1,seg1,-0.23009786225013815,-0.02428035734336989,0.08593895605946687,0.0776127786522751,-0.019660626622784193,0.00011227236771599314
0.34,2,seg2,-0.3601641870253186,0.03790587124294899,0.08603560913256757,0.02979883172211662,0.047229484481458285,0.00020706488596278216
