time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.0035821898024703527,-0.00031779275406522195,0.09128006924823599,0.00464318892400881,-0.0023460366463789826,0.00392034687512012
0.02,1,seg1,-0.15015094510628071,-0.006445913782533613,0.08950711867114021,0.00034462364975716144,-0.0047284702694057,0.0036804333931078625
0.02,2,seg2,-0.32596577455681175,-0.00533250287343281,0.08909121826737385,0.0005882975949204956,0.0008804167656406431,0.0032624900242477634
0.02,3,seg3,-0.501067678856399,-0.00407134331550184,0.08869066265932055,0.00010126013451786876,0.0066318129300992155,0.0028601480628241693
0.02,4,seg4,-0.6761713880138834,-0.008143578161780123,0.08830830819135113,-0.0002501886121516582,0.0070679276599214915,0.0024760512788847
0.02,5,seg5,-0.8516807101593259,-0.01806236719782865,0.08793407376520432,-4.8454903130392236e-05,0.0016829005639238824,0.002100103990296462
0.02,6,seg6,-1.0227697075079247,-0.035838402951781416,0.08766540710567054,-0.00406631343106677,-0.011663645507293253,0.001829749734535091
0.04,0,head,-0.0134510844539933,-0.010037667647804173,0.09191708953840248,0.014757130775935295,-0.01181066710923584,0.0045573671652866105
0.04,1,seg1,-0.15292554868238326,-0.013904375221898945,0.08993519081476348,0.00330882750337033,-0.012113628870303286,0.00410850553673113
0.04,2,seg2,-0.3285556506888864,-0.0029062525862291826,0.08896728182951263,0.0031153569986353776,0.0033720266077036346,0.0031385535863865527
0.04,3,seg3,-0.5016839811053759,0.009145368973240961,0.08805200799614557,0.0003797774160003654,0.0198599549126072,0.0022214933996491937
0.04,4,seg4,-0.675199333134432,0.006057286623972327,0.08725648877132217,-0.001584647668208297,0.0212393309206953,0.0014242318588557346
0.04,5,seg5,-0.849687278804022,-0.016060926063090807,0.08656951935110957,-0.0020923570988016092,0.0036327720977033244,0.0007355495762017134
0.04,6,seg6,-1.0115272704085505,-0.05705698929808818,0.08625891180555663,-0.01476311327108779,-0.033162465745601104,0.0004232544344211775
0.06,0,head,-0.022401068823650595,-0.018558903134757606,0.08624518586729697,0.02392184625900856,-0.020100520216930352,-0.0011145365058189
