time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.008261223138677306,0.011881044219354027,0.08885511245117025,0.006754124128228458,0.010543249888494683,0.001495288620199764
0.02,1,seg1,-0.15286122907058808,0.0006804253983465053,0.08731381435725484,0.0005342957290478997,0.0014746086620088278,0.001487131025324856
0.02,2,seg2,-0.3282301785335374,-0.008438228949096191,0.0871941641802018,0.0005439148472508931,-0.005049509633404824,0.0013655086569105551
0.02,3,seg3,-0.5039483466411724,-0.013016122379276142,0.08709276003382499,0.0008348405056201406,-0.007004751961691878,0.0012621497413623506
0.02,4,seg4,-0.6786178235153841,-0.01450055832107055,0.08702610567416723,2.6509976562503077e-05,-0.005851947070154544,0.0011936325563405015
0.02,5,seg5,-0.8520044652617057,-0.011676370792450909,0.08700266843668152,-0.0021457309126975254,-0.0003849406750866719,0.001168651983304958
0.02,6,seg6,-1.0233340320575839,-0.0013703254697606379,0.08704620933636951,-0.006489421311387375,0.01254423333092079,0.001210727992037447
0.04,0,head,-0.027650995590526414,0.03646329531154627,0.08826129234651221,0.025779558130335188,0.03540855112326769,0.0009014685155417229
0.04,1,seg1,-0.1580196894836835,0.007727857060730526,0.08683977723974184,0.005588348218713949,0.008597287954174526,0.00101309390781186
0.04,2,seg2,-0.33018122982707077,-0.017270010279557567,0.08672210824252373,0.0026248955444303913,-0.01385158222778946,0.000893452719232482
0.04,3,seg3,-0.5052300417257506,-0.027139323018752062,0.0867302346665785,0.0023245096918019215,-0.02110753269133497,0.0008996243741158649
0.04,4,seg4,-0.6774515790582275,-0.024957915949565226,0.08690971901726703,-0.0009855128428290227,-0.016325354563276006,0.0010772458994403045
0.04,5,seg5,-0.8437419392967782,-0.009492189364513797,0.08730740556205217,-0.01043954491475556,0.0016772506655681563,0.0014733891086756157
0.04,6,seg6,-1.004588563086073,0.023990493982774024,0.08792260654540966,-0.025606560866299807,0.037626074281679495,0.0020871252010775942
0.06,0,head,-0.04922890112147148,0.06333532351042293,0.0875973698301881,0.046959146490179696,0.06259562421866706,0.00023754599921760322
0.06,1,seg1,-0.16999488992668488,0.01761266962235362,0.08689432897404166,0.017416590221068645,0.01865748855610798,0.0010676456421116753
0.06,2,seg2,-0.33400100665316956,-0.023431666066500288,0.08736225753730435,0.006535053085312255,-0.01995628246960584,0.0015336020140131051
0.06,3,seg3,-0.5067274758570102,-0.039373489764062124,0.08747368892633335,0.004002058529957858,-0.03331830559172902,0.001643078633870712
0.06,4,seg4,-0.6738189782027251,-0.03293702936529007,0.08745530362098766,-0.004500142592275053,-0.024357130058123327,0.0016228305031609352
0.06,5,seg5,-0.8300854717422016,-0.003947687249366007,0.08734103945901285,-0.02417623106790957,0.007019915102919554,0.0015070230056362932
0.06,6,seg6,-0.9775744788796715,0.05314084571919392,0.08693076661349762,-0.053047258774853265,0.06637519340047991,0.0010952852691655524
0.08,0,head,-0.06799375518761926,0.08363745837671709,0.09100309166483316,0.06542279986317154,0.08317206541600625,0.003643267833862665
0.08,1,seg1,-0.1833920031148885,0.020906745869828443,0.0887434167883868,0.030763708771347577,0.02214862110772838,0.0029167334564568215
0.08,2,seg2,-0.3399252353902869,-0.03407004661420227,0.08781719308059908,0.012615401091096063,-0.030506211139200833,0.0019885375573078373
0.08,3,seg3,-0.5078962067178326,-0.054448210501351596,0.08725236724941528,0.005392796938233955,-0.04837416769962557,0.0014217569569526384
0.08,4,seg4,-0.6688077262069262,-0.0434779277294266,0.08724939012024421,-0.009355524461896848,-0.03497072755315591,0.0014169170024174865
0.08,5,seg5,-0.8173728542543867,-0.0018553897848669464,0.08778950729239807,-0.03691829946575366,0.008924657868787995,0.0019554908390215092
0.08,6,seg6,-0.9513873149665408,0.07628419661142129,0.08880669924020711,-0.07957260965517507,0.08913014901371735,0.002971217895875039
0.1,0,head,-0.09477512282541298,0.10600645447173329,0.09254665414022761,0.09187164006434459,0.10593327124537584,0.005186830309257123
0.1,1,seg1,-0.1987946343539654,0.028276810578708293,0.08932167627450059,0.04605606565507234,0.029744852003560814,0.0034949929425706072
0.1,2,seg2,-0.34458092178451477,-0.0396426923640654,0.08771333317703325,0.01735269804948463,-0.036009647700238796,0.0018846776537420062
0.1,3,seg3,-0.5073535036376103,-0.06457647725527851,0.08715151007299154,0.004999398457115175,-0.05850933181803014,0.0013208997805289058
0.1,4,seg4,-0.6639383792574352,-0.049904914835671436,0.08775636514632398,-0.01412963747580456,-0.04146876940489283,0.0019238920284972566
