cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.06997811680888556,0.056063375418234584,0.004819252528241114,6.0,-8172.312342682534,False,0.27362381679311387,0.004819252528241114,0.031161371430683833,0.08407739188368597,True,True
-0.25,-0.075,0.0,-0.0737299526513105,0.014798499195746448,-0.011353553791689416,6.0,-8424.323823813625,False,0.1978254282192199,0.011353553791689416,0.06636816920408312,0.035360537508770856,True,True
-0.25,0.0,0.0,-0.070938122856908,0.02895650931341079,-0.010647176668688862,6.0,-8648.075240954824,False,0.18138807920485137,0.010647176668688862,0.070938122856908,0.02895650931341079,True,True
-0.25,0.075,0.0,-0.06622885625386284,0.04730436448162728,0.012885423902341042,6.0,-8153.488051412095,False,0.18584639221822405,0.012885423902341042,0.07702854847193838,0.026278641898159517,True,True
-0.25,0.15,0.0,-0.06324693256466782,0.04576982606263385,0.016250214905178712,6.0,-7759.547181303242,False,0.21387060890996532,0.016250214905178712,0.0777821784831023,0.00670702371146956,True,True
-0.125,-0.15,0.0,0.016812812932930094,-0.013575379249692161,-0.09301383323176322,6.0,-6230.674651596569,False,0.19678046411881325,0.09301383323176322,-0.0003344053359208795,0.02160670668014868,False,False
-0.125,-0.075,0.0,-0.03541927917425738,0.03836643636757692,0.034115138578452164,6.0,-6359.327787761025,False,0.14448755807453978,0.034115138578452164,0.010632412663764737,0.051122016565455695,True,True
-0.125,0.0,0.0,-0.0282431328087614,0.027579180129268924,0.024907544580174818,6.0,-5934.752409559652,False,0.10061064817038826,0.024907544580174818,0.0282431328087614,0.027579180129268924,True,True
-0.125,0.075,0.0,-0.0379452002161124,0.02908162273198513,0.024242140367794818,6.0,-6281.192936019863,False,0.09842273891911617,0.024242140367794818,0.04750011220661351,0.0054146413108808735,True,True
-0.125,0.15,0.0,0.028194081485936648,0.027489364505814986,0.10426775010443053,6.0,-6608.103580057316,False,0.1961562703853967,0.10426775010443053,0.003068503645810092,0.03925755566951217,True,False
0.0,-0.15,0.0,0.019423927975767474,-0.01239494421145012,-0.09060643812789444,6.0,-9751.311214717914,False,0.1389692065048143,0.09060643812789444,0.01239494421145012,0.019423927975767474,True,False
0.0,-0.075,0.0,0.0068309113106558295,-0.01268511501524658,-0.06694664751426194,6.0,-6551.534505693594,False,0.06268816666642192,0.06694664751426194,0.01268511501524658,0.0068309113106558295,True,False
0.0,0.0,0.0,-2.409727367683958e-06,-4.827673982169548e-05,-0.00021033109946285342,6.0,1788.4339729786934,False,4.833684302680765e-05,0.00021033109946285342,0.0,4.833684302680765e-05,True,True
0.0,0.075,0.0,0.007948346805576554,0.01572988753762475,0.07506128809907664,6.0,-6927.702013018141,False,0.05980068936261796,0.07506128809907664,0.01572988753762475,0.007948346805576554,True,False
0.0,0.15,0.0,0.027244468931427155,0.021945600099481506,0.09815458072484651,6.0,-9890.069502497541,False,0.1309205500341234,0.09815458072484651,0.021945600099481506,0.027244468931427155,True,False
0.125,-0.15,0.0,0.020751782046662812,-0.014643248375446121,-0.09760599634098055,6.0,-7049.803391243514,False,0.17084829866521253,0.09760599634098055,0.02453422213595838,0.006567581387440311,True,False
