time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.007173214078168304,-0.011554192485496637,0.08886996623206163,0.0085570365382673,-0.01050545888929221,0.0015099313105333273
0.02,1,seg1,-0.1495630017254346,-0.0019517465832413947,0.08736281390821643,-1.3151552635700468e-05,-0.0015469800384854807,0.001536090513714422
0.02,2,seg2,-0.32484266109547644,0.005410315488313114,0.08723449957660355,-0.00021366208420816097,0.005003273345519074,0.001405983688660864
0.02,3,seg3,-0.49964275865953384,0.008241934258754526,0.08713868810164303,-0.0009125285739546691,0.006977452103612138,0.0013083496096960162
0.02,4,seg4,-0.6750898164547521,0.008041807670465225,0.0870452828906916,-0.000978014116075646,0.00585446300573379,0.0012131200250621449
0.02,5,seg5,-0.8489991933608346,0.0035934968146097324,0.08699876768456791,-0.0025996126921263647,0.00043872252321941924,0.0011647675583151967
0.02,6,seg6,-1.024187091698747,-0.008587720151653246,0.08695689298094313,-0.002975847382353442,-0.012739618911782118,0.0011210232355732264
0.04,0,head,-0.029401517338977577,-0.0355102746809011,0.08742689095434762,0.0306767859242397,-0.03456180996413126,6.685603281932073e-05
0.04,1,seg1,-0.15437384100780194,-0.00884445579267815,0.08639468391903564,0.004766470515442286,-0.008461372833907584,0.0005679605245336311
0.04,2,seg2,-0.32589268893022383,0.01490583685262498,0.08653150124931444,0.0008792926580248264,0.014493949526131854,0.0007029853613717552
0.04,3,seg3,-0.49700450327038354,0.02327458143332151,0.08668278814985236,-0.0034827811085634515,0.022021875471759784,0.0008524496579053464
0.04,4,seg4,-0.6706048267896404,0.01942131940818075,0.08677743780051388,-0.005411501099341655,0.01725413900335131,0.0009452749348844158
0.04,5,seg5,-0.8416890399703064,0.0021448369913043865,0.08688270362768534,-0.009916242016033177,-0.0009768668262975131,0.0010487035014326296
0.04,6,seg6,-1.012721145727773,-0.034439676875725383,0.08690641121309263,-0.014558575667810646,-0.038539463657927854,0.0010705414677227298
0.06,0,head,-0.04636484935017459,-0.053138457359159244,0.08991510738777532,0.047560231914146385,-0.05226651862944187,0.0025550724662470187
0.06,1,seg1,-0.16595922373757996,-0.011292820216776422,0.0886688424001075,0.01634066357914338,-0.010962099979129364,0.0028421190056054924
0.06,2,seg2,-0.328090673318488,0.02590945950536036,0.08859768244284938,0.003127011675815247,0.025487520650730566,0.0027691665549066935
0.06,3,seg3,-0.4944553018338552,0.03935593098457254,0.08848386647631697,-0.005959238490893315,0.038114587803289794,0.0026535279843699494
0.06,4,seg4,-0.664127593081106,0.03215305187968817,0.08828750025973621,-0.011831097172833639,0.030015030605716905,0.002455337394106749
0.06,5,seg5,-0.8314494668576028,0.0024677337411715154,0.0880632111453841,-0.02015425033951535,-0.000607671219508295,0.0022292110191313858
0.06,6,seg6,-0.9960949654714116,-0.057843571090859816,0.08770226046338195,-0.03129041562744964,-0.06186793694456391,0.0018663907180120481
0.08,0,head,-0.06975017717511733,-0.07454443443092641,0.09016079171084636,0.07084852531368763,-0.07377802258277594,0.002800756789318057
0.08,1,seg1,-0.18314926189964797,-0.013517330920976789,0.08804249965931779,0.03352046701454772,-0.013264319292791536,0.002215776264815783
0.08,2,seg2,-0.3316102228956108,0.03946611515979727,0.08737108953187345,0.006707826889187681,0.03902812271140541,0.0015425736439307614
0.08,3,seg3,-0.4928825576780746,0.059685098662875594,0.08696606206942116,-0.0074400404362796714,0.05845065940695973,0.001135723577474143
0.08,4,seg4,-0.6581306915858802,0.04803003117634969,0.08686751188174374,-0.017756143503663082,0.04591896487058421,0.0010353490161142814
0.08,5,seg5,-0.8167384136891664,0.003863360105309441,0.08717866780306219,-0.03485884224456136,0.0008544625467252852,0.0013446676768094773
0.08,6,seg6,-0.9703799532181093,-0.08152688191570617,0.08777459773479857,-0.05711225815072564,-0.0854347253435033,0.0019387279894286652
0.1,0,head,-0.09753258848716588,-0.09032376525095978,0.08707834002910453,0.0985593002849702,-0.08968282090979035,-0.00028169489242377277
0.1,1,seg1,-0.2024490869355051,-0.018675637775120796,0.08610198526494464,0.05279676946879235,-0.018509844972694478,0.0002752618704426335
0.1,2,seg2,-0.33843842501473886,0.04449154649174126,0.08659711076271884,0.01355868361368453,0.04402262632904717,0.0007685948747761517
