time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.005326888868976323,0.009477649378723307,0.08886174323697019,0.006805833747428458,0.010534516818006257,0.0015017083154418853
0.02,1,seg1,-0.15016339800370013,0.0010686055276436662,0.08731669350178259,0.0006008962681025335,0.0014706262709106772,0.0014899701072805804
0.02,2,seg2,-0.32562071806740284,-0.0046339679587465345,0.08719488120079097,0.0005189678519093175,-0.005044425694205735,0.0013663653128482833
0.02,3,seg3,-0.5012625392502411,-0.005723869560354238,0.08709318912087884,0.0006440837164525709,-0.00699553339170735,0.0012628506289318192
0.02,4,seg4,-0.6760776818697956,-0.0036517991636611066,0.08702151113553001,-4.303593034335319e-05,-0.005843491288123967,0.001189348269900553
0.02,5,seg5,-0.849406148510781,0.0027724787945115777,0.08699565109913746,-0.002196374250782114,-0.0003841273068156044,0.0011616509728847452
0.02,6,seg6,-1.020507881979539,0.016667323790671512,0.08703742429154813,-0.006540819115679723,0.012531803787061981,0.001201554546178235
0.04,0,head,-0.02433179166180144,0.034354920075921,0.08825513079127217,0.025923034360891637,0.03532559521672284,0.0008950958697438727
0.04,1,seg1,-0.15513147625343476,0.008136041032328702,0.08683303232642715,0.005600881846081924,0.008515524448010027,0.0010063089319251456
0.04,2,seg2,-0.32768923150547524,-0.013509025173555279,0.08671329970565339,0.0025473281657425713,-0.013928745749560824,0.0008847838177107048
0.04,3,seg3,-0.5028110123653218,-0.01986806354303936,0.08672049819375698,0.0021285826007051358,-0.021146584782676,0.0008901597018099588
0.04,4,seg4,-0.6750764847978503,-0.01412179634573802,0.08689609190437884,-0.0010915668752783634,-0.016308854130714204,0.0010639290387493838
0.04,5,seg5,-0.8410715834494573,0.0048823975739906685,0.08729150436166648,-0.010521313293673052,0.001763457834743761,0.0014575042354137702
0.04,6,seg6,-1.0011546266391254,0.04181109234980637,0.08790565612664218,-0.025780179395718826,0.037762828450844346,0.0020697863812722817
0.06,0,head,-0.04622862662160428,0.06249816264788692,0.08758646382105241,0.04794690591951861,0.06336953511891247,0.00022642889952410872
0.06,1,seg1,-0.16705895435870344,0.018998531982708518,0.08668190741067792,0.017577356927018346,0.019323969674682088,0.0008551840161759167
0.06,2,seg2,-0.33155057507537294,-0.01910462708768736,0.087007433558155,0.006383329597106259,-0.0195417510018739,0.0011789176702123177
0.06,3,seg3,-0.5045933681136096,-0.03171822549291697,0.08715051011988116,0.0038573350729269856,-0.03300468518454219,0.0013201716279341441
0.06,4,seg4,-0.6716634332070387,-0.021852568630403867,0.08730997177951372,-0.004539541224407093,-0.024024113955602236,0.001477808913884257
0.06,5,seg5,-0.8272648848987083,0.010477437016796692,0.08752158477873236,-0.024302570569667108,0.007420872359467877,0.0016875846524796456
0.06,6,seg6,-0.9734581854520618,0.07077867690779274,0.08762268602548082,-0.05334534937202548,0.06685535693525842,0.0017868162801109172
0.08,0,head,-0.06594749652322565,0.085619298680686,0.08854053918908648,0.06777012530567318,0.0864012683313554,0.0011805042675581828
0.08,1,seg1,-0.18129625042505404,0.024507819016668743,0.08702746249220533,0.03183941978858415,0.024768820986800843,0.0012007390977033239
0.08,2,seg2,-0.3380191869485801,-0.02825740764736673,0.08684153403150476,0.012810487527549512,-0.02872368829585073,0.0010130181435620694
0.08,3,seg3,-0.5061236957848937,-0.04570685846164197,0.08673150105193392,0.00532439212770445,-0.04700009510038505,0.0009011625599869011
0.08,4,seg4,-0.6667493448228843,-0.031300256162741596,0.08689950006919143,-0.009496300711513752,-0.03344948396109877,0.0010673372035619744
0.08,5,seg5,-0.8142157237103825,0.013908711832726788,0.08732730620735522,-0.03733608252005994,0.010911118883338265,0.0014933060811025134
0.08,6,seg6,-0.945760042912799,0.09515734679918608,0.08790057467851622,-0.080932971221334,0.09135902536239683,0.0020647049331463246
0.1,0,head,-0.09119131098725403,0.10895589239398239,0.08902387700643857,0.09311920704268536,0.109623473865075,0.001663842084910272
0.1,1,seg1,-0.19553558211181726,0.03260943212179548,0.08744318377738428,0.046115240446624566,0.032805962661906135,0.0016164603828822677
0.1,2,seg2,-0.34325431469293644,-0.03410206458202405,0.0872219171537601,0.01801913289020656,-0.03459195811459222,0.0013934012658174122
0.1,3,seg3,-0.5069776670877527,-0.057007713394899205,0.0871411986105748,0.006127253548561981,-0.058304696055182736,0.0013108601186277852
0.1,4,seg4,-0.6626362852393238,-0.03944765246919103,0.08741191977827527,-0.01364615982197817,-0.04157819819361228,0.0015797569126458078
0.1,5,seg5,-0.8020033777812811,0.017275450899647375,0.08798051170442257,-0.04953307958983634,0.014333046336766918,0.002146511578169863
0.1,6,seg6,-0.9165925427716476,0.11746776114368217,0.08872513808122276,-0.10999928806100338,0.11380110365210563,0.00288926833585286
0.12,0,head,-0.12173736964575715,0.13332843381119547,0.08759848518593356,0.1237751631998953,0.13385764038014117,0.00023845026440526274
0.12,1,seg1,-0.21061614817512486,0.04275264207254435,0.08649747394805322,0.06124151874396325,0.042880876345855204,0.0006707505535512165
0.12,2,seg2,-0.34708037475333653,-0.03895241735483043,0.08656922864730014,0.021823221102711874,-0.03945956229690983,0.0007407127593574564
0.12,3,seg3,-0.5065797894981103,-0.0679235553335527,0.08637226331650877,0.005680019859577336,-0.06921862723663302,0.0005419248245617514
0.12,4,seg4,-0.65940115004956,-0.04586933447710454,0.08618576287243783,-0.016910300035129326,-0.047985185642847025,0.0003536000068083689
0.12,5,seg5,-0.7895548783131675,0.023277089962073165,0.08604585326283824,-0.06195431307302426,0.020390914705918205,0.0002118531365855325
0.12,6,seg6,-0.8831493405279124,0.1405305046191594,0.08580937140546332,-0.14333786134439527,0.13701483760854596,-2.6498339906574908e-05
0.14,0,head,-0.14891313006872087,0.15233071600559195,0.08872540144508304,0.15103657189156294,0.15273684267313195,0.001365366523554734
0.14,1,seg1,-0.2234863958039692,0.05148358622348226,0.08705762620847346,0.07415111510313767,0.051553533471440746,0.0012309028139714517
0.14,2,seg2,-0.3489686421293294,-0.041253375352043334,0.08675673984796324,0.023701064509029555,-0.04176903529501743,0.000928223960020555
0.14,3,seg3,-0.5054449057564572,-0.07519891603023587,0.0867028496751779,0.004512249386212108,-0.07648878173948832,0.0008725111832308813
0.14,4,seg4,-0.6569036586901457,-0.049918750121578426,0.08709774896097858,-0.019426076846998853,-0.052023266521712935,0.0012655860953491166
0.14,5,seg5,-0.779988916474365,0.029002356308842243,0.08792188971781012,-0.07149428812274912,0.026159378685234404,0.0020878895915574097
0.14,6,seg6,-0.8535261586581051,0.15694995712760607,0.08899575289804149,-0.17288649349790924,0.1535680748297888,0.003159883152671586
0.16,0,head,-0.18069233420497993,0.17326215280824517,0.08755689873429388,0.18291010064436436,0.17352436361433266,0.0001968638127655825
0.16,1,seg1,-0.23753938757670642,0.06265406532528757,0.08626976986701144,0.08825447480723134,0.06266035237525827,0.00044304647250943685
0.16,2,seg2,-0.3492508944400027,-0.04189462161766143,0.086366503056331,0.023980414292998884,-0.042411551316788344,0.0005379871683883208
0.16,3,seg3,-0.5041360374235709,-0.08197656254588927,0.08650392437804096,0.003172746706020272,-0.08326044041175155,0.0006735858860939387
0.16,4,seg4,-0.6558158188753636,-0.051621540239729855,0.08689462741301257,-0.020521605358680885,-0.05372112014587068,0.0010624645473831101
0.16,5,seg5,-0.7694259419443417,0.03884043674888209,0.08756698900013457,-0.08201266800360393,0.03604512308474044,0.0017329888738818605
0.16,6,seg6,-0.8181795087233471,0.1742784872011201,0.08832594351590774,-0.20815442445761384,0.1710562611785101,0.0024900737705378373
0.18,0,head,-0.20907838193197642,0.1900847370894058,0.08803671264086334,0.2113719279259358,0.19021841750045382,0.0006766777193350365
0.18,1,seg1,-0.2494707118218069,0.07273663493340188,0.08664176235471326,0.10023126927511226,0.0726888668416032,0.0008150389602112479
0.18,2,seg2,-0.3493940847265555,-0.04123397607541517,0.08649294811189644,0.024126590477873272,-0.04175156001864334,0.0006644322239537509
0.18,3,seg3,-0.5031981077782689,-0.08644254215969194,0.0862583360952506,0.0022146320097625365,-0.08772213315769405,0.00042799760330358705
0.18,4,seg4,-0.6546624946855826,-0.051874078592299644,0.08630351871996554,-0.021676059706114883,-0.053968440718760925,0.00047135585433608074
0.18,5,seg5,-0.7591188375971224,0.047989979592639606,0.08676688840684539,-0.09227829380452707,0.04524117991221936,0.0009328882805926808
0.18,6,seg6,-0.784748462583321,0.19081162405405186,0.08744329742458155,-0.24151036788299887,0.18774040030110423,0.0016074276792116537
0.2,0,head,-0.23833993123892216,0.20594750909488646,0.0875902690673582,0.24070490767703895,0.20594871000752188,0.00023023414582989954
0.2,1,seg1,-0.26081440341735534,0.08383950231238374,0.08616531355600697,0.11162505076910643,0.0837403258539922,0.0003385901615049619
0.2,2,seg2,-0.3482452902734059,-0.03983751285649325,0.08616098968708019,0.022984122414002543,-0.04034991636199396,0.00033247379913750597
0.2,3,seg3,-0.5020408543631841,-0.09099363107550353,0.08632891124843252,0.0010368109316905949,-0.09226794257894112,0.0004985727564855019
0.2,4,seg4,-0.6545666855934827,-0.05112620750153252,0.08688551153219376,-0.021768486032621708,-0.05322014403648844,0.0010533486665642994
0.2,5,seg5,-0.7495517833493526,0.05933632428841638,0.08778928793237524,-0.10179394338977503,0.056630669711686385,0.00195528780612253
0.2,6,seg6,-0.751441877815186,0.20290250492425868,0.08867405146807708,-0.2747619385736576,0.19998176605772824,0.002838181722707181
0.22,0,head,-0.2657027222694081,0.2177411101860825,0.08753813663133282,0.2681207482468484,0.21761845916655376,0.00017810170980452067
0.22,1,seg1,-0.272257942777562,0.09217129851078187,0.08644580089778511,0.12310614854547051,0.09202029051661385,0.0006190775032831053
0.22,2,seg2,-0.34836133342463665,-0.03808648065098588,0.08654041849940407,0.02310808234272626,-0.038599426792261436,0.0007119026114613819
0.22,3,seg3,-0.5013970222552664,-0.09338489489194832,0.08628071383474321,0.000382172389453168,-0.09465627061378251,0.00045037534279619706
0.22,4,seg4,-0.6533502975957315,-0.04818019680754752,0.086105012121191,-0.0229715400766383,-0.050268663096846945,0.00027284925556153583
0.22,5,seg5,-0.7377983115579051,0.07172750200248026,0.08626880189561346,-0.11349126355179107,0.06907486857303173,0.0004348017693607542
0.22,6,seg6,-0.7170914775068362,0.21140286625038576,0.0867276243524284,-0.30907355004435255,0.20863736899132768,0.0008917546070584953
0.24,0,head,-0.28961693055302273,0.22574352396021014,0.08753822878657593,0.2920708980195824,0.2255126538586441,0.0001781938650476239
0.24,1,seg1,-0.28104552373344144,0.10062965332950065,0.08616718215093139,0.13193188735493908,0.1004388224405084,0.0003404587564293793
0.24,2,seg2,-0.3480401514532317,-0.03637348239541573,0.0860796404297123,0.022794649633834672,-0.03688499370248658,0.0002511245417696206
0.24,3,seg3,-0.5006379132925438,-0.09504316201966102,0.08606038069644976,-0.00038442730327627785,-0.09631108818535633,0.00023004220450274782
0.24,4,seg4,-0.6522091498513053,-0.0444104572499276,0.08637160863962193,-0.02409562983049404,-0.046493801942854254,0.0005394457739924668
0.24,5,seg5,-0.7254314816657245,0.08267202618214792,0.08702994979463086,-0.12580847714263213,0.08007520222419295,0.0011959496683781462
0.24,6,seg6,-0.6841029419182357,0.21543294634075247,0.08773843538950081,-0.34204352481040196,0.21281657819848993,0.0019025656441309102
0.26,0,head,-0.3105125569926147,0.23008152821704334,0.08770138559035484,0.3129859267762921,0.2297561261733721,0.00034135066882653997
