time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.005341283165456448,-0.011605843570764638,0.08886152027379285,0.006724890794713679,-0.010548825668066827,0.0015014853522645477
0.02,1,seg1,-0.1502004006539908,-0.0018741867434424113,0.08731582367413444,0.000624591575831533,-0.001472303235427823,0.0014891002796324354
0.02,2,seg2,-0.3255894817826555,0.005459590883131774,0.08719541846079455,0.00053337378520287,0.0050491712003097955,0.0013669025728518663
0.02,3,seg3,-0.5012094993493167,0.008275717448795648,0.08709442035996444,0.0006543488613872967,0.007004150329167772,0.001264081868017422
0.02,4,seg4,-0.6760393433558607,0.008041760672812398,0.08702264926002473,-2.8497135289646715e-05,0.005850122358401153,0.001190486394395271
0.02,5,seg5,-0.8493952711983029,0.003538958913900323,0.08699671564374742,-0.0022037855181332765,0.0003823941621992765,0.0011627155174947085
0.02,6,seg6,-1.020622548909814,-0.008413176457973848,0.08703766589220574,-0.0065395644617209595,-0.012548958554874007,0.0012017961468358401
0.04,0,head,-0.024462038865483173,-0.03633199296063082,0.08824996040641439,0.025733642236696386,-0.035361184095901894,0.0008899254848860894
0.04,1,seg1,-0.15527081844630725,-0.008878763637135897,0.08682557267182575,0.005663283647318961,-0.008499736355214917,0.0009988492773237434
0.04,2,seg2,-0.32757688708933663,0.014360033880108864,0.08670933198918596,0.0025610055406395673,0.01394053638567592,0.0008808161012432703
0.04,3,seg3,-0.5026688162529187,0.022438248346633268,0.08671691865450505,0.002177692162070638,0.021159937571337117,0.0008865801625580344
0.04,4,seg4,-0.6748479861926784,0.01851236951163546,0.08689424918058211,-0.0011724952433326708,0.016326011326610757,0.001062086314952651
0.04,5,seg5,-0.8409649001456462,0.001373585914789686,0.08728878599630006,-0.010643861944840698,-0.0017448355416933021,0.0014547858700473537
0.04,6,seg6,-1.0015792422806113,-0.03375568605157544,0.08789772565502513,-0.025697272275085704,-0.03780509743582032,0.0020618559096552275
0.06,0,head,-0.04668034591821752,-0.0642922523776533,0.08753639528559384,0.04782528909328769,-0.06342162625288872,0.000176360364065542
0.06,1,seg1,-0.16726652467643216,-0.019638329063342758,0.08665192254992306,0.01761021373237374,-0.01931343496587477,0.0008251991554210497
0.06,2,seg2,-0.3312634446545845,0.01997375340683359,0.08700171382365166,0.00627291000167509,0.019537528334688515,0.0011731979357089695
0.06,3,seg3,-0.5043564197890703,0.03430928053689373,0.0871532160532615,0.003918957870801835,0.033023217248092276,0.001322877561314481
0.06,4,seg4,-0.671058501837488,0.02627286711059566,0.08732334631406811,-0.004926848788266815,0.024103565191352493,0.0014911834484386544
0.06,5,seg5,-0.8270375698622023,-0.0042844737473904165,0.08752712088714229,-0.02459663492505317,-0.007339859590217872,0.0016931207608895799
0.06,6,seg6,-0.9742117926706116,-0.06300071404379463,0.08760217093360755,-0.053196684698734086,-0.06692607401097427,0.0017663011882376456
0.08,0,head,-0.0666914005812621,-0.08716832297858197,0.08852040057132006,0.067732696237045,-0.08638795063487929,0.0011603656497917586
0.08,1,seg1,-0.18142493337639562,-0.02503120505749432,0.08702192603382707,0.031744091721349205,-0.024770278501186616,0.0011952026393250575
0.08,2,seg2,-0.33751007709431774,0.029172152667981805,0.08685259532861099,0.012561072668094996,0.02870758700849596,0.0010240794406683046
0.08,3,seg3,-0.5056478025488589,0.0483136058530784,0.08674742818391376,0.005273653357369575,0.04702155990472348,0.0009170896919667437
