cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.06607685359430217,0.02733431134749384,0.010645286825451775,6.0,-8199.899056870881,False,0.2554900815391111,0.010645286825451775,0.04259704734463756,0.057435239315974655,True,True
-0.25,-0.075,0.0,-0.07186511287897744,0.012754704432571247,-0.025538191246618675,6.0,-8495.681867707419,False,0.19857725489004874,0.025538191246618675,0.06516925675614664,0.03286707939750437,True,True
-0.25,0.0,0.0,-0.07363312578544738,0.0010533833805191663,-0.05390749295357692,6.0,-8989.4134617488,False,0.1763700199488512,0.05390749295357692,0.07363312578544738,0.0010533833805191663,True,False
-0.25,0.075,0.0,-0.07317720311798794,0.015957842951124845,-0.013557755262335084,6.0,-8603.854447021613,False,0.18641962827492534,0.013557755262335084,0.07467650105558156,0.005742473153594363,True,True
-0.25,0.15,0.0,-0.08110797553100592,0.015758194459367793,-0.01336207516732979,6.0,-8168.616194514654,False,0.21574377924761634,0.01336207516732979,0.07765703939925002,0.028217168871111732,True,True
-0.125,-0.15,0.0,-0.017993549851787215,-0.11324822812718643,-0.06426367383112952,6.0,-12027.998216892864,False,0.11314182740752102,0.06426367383112952,0.09851888863370198,0.058676721045029766,True,False
-0.125,-0.075,0.0,-0.02989220248390328,0.04902536404176729,0.04378075657481636,6.0,-6487.330795629653,False,0.15629390286910028,0.04378075657481636,0.00040901045613544746,0.057418314144646,True,True
-0.125,0.0,0.0,-0.028827820850076517,0.029626904204293796,0.02417706800154784,6.0,-5920.176472472818,False,0.10063220903456,0.02417706800154784,0.028827820850076517,0.029626904204293796,True,True
-0.125,0.075,0.0,-0.03747576063106756,0.03464204118491088,0.027944440312863323,6.0,-6606.27314285173,False,0.09638079329840886,0.027944440312863323,0.04995838277581932,0.010424185472201412,True,True
-0.125,0.15,0.0,-0.021064070077581532,0.07629875986665402,0.1250572922582598,6.0,-7695.590760665822,False,0.12741487482249084,0.1250572922582598,0.07209921999356092,0.03266340891184974,True,False
