cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.062039024011558835,0.05855707904083924,0.012777753054946514,6.0,-8806.084768282532,False,0.2807585861778304,0.012777753054946514,0.023070655591276405,0.08213109555272335,True,True
-0.25,-0.075,0.0,-0.07615913067477142,-0.01534853702486916,-0.052785396993236956,6.0,-9698.524977209427,False,0.18379049181833265,0.052785396993236956,0.07735758688052147,0.007182932963856833,True,False
-0.25,0.0,0.0,-0.066777643135578,0.05370289117055404,0.01773885591468205,6.0,-8958.14319265311,False,0.19093043910029112,0.01773885591468205,0.066777643135578,0.05370289117055404,True,True
-0.25,0.075,0.0,-0.07038106538516965,0.048107025512954406,0.01815036886586337,6.0,-9146.363602477579,False,0.181621016815036,0.01815036886586337,0.08123628646981769,0.02585432321777707,True,True
-0.25,0.15,0.0,-0.06825684438163655,0.06945781156691383,0.02572636203345972,6.0,-9381.054564740725,False,0.19879038893193865,0.02572636203345972,0.09426551042117749,0.02444172534087432,True,True
-0.125,-0.15,0.0,0.07711423647068226,-0.1320658952261993,-0.2136992187503753,6.0,-13007.628187650365,False,0.2029083455606608,0.2136992187503753,0.05208849984127533,0.14378732326821866,True,False
-0.125,-0.075,0.0,-0.033709805740164696,0.04670674057690232,0.04234707807055823,6.0,-7209.6434567705055,False,0.15213950923363684,0.04234707807055823,0.004875500172664477,0.05739425159738598,True,True
-0.125,0.0,0.0,-0.029770411249233162,0.034346702101109496,0.03410202296300646,6.0,-6588.668150857765,False,0.10123423590299153,0.03410202296300646,0.029770411249233162,0.034346702101109496,True,True
-0.125,0.075,0.0,-0.03406231921411901,0.050662001945752766,0.047244052440029195,6.0,-7677.43438652528,False,0.09413819594619036,0.047244052440029195,0.05527358272202041,0.025917389615236437,True,True
-0.125,0.15,0.0,-0.028983285350883747,0.06990875096737985,0.1212530587245318,6.0,-8258.273609070075,False,0.1250352656797873,0.1212530587245318,0.07226003725587467,0.022488915210153903,True,False
0.0,-0.15,0.0,0.053560489417155965,-0.1429107878106901,-0.1867376141523053,6.0,-18265.917800742747,False,0.05402761290368413,0.1867376141523053,0.1429107878106901,0.053560489417155965,True,False
0.0,-0.075,0.0,-0.1017169684514801,0.020043117051660547,0.11846651512777233,6.0,-18031.20409810598,False,0.13921040108359375,0.11846651512777233,-0.020043117051660547,0.1017169684514801,False,False
0.0,0.0,0.0,-2.409727367683958e-06,-4.827673982169548e-05,-0.00021033109946285342,6.0,1788.4339153300994,False,4.833684302680765e-05,0.00021033109946285342,0.0,4.833684302680765e-05,True,True
