cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.06982366462774729,0.03585058484229176,-0.003426626720688978,6.0,-8988.601696761398,False,0.25885121540065514,0.003426626720688978,0.041428324734664984,0.06666560196429366,True,True
-0.25,-0.075,0.0,-0.06645877317884301,0.01626090329286698,-0.005300552333953175,6.0,-9564.439151085055,False,0.20497788761923907,0.005300552333953175,0.05898342365564213,0.03467190854562106,True,True
-0.25,0.0,0.0,-0.08265504179374902,0.03218030689834762,-0.008126629063238097,6.0,-9057.305763194654,False,0.17041099491853137,0.008126629063238097,0.08265504179374902,0.03218030689834762,True,True
-0.25,0.075,0.0,-0.07558042227869859,0.011200625731983315,-0.024226863958377736,6.0,-9361.070024246965,False,0.1857216983808504,0.024226863958377736,0.07561139122775722,0.010989620794977527,True,True
-0.25,0.15,0.0,-0.07725082487435851,-0.01686195193841449,-0.038186658970509844,6.0,-9057.640200735175,False,0.240177410493342,0.038186658970509844,0.05756663313468387,0.054204226002027976,True,True
-0.125,-0.15,0.0,0.09015053995445098,-0.15358322385860126,-0.20798287222508147,6.0,-13335.829823064973,False,0.2151803762797915,0.20798287222508147,0.06027293145717597,0.16757714712465674,True,False
-0.125,-0.075,0.0,-0.03546123389520884,0.03784181764182493,0.03262750413832186,6.0,-7212.974268792616,False,0.14405022195151027,0.03262750413832186,0.01093830264779805,0.050693745245276714,True,True
-0.125,0.0,0.0,-0.031787265218856504,0.033288180084777776,0.02878254842222801,6.0,-6546.671256979397,False,0.09897836560954316,0.02878254842222801,0.031787265218856504,0.033288180084777776,True,True
-0.125,0.075,0.0,-0.03629219552629846,0.03912781678122605,0.0318402310582618,6.0,-7421.765677022834,False,0.09568640500836965,0.0318402310582618,0.051251396575464125,0.014879645535051484,True,True
-0.125,0.15,0.0,-0.02061325731723614,0.07842689554733707,0.12596774945087671,6.0,-8472.242016420238,False,0.12656737861277428,0.12596774945087671,0.07344549581298929,0.03437213213060374,True,False
0.0,-0.15,0.0,0.06294267734289281,-0.148044743267265,-0.1717023321090975,6.0,-18373.783114662034,False,0.06297303915154816,0.1717023321090975,0.148044743267265,0.06294267734289281,True,False
