trial,direction,score,axial_term,lateral_penalty,yaw_penalty,axial_deficit_penalty,body_vx_m_s,body_vy_m_s,signed_axial_m_s,abs_lateral_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
0,reverse,-2.665032628183879,-0.336431713010302,0.09529903082412082,0.11287635701507148,1.841079282525755,0.0841079282525755,-0.0076239224659296655,-0.0841079282525755,0.0076239224659296655,0.022575271403014296,2.0,False,0.32835227251052856,-0.5,0.45,1.0,1.0,3.141592653589793,0.35,1.0,1.0,0.0,0.0,0.0
1,reverse,-4.415930701010049,-0.6357371615906153,0.6018457974252377,0.6066120667701747,2.589342903976538,0.15893429039765383,-0.04814766379401902,-0.15893429039765383,0.04814766379401902,-0.12132241335403493,2.0,False,0.44034281373023987,-0.42686934305249435,0.5284911451702028,1.1572928477127928,1.8701566020576426,0.06426979270645461,0.7793396723977875,1.204364291467065,0.568530026045206,-0.5744210724970666,0.17127643980479768,0.10197426388287001
2,reverse,-5.018561734245183,-0.5644637494943021,1.0181935727362823,1.9803706874155247,2.4111593737357553,0.14111593737357553,-0.08145548581890258,-0.14111593737357553,0.08145548581890258,-0.39607413748310494,2.0,False,0.38570523262023926,-0.1599176442668253,0.7241634885127678,0.8170766918016169,2.7843955311537805,-0.19632310666951813,0.8111059664320014,1.3046514618823708,0.7790575959186024,-2.846838102644154,-0.4451126830123522,-0.30409607285711
3,reverse,-5.364308305967639,-0.45092524567931713,1.2130974965304642,3.4887068215244676,2.1273131141982926,0.11273131141982928,-0.09704779972243713,-0.11273131141982928,0.09704779972243713,-0.6977413643048935,2.0,False,0.10879404097795486,-0.29769053393586054,0.04407558273802081,1.0652998427496707,-0.4807473828847262,-0.8207614650989701,0.1539251348150461,0.20423840384543845,-2.247662524441532,1.7455335517209027,-0.32542402067969856,0.16778164807607587
4,reverse,-3.928516601328168,-0.2948245804941589,0.6317347111679532,2.517571806411407,1.737061451235397,0.07370614512353972,-0.050538776893436256,-0.07370614512353972,0.050538776893436256,-0.5035143612822814,2.0,False,0.2841702103614807,-0.2981240725462767,0.5228866165125305,1.4425747177721513,-0.7600421308445733,-2.9189012799753185,0.4954120798543812,0.34366844730623575,-2.254015442870715,3.094425771616491,-0.14156377573385537,0.15375699398216802
5,reverse,-9.06600639520373,-1.0892882777233381,1.3454744285182894,5.830747755615113,3.7232206943083455,0.27232206943083453,0.10763795428146315,-0.27232206943083453,0.10763795428146315,-1.1661495511230227,2.0,False,0.5229207873344421,-0.7896801443103453,0.013570278603085573,1.463403541821898,1.3399003799341926,1.301580212942408,0.8184107478538085,0.5127388667518095,-0.382158807528167,-0.7857845686112084,0.37428895378518223,-0.14721038348496257
6,reverse,-3.8281575111228734,-0.266836844773114,0.5801514599727242,2.6076709837678136,1.6670921119327848,0.0667092111932785,0.04641211679781794,-0.0667092111932785,0.04641211679781794,0.5215341967535627,2.0,False,0.5129870176315308,-0.6594447907361559,0.7507293046190506,0.93762474554444,0.18148223171907052,-2.2541428920812265,0.3830267690038792,1.3539476677299211,-2.4192689561558827,1.960877956151574,0.17682423057588892,-0.30871195544457875
7,reverse,-2.32205568684338,-0.13530487486345988,0.18495723944052336,1.0181614302255715,1.3382621871586498,0.03382621871586497,0.014796579155241869,-0.03382621871586497,0.014796579155241869,0.2036322860451143,2.0,False,0.1220669075846672,-0.1966991152263362,0.501184661883258,0.6426560105906582,0.7369194045056382,-1.2777053149038557,0.07618050782003616,0.3883438010908567,-1.9097063407074493,-0.5258943217294467,0.014974175463085326,-0.2034752970234414
8,reverse,-2.8216778833929017,-0.16995718942490498,0.36534679461631,1.559872703929317,1.4248929735622624,0.042489297356226245,-0.029227743569304798,-0.042489297356226245,0.029227743569304798,-0.3119745407858634,2.0,False,0.12154962122440338,-0.21100038410448607,0.3632054423145801,0.9387042499965714,1.1597308094587486,1.7154231263298891,0.15953506504319448,0.49855200655101245,1.9560797599152435,1.2920706625577978,0.016863821776505472,0.3295461264084806
9,reverse,-2.6069104568144583,-0.21575009647807603,0.15632764237818397,0.9582373909398656,1.53937524119519,0.053937524119519006,-0.012506211390254717,-0.053937524119519006,0.012506211390254717,-0.19164747818797312,2.0,False,0.5545138716697693,-0.7531067691537481,0.44766144247289275,0.7584780946960332,-1.9690974251697326,-1.832263797005059,0.633148045387212,0.05007857909572238,-0.6164505175710078,-1.2973949432132503,0.2703061260359201,-0.04550094215399608
10,reverse,-6.923953526901947,-0.6946225119642399,0.9873714528587542,5.104445078518644,2.7365562799105994,0.17365562799105996,0.07898971622870034,-0.17365562799105996,0.07898971622870034,1.020889015703729,2.0,False,0.3335874676704407,-0.07946393822986342,0.8403822316335167,0.33039142028970264,2.529649217275937,0.5552869920541115,0.11716366739443818,0.2255876546351661,-0.3003106891957228,-0.15313278712661305,0.4794856710473874,-0.25142207360507146
11,reverse,-3.0891251323243543,-0.23331006734968504,0.5470862231761965,1.3094409343242785,1.5832751683742126,0.05832751683742126,0.04376689785409572,-0.05832751683742126,0.04376689785409572,0.2618881868648557,2.0,False,0.5515198707580566,-0.8514277495144118,0.6985213791039842,0.8776626292028287,-2.1692124072218784,-1.2588699382223185,0.22800486942182274,0.7850557942450093,-1.7883149763061308,1.4285199280976189,-0.0033523354712481357,-0.3389125144287983
