cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.06074572573293948,0.046262517307643025,0.015607138951853505,6.0,-9169.275151390779,False,0.27264657714390006,0.015607138951853505,0.028287161293095244,0.07092319936692006,True,True
-0.25,-0.075,0.0,-0.06239010416056238,0.04805362611880381,0.020693492901793602,6.0,-9167.78544537911,False,0.22436503274323072,0.020693492901793602,0.045950773843638174,0.0639546907075816,True,True
-0.25,0.0,0.0,-0.05458730290539817,0.08026915008853928,0.04669994262585867,6.0,-8956.313750693414,False,0.21125638130414676,0.04669994262585867,0.05458730290539817,0.08026915008853928,True,True
-0.25,0.075,0.0,-0.07210621096450119,0.03986137779427189,0.005323699287020774,6.0,-9145.41187199776,False,0.18133097625040087,0.005323699287020774,0.08051930681444612,0.01746070815963409,True,True
-0.25,0.15,0.0,-0.06521041229635362,0.04718298239307365,0.025267087430413653,6.0,-8932.917728876122,False,0.21146756449457355,0.025267087430413653,0.08019291139656966,0.0069085932799272595,True,True
-0.125,-0.15,0.0,0.02803565662087607,-0.12358612163473315,-0.12656853019945938,6.0,-13011.72598782733,False,0.15529843903812363,0.12656853019945938,0.07699349849967659,0.10065549508923508,True,False
-0.125,-0.075,0.0,-0.03327877039704393,0.040669657042764644,0.0369435001368954,6.0,-7007.065279845771,False,0.14762199538100335,0.0369435001368954,0.007611944268681589,0.05199572932045236,True,True
-0.125,0.0,0.0,-0.027615612287873417,0.029949044773563152,0.02804943182868791,6.0,-6197.7070514296065,False,0.10188554486733964,0.02804943182868791,0.027615612287873417,0.029949044773563152,True,True
-0.125,0.075,0.0,-0.03983840348159747,0.02457452892538949,0.015250434364487772,6.0,-6970.916495129747,False,0.09897083234296643,0.015250434364487772,0.04680463998089569,0.0005757952119486839,True,True
-0.125,0.15,0.0,-0.03300004134192304,0.06285371596568547,0.10690037923259776,6.0,-7907.364690228475,False,0.1267220076153992,0.10690037923259776,0.06941167376199092,0.014886634435715666,True,False
0.0,-0.15,0.0,0.053111240347981425,-0.14481142964172014,-0.16068691330967969,6.0,-18306.079769729546,False,0.0533640807441098,0.16068691330967969,0.14481142964172014,0.053111240347981425,True,False
0.0,-0.075,0.0,-0.09206902057923551,0.04099062683915906,0.14937757328710655,6.0,-17794.89107053137,False,0.1480896014747853,0.14937757328710655,-0.04099062683915906,0.09206902057923551,False,False
0.0,0.0,0.0,-2.409727367683958e-06,-4.827673982169548e-05,-0.00021033109946285342,6.0,1788.4338901919284,False,4.833684302680765e-05,0.00021033109946285342,0.0,4.833684302680765e-05,True,True
0.0,0.075,0.0,-0.03060139227002232,0.028273946870817065,0.045062277722674716,6.0,-7451.509507040608,False,0.05585489459210363,0.045062277722674716,0.028273946870817065,0.03060139227002232,True,True
0.0,0.15,0.0,-0.028003081853596123,0.06711096507570623,0.10703287939809236,6.0,-12062.171840771596,False,0.08749151218249686,0.10703287939809236,0.06711096507570623,0.028003081853596123,True,False
0.125,-0.15,0.0,0.07614815784791022,-0.1490992466037384,-0.1864442609396879,6.0,-12265.735026413578,False,0.04886014570520203,0.1864442609396879,0.16329007673034907,0.03695237641653596,True,False
0.125,-0.075,0.0,0.052886106243581955,0.004217205935813984,0.023891973918806153,6.0,-9427.613436836962,False,0.10712506424263704,0.023891973918806153,0.04317972741861348,0.030825901439645566,True,True
0.125,0.0,0.0,0.060444789968631084,-0.052053337918549124,-0.02737560039146662,6.0,-9941.153678758283,False,0.08292722792097187,0.02737560039146662,0.060444789968631084,0.052053337918549124,True,True
0.125,0.075,0.0,0.054395685789365135,0.009575758575586528,0.03495998116770468,6.0,-9268.000247708822,False,0.09625643121949824,0.03495998116770468,0.05157060289580099,0.019775204215301108,True,True
0.125,0.15,0.0,-0.005657252951540435,0.0890713938853769,0.14124757200954363,6.0,-8027.9749121647,False,0.1441652274021503,0.14124757200954363,0.0648048551016141,0.06136813892322686,True,False
