cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.06403782112238547,0.05624643143457764,0.0290246182442504,6.0,-9058.435565479758,False,0.27770401951071544,0.0290246182442504,0.025973428359455288,0.08117810420602052,True,True
-0.25,-0.075,0.0,-0.06559182624863066,0.03812199809462665,-0.0003276745352484382,6.0,-8807.205858654079,False,0.21633992003150027,0.0003276745352484382,0.0518712997305419,0.05536192440316319,True,True
-0.25,0.0,0.0,-0.0698987426948157,0.016160865315343054,-0.01388340554104787,6.0,-9128.497973450007,False,0.18082487785326679,0.01388340554104787,0.0698987426948157,0.016160865315343054,True,True
-0.25,0.075,0.0,-0.07040168236491019,0.03383168318378389,-0.0027245256590509768,6.0,-9226.333377040264,False,0.18425630520238637,0.0027245256590509768,0.07715404452091215,0.01217510085883221,True,True
-0.25,0.15,0.0,-0.0677454592952573,0.03200852511147918,0.0011529949599324851,6.0,-8925.01483782463,False,0.2171144991792698,0.0011529949599324851,0.0745595024021817,0.007407667411312423,True,True
-0.125,-0.15,0.0,0.08671841481597216,-0.1571468866467793,-0.21781813383407114,6.0,-13177.306227884113,False,0.2118390076471516,0.21781813383407114,0.0652078060157141,0.16722191688169263,True,False
-0.125,-0.075,0.0,-0.030762176647604764,0.043859062653427594,0.04083645990514621,6.0,-7053.346201324805,False,0.15168468652124603,0.04083645990514621,0.0038130472826222706,0.05343584526660184,True,True
-0.125,0.0,0.0,-0.027517657068005796,0.024532243472965554,0.01843997795316506,6.0,-6212.387535800583,False,0.10052182923787142,0.01843997795316506,0.027517657068005796,0.024532243472965554,True,True
-0.125,0.075,0.0,-0.03679915990210983,0.03329300426791689,0.030304312666716997,6.0,-7085.648543288021,False,0.09756465388125758,0.030304312666716997,0.04868412866949767,0.009615504062521938,True,True
-0.125,0.15,0.0,-0.01907918624030232,0.07128355375828785,0.12771770859723594,6.0,-8375.637916395272,False,0.13196779037492792,0.12771770859723594,0.06697574027177497,0.03097758220149849,True,False
0.0,-0.15,0.0,0.08764368718918814,-0.16432631804670841,-0.2065624748606606,6.0,-18224.06504663537,False,0.08880686512253264,0.2065624748606606,0.16432631804670841,0.08764368718918814,True,False
