cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.06786775469621482,0.03799261546566041,-0.0027730292223574113,6.0,-9004.019092332357,False,0.2617506031492914,0.0027730292223574113,0.038649080141326037,0.0674960707127199,True,True
-0.25,-0.075,0.0,-0.06621123316086046,0.07421128854138224,0.043223809355324994,6.0,-9396.58265159266,False,0.23673259058361867,0.043223809355324994,0.04209440265085834,0.09010718067458069,True,True
-0.25,0.0,0.0,-0.07730267161252051,0.022778193017079146,-0.018923711286668626,6.0,-9015.56968199197,False,0.17419303461762253,0.018923711286668626,0.07730267161252051,0.022778193017079146,True,True
-0.25,0.075,0.0,-0.06876823932602442,0.045225298502375916,0.011243395722946081,6.0,-9191.820337600224,False,0.18366132942528152,0.011243395722946081,0.0788634211136096,0.023557571498094905,True,True
-0.25,0.15,0.0,-0.0770959682933973,0.018454524773701613,-0.03097360780210486,6.0,-9118.220372205162,False,0.21725564718301468,0.03097360780210486,0.07560402207704842,0.023840924006692053,True,True
-0.125,-0.15,0.0,0.0811749218747524,-0.1616350079767271,-0.18755303230055423,6.0,-13216.715615819952,False,0.2065029583823892,0.18755303230055423,0.07220453402741392,0.16583651290018375,True,False
-0.125,-0.075,0.0,-0.031227849430764957,0.04984365774965269,0.04816361679389739,6.0,-7244.028084430992,False,0.15613825637137013,0.04816361679389739,0.0011333096249188054,0.058807179895222876,True,True
-0.125,0.0,0.0,-0.02580083567458075,0.03853142784844726,0.03832485961455919,6.0,-6638.308921724812,False,0.10641966517003155,0.03832485961455919,0.02580083567458075,0.03853142784844726,True,True
-0.125,0.075,0.0,-0.0316602722331968,0.05267284047171029,0.05049124403187669,6.0,-7744.666557041153,False,0.09597294843956099,0.05049124403187669,0.05424841231510573,0.02887751240201723,True,False
-0.125,0.15,0.0,-0.00999903918883622,0.08454206209965193,0.14559149965516718,6.0,-8748.497861052489,False,0.13232521536599384,0.14559149965516718,0.07134824002632213,0.046441034591270774,True,False
0.0,-0.15,0.0,0.04191666718480445,-0.14109445252620476,-0.13251851825349212,6.0,-18108.884825991616,False,0.04285225505956113,0.13251851825349212,0.14109445252620476,0.04191666718480445,True,False
0.0,-0.075,0.0,-0.08719883296941998,-0.05130966715364127,0.0647133722419817,6.0,-17797.7936396442,False,0.09035966103079442,0.0647133722419817,0.05130966715364127,0.08719883296941998,True,False
0.0,0.0,0.0,-2.409727367683958e-06,-4.827673982169548e-05,-0.00021033109946285342,6.0,1788.4339092426897,False,4.833684302680765e-05,0.00021033109946285342,0.0,4.833684302680765e-05,True,True
0.0,0.075,0.0,-0.03025149582927251,0.02705614021898506,0.04155887069932581,6.0,-7559.674745074519,False,0.05669009340802072,0.04155887069932581,0.02705614021898506,0.03025149582927251,True,True
0.0,0.15,0.0,-0.02017086254590275,0.07687577319919188,0.12418901564075398,6.0,-12498.428591064992,False,0.07585523212713627,0.12418901564075398,0.07687577319919188,0.02017086254590275,True,False
0.125,-0.15,0.0,0.027415721688103092,-0.14536761696102637,-0.1231256425050485,6.0,-11871.562510615811,False,0.09769416741174226,0.1231256425050485,0.1292256140440876,0.07200073979853064,True,False
0.125,-0.075,0.0,0.049846839645663436,0.01999735610893388,0.034919992552500556,6.0,-9512.25813715488,False,0.12113007545169045,0.034919992552500556,0.03245475752746479,0.042793578815535714,True,True
0.125,0.0,0.0,0.04492793868133447,-0.030409457585339462,0.00742187695259718,6.0,-9590.005600126811,False,0.0856520292489016,0.00742187695259718,0.04492793868133447,0.030409457585339462,True,True
0.125,0.075,0.0,0.05558042011458449,0.013845798771889975,0.031443898937872104,6.0,-9604.650360787648,False,0.09251440103743719,0.031443898937872104,0.054783421755028455,0.016723215736097353,True,True
0.125,0.15,0.0,-0.03402070770690341,0.06720092547203428,0.09972324841032625,6.0,-7637.628749112831,False,0.17928544899765858,0.09972324841032625,0.029845654616749363,0.06915641573761735,True,False
0.25,-0.15,0.0,0.07539228302016089,-0.04138489972181999,-0.003118114333584998,6.0,-9958.032117460829,False,0.2056333991290099,0.003118114333584998,0.08594070458877615,0.003301750863079879,True,True
0.25,-0.075,0.0,0.07753799510176437,-0.026300554881906985,0.01426327444102308,6.0,-10436.02641466361,False,0.17920596833902938,0.01426327444102308,0.0818253386463564,0.0029109838382463437,True,True
0.25,0.0,0.0,0.11874528270892204,-0.013270402154330951,0.006135778722681525,6.0,-10697.04724695231,False,0.1319238582838543,0.006135778722681525,0.11874528270892204,0.013270402154330951,True,True
0.25,0.075,0.0,0.08479802784283212,0.01879906177621083,0.04476839664546232,6.0,-10660.219171365952,False,0.17449996292793826,0.04476839664546232,0.08662365065480493,0.006360298494082937,True,True
