cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.06832671792037999,0.019502325556098113,-0.016528944418024327,4.0,-8063.904373093924,False,0.291547594742265,0.07105547891519143,0.18167328207962002,0.16950232555609812,0.24846774396389296,0.016528944418024327,0.04855581353430411,0.05187691255162651,True,True,0.4947336485,0.0402641819,0.4828384425,0.4924766407,0.0575202599,0.4754834892,-0.0050155729,0.0383468399,-0.0163443405,0.8376161617,0.0348403333,0.8482072949,0.044023953,0.0075470393,0.045785144,0.8346770361,0.0400053014,0.8451558352,0.5,0.0,0.5,0.0323110851,0.0245953773,0.0171615575,7.3409299086,2.5986037355,9.0,1.9422616152,1.1325373836,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.07023791969326754,-0.00331163857737944,-0.06646692790383124,4.0,-8560.03354056575,False,0.26100766272276377,0.07031594636286344,0.17976208030673246,0.07168836142262056,0.19352939487236662,0.06646692790383124,0.06822731804443391,0.017010743233872794,True,False,0.4972894737,0.0395643565,0.4975684753,0.4961278196,0.0565205093,0.4965263933,-0.0025814536,0.0376803396,-0.0023157378,0.8373232013,0.0336744811,0.8687433004,0.0395386378,0.0100017362,0.0331506357,0.8329638737,0.0374058171,0.8613268733,0.5,0.0,0.5,0.0316786856,0.0238567839,0.0024315247,7.4823465572,2.552330477,9.0,1.7976287943,1.1330110706,2.8330159419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06979107403326755,-0.002603773729892463,-0.050809374349906844,4.0,-8106.549727159387,False,0.25,0.06983962809432415,0.18020892596673244,-0.002603773729892463,0.18022773547853208,0.050809374349906844,0.06979107403326755,0.002603773729892463,True,False,0.497177448,0.0406593986,0.5048706373,0.4959677829,0.0580848551,0.5069580532,-0.0026881447,0.0387232367,0.0046387021,0.836088686,0.0352278989,0.8649199605,0.0419448776,0.0111497776,0.03568919,0.8310972828,0.0366946686,0.8558245897,0.5,0.0,0.5,0.0330549698,0.0238437091,0.0048706373,7.0002586348,2.8841745588,9.0,0.7722192505,0.4792752762,0.5671360143,0.0101157495,0.0060656499,0.0145593585,0.0101157495,0.0060656499,0.0145593585,0.0,0.0,0.0
-0.25,0.075,0.0,-0.0738846407143857,-0.0007016188875575476,-0.028862025474607034,4.0,-8185.117450589613,False,0.26100766272276377,0.0738879719748569,0.17611535928561428,-0.07570161888755754,0.19169599598973897,0.028862025474607034,0.07056704224654642,0.021902624297818092,True,True,0.4985344522,0.0394579994,0.5205928966,0.4979063602,0.0563685706,0.5294184238,-0.0013957598,0.0375790471,0.0196122825,0.8371567076,0.0332632123,0.8417038918,0.0489202603,0.0107019494,0.0397506505,0.831933572,0.0328540019,0.833380878,0.5,0.0,0.5,0.032210511,0.0228377872,0.0205928966,7.2704281004,2.616003032,9.0,1.6637688574,0.9888402603,0.6805825702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.07255407633441938,0.02401268439025751,-0.02459413731122173,4.0,-8192.340089105955,False,0.291547594742265,0.07642449217604831,0.17744592366558062,-0.1259873156097425,0.2176232053804923,0.02459413731122173,0.07456903138358086,0.01673805732100967,True,True,0.4975280636,0.0356526577,0.5189512327,0.4964686624,0.0509323681,0.5270731896,-0.0023542251,0.0339549121,0.0180487931,0.8413313136,0.03273278,0.8441221118,0.0608234357,0.0108519192,0.0533588491,0.8355190417,0.0306426852,0.8350638151,0.5,0.0,0.5,0.0287031902,0.0212920018,0.0189512327,7.4207249482,2.5015452921,9.0,1.8234843527,0.912388769,0.7994076285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.031269976384503684,-0.13740751633286086,-0.12232905984640674,4.0,-11221.005079831586,False,0.19525624189766635,0.14092067615454038,0.15626997638450368,0.012592483667139137,0.15677651662197534,0.12232905984640674,0.08554082696429173,0.11198840962402289,True,False,0.006537704,0.0185131002,0.0,0.4426843229,0.0671662725,0.376034759,-0.0382104514,0.044777515,-0.082643494,1.6932013059,0.2317866677,1.7491738796,0.049012357,0.0128706198,0.059119571,1.6947209769,0.2350819449,1.7482582331,0.0,0.0,0.0,0.006537704,0.0185131002,0.0,8.9737875868,0.3424559676,9.0,2.0848433014,1.1306666626,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03323850574262785,0.04153572493896088,0.02802290849287159,4.0,-6338.906775132055,False,0.1457737973711325,0.05319788257259608,0.09176149425737215,0.11653572493896087,0.14832648790891964,0.02802290849287159,0.007131829355858528,0.052717660420836546,True,True,0.5071737899,0.0319825975,0.5035074047,0.5102482713,0.045689425,0.5050105781,0.0068321809,0.0304596167,0.0033403854,0.5023498292,0.0224544609,0.520163238,0.0209409956,0.0036241697,0.0200749487,0.5011601692,0.0242052364,0.5176920891,0.5,0.0,0.5,0.0266338993,0.0191045862,0.0035074047,5.7240312003,3.5417316869,8.4773949701,1.4244796019,1.1826351899,2.0695735677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03218918312049899,0.015497848599117178,0.004611335683205042,4.0,-5554.684881934434,False,0.125,0.0357257165241815,0.09281081687950102,0.015497848599117178,0.09409586091343991,0.004611335683205042,0.03218918312049899,0.015497848599117178,True,True,0.4342426257,0.0288663578,0.4264731634,0.5132037511,0.041237654,0.5021045192,0.0088025007,0.0274917693,0.0014030128,0.4946470693,0.0240361832,0.4620246887,0.0229413917,0.0039830619,0.0186192486,0.4923598938,0.0249991811,0.4571581483,0.425,0.0,0.425,0.0240453132,0.0184530663,0.0014731634,5.1107170322,3.6727996144,5.2440125535,0.4003773507,0.2506033254,0.4206945979,0.0067340195,0.005468968,0.0148829682,0.0067340195,0.005468968,0.0148829682,0.0,0.0,0.0
-0.125,0.075,0.0,-0.0373876324812706,0.03349650491368735,0.02315678828598655,4.0,-6356.585357295864,False,0.1457737973711325,0.05019811653824515,0.0876123675187294,-0.041503495086312646,0.09694569122254217,0.02315678828598655,0.049293439961579505,0.009487237782484339,True,True,0.510481121,0.0296779278,0.5043433166,0.51497303,0.0423970398,0.506204738,0.00998202,0.0282646932,0.004136492,0.5025341032,0.0222997585,0.5194203854,0.0303546012,0.0046715807,0.0263601858,0.4997290166,0.0198470001,0.5143408775,0.5,0.0,0.5,0.024842588,0.0193256079,0.0043433166,5.6705723475,3.52715676,7.3570981475,1.3101688708,0.9721214754,0.5349104532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.03332784446669781,0.07115868520262082,0.10638686956888532,4.0,-6993.752594402378,False,0.19525624189766635,0.0785767376299251,0.09167215553330219,-0.07884131479737917,0.12091210451853605,0.10638686956888532,0.07600158230284831,0.01995152084492461,True,False,0.0124031539,0.0255984509,0.0195793991,0.4762027142,0.0676683384,0.5279705701,-0.0158648572,0.0451122256,0.0186470468,0.921458112,0.1161030183,0.8790714741,0.0556019852,0.0056380533,0.0578815341,0.9184861991,0.1027996437,0.8665328622,0.0,0.0,0.0,0.0124031539,0.0255984509,0.0195793991,7.0333640583,2.7918016288,9.0,1.6470540595,0.9116774009,0.8199880007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
