cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,0.09463023369245584,-0.09939567990467289,-0.389536869957889,4.0,-10903.324751338507,False,0.291547594742265,0.13723841412811866,0.3446302336924558,0.0506043200953271,0.3483257027370031,0.389536869957889,-0.030006100531018445,0.13391794593452894,False,False,0.4237979867,0.0471872691,0.4022039168,0.391139981,0.0674103844,0.3602913097,-0.072573346,0.0449402563,-0.0931391269,2.5625696874,0.2223883505,2.6059617996,0.0532950237,0.0156227125,0.0714581162,2.5528250086,0.2234171831,2.5994122028,0.5,0.0,0.5,0.0775106997,0.0450052956,0.0977960832,8.987435785,0.1547150121,9.0,2.1460154834,1.196170829,2.3175352644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,0.005058794582859126,-0.07780962369402816,-0.001187870857316753,4.0,-10162.122835875556,False,0.26100766272276377,0.0779738991075721,0.2550587945828591,-0.0028096236940281655,0.2550742689480128,0.001187870857316753,0.01751298442219516,0.07598173674420572,True,True,0.4333529808,0.0362143698,0.3878353756,0.4047899725,0.051734814,0.3397648223,-0.0634733517,0.034489876,-0.1068234518,2.163720035,0.076868926,2.0705528259,0.0451415479,0.0095068004,0.0524836481,2.1606938589,0.0776924349,2.069119215,0.5,0.0,0.5,0.0675059282,0.0345869255,0.1121646244,8.6891612127,1.3590546511,9.0,2.0258749744,1.1310185055,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06979107403326755,-0.002603773729892463,-0.050809374349906844,4.0,-8106.549727159387,False,0.25,0.06983962809432415,0.18020892596673244,-0.002603773729892463,0.18022773547853208,0.050809374349906844,0.06979107403326755,0.002603773729892463,True,False,0.497177448,0.0406593986,0.5048706373,0.4959677829,0.0580848551,0.5069580532,-0.0026881447,0.0387232367,0.0046387021,0.836088686,0.0352278989,0.8649199605,0.0419448776,0.0111497776,0.03568919,0.8310972828,0.0366946686,0.8558245897,0.5,0.0,0.5,0.0330549698,0.0238437091,0.0048706373,7.0002586348,2.8841745588,9.0,0.7722192505,0.4792752762,0.5671360143,0.0101157495,0.0060656499,0.0145593585,0.0101157495,0.0060656499,0.0145593585,0.0,0.0,0.0
-0.25,0.075,0.0,-0.0892058351281015,-0.001657149950128544,0.023067133458722133,4.0,-9029.293937928287,False,0.26100766272276377,0.08922122598832208,0.16079416487189852,-0.07665714995012854,0.17813220398155907,0.023067133458722133,0.08496751514656413,0.027220369885026026,True,True,0.4381273224,0.0495622235,0.4623571835,0.4116104606,0.0708031764,0.4462245479,-0.0589263596,0.0472021176,-0.0358503014,2.1155359095,0.0886110216,2.0662615299,0.046659539,0.0088423045,0.0343107767,2.1052781034,0.0875101336,2.0546782017,0.5,0.0,0.5,0.0692010209,0.0386763614,0.0376428165,8.2318365038,1.7969565959,9.0,1.990562063,1.0557374657,0.1884181889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.05965880744918368,0.018770303198320928,0.04782436154525227,4.0,-9245.538078581665,False,0.291547594742265,0.06254196661774931,0.19034119255081633,-0.13122969680167906,0.2311947294043001,0.04782436154525227,0.060814246667745694,0.014598801000433365,True,True,0.426672967,0.0639306868,0.4447366187,0.3952470956,0.0913295526,0.4210523125,-0.0698352696,0.0608863684,-0.0526317917,2.3192725569,0.1762789334,2.150274992,0.0441991362,0.0092123731,0.0323377289,2.3085245717,0.1757199652,2.1344981194,0.5,0.0,0.5,0.0850193471,0.0472831588,0.0552633813,8.6602437065,1.1984484934,9.0,2.2513570785,0.9743600315,0.0626875805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.15153085026146212,-0.15232098991381401,-0.3911958434596335,4.0,-11303.906971911181,False,0.19525624189766635,0.21485642310456043,0.2765308502614621,-0.00232098991381402,0.27654059040312184,0.3911958434596335,0.020008539375846852,0.2139227451706131,True,False,0.0029101897,0.0106281659,0.0,0.4276504717,0.0638151582,0.3477774076,-0.0482330189,0.0425434388,-0.1014817283,2.2264505482,0.3817220159,2.0449304581,0.0524265839,0.0119604574,0.0454341173,2.2179524237,0.3863558283,2.0245850086,0.0,0.0,0.0,0.0029101897,0.0106281659,0.0,8.9619738905,0.3749594505,9.0,2.0889616473,1.2482859956,0.1463774565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.0028833133063921653,-0.1309056258510186,-0.04726897510719408,4.0,-11528.334517526288,False,0.1457737973711325,0.1309373757758635,0.12211668669360784,-0.05590562585101859,0.13430533932356842,0.04726897510719408,0.06982280962477709,0.11076719564551511,True,True,0.4504451421,0.0379291488,0.4237146519,0.4292073458,0.0541844983,0.3910209313,-0.0471951028,0.0361229988,-0.0726527125,1.5287505478,0.1269893113,1.559039712,0.025572799,0.0068580146,0.0300861876,1.5304849213,0.1286877163,1.564168334,0.5,0.0,0.5,0.0543207259,0.0307174708,0.0762853481,9.0,0.0,9.0,2.0595124676,1.1467963173,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03218918312049899,0.015497848599117178,0.004611335683205042,4.0,-5554.684881934434,False,0.125,0.0357257165241815,0.09281081687950102,0.015497848599117178,0.09409586091343991,0.004611335683205042,0.03218918312049899,0.015497848599117178,True,True,0.4342426257,0.0288663578,0.4264731634,0.5132037511,0.041237654,0.5021045192,0.0088025007,0.0274917693,0.0014030128,0.4946470693,0.0240361832,0.4620246887,0.0229413917,0.0039830619,0.0186192486,0.4923598938,0.0249991811,0.4571581483,0.425,0.0,0.425,0.0240453132,0.0184530663,0.0014731634,5.1107170322,3.6727996144,5.2440125535,0.4003773507,0.2506033254,0.4206945979,0.0067340195,0.005468968,0.0148829682,0.0067340195,0.005468968,0.0148829682,0.0,0.0,0.0
-0.125,0.075,0.0,-0.06816346463002818,-0.09646992027592442,-0.11637888220485393,4.0,-8625.43505075558,False,0.1457737973711325,0.11812156208081705,0.056836535369971825,-0.17146992027592442,0.18064419534624945,0.11637888220485393,0.008816324203911395,0.11779208740804216,True,False,0.4502954761,0.0513535266,0.4376483221,0.4289935373,0.0733621809,0.4109261744,-0.0473376418,0.0489081206,-0.0593825504,1.3910903585,0.1028467562,1.289634347,0.0214372975,0.0033879007,0.0182079077,1.3884199262,0.1027321454,1.2854098082,0.5,0.0,0.5,0.0619136884,0.0356990137,0.0623516779,7.6459317172,2.3796404735,9.0,1.6907223795,1.1039149192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.0548923345242348,0.006907496019191022,0.023978672703218518,4.0,-7795.385603080981,False,0.19525624189766635,0.05532523737658646,0.07010766547576519,-0.14309250398080897,0.1593441227468388,0.023978672703218518,0.04044770165425577,0.03774738827606428,True,True,0.0117409946,0.0240584862,0.0,0.4456636811,0.0854078045,0.4924696612,-0.0362242126,0.0569385363,-0.0050202259,1.5651827249,0.3506110551,0.9551898241,0.0462373372,0.006985903,0.0587389246,1.5640714061,0.3560081957,0.9312668443,0.0,0.0,0.0,0.0117409946,0.0240584862,0.0,7.746088529,2.3073195738,9.0,1.825651122,1.2219608292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
