cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,0.14354962277102826,-0.14745537644197035,-0.3519561005734126,4.0,-11048.931604374318,False,0.291547594742265,0.20579014125887493,0.39354962277102823,0.002544623558029646,0.39355784923219445,0.3519561005734126,-0.047227620720499255,0.20029761376618635,False,False,0.4301991881,0.0415883188,0.3845878776,0.4002845545,0.059411884,0.3351255395,-0.0664769637,0.0396079227,-0.109916307,2.1003226411,0.1750667883,1.9894288778,0.0510007789,0.0151025118,0.0655382797,2.1030677283,0.1816970487,1.9894431829,0.5,0.0,0.5,0.0711649351,0.0392083359,0.1154121224,9.0,0.0,9.0,2.1896166058,1.1406699298,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.02909089613441138,-0.029957380972658,0.02457134896755342,4.0,-10299.030928604383,False,0.26100766272276377,0.04175793233200229,0.22090910386558862,0.045042619027341996,0.22545436278666176,0.02457134896755342,0.03647221505777635,0.020334759438542536,True,True,0.4333234201,0.0362318682,0.4463440135,0.404747743,0.0517598117,0.4233485907,-0.0635015047,0.0345065411,-0.0511009395,2.0545458823,0.0953229503,2.0205640793,0.0451371582,0.0094695169,0.0559722111,2.054074139,0.0943480969,2.0209901333,0.5,0.0,0.5,0.0683485619,0.0329695111,0.0536559865,8.5377525375,1.5564423532,9.0,2.1474289295,0.9648347529,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06979107403326755,-0.002603773729892463,-0.050809374349906844,4.0,-8106.549727159387,False,0.25,0.06983962809432415,0.18020892596673244,-0.002603773729892463,0.18022773547853208,0.050809374349906844,0.06979107403326755,0.002603773729892463,True,False,0.497177448,0.0406593986,0.5048706373,0.4959677829,0.0580848551,0.5069580532,-0.0026881447,0.0387232367,0.0046387021,0.836088686,0.0352278989,0.8649199605,0.0419448776,0.0111497776,0.03568919,0.8310972828,0.0366946686,0.8558245897,0.5,0.0,0.5,0.0330549698,0.0238437091,0.0048706373,7.0002586348,2.8841745588,9.0,0.7722192505,0.4792752762,0.5671360143,0.0101157495,0.0060656499,0.0145593585,0.0101157495,0.0060656499,0.0145593585,0.0,0.0,0.0
-0.25,0.075,0.0,-0.08702127056985216,-0.019933013391326075,-0.012694774454523716,4.0,-8587.301305071476,False,0.26100766272276377,0.08927500520554565,0.16297872943014785,-0.09493301339132607,0.18861162020995165,0.012694774454523716,0.077623551074183,0.044097742267421185,True,True,0.4405342043,0.04563456,0.4508740477,0.4150488633,0.0651922285,0.4298200682,-0.0566340911,0.0434614857,-0.0467866212,1.9671276009,0.1113776828,1.8733677864,0.0459506252,0.0081831803,0.0351304822,1.9642405719,0.1131582118,1.8692207336,0.5,0.0,0.5,0.067142819,0.0333247021,0.0491259523,7.8048882463,2.2083491608,9.0,1.8429808604,1.0382408419,0.1169168176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.08901757123385405,-0.04606422064950493,-0.033698470257016555,4.0,-9568.497979729249,False,0.291547594742265,0.10022993770536105,0.16098242876614594,-0.19606422064950493,0.2536858706951276,0.033698470257016555,0.05263209159589503,0.08529890589369757,True,True,0.4428958706,0.0539656818,0.4796192739,0.4184226723,0.0770938312,0.470884677,-0.0543848851,0.0513958875,-0.0194102153,1.7780051887,0.1424789179,1.7223596573,0.0470844669,0.0077834593,0.0409978405,1.7732564116,0.1422104344,1.7106698751,0.5,0.0,0.5,0.0693641022,0.0369025437,0.0203807261,8.4250435668,1.3823382269,9.0,2.1632867509,1.0829221256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.19423244362700895,-0.14008268096537854,-0.45471506510387816,4.0,-11253.950266085842,False,0.19525624189766635,0.2394773468697347,0.319232443627009,0.009917319034621452,0.31938645287630146,0.45471506510387816,-0.016730083898067603,0.2388922433996777,False,False,0.0037094309,0.012142831,0.0,0.4289469801,0.0649037883,0.3544673398,-0.0473686799,0.0432691922,-0.0970217735,2.0375696546,0.3712023396,1.8744496107,0.0521695375,0.0124079565,0.0487192832,2.0295912403,0.3771430084,1.8655890226,0.0,0.0,0.0,0.0037094309,0.012142831,0.0,8.9250040577,0.4118007538,9.0,2.134195031,1.2252167664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.06759793900559254,-0.04407020709617668,0.06669306320516255,4.0,-10794.080611915031,False,0.1457737973711325,0.08069488528589473,0.057402060994407464,0.03092979290382332,0.06520466774303105,0.06669306320516255,0.08063868898183862,0.0030110381256320713,True,False,0.4605610662,0.0323720716,0.4242682621,0.4436586659,0.0462458166,0.391811803,-0.0375608894,0.0308305444,-0.0721254647,1.2701069576,0.0901650488,1.2294632196,0.0237046406,0.0058722825,0.0253810305,1.2722982693,0.0896251244,1.2366502285,0.5,0.0,0.5,0.0435788417,0.0265379931,0.0757317379,8.4669071904,1.6247057966,6.3429443635,1.9036415647,1.1190140752,2.1504703802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03218918312049899,0.015497848599117178,0.004611335683205042,4.0,-5554.684881934434,False,0.125,0.0357257165241815,0.09281081687950102,0.015497848599117178,0.09409586091343991,0.004611335683205042,0.03218918312049899,0.015497848599117178,True,True,0.4342426257,0.0288663578,0.4264731634,0.5132037511,0.041237654,0.5021045192,0.0088025007,0.0274917693,0.0014030128,0.4946470693,0.0240361832,0.4620246887,0.0229413917,0.0039830619,0.0186192486,0.4923598938,0.0249991811,0.4571581483,0.425,0.0,0.425,0.0240453132,0.0184530663,0.0014731634,5.1107170322,3.6727996144,5.2440125535,0.4003773507,0.2506033254,0.4206945979,0.0067340195,0.005468968,0.0148829682,0.0067340195,0.005468968,0.0148829682,0.0,0.0,0.0
-0.125,0.075,0.0,-0.05972503827559463,-0.03879415431013004,-0.05213868336247707,4.0,-7211.141685537825,False,0.1457737973711325,0.07121844287584098,0.06527496172440536,-0.11379415431013004,0.13118662349218488,0.05213868336247707,0.031254370081270945,0.0639939915654773,True,False,0.4650117166,0.0467656482,0.4779810913,0.450016738,0.0668080688,0.4685444161,-0.0333221747,0.0445387125,-0.0209703892,1.0656904355,0.0891421248,1.0313259363,0.0226948843,0.0028607334,0.0204672348,1.0623503113,0.0879558904,1.0253202915,0.5,0.0,0.5,0.0525272204,0.0255361888,0.0220189087,6.4983749458,3.0778081054,9.0,1.5081770378,1.0594352389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.050865177816395,0.02420604040333019,0.0761724150337002,4.0,-7566.9357414185015,False,0.19525624189766635,0.056331152183326905,0.07413482218360501,-0.1257939595966698,0.14601401347543094,0.0761724150337002,0.05115868865684796,0.023579382545198938,True,False,0.0109649744,0.0221801202,0.0,0.4466768864,0.0796689041,0.4291231129,-0.0355487424,0.0531126027,-0.047251258,1.3995613411,0.3140719731,0.8543477058,0.0493336216,0.0075282838,0.0621233247,1.3969772711,0.3205324203,0.822663188,0.0,0.0,0.0,0.0109649744,0.0221801202,0.0,7.5659218778,2.538636642,9.0,1.7895162765,1.2076422236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
