cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,0.12358739787929704,-0.14641521559076684,-0.3169722910859966,4.0,-11056.342235233535,False,0.291547594742265,0.19160182742099932,0.37358739787929707,0.003584784409233155,0.37360459651011374,0.3169722910859966,-0.030645312437262956,0.1891352032189908,False,False,0.4345162089,0.0433509467,0.4026085593,0.406451727,0.0619299238,0.3608693704,-0.0623655153,0.0412866159,-0.0927537531,2.0991191989,0.1738717586,2.0162241459,0.0499071638,0.0147870817,0.0616079792,2.1049760336,0.1807738245,2.0214591026,0.5,0.0,0.5,0.0672158516,0.0406135539,0.0973914407,9.0,0.0,9.0,2.1545939181,1.2077347247,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.03047206385413608,-0.05192756620726793,0.021355799792827757,4.0,-10068.018204953674,False,0.26100766272276377,0.06020812908354437,0.2195279361458639,0.023072433792732064,0.2207370651920119,0.021355799792827757,0.044108220076693724,0.04098150472355418,True,True,0.4325030745,0.0350298699,0.3591989219,0.4035758207,0.0500426714,0.2988556027,-0.0642827862,0.0333617809,-0.1340962648,2.0522968286,0.0964015359,1.8120495081,0.0449608411,0.0093450379,0.0521160774,2.0519620979,0.0953059603,1.8121752739,0.5,0.0,0.5,0.0692190926,0.0314903788,0.1408010781,8.6499973182,1.427944985,9.0,2.0646490166,1.004070755,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.07420478455454498,0.011870643915246417,-0.05242332688025131,4.0,-8174.952743239883,False,0.25,0.07514826836161305,0.175795215445455,0.011870643915246417,0.17619554466693113,0.05242332688025131,0.07420478455454498,0.011870643915246417,True,False,0.4976256044,0.0405050216,0.4804492394,0.4966080063,0.0578643165,0.4720703419,-0.0022613292,0.038576211,-0.018619772,0.8363362119,0.0339827324,0.8448802233,0.0416795465,0.0117773409,0.0275782775,0.8319222358,0.0352192162,0.8406392336,0.5,0.0,0.5,0.0323521307,0.0244874287,0.0195507606,7.062524794,2.8673131636,9.0,0.7609345515,0.4803379155,0.6336877763,0.0098524126,0.0060696275,0.0106979546,0.0098524126,0.0060696275,0.0106979546,0.0,0.0,0.0
-0.25,0.075,0.0,-0.08414867862069356,-0.01991298467802114,-0.021661869498289854,4.0,-8951.241616076895,False,0.26100766272276377,0.08647269553099332,0.16585132137930644,-0.09491298467802115,0.19108933895890756,0.021661869498289854,0.07487786220698302,0.04325312501667292,True,True,0.4423881312,0.0447469195,0.4470460555,0.4176973303,0.0639241708,0.4243515078,-0.0548684465,0.0426161138,-0.0504323281,1.9675262362,0.1095737387,1.8627924919,0.0462539539,0.0072135034,0.0358375162,1.9656202424,0.111280846,1.8593406677,0.5,0.0,0.5,0.0646285307,0.0338314536,0.0529539445,7.962445843,2.1182819312,9.0,1.931981629,1.0617480667,0.3728927452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.08337657615799923,-0.03658842821552349,-0.014967634102787009,4.0,-9134.158524924613,False,0.291547594742265,0.09105144991219613,0.16662342384200077,-0.1865884282155235,0.25015716443222363,0.014967634102787009,0.052670233210965936,0.07427121289312315,True,True,0.4455809442,0.0532220677,0.4843364653,0.4222584917,0.0760315253,0.4776235218,-0.0518276722,0.0506876835,-0.0149176521,1.7775561392,0.1412709427,1.7323975563,0.0475451806,0.0066438076,0.0467952788,1.7729658437,0.1414517734,1.7220035791,0.5,0.0,0.5,0.0674750751,0.0352297654,0.0156635347,8.3204686032,1.6065054305,9.0,2.107520588,1.1180422312,0.1351548176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.16649119388049677,-0.15858482830418202,-0.4025661842379168,4.0,-11361.491122963887,False,0.19525624189766635,0.22993143631965607,0.29149119388049677,-0.00858482830418203,0.29161758415241296,0.4025661842379168,0.0152431747207605,0.22942561110837742,True,False,0.0041653735,0.0134185328,0.0,0.4345706234,0.0648882203,0.3444893211,-0.0436195844,0.0432588136,-0.1036737859,2.037385875,0.371240274,1.8744496107,0.0514710663,0.0116320981,0.0444303565,2.0327546394,0.3747798584,1.8776973486,0.0,0.0,0.0,0.0041653735,0.0134185328,0.0,8.9191319653,0.4418496207,9.0,2.1187215124,1.2424298566,1.5862427698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.07540772663897206,0.049406027301499726,0.184602662598095,4.0,-11017.058143735532,False,0.1457737973711325,0.09015143243772931,0.049592273361027936,0.12440602730149972,0.13392629766426165,0.184602662598095,0.03924240079782582,0.08116227418078718,True,False,0.4599690603,0.0323165676,0.3872111931,0.4428129433,0.0461665251,0.3388731331,-0.0381247044,0.0307776834,-0.1074179113,1.269393273,0.0886169265,1.1959781647,0.0232215596,0.0066487265,0.0258155931,1.2719399399,0.0888786742,1.2032933235,0.5,0.0,0.5,0.0428796895,0.0284283115,0.1127888069,8.3459103642,1.8850133579,6.1567234501,1.8385499064,1.1983542202,2.0321623351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.028462948524149257,0.03123637656838976,0.02281880561655747,4.0,-5522.053627807525,False,0.125,0.042259326305688065,0.09653705147585075,0.03123637656838976,0.10146483887915708,0.02281880561655747,0.028462948524149257,0.03123637656838976,True,True,0.4340098243,0.0312491981,0.4192059009,0.5128711775,0.0446417116,0.4917227156,0.008580785,0.0297611411,-0.0055181896,0.4939688671,0.0248024177,0.4560107589,0.0230303631,0.0042250632,0.018568486,0.4916717727,0.0258963561,0.4509356618,0.425,0.0,0.425,0.0264166118,0.0189697638,0.0057940991,4.9781387127,3.584034253,5.2345229962,0.4186277529,0.258360633,0.457913722,0.0067486953,0.0055549672,0.0156962444,0.0067486953,0.0055549672,0.0156962444,0.0,0.0,0.0
-0.125,0.075,0.0,-0.06409561336264537,-0.03265099206177252,-0.02227763345313194,4.0,-6826.1967576773395,False,0.1457737973711325,0.07193285017953657,0.06090438663735463,-0.10765099206177252,0.1236854090164082,0.02227763345313194,0.038162738201395,0.06097491572707126,True,True,0.4658844731,0.048216536,0.4909083741,0.451263533,0.0688807657,0.487011963,-0.032490978,0.0459205105,-0.0086586913,1.0646296263,0.0906166412,1.0478409529,0.023237759,0.0032670406,0.0206395071,1.0610931146,0.0891593383,1.0421311855,0.5,0.0,0.5,0.0524465515,0.0271673103,0.0090916259,6.0634465023,3.2032232872,9.0,1.4092143728,1.0154000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.05765758244622625,0.018104306364818464,0.055670367262481535,4.0,-7470.210156684177,False,0.19525624189766635,0.06043312603609533,0.06734241755377375,-0.13189569363518153,0.14809279253728885,0.055670367262481535,0.05081959820624636,0.032703687263827996,True,False,0.0130993509,0.0281753972,0.0,0.4548339326,0.0839716157,0.4430945162,-0.0301107116,0.0559810772,-0.0379369892,1.3999584502,0.3133337185,0.8543477058,0.0498605482,0.0073312541,0.0596778356,1.3981311306,0.3201029333,0.8248514533,0.0,0.0,0.0,0.0130993509,0.0281753972,0.0,7.6095934746,2.5153704538,9.0,1.7704094118,1.2451907055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
