cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,0.11766943817037553,-0.13732224067382326,-0.30700532878765235,4.0,-11105.658652298755,False,0.291547594742265,0.18084107515443296,0.36766943817037556,0.012677759326176735,0.3678879467257008,0.30700532878765235,-0.030249000851187337,0.17829327640299883,False,False,0.4320207901,0.0405404793,0.3748278365,0.402886843,0.0579149705,0.3211826235,-0.0647421046,0.0386099803,-0.1192115843,2.1019425666,0.1750654684,1.9751371145,0.0508035232,0.014694432,0.060849525,2.1064557344,0.1833832001,1.9811154604,0.5,0.0,0.5,0.0691613165,0.0384891639,0.1251721635,9.0,0.0,9.0,2.1728579899,1.1805762091,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.010885614518765092,-0.09152758896748132,-0.05499096637176892,4.0,-10065.290760015614,False,0.26100766272276377,0.09217264315213793,0.2391143854812349,-0.016527588967481327,0.23968489844198906,0.05499096637176892,0.03672678687764952,0.08453957222091361,True,False,0.4330226007,0.0360956896,0.4329532672,0.4043180009,0.0515652709,0.4042189531,-0.0637879994,0.0343768473,-0.0638540313,2.054661479,0.0967627256,1.9877887964,0.0445247858,0.0085891906,0.0449782945,2.0536896795,0.0961510372,1.9958970547,0.5,0.0,0.5,0.0688197176,0.0324456054,0.0670467328,8.5691316821,1.5336120581,7.2721216203,2.0909263444,1.0419015937,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.073914738692241,0.011818586180967362,-0.03700785860435618,4.0,-7937.80951402482,False,0.25,0.07485364102873834,0.176085261307759,0.011818586180967362,0.17648143876662703,0.03700785860435618,0.073914738692241,0.011818586180967362,True,True,0.5015238818,0.0387461625,0.5065347163,0.502176974,0.0553516607,0.509335309,0.001451316,0.0369011071,0.0062235394,0.834881098,0.0344154322,0.8624567986,0.0415819426,0.0110765411,0.0318949446,0.8303801051,0.0365933428,0.8526453972,0.5,0.0,0.5,0.03156738,0.0225186111,0.0065347163,7.111988485,2.7584915743,9.0,0.753733386,0.4576122043,0.5105313817,0.0098219057,0.00653011,0.0146752716,0.0098219057,0.00653011,0.0146752716,0.0,0.0,0.0
-0.25,0.075,0.0,-0.08854072258147998,-0.042757624690808294,-0.04292689927592708,4.0,-8743.89942249037,False,0.26100766272276377,0.09832433078567389,0.16145927741852,-0.11775762469080829,0.19983982695481867,0.04292689927592708,0.07252031835427235,0.06639636624278172,True,True,0.4418681347,0.0460859525,0.4364959154,0.4169544781,0.065837075,0.4092798792,-0.0553636813,0.0438913834,-0.0604800805,1.9634662676,0.1119903798,1.8336904049,0.0464693952,0.0064506792,0.037172582,1.9614506406,0.1147401429,1.8289636374,0.5,0.0,0.5,0.0660771257,0.033720057,0.0635040846,7.8414190017,2.2602302704,9.0,1.8705871205,1.0095712122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.09055618678119001,-0.03129422719249042,-0.006406961307878434,4.0,-9079.204937354796,False,0.291547594742265,0.09581102034695685,0.15944381321881,-0.18129422719249041,0.241433068130853,0.006406961307878434,0.06155054248445325,0.07342535215982622,True,True,0.448410605,0.0534120395,0.4891798414,0.4263008643,0.0763029135,0.4845426306,-0.0491327571,0.050868609,-0.0103049129,1.7767296523,0.1413118809,1.742716074,0.0475756733,0.006086478,0.041677624,1.7729928058,0.1420576467,1.7321722507,0.5,0.0,0.5,0.0654177748,0.0351400963,0.0108201586,8.2993458592,1.6684594207,9.0,2.1001933689,1.1199684862,0.1842340538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.08177520788261877,-0.14087242700824687,-0.23904764605856088,4.0,-11419.586845475762,False,0.19525624189766635,0.1628871551579171,0.20677520788261877,0.009127572991753125,0.20697656675000672,0.23904764605856088,0.055869983770490995,0.1530057849524796,True,False,0.0028814286,0.0100938555,0.0,0.4375462655,0.0568623231,0.3725077994,-0.041635823,0.0379082154,-0.0849948004,2.0379383713,0.370966328,1.8744496107,0.0483008799,0.0114591048,0.046088133,2.0318151361,0.3759850851,1.8786047697,0.0,0.0,0.0,0.0028814286,0.0100938555,0.0,8.8749440178,0.6070175045,9.0,2.1161861512,1.1934746648,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.051019489260898915,-0.006527701339756092,0.1330406130959988,4.0,-11187.359303970055,False,0.1457737973711325,0.0514353882966196,0.07398051073910109,0.0684722986602439,0.10080462118889139,0.1330406130959988,0.047107325746691034,0.020651852948807618,True,False,0.4588328881,0.0317806981,0.4290249318,0.4411898401,0.0454009973,0.3986070454,-0.0392067733,0.0302673315,-0.0675953031,1.2693543994,0.0893335811,1.2338529825,0.0233736689,0.0059351535,0.0244934969,1.2723000121,0.0893439741,1.233392477,0.5,0.0,0.5,0.0444189292,0.0270500019,0.0709750682,8.485643613,1.6424215296,9.0,1.9828862232,1.1206703858,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03070890664069476,0.029736237382659007,0.015790606352336867,4.0,-5569.721032497293,False,0.125,0.042746704677024565,0.09429109335930524,0.029736237382659007,0.09886887326439533,0.015790606352336867,0.03070890664069476,0.029736237382659007,True,True,0.4399408623,0.0304757708,0.4215394592,0.521344089,0.0435368154,0.4950563703,0.0142293927,0.0290245436,-0.0032957532,0.4961575119,0.0236490106,0.4579409361,0.0234566086,0.0046411672,0.0188306719,0.4938204321,0.0248417466,0.452752918,0.425,0.0,0.425,0.027092405,0.0204451354,0.0034605408,5.0846912887,3.6720404989,6.5161832387,0.4131296398,0.2472167109,0.4240267434,0.0067464555,0.0056178983,0.0160548137,0.0067464555,0.0056178983,0.0160548137,0.0,0.0,0.0
-0.125,0.075,0.0,-0.06366202911354538,-0.036501253703330995,-0.040218977553316715,4.0,-7132.042287141084,False,0.1457737973711325,0.07338389109858398,0.061337970886454624,-0.111501253703331,0.12725909103039412,0.040218977553316715,0.03580999950322412,0.06405341059106785,True,True,0.4691713852,0.0497204511,0.4829784624,0.4559591216,0.0710292159,0.4756835178,-0.0293605856,0.0473528106,-0.0162109882,1.0622227097,0.0930088703,1.0377041101,0.0229425172,0.0029818219,0.020048596,1.0596733081,0.0920826166,1.0323483944,0.5,0.0,0.5,0.0512432644,0.0282250705,0.0170215376,6.3458203431,3.0951515247,9.0,1.46558751,1.0381109957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.06094443423468339,-0.019351146550742864,-0.002984888349605197,4.0,-7744.911455707206,False,0.19525624189766635,0.06394287244888187,0.06405556576531661,-0.16935114655074285,0.18106055987863837,0.002984888349605197,0.024149713478534132,0.05920711338951329,True,True,0.0159086302,0.0308185779,0.0097609076,0.4636907713,0.0877589979,0.5139441537,-0.0242061525,0.0585059986,0.0092961024,1.400578334,0.3114189783,0.8617586493,0.0485929293,0.0072892231,0.0593438074,1.3988160396,0.3189356608,0.8330325484,0.0,0.0,0.0,0.0159086302,0.0308185779,0.0097609076,7.8103109743,2.2172195608,9.0,1.9013955115,1.1900189604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
