cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.06635197311400609,0.02642965045141892,-0.011625731309312881,4.0,-8091.285352384092,False,0.291547594742265,0.07142206073130329,0.1836480268859939,0.17642965045141892,0.2546645231231249,0.011625731309312881,0.04329840457764091,0.05680104682254457,True,True,0.4964385014,0.0398464633,0.4801671889,0.4949121449,0.056923519,0.4716674127,-0.0033919034,0.0379490126,-0.0188883916,0.8367531154,0.0328209057,0.8444874883,0.0792885813,0.0161449475,0.0679476112,0.8332652202,0.0421864439,0.8462260962,0.5,0.0,0.5,0.031925086,0.024108376,0.0198328111,7.4522040941,2.5901996587,9.0,1.8899190128,1.1767314919,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.060109499396784054,0.03562459244193877,-0.0017713643759454945,4.0,-8404.192717980985,False,0.26100766272276377,0.0698731958936059,0.18989050060321594,0.11062459244193876,0.2197639703688596,0.0017713643759454945,0.04733780720137079,0.05139450859529713,True,True,0.4977999131,0.0413686478,0.4954794655,0.4968570187,0.0590980683,0.4935420936,-0.0020953209,0.0393987122,-0.004305271,0.8352282682,0.0343462255,0.8658284545,0.0722066915,0.0182643003,0.0568716712,0.82937832,0.0416358517,0.8559641838,0.5,0.0,0.5,0.0336447819,0.024170934,0.0045205345,7.3344888904,2.7102556698,9.0,1.8167495695,1.1292075771,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06979107403326755,-0.002603773729892463,-0.050809374349906844,4.0,-8106.549727159387,False,0.25,0.06983962809432415,0.18020892596673244,-0.002603773729892463,0.18022773547853208,0.050809374349906844,0.06979107403326755,0.002603773729892463,True,False,0.497177448,0.0406593986,0.5048706373,0.4959677829,0.0580848551,0.5069580532,-0.0026881447,0.0387232367,0.0046387021,0.836088686,0.0352278989,0.8649199605,0.0419448776,0.0111497776,0.03568919,0.8310972828,0.0366946686,0.8558245897,0.5,0.0,0.5,0.0330549698,0.0238437091,0.0048706373,7.0002586348,2.8841745588,9.0,0.7722192505,0.4792752762,0.5671360143,0.0101157495,0.0060656499,0.0145593585,0.0101157495,0.0060656499,0.0145593585,0.0,0.0,0.0
-0.25,0.075,0.0,-0.0727533308420137,0.001955143820995456,-0.03857020220935237,4.0,-8471.85135230235,False,0.26100766272276377,0.07277959697585772,0.17724666915798631,-0.07304485617900454,0.1917079360428569,0.03857020220935237,0.07024685906081256,0.019032827642224255,True,True,0.5024419394,0.0396355935,0.5121131719,0.5034884848,0.0566222765,0.5173045313,0.0023256565,0.0377481843,0.0115363542,0.8357847372,0.0362290909,0.8542097211,0.090879848,0.0227371336,0.0704667121,0.8267851719,0.03652332,0.8385348916,0.5,0.0,0.5,0.0318659397,0.0236961016,0.0121131719,7.3454205558,2.6922235191,9.0,1.6648053177,0.9842542245,0.5492858197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.06378918267943863,-0.048567242342119385,-0.09449316591145851,4.0,-8381.717388601453,False,0.291547594742265,0.08017379157573219,0.18621081732056138,-0.19856724234211937,0.27221943027371404,0.09449316591145851,0.029711132846763317,0.07446533046049637,True,False,0.5026307295,0.0366904037,0.5071041438,0.5037581851,0.0524148624,0.5101487769,0.0025054567,0.0349432416,0.0067658513,0.8376580307,0.0346901346,0.8616142869,0.1093494704,0.0197243967,0.0896123126,0.8307420611,0.0318297779,0.851715982,0.5,0.0,0.5,0.0298984104,0.0214287544,0.0071041438,7.6067130445,2.395622824,9.0,1.8135624248,1.0563109808,0.4960163012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.04897182760266557,-0.17554868488063086,-0.12884726389386958,4.0,-11404.77024441005,False,0.19525624189766635,0.18225142156390503,0.17397182760266558,-0.025548684880630862,0.17583780053942147,0.12884726389386958,0.10350923527634988,0.15000472950733748,True,False,0.0064357502,0.0178562195,0.0,0.4405726201,0.0700027841,0.437625017,-0.0396182533,0.0466685227,-0.041583322,1.6932013059,0.2317866677,1.7491738796,0.0906470973,0.0240362713,0.0963184163,1.6954618859,0.2370695658,1.7571940422,0.0,0.0,0.0,0.0064357502,0.0178562195,0.0,8.9908835545,0.1093979348,9.0,2.1166405381,1.1403056786,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03446028356617858,0.02977804417729217,0.02109772913186525,4.0,-6211.96336036854,False,0.1457737973711325,0.045543858625353664,0.09053971643382142,0.10477804417729217,0.13847699734445204,0.02109772913186525,0.014228772041896185,0.043264131849211476,True,True,0.5067556883,0.0318746706,0.5021960862,0.5096509832,0.0455352437,0.503137266,0.0064339888,0.0303568291,0.0020915107,0.5023515952,0.0219088044,0.5213289261,0.0377482347,0.0064808045,0.0357822217,0.5012621227,0.0248881444,0.5173940063,0.5,0.0,0.5,0.0267070655,0.0186645814,0.0021960862,5.5552295571,3.4766914109,8.223102744,1.4328741664,1.1753840671,2.125446985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03218918312049899,0.015497848599117178,0.004611335683205042,4.0,-5554.684881934434,False,0.125,0.0357257165241815,0.09281081687950102,0.015497848599117178,0.09409586091343991,0.004611335683205042,0.03218918312049899,0.015497848599117178,True,True,0.4342426257,0.0288663578,0.4264731634,0.5132037511,0.041237654,0.5021045192,0.0088025007,0.0274917693,0.0014030128,0.4946470693,0.0240361832,0.4620246887,0.0229413917,0.0039830619,0.0186192486,0.4923598938,0.0249991811,0.4571581483,0.425,0.0,0.425,0.0240453132,0.0184530663,0.0014731634,5.1107170322,3.6727996144,5.2440125535,0.4003773507,0.2506033254,0.4206945979,0.0067340195,0.005468968,0.0148829682,0.0067340195,0.005468968,0.0148829682,0.0,0.0,0.0
-0.125,0.075,0.0,-0.033792327160283464,0.04143095789909491,0.03603333773180839,4.0,-6411.051674752127,False,0.1457737973711325,0.05346443348006417,0.09120767283971654,-0.03356904210090509,0.09718909492535212,0.03603333773180839,0.05029273346568783,0.018140744413983972,True,True,0.51333454,0.0299474898,0.5047124373,0.5190493429,0.0427821282,0.5067320534,0.0126995619,0.0285214188,0.0044880356,0.5014824778,0.0235470097,0.5190925002,0.0552280153,0.0084500434,0.0474352501,0.4974603899,0.0193368436,0.5108969808,0.5,0.0,0.5,0.0256790354,0.0203776653,0.0047124373,5.6536391338,3.4955877371,6.9053371901,1.318119184,0.9553810439,0.5837292222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.02717036156560412,0.06452573913916473,0.1292097406810201,4.0,-7260.824569174179,False,0.19525624189766635,0.0700128528133313,0.09782963843439588,-0.08547426086083526,0.12990953554651305,0.1292097406810201,0.06696408749599875,0.020435521644661246,True,False,0.0146593048,0.0277193466,0.0303118606,0.4844723166,0.0669859114,0.543302658,-0.0103517889,0.0446572743,0.0288684387,0.921458112,0.1161030183,0.8790714741,0.1011214669,0.010621848,0.1052392423,0.9200177172,0.0933288018,0.8578110337,0.0,0.0,0.0,0.0146593048,0.0277193466,0.0303118606,7.0364485928,2.7313014434,9.0,1.6873777915,0.8934522435,0.8928362902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
