cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.06830039365559566,0.0013802293229550114,-0.041280400725038024,4.0,-8140.058531635222,False,0.291547594742265,0.06831433822041517,0.18169960634440435,0.151380229322955,0.23649676694530508,0.041280400725038024,0.05785698225487826,0.036323799510128055,True,True,0.4926819382,0.0394979692,0.5015896432,0.489545626,0.0564256703,0.5022709188,-0.0069695827,0.0376171135,0.0015139459,0.8378135413,0.0343616291,0.869780302,0.0805011254,0.0155237429,0.0823698491,0.8341635519,0.0445084964,0.8625048995,0.5,0.0,0.5,0.0317696327,0.0245832064,0.0015896432,7.3092396631,2.6992901887,9.0,1.8936875394,1.1267411519,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.05885941857599409,-0.03474829770805586,-0.09138664255472928,4.0,-8535.255815716846,False,0.26100766272276377,0.06835111812334717,0.19114058142400592,0.040251702291944136,0.19533284773561854,0.09138664255472928,0.06636194811836098,0.01636970343798942,True,False,0.4960105506,0.0393710198,0.5042071129,0.4943007865,0.0562443139,0.5060101612,-0.0037994757,0.0374962093,0.0040067742,0.8366652349,0.0346131411,0.8659024239,0.0715935904,0.0166073033,0.0578454472,0.831615009,0.041659908,0.853069365,0.5,0.0,0.5,0.031218105,0.0243191863,0.0042071129,7.2809270042,2.7130340759,9.0,1.8302108064,1.0514575173,2.2660826631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.0616767077739498,0.039253541424228336,-0.019569337483395732,4.0,-7961.752895610425,False,0.25,0.07310852752023399,0.1883232922260502,0.039253541424228336,0.19237074338163251,0.019569337483395732,0.0616767077739498,0.039253541424228336,True,True,0.4959500564,0.0409430507,0.4888502352,0.4942143663,0.0584900725,0.4840717646,-0.0038570892,0.0389933817,-0.0106188236,0.8355307576,0.0340148851,0.8565837741,0.0419395385,0.0118949327,0.0270109568,0.8305130425,0.0354483635,0.8506017923,0.5,0.0,0.5,0.0337192437,0.0235743091,0.0111497648,7.0370784897,2.9286068807,9.0,0.827199014,0.5006551306,0.8394606339,0.0104315326,0.0064892674,0.0121896664,0.0104315326,0.0064892674,0.0121896664,0.0,0.0,0.0
-0.25,0.075,0.0,-0.06143851224703248,0.04796452819441243,0.018928536808394902,4.0,-7871.713442835652,False,0.26100766272276377,0.0779441258340957,0.18856148775296752,-0.027035471805587567,0.19048976717756586,0.018928536808394902,0.0726299277139411,0.028287459276312436,True,True,0.5004625109,0.038217473,0.4904641574,0.5006607299,0.05459639,0.4863773677,0.0004404866,0.0363975933,-0.0090817548,0.8371554929,0.0345220919,0.8588336706,0.0907943362,0.0202064851,0.0710782707,0.8289832392,0.0341245661,0.8444699049,0.5,0.0,0.5,0.0309034227,0.0224892779,0.0095358426,6.9431446852,2.904818612,9.0,1.6771227863,0.8133588947,0.9902609722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.0675955892437648,0.010722559373947654,-0.025694832783300647,4.0,-8002.172305853057,False,0.291547594742265,0.0684407551444284,0.1824044107562352,-0.13927744062605235,0.2294985283845474,0.025694832783300647,0.06347945087111496,0.025583124942846713,True,True,0.5005794541,0.0366794724,0.5231564984,0.5008277916,0.0523992463,0.533080712,0.0005518611,0.0349328309,0.022053808,0.8389936191,0.0343249486,0.8379305601,0.1077771382,0.0198479041,0.1037475616,0.8322934383,0.0311340303,0.8246660233,0.5,0.0,0.5,0.0298613249,0.0213077625,0.0231564984,7.3297331529,2.5336164982,9.0,1.7653499848,0.9375383767,0.6132233679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.039211083950314696,-0.19381509290890112,-0.15869031349081375,4.0,-11483.106761252011,False,0.19525624189766635,0.1977417491169849,0.1642110839503147,-0.04381509290890112,0.16995600153790666,0.15869031349081375,0.12379055444083456,0.15420018798651114,True,False,0.0061465789,0.0163188184,0.0,0.4443633166,0.0663930339,0.3801476359,-0.0370911223,0.0442620226,-0.079901576,1.6932013059,0.2317866677,1.7491738796,0.0910269269,0.0211340742,0.1064394116,1.6972274536,0.2371049773,1.754216671,0.0,0.0,0.0,0.0061465789,0.0163188184,0.0,8.986420562,0.1426172189,9.0,2.1385122436,1.1429834271,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.036485337455825044,0.027286218860638384,0.01683916222893156,4.0,-6139.845101153401,False,0.1457737973711325,0.04556004377715289,0.08851466254417495,0.10228621886063838,0.1352675720714894,0.01683916222893156,0.017247274975139927,0.04216929089880454,True,True,0.5057253989,0.0310789191,0.4982550153,0.5081791413,0.0443984558,0.4975071647,0.0054527608,0.0295989706,-0.0016618902,0.5025167373,0.0217781082,0.5218208432,0.0384823321,0.0065043264,0.0365310349,0.5007077374,0.0249869427,0.5170542598,0.5,0.0,0.5,0.0263644755,0.0174239443,0.0017449847,5.4640023212,3.5125601963,7.1018685688,1.4205468367,1.1600448731,2.0235066377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.029328312278691118,0.026794235062228552,0.01633376741188175,4.0,-5545.662035497921,False,0.125,0.03972506681789701,0.09567168772130888,0.026794235062228552,0.09935292076236915,0.01633376741188175,0.029328312278691118,0.026794235062228552,True,True,0.4336281094,0.0298237473,0.421718207,0.5123258705,0.0426053533,0.4953117243,0.008217247,0.0284035689,-0.0031255172,0.4940780792,0.024497465,0.458088845,0.0230506375,0.0039209452,0.0199553389,0.4916122788,0.0259387535,0.4526355565,0.425,0.0,0.425,0.0255124142,0.0176922835,0.003281793,5.1376112338,3.6744497757,4.720977818,0.4089759367,0.2325403286,0.3718820109,0.0073145218,0.0059274287,0.0173215313,0.0073145218,0.0059274287,0.0173215313,0.0,0.0,0.0
-0.125,0.075,0.0,-0.03708048828336605,0.030457427634862044,0.02071522965397843,4.0,-6269.2662672485685,False,0.1457737973711325,0.047985596896003124,0.08791951171663395,-0.04454257236513795,0.09855902441377393,0.02071522965397843,0.047466473624330846,0.00703927490132399,True,True,0.5117640546,0.0292479253,0.5040305101,0.5168057922,0.0417827505,0.5057578715,0.0112038615,0.027855167,0.003838581,0.5019958575,0.0233220586,0.5196983814,0.0560356716,0.0088916855,0.0485331416,0.4981050131,0.0195482756,0.5115171671,0.5,0.0,0.5,0.0251467343,0.0190125188,0.0040305101,5.6717927727,3.5073554737,5.2740242926,1.3035389277,0.9891514223,0.4988438588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.03314072425568959,0.05092722325895242,0.10326121334679683,4.0,-7032.245377535333,False,0.19525624189766635,0.060760922253195244,0.09185927574431041,-0.09907277674104757,0.13510566839126592,0.10326121334679683,0.06033955128040838,0.007143404254121749,True,False,0.0144931888,0.029280576,0.0151475654,0.4855247889,0.0683878699,0.5216393792,-0.0096501408,0.0455919133,0.0144262528,0.921458112,0.1161030183,0.8790714741,0.100527498,0.0115127189,0.1062117592,0.9228865501,0.0940065409,0.8601434231,0.0,0.0,0.0,0.0144931888,0.029280576,0.0151475654,7.1295338687,2.7132763114,9.0,1.6932157817,0.9691324414,0.780368095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
