cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.05621872560518049,0.07320781691754458,0.03619156015263447,4.0,-7760.555489013513,False,0.291547594742265,0.09230346454225488,0.1937812743948195,0.22320781691754457,0.2955890928961629,0.03619156015263447,0.010542048430824796,0.09169948081306376,True,True,0.4907691646,0.0395942915,0.4754893272,0.4868130923,0.0565632735,0.4649847532,-0.0087912718,0.037708849,-0.0233434979,0.8368483588,0.0327014059,0.8379768729,0.0814253566,0.0158189072,0.0790258199,0.8272970638,0.0423842518,0.8300551176,0.5,0.0,0.5,0.0331614187,0.023520981,0.0245106728,7.2007948376,2.7572320966,9.0,1.9494070122,1.1640306321,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.06357140081095766,0.027156103048471013,-0.03187406811722915,4.0,-8322.825632581931,False,0.26100766272276377,0.06912869833756893,0.18642859918904234,0.102156103048471,0.21258290614637487,0.03187406811722915,0.05308710989386453,0.04427793690951912,True,True,0.4970053233,0.0415893045,0.4980268871,0.4957218904,0.0594132922,0.4971812672,-0.0028520731,0.0396088615,-0.0018791552,0.8337237385,0.0350099801,0.8693830371,0.0722583658,0.0193038822,0.0534426831,0.8227595806,0.0432243465,0.8562532663,0.5,0.0,0.5,0.034129462,0.023954502,0.0019731129,7.3034606263,2.672101316,9.0,1.8037230017,1.1522646804,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06703376317573242,0.04955082731798084,-0.006593547587926518,4.0,-7920.6663654059375,False,0.25,0.08335952191199597,0.18296623682426758,0.04955082731798084,0.1895571900655059,0.006593547587926518,0.06703376317573242,0.04955082731798084,True,True,0.4979806876,0.0419524644,0.5010289105,0.4971152681,0.0599320919,0.5014698722,-0.0019231546,0.039954728,0.0009799148,0.833065792,0.0364196715,0.8706114888,0.0422060177,0.0115347571,0.0272663794,0.8252559325,0.0391905795,0.8618055582,0.5,0.0,0.5,0.0347745892,0.0235545078,0.0010289105,6.9799573203,2.9148068861,9.0,0.8110353144,0.5051306672,0.7973944729,0.013502848,0.0076224842,0.0156746633,0.013502848,0.0076224842,0.0156746633,0.0,0.0,0.0
-0.25,0.075,0.0,-0.07133895328157391,-0.01327539026898351,-0.06754250220187719,4.0,-8602.659402447853,False,0.26100766272276377,0.07256364270145489,0.1786610467184261,-0.08827539026898351,0.19927948750853655,0.06754250220187719,0.06451566928939476,0.03321461513017806,True,False,0.5047858603,0.0409946747,0.4917156437,0.5068369433,0.058563821,0.4881652053,0.0045579622,0.0390425473,-0.0078898631,0.8325371748,0.0398246221,0.8605786562,0.0909316314,0.0199819182,0.0759195462,0.8223308989,0.0405198839,0.8456258178,0.5,0.0,0.5,0.033539854,0.0240529834,0.0082843563,7.3654979954,2.604236358,9.0,1.674695756,1.0000976389,0.4159439631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.07289908653768026,0.004612259242126638,-0.04723634305102575,4.0,-7992.560407728335,False,0.291547594742265,0.07304484754823422,0.17710091346231974,-0.14538774075787336,0.2291338663573472,0.04723634305102575,0.06488343879997294,0.03355129092650454,True,True,0.5094247399,0.036604561,0.5045127823,0.5134639142,0.05229223,0.5064468319,0.0089759428,0.0348614867,0.0042978879,0.8342741156,0.0369567115,0.8654497862,0.1046335489,0.0205951049,0.0818178505,0.8260711366,0.0352214891,0.851839304,0.5,0.0,0.5,0.030080708,0.02288822,0.0045127823,7.2656687556,2.6833027939,9.0,1.8366058935,0.9117918217,0.7387051086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.04429018031516562,-0.1532031168146788,-0.11672979078690404,4.0,-11536.60681030144,False,0.19525624189766635,0.15947669131908274,0.16929018031516563,-0.0032031168146788025,0.16932048047554604,0.11672979078690404,0.08934001194158292,0.13210290436004737,True,False,0.0051068906,0.0144276406,0.0,0.4393094507,0.0661926217,0.3828614615,-0.0404603662,0.0441284145,-0.078092359,1.6932013059,0.2317866677,1.7491738796,0.0947752259,0.0234891343,0.1032796353,1.6941214198,0.2403663626,1.7496057749,0.0,0.0,0.0,0.0051068906,0.0144276406,0.0,9.0,0.0,9.0,2.1524241811,1.1150527266,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03513392627445954,0.0333462317567013,0.028970144247134733,4.0,-6186.355968040649,False,0.1457737973711325,0.04843928104163802,0.08986607372554045,0.1083462317567013,0.14076511337231645,0.028970144247134733,0.012970598534529733,0.04667041377025544,True,True,0.5073647752,0.0323049314,0.4969935301,0.5105211074,0.046149902,0.495705043,0.0070140716,0.0307666014,-0.0028633047,0.5014262161,0.023124418,0.5207645893,0.0396392211,0.0066752269,0.0377399288,0.4983735693,0.0265117439,0.5149103403,0.5,0.0,0.5,0.0276879782,0.0181995707,0.0030064699,5.5264953207,3.5461564057,8.7872726206,1.4361056586,1.1779152135,2.2261172152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.030708823395115357,0.025365982686432344,0.011431109374233972,4.0,-5597.754561482378,False,0.125,0.03983045206824509,0.09429117660488465,0.025365982686432344,0.0976435305751586,0.011431109374233972,0.030708823395115357,0.025365982686432344,True,True,0.4383597414,0.0307454788,0.4261895737,0.5190853448,0.0439221126,0.5016993911,0.0127235632,0.0292814084,0.0011329274,0.495731342,0.0238018359,0.4617898166,0.0234483722,0.0042183374,0.0196991246,0.4929345588,0.0249352563,0.4559744298,0.425,0.0,0.425,0.0269152995,0.0199833383,0.0011895737,5.1596514633,3.5700441958,4.4179051257,0.4052074636,0.237255479,0.3989325856,0.0073828451,0.0058161789,0.0169664584,0.0073828451,0.0058161789,0.0169664584,0.0,0.0,0.0
-0.125,0.075,0.0,-0.03745093934978753,0.028462451179857923,0.016789817926533557,4.0,-6217.67844054969,False,0.1457737973711325,0.04703917500708595,0.08754906065021248,-0.04653754882014208,0.09914928880693845,0.016789817926533557,0.046757725874832456,0.005138001202927412,True,True,0.5205551697,0.0318555106,0.5081495553,0.5293645282,0.0455078723,0.5116422218,0.0195763521,0.0303385815,0.0077614812,0.4979318228,0.0277162672,0.5160406828,0.0553675639,0.0090604978,0.0469428636,0.4939157847,0.023234236,0.5082421899,0.5,0.0,0.5,0.0294104316,0.0239231075,0.0081495553,5.668907398,3.5012300071,6.2564275845,1.2987350172,1.0005037466,0.5021829123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.020826284350053043,0.07448646982120145,0.14891405965163373,4.0,-7254.650125657016,False,0.19525624189766635,0.07734318526059047,0.10417371564994696,-0.07551353017879854,0.1286641219314084,0.14891405965163373,0.07055475350261516,0.031685881152955696,True,False,0.0164224019,0.0288845038,0.0246007324,0.4901906496,0.0684187777,0.5351439035,-0.0065395669,0.0456125185,0.023429269,0.921458112,0.1161030183,0.8790714741,0.1029745734,0.0110620448,0.106029585,0.9224208185,0.0912382879,0.8565297723,0.0,0.0,0.0,0.0164224019,0.0288845038,0.0246007324,6.8868141558,2.8101945937,9.0,1.6743401894,0.8712193127,1.0139666911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
