cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.0587040892919654,0.06299546337830696,0.010766080378182608,4.0,-11423.967879510097,False,0.291547594742265,0.08610806295490951,0.1912959107080346,0.21299546337830694,0.28628865306427365,0.010766080378182608,0.017927442758928734,0.08422116896583658,True,True,0.4870251784,0.0420769185,0.4848569485,0.4814645406,0.0601098836,0.4783670693,-0.012356973,0.0400732557,-0.0144219538,0.8350163734,0.0321450062,0.8510189652,0.0844918269,0.0165462292,0.0850929841,0.8228508493,0.0430261825,0.8359242082,0.5,0.0,0.5,0.0366633371,0.0243846833,0.0151430515,7.4148104459,2.5840895861,9.0,1.9062804787,1.1740935475,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.07078275146322846,0.03316766156516898,-0.005814475344023462,4.0,-11269.540557598777,False,0.26100766272276377,0.07816835471216443,0.17921724853677154,0.10816766156516898,0.20933003888971088,0.005814475344023462,0.058266922471824675,0.052108132033965,True,True,0.4919366302,0.0440283926,0.4828821521,0.4884809003,0.0628977037,0.4755459316,-0.0076793998,0.0419318025,-0.0163027123,0.8321073532,0.0347641478,0.8482680917,0.0744963116,0.0172965773,0.061023131,0.8185870388,0.0438752551,0.8269804716,0.5,0.0,0.5,0.0375937831,0.0242945418,0.0171178479,7.0252414647,2.8525665532,9.0,1.7619031545,1.1621518313,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06761151607240827,0.02869421600192502,-0.03220391857551197,4.0,-8109.990405421607,False,0.25,0.07344845224764544,0.18238848392759172,0.02869421600192502,0.18463184205702576,0.03220391857551197,0.06761151607240827,0.02869421600192502,True,True,0.4972233405,0.0450919509,0.4866250925,0.4960333435,0.0644170728,0.4808929893,-0.0026444377,0.0429447152,-0.0127380071,0.8315683627,0.0379516885,0.853482604,0.0413056616,0.0107640304,0.032357946,0.8232346207,0.0406016422,0.8429965973,0.5,0.0,0.5,0.0371025177,0.0257759007,0.0133749075,7.1623728451,2.7783399351,9.0,0.803673909,0.4804304172,0.6717603573,0.0140160909,0.0075694162,0.0182739958,0.0140160909,0.0075694162,0.0182739958,0.0,0.0,0.0
-0.25,0.075,0.0,-0.06951313209206403,-0.016420165354053558,-0.06953938480073607,4.0,-11546.446950508445,False,0.26100766272276377,0.07142616721834655,0.18048686790793597,-0.09142016535405356,0.20231944078753092,0.06953938480073607,0.061863205290691836,0.03570211750953884,True,False,0.5055147783,0.0433496452,0.5024038284,0.5078782547,0.0619280646,0.5034340406,0.0052521698,0.0412853764,0.0022893604,0.8307273301,0.0413202172,0.8685737252,0.0888473873,0.0170573278,0.0675430223,0.8200176135,0.0425163264,0.8595106602,0.5,0.0,0.5,0.0353910896,0.02563348,0.0024038284,7.1310469453,2.7629869281,9.0,1.646646555,0.9701396139,0.4291902714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.06300281708584131,0.010695319890268586,-0.0394857164527006,4.0,-11296.304669866106,False,0.291547594742265,0.06390418474800498,0.18699718291415868,-0.1393046801097314,0.23318177527050846,0.0394857164527006,0.05952716663755313,0.023243520826504223,True,True,0.5107947378,0.0392201757,0.5196026279,0.5154210541,0.0560288225,0.5280037541,0.0102807027,0.0373525483,0.0186691694,0.8317266813,0.0411165296,0.8431624174,0.110113678,0.0175780126,0.0908542573,0.8236560926,0.0386007425,0.831561625,0.5,0.0,0.5,0.0321268217,0.024952272,0.0196026279,7.3968650739,2.5244088065,9.0,1.8305220068,0.9491885562,0.6192568095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.014625013297235976,-0.13566699950964484,-0.11587003125633533,4.0,-15952.456961598498,False,0.19525624189766635,0.13645301671232593,0.13962501329723598,0.014333000490355158,0.14035875192274205,0.11587003125633533,0.09485957060465987,0.09808714306469452,True,False,0.0046318578,0.0138815935,0.0,0.4340420359,0.067423007,0.396894712,-0.0439719761,0.0449486713,-0.0687368587,1.6932013059,0.2317866677,1.7491738796,0.0958175613,0.0249057396,0.0941278711,1.6957952863,0.2412720701,1.7676916122,0.0,0.0,0.0,0.0046318578,0.0138815935,0.0,8.9602160391,0.2699524313,9.0,2.0631266884,1.1340226394,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03611900988499086,0.02760345621829266,0.016069689405243226,4.0,-8521.106774289381,False,0.1457737973711325,0.04545914286771438,0.08888099011500913,0.10260345621829266,0.13574719014316078,0.016069689405243226,0.016769934400679982,0.04225284570847456,True,True,0.5068038426,0.0347941859,0.4985017298,0.5097197752,0.0497059798,0.497859614,0.0064798501,0.0331373199,-0.001426924,0.5003496611,0.0232360458,0.5220274329,0.0422526342,0.0065736719,0.0406521372,0.4962684222,0.0266605793,0.515668571,0.5,0.0,0.5,0.0296826567,0.0193873035,0.0014982702,5.3295788483,3.6205939214,7.2531468196,1.3940366893,1.1529460658,2.102463256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03138683637520171,0.019780495855701862,0.009008590697197172,4.0,-5490.351910050138,False,0.125,0.03709988563245342,0.0936131636247983,0.019780495855701862,0.09568015687769695,0.009008590697197172,0.03138683637520171,0.019780495855701862,True,True,0.4395028896,0.0316854198,0.4254446734,0.5207184137,0.0452648855,0.5006352477,0.0138122758,0.0301765903,0.0004234985,0.4960183913,0.0238901776,0.4611730278,0.0238927282,0.0037452779,0.0213988218,0.4934683001,0.0251949126,0.4557208419,0.425,0.0,0.425,0.0281284477,0.0205691532,0.0004446734,5.1183998305,3.6098535767,6.7302564055,0.4031523991,0.2313561522,0.4254091107,0.0068590014,0.0060885431,0.016541502,0.0068590014,0.0060885431,0.016541502,0.0,0.0,0.0
-0.125,0.075,0.0,-0.03794843920180177,0.027290054361349587,0.014147143307604026,4.0,-8365.524981069608,False,0.1457737973711325,0.046742176937946106,0.08705156079819823,-0.047709945638650414,0.0992683894814728,0.014147143307604026,0.04658113529167843,0.0038767176627414707,True,True,0.5225328351,0.0327021593,0.5166888481,0.5321897644,0.0467173704,0.5238412116,0.0214598429,0.0311449136,0.015894141,0.4966005322,0.0283463432,0.5084741116,0.0561666947,0.0080890955,0.0497620329,0.4933248928,0.0239108411,0.5022242069,0.5,0.0,0.5,0.0309798548,0.0248477056,0.0166888481,5.4170089589,3.5463953861,8.827212419,1.2516042746,0.9653009768,0.5480321892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.023553606671753893,0.07115872325258393,0.134697321718793,4.0,-9774.155959656902,False,0.19525624189766635,0.07495556204969395,0.1014463933282461,-0.07884127674741606,0.12848080649837104,0.134697321718793,0.06974429697870563,0.027460322669838246,True,False,0.0184272055,0.0316918861,0.0082916034,0.4918577162,0.073880248,0.5118451477,-0.0054281892,0.0492534986,0.0078967651,0.921458112,0.1161030183,0.8790714741,0.1052731367,0.0117495605,0.1072594523,0.9246957105,0.0907612172,0.8501036763,0.0,0.0,0.0,0.0184272055,0.0316918861,0.0082916034,6.9397905221,2.7711935149,9.0,1.6613152478,0.8857214813,0.8149071805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
