cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.0683710714834937,0.025192642582901357,-0.01461207108474516,4.0,-11574.074944737002,False,0.291547594742265,0.07286475592569304,0.1816289285165063,0.17519264258290135,0.25235199561175337,0.01461207108474516,0.04566620244357701,0.05677913886713202,True,True,0.4867268396,0.0445484494,0.4665928654,0.4810383423,0.0636406419,0.4522755221,-0.0126411052,0.0424270946,-0.0318163186,0.8336923912,0.0325312423,0.8256070614,0.0852823011,0.0162992808,0.0788247064,0.8187615743,0.0430762332,0.8115451932,0.5,0.0,0.5,0.038047723,0.0267041552,0.0334071346,7.1364275696,2.8657229108,9.0,1.9094044022,1.1329172588,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.06806035187984484,0.01722614519629892,-0.02484500302817172,4.0,-11722.676023098846,False,0.26100766272276377,0.07020649240869588,0.18193964812015517,0.09222614519629892,0.20397964951400102,0.02484500302817172,0.06024009761330084,0.03605665286562604,True,True,0.4924415047,0.0423206784,0.4829356642,0.4892021496,0.060458112,0.4756223774,-0.0071985669,0.040305408,-0.0162517484,0.8337697235,0.0344387449,0.8483426571,0.0739449052,0.0171693563,0.0594673492,0.8171665731,0.0427376557,0.8299940825,0.5,0.0,0.5,0.0360683666,0.0233932384,0.0170643358,7.1188167683,2.7775490022,9.0,1.7934722857,1.1390115864,2.8908722234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.062033323779830556,0.007492463803841233,-0.043825693498884766,4.0,-7786.230399709467,False,0.25,0.062484160177001355,0.18796667622016944,0.007492463803841233,0.18811594398963072,0.043825693498884766,0.062033323779830556,0.007492463803841233,True,True,0.4979219544,0.0431612236,0.4850123731,0.4970313635,0.0616588909,0.4785891045,-0.001979091,0.0411059273,-0.0142739303,0.8329428163,0.0371997224,0.8512355089,0.0415169624,0.0107580317,0.0325725935,0.8235903835,0.0403951379,0.8384280801,0.5,0.0,0.5,0.0353291483,0.024880932,0.0149876269,7.0109490349,2.9109492761,9.0,0.7791332264,0.4293254803,0.7609775629,0.0151706911,0.0075782892,0.0210828685,0.0151706911,0.0075782892,0.0210828685,0.0,0.0,0.0
-0.25,0.075,0.0,-0.06836057980983713,0.0296943938407071,-0.03363728407858291,4.0,-11499.258080888412,False,0.26100766272276377,0.07453137525568769,0.18163942019016288,-0.0453056061592929,0.18720437205492693,0.03363728407858291,0.07401018149812184,0.008798802879892216,True,True,0.5058623437,0.0434800452,0.4907648465,0.5083747768,0.0621143504,0.4868069235,0.0055831845,0.0414095669,-0.0087953843,0.8303709164,0.0383722608,0.8592529297,0.0885634242,0.0188793425,0.0718445554,0.817375575,0.0392176761,0.8395944834,0.5,0.0,0.5,0.0352133741,0.0261705883,0.0092351535,7.1043796149,2.8303561288,9.0,1.6440403889,0.9318418205,0.7375798858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.0698445417376061,0.03390232267490504,-0.013986351971859157,4.0,-10801.609060189983,False,0.291547594742265,0.07763779680857502,0.1801554582623939,-0.11609767732509496,0.21432372668935892,0.013986351971859157,0.0773338015550048,0.006863718404823999,True,True,0.5107859554,0.037589176,0.505045452,0.5154085078,0.0536988229,0.5072077885,0.0102723385,0.0357992152,0.0048051924,0.8332727861,0.0409187558,0.8646610975,0.1078098647,0.0163979623,0.097451739,0.8231820035,0.0376754173,0.850941956,0.5,0.0,0.5,0.0304987295,0.0244767336,0.005045452,7.2325654955,2.6258805152,9.0,1.7773312799,0.8862209048,0.7965512317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.07291172714969621,-0.14414910004108927,-0.1918825761026992,4.0,-16075.755453566002,False,0.19525624189766635,0.16153972575997433,0.1979117271496962,0.005850899958910721,0.19799819386475467,0.1918825761026992,0.06406145581254712,0.14829434540057415,True,False,0.0048284379,0.014514759,0.0,0.4340604503,0.0685017931,0.3727174141,-0.0439596998,0.0456678621,-0.0848550573,1.6932013059,0.2317866677,1.7491738796,0.0965323149,0.0240381557,0.1247526407,1.6926670808,0.2422925814,1.7522083521,0.0,0.0,0.0,0.0048284379,0.014514759,0.0,8.9946203595,0.0758891679,9.0,2.0816216572,1.1607182315,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.034306693363691014,0.03188152929959487,0.02582887369912834,4.0,-8659.7328564311,False,0.1457737973711325,0.0468335469512106,0.09069330663630898,0.10688152929959487,0.1401746666628736,0.02582887369912834,0.013014835362774651,0.04498883395367252,True,True,0.5082103511,0.0328135391,0.4976131243,0.5117290731,0.0468764845,0.4965901775,0.007819382,0.0312509896,-0.002273215,0.5009785455,0.0235413059,0.5212833285,0.0417723601,0.0070918193,0.0400154702,0.4962522767,0.0271877703,0.5140684843,0.5,0.0,0.5,0.0279196542,0.0190953168,0.0023868757,5.3556007949,3.5727901791,7.7381518997,1.3968160561,1.1538791725,2.0649983549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.030713854245435924,0.03353877059403329,0.027642952370169005,4.0,-5509.838786481626,False,0.125,0.04547735673463305,0.09428614575456408,0.03353877059403329,0.10007360498258316,0.027642952370169005,0.030713854245435924,0.03353877059403329,True,True,0.4407049972,0.0302258169,0.4263417762,0.5224357103,0.0431797384,0.5019168232,0.0149571402,0.0287864923,0.0012778821,0.4962935914,0.0235683509,0.4619158804,0.0241770863,0.00433133,0.0199731234,0.493343811,0.0249809602,0.4563213885,0.425,0.0,0.425,0.0273122917,0.0203540085,0.0013417762,5.0110461299,3.6456412611,4.8049078723,0.4092925266,0.2650447481,0.4550028501,0.0076106505,0.0058467929,0.0172090788,0.0076106505,0.0058467929,0.0172090788,0.0,0.0,0.0
-0.125,0.075,0.0,-0.0391299147819013,0.02689615411025776,0.019584236625839746,4.0,-8687.54633552131,False,0.1457737973711325,0.047482137028166636,0.08587008521809869,-0.04810384588974224,0.09842586816862528,0.019584236625839746,0.04739158223626733,0.0029310868128913517,True,True,0.5244427115,0.0319501698,0.5116079222,0.5349181593,0.0456430997,0.5165827461,0.0232787729,0.0304287332,0.011055164,0.4957631652,0.0293159568,0.5129736662,0.0554303672,0.0088055435,0.0469293222,0.4923629308,0.0249365119,0.5053842664,0.5,0.0,0.5,0.0315066909,0.0250117558,0.0116079222,5.618226266,3.4975089523,6.5329409661,1.2902136675,1.0090545173,0.4671644414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.021798197664082045,0.06818337332728724,0.13955869997214176,4.0,-9550.664668160134,False,0.19525624189766635,0.07158305539504875,0.10320180233591796,-0.08181662667271275,0.13169879424460929,0.13955869997214176,0.06633478439010222,0.02690409261821086,True,False,0.0190812696,0.0311123565,0.0299508417,0.4955416769,0.0711344988,0.5427869167,-0.0029722154,0.0474229992,0.0285246111,0.921458112,0.1161030183,0.8790714741,0.105056731,0.012615649,0.1031454131,0.9252803314,0.0918999942,0.8548317552,0.0,0.0,0.0,0.0190812696,0.0311123565,0.0299508417,6.7295666671,2.8730756317,9.0,1.6280516626,0.8871649653,0.9508430249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
