cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.06688231649868462,0.030392062216882045,0.003274925282858332,4.0,-11553.532353739747,False,0.291547594742265,0.0734637441601301,0.18311768350131538,0.18039206221688203,0.2570474316575588,0.003274925282858332,0.04171452624361433,0.06047164630052552,True,True,0.4912850382,0.0439315699,0.4923288689,0.4875500546,0.0627593855,0.4890412414,-0.0082999636,0.0418395903,-0.0073058391,0.8339334536,0.0350323506,0.861433804,0.0846261583,0.0154792961,0.0849289522,0.820064252,0.0465989034,0.8380901814,0.5,0.0,0.5,0.0363812361,0.0261216203,0.0076711311,7.2587223874,2.7592155124,9.0,1.9312359485,1.137410334,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.054735251101448196,0.08316347193445861,0.06460904128627498,4.0,-11162.488483935584,False,0.26100766272276377,0.09955958405564012,0.1952647488985518,0.15816347193445862,0.25128471106849454,0.06460904128627498,0.028530014416424266,0.0953842180590201,True,False,0.4971686224,0.0436757207,0.4834816331,0.4959551749,0.0623938868,0.476402333,-0.0026965501,0.0415959245,-0.015731778,0.8316186309,0.0362669128,0.8491031528,0.0752218797,0.0171211282,0.0644562468,0.8162057784,0.0454983632,0.8274655938,0.5,0.0,0.5,0.0360809704,0.0247739552,0.0165183669,6.8487469215,2.9730057558,9.0,1.7646194831,1.1760487924,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.0713137634554737,0.011762334089659352,-0.025973603571119663,4.0,-7931.418478485098,False,0.25,0.07227728108762821,0.1786862365445263,0.011762334089659352,0.17907295617619978,0.025973603571119663,0.0713137634554737,0.011762334089659352,True,True,0.4983539367,0.0443634992,0.4907703833,0.497648481,0.0633764275,0.4868148332,-0.0015676793,0.0422509517,-0.0087901112,0.8310564858,0.0365251795,0.8592606187,0.0425110811,0.0098430602,0.0321724191,0.8224600911,0.0394301275,0.8462992907,0.5,0.0,0.5,0.0368146232,0.0248095366,0.0092296167,7.0458860266,2.8630415765,9.0,0.7745284637,0.4572351666,0.8081176068,0.0142048177,0.0070700045,0.0204036382,0.0142048177,0.0070700045,0.0204036382,0.0,0.0,0.0
-0.25,0.075,0.0,-0.06523691697445895,0.0081109904467044,-0.06033672768626519,4.0,-11077.569861226404,False,0.26100766272276377,0.06573920825777399,0.18476308302554106,-0.0668890095532956,0.19649818433798275,0.06033672768626519,0.06481630979963601,0.010976770304446885,True,False,0.508690096,0.0436089835,0.5168837883,0.5124144229,0.0622985478,0.5241196975,0.0082762819,0.0415323652,0.0160797983,0.8286656269,0.0429263157,0.8471694589,0.0871075153,0.0175887841,0.0635304153,0.8175257897,0.0454493111,0.8301603198,0.5,0.0,0.5,0.0355092028,0.0267648598,0.0168837883,6.9022637173,2.8892510628,9.0,1.6528511233,0.9081934199,0.6558669773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.06837887889717945,-0.009539449896747808,-0.05150053216318995,4.0,-10890.162521364562,False,0.291547594742265,0.06904109054445544,0.18162112110282055,-0.15953944989674781,0.24174173761268927,0.05150053216318995,0.053726398441495855,0.0433606537551422,True,False,0.5127202191,0.04130649,0.5221661005,0.5181717416,0.0590092715,0.5316658579,0.0121144944,0.0393395143,0.0211105719,0.8288475183,0.0435785223,0.8393878937,0.1031043459,0.0180392587,0.0979113653,0.8205364355,0.0411373184,0.8214643598,0.5,0.0,0.5,0.0344929703,0.026043523,0.0221661005,7.2053774618,2.5676338586,9.0,1.7550066235,0.9684386179,0.6229128407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.04482586293355594,-0.19268863031986638,-0.18530940752005942,4.0,-16336.781029684653,False,0.19525624189766635,0.19783393602282717,0.16982586293355595,-0.04268863031986639,0.1751089457443941,0.18530940752005942,0.1193306879966327,0.15779243690536748,True,False,0.004221234,0.0129817884,0.0,0.4296837248,0.0658984638,0.3324005827,-0.0468775168,0.0439323092,-0.1117329448,1.6932013059,0.2317866677,1.7491738796,0.1000168526,0.0232101971,0.1156370416,1.6911850947,0.2430039677,1.754331708,0.0,0.0,0.0,0.004221234,0.0129817884,0.0,8.9801857812,0.1814978835,9.0,2.1369268711,1.1882908103,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03413706814038528,0.036998440075251285,0.03481351203100824,4.0,-8610.049138271172,False,0.1457737973711325,0.05034107656003463,0.09086293185961472,0.11199844007525128,0.14422109057074364,0.03481351203100824,0.010236754058790975,0.049289277287895936,True,True,0.5125076741,0.0328808835,0.5058020034,0.5178681058,0.0469726907,0.5082885763,0.0119120706,0.0313151271,0.0055257175,0.4998605053,0.0247095158,0.5181246996,0.0428879921,0.0060769233,0.041716177,0.4959958382,0.0281435395,0.5103846192,0.5,0.0,0.5,0.028719341,0.0203173291,0.0058020034,5.4198966097,3.6088722005,7.7128010132,1.443401351,1.1582491174,1.9411526435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.032728509256960615,0.021356422355099155,0.009573381723173902,4.0,-5495.782986939187,False,0.125,0.03908007285039699,0.09227149074303939,0.021356422355099155,0.09471074268398587,0.009573381723173902,0.032728509256960615,0.021356422355099155,True,True,0.4448295111,0.0312866492,0.4336096773,0.528327873,0.0446952131,0.5122995391,0.0188852487,0.0297968088,0.0081996927,0.4981559135,0.0226707513,0.4679383337,0.0242513762,0.0039880959,0.020525327,0.4955104016,0.0242437733,0.4617044926,0.425,0.0,0.425,0.0289261918,0.0231374017,0.0086096773,5.0705896121,3.6769364274,5.4926059237,0.3950094812,0.2354981157,0.4284834482,0.006891435,0.006100872,0.0169872177,0.006891435,0.006100872,0.0169872177,0.0,0.0,0.0
-0.125,0.075,0.0,-0.03808325642478538,0.023244048754474476,0.012492129842437638,4.0,-8613.336567388935,False,0.1457737973711325,0.04461636720326235,0.08691674357521462,-0.051755951245525525,0.10115927442923277,0.012492129842437638,0.04461508739547787,0.00033793358846917736,True,True,0.5280176412,0.0330110852,0.5209332176,0.5400252018,0.0471586931,0.5299045965,0.0266834678,0.0314391287,0.0199363977,0.4936562188,0.030561723,0.5047216415,0.0548015432,0.0087066985,0.0449167974,0.490979958,0.0263149391,0.4968409836,0.5,0.0,0.5,0.0338155875,0.027041191,0.0209332176,5.6268904485,3.4960796615,7.8145606575,1.2844531861,0.9909030916,0.4610125552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.0195969476919654,0.06611415668984863,0.13518026118789173,4.0,-9666.334074016711,False,0.19525624189766635,0.06895739317615976,0.1054030523080346,-0.08388584331015136,0.13470945825629893,0.13518026118789173,0.06333596224521401,0.0272704594776896,True,False,0.0183483181,0.0277142694,0.0390291223,0.496077239,0.06690989,0.555755889,-0.002615174,0.0446065934,0.0371705927,0.921458112,0.1161030183,0.8790714741,0.1016449837,0.0115360461,0.0983349606,0.9270715746,0.0940856411,0.8548464775,0.0,0.0,0.0,0.0183483181,0.0277142694,0.0390291223,6.8474207045,2.7585617005,9.0,1.6794210328,0.9118584431,0.830333725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
