cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.03181898034736832,0.028711418782431965,0.012598269526011951,4.0,-9482.70833053425,False,0.291547594742265,0.04285782400969977,0.21818101965263167,0.17871141878243196,0.2820296589720518,0.012598269526011951,0.012512647455391402,0.04099056882385856,True,True,0.4959968016,0.0321571332,0.4790668548,0.4942811452,0.0459387617,0.4700955069,-0.0038125699,0.0306258411,-0.0199363288,0.5464730015,0.0200744338,0.5479211211,0.1214306872,0.0213191,0.1194751859,0.5292161767,0.036915604,0.5216168761,0.5,0.0,0.5,0.0260262738,0.0193064726,0.0209331452,6.0449771254,3.1970973314,9.0,2.0252991631,0.9566328974,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.03377033326411624,0.04019396424554254,0.040206390956571525,4.0,-9239.489042531624,False,0.26100766272276377,0.0524975253754063,0.21622966673588376,0.11519396424554254,0.2449998330107894,0.040206390956571525,0.0207964622225628,0.048202669319934416,True,True,0.5065681604,0.0319753089,0.4936501834,0.5093830864,0.0456790127,0.4909288334,0.0062553909,0.0304526751,-0.0060474444,0.5443004049,0.0244808967,0.5611298084,0.1088012758,0.0229750351,0.0998270661,0.5214905725,0.0356738494,0.5222864151,0.5,0.0,0.5,0.0260651558,0.0196511771,0.0063498166,5.5932596923,3.4727293179,9.0,1.7788754627,1.0448136669,2.9411436735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.062033323779830556,0.007492463803841233,-0.043825693498884766,4.0,-7786.230399709467,False,0.25,0.062484160177001355,0.18796667622016944,0.007492463803841233,0.18811594398963072,0.043825693498884766,0.062033323779830556,0.007492463803841233,True,True,0.4979219544,0.0431612236,0.4850123731,0.4970313635,0.0616588909,0.4785891045,-0.001979091,0.0411059273,-0.0142739303,0.8329428163,0.0371997224,0.8512355089,0.0415169624,0.0107580317,0.0325725935,0.8235903835,0.0403951379,0.8384280801,0.5,0.0,0.5,0.0353291483,0.024880932,0.0149876269,7.0109490349,2.9109492761,9.0,0.7791332264,0.4293254803,0.7609775629,0.0151706911,0.0075782892,0.0210828685,0.0151706911,0.0075782892,0.0210828685,0.0,0.0,0.0
-0.25,0.075,0.0,-0.038916857707861276,0.03284141083407769,0.027568769374412994,4.0,-9123.592191535323,False,0.26100766272276377,0.05092229452240538,0.21108314229213873,-0.04215858916592231,0.2152520373896245,0.027568769374412994,0.04671249921298879,0.02027368976538604,True,True,0.5272305124,0.0291467802,0.5305831719,0.538900732,0.0416382574,0.5436902456,0.0259338213,0.0277588383,0.0291268304,0.5358225751,0.0297349897,0.5375625491,0.1426173469,0.0227027809,0.1294925362,0.5226281528,0.0284580782,0.5009202361,0.5,0.0,0.5,0.0324456688,0.0232015986,0.0305831719,5.7131583038,3.2617034335,9.0,1.6275102199,0.7542017654,1.0586016338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.041361574583827956,0.012396560746312676,-0.0029967413682567834,4.0,-8894.40664488307,False,0.291547594742265,0.043179330360608684,0.20863842541617206,-0.13760343925368732,0.24992938813709525,0.0029967413682567834,0.04184523548784161,0.010650391418049606,True,True,0.5336269145,0.0282672142,0.531363574,0.5480384492,0.0403817346,0.5448051058,0.0320256328,0.0269211564,0.0298700705,0.5307486062,0.0298075925,0.5368184447,0.1681124418,0.0264364589,0.1667770296,0.5278942835,0.0243878107,0.5127898455,0.5,0.0,0.5,0.0374421406,0.0229758762,0.031363574,5.9902146105,2.9755658967,7.1922116364,1.8082729549,0.802453039,0.9153751259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,-0.03986753938229303,-0.11689694514605549,0.015770357810762414,4.0,-15719.236114093696,False,0.19525624189766635,0.12350836603598395,0.08513246061770696,0.033103054853944505,0.09134192953670667,0.015770357810762414,0.11532529754668028,0.04420850853227524,True,True,0.0067315632,0.01278425,0.0,0.4661325965,0.0607765676,0.410861589,-0.022578269,0.0405177117,-0.0594256073,1.1005808043,0.1506613223,1.1369630098,0.1284786463,0.027922979,0.1513480991,1.1232175976,0.1539366521,1.1781667471,0.0,0.0,0.0,0.0067315632,0.01278425,0.0,8.8600141634,0.7525664859,9.0,2.0751277196,1.165255234,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.019827493260077135,0.013569691291512781,0.015073676115060941,4.0,-6289.238092367789,False,0.1457737973711325,0.02402636074659169,0.10517250673992287,0.08856969129151278,0.13749853231737783,0.015073676115060941,0.010020386633184098,0.021837075409652903,True,True,0.5146075459,0.0226665115,0.4966550251,0.5208679227,0.0323807308,0.4952214644,0.0139119485,0.0215871538,-0.0031856904,0.3275744829,0.0162941171,0.3383127749,0.0632556324,0.0082356111,0.0571534671,0.3233119635,0.0193421651,0.3272735476,0.5,0.0,0.5,0.021449418,0.0163423869,0.0033449749,4.1319530996,3.4785815517,2.615322013,1.3392597234,0.9716836792,1.5130721227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.030713854245435924,0.03353877059403329,0.027642952370169005,4.0,-5509.838786481626,False,0.125,0.04547735673463305,0.09428614575456408,0.03353877059403329,0.10007360498258316,0.027642952370169005,0.030713854245435924,0.03353877059403329,True,True,0.4407049972,0.0302258169,0.4263417762,0.5224357103,0.0431797384,0.5019168232,0.0149571402,0.0287864923,0.0012778821,0.4962935914,0.0235683509,0.4619158804,0.0241770863,0.00433133,0.0199731234,0.493343811,0.0249809602,0.4563213885,0.425,0.0,0.425,0.0273122917,0.0203540085,0.0013417762,5.0110461299,3.6456412611,4.8049078723,0.4092925266,0.2650447481,0.4550028501,0.0076106505,0.0058467929,0.0172090788,0.0076106505,0.0058467929,0.0172090788,0.0,0.0,0.0
-0.125,0.075,0.0,-0.019993176391652958,0.018409805807495346,0.01921019968760096,4.0,-6114.963887348521,False,0.1457737973711325,0.027178080360787782,0.10500682360834704,-0.05659019419250465,0.11928488203900733,0.01921019968760096,0.02661577426456685,0.0054998738526496945,True,True,0.5381345955,0.0203340956,0.5209924972,0.5544779935,0.029048708,0.5299892817,0.0363186623,0.0193658053,0.0199928544,0.3169798107,0.0166914251,0.3280350566,0.0846972787,0.0125414765,0.0731101707,0.3171736604,0.0101062579,0.3165641427,0.5,0.0,0.5,0.0391901972,0.018216785,0.0209924972,3.9797306033,3.277353078,2.9900255851,1.1832170735,0.8688115703,0.5029639733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.021788746407607522,0.027090233435475907,0.07371205283914739,4.0,-6861.194413194684,False,0.19525624189766635,0.034765359448790494,0.10321125359239247,-0.12290976656452408,0.1604972697121635,0.07371205283914739,0.03476010933278873,0.0006041661825857876,True,False,0.0281936782,0.0280272291,0.0448083663,0.5372746934,0.0434420962,0.5640119519,0.0248497956,0.0289613974,0.0426746346,0.5989477444,0.0754669564,0.5713964105,0.1659638376,0.0238127047,0.1594569534,0.6228550586,0.0477101146,0.5559952855,0.0,0.0,0.0,0.0281936782,0.0280272291,0.0448083663,4.5307498928,2.5099564491,6.4068077517,1.5357914419,0.7281499996,0.5150730064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
