cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.03310126001144461,0.034110234945190186,0.029849083683014865,4.0,-9326.611980005113,False,0.291547594742265,0.04753105871281783,0.21689873998855538,0.1841102349451902,0.28450244642216366,0.029849083683014865,0.010834525196049247,0.046279742935084564,True,True,0.508226136,0.0329063374,0.5033102701,0.5117516229,0.0470090534,0.5047289573,0.0078344153,0.0313393689,0.0031526382,0.5427886824,0.0238890895,0.5637000203,0.1233593042,0.0189512203,0.1263063252,0.5302268763,0.0419274446,0.5357946157,0.5,0.0,0.5,0.028245169,0.0187804895,0.0033102701,5.9152852609,3.2839509435,9.0,1.9914496987,1.0008453306,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.034055963727193946,0.03001194579606872,0.024265866943016468,4.0,-8961.18653983321,False,0.26100766272276377,0.045393012191901484,0.21594403627280606,0.10501194579606872,0.24012358393474692,0.024265866943016468,0.023995828060212335,0.03853213972204039,True,True,0.5180500105,0.0315217238,0.5061709349,0.5257857294,0.045031034,0.5088156213,0.0171904862,0.0300206893,0.0058770808,0.5389767285,0.026877643,0.5609468222,0.1134120844,0.0198989912,0.1026471555,0.5211329415,0.040689112,0.521476984,0.5,0.0,0.5,0.0303948226,0.0198891104,0.0061709349,5.6361642207,3.3519909565,6.9374729701,1.7957577838,0.9971617393,2.3860324722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06836346874679636,-0.005475831659445503,-0.07441256406651298,4.0,-7996.305281171161,False,0.25,0.0685824218838675,0.18163653125320364,-0.005475831659445503,0.1817190529858072,0.07441256406651298,0.06836346874679636,0.005475831659445503,True,False,0.5046779838,0.0432593042,0.4942078547,0.5066828339,0.061799006,0.4917255067,0.0044552226,0.0411993373,-0.0055163288,0.8293182677,0.0392999587,0.8640545011,0.0417827867,0.0098343495,0.0297190566,0.8207988718,0.0425589087,0.8492763638,0.5,0.0,0.5,0.0361341,0.0242400031,0.0057921453,7.1246984587,2.7873513772,9.0,0.7535278775,0.4285388427,0.4266076253,0.0139035745,0.0084614754,0.0216173149,0.0139035745,0.0084614754,0.0216173149,0.0,0.0,0.0
-0.25,0.075,0.0,-0.03785301652112291,0.037922443717183466,0.02088289501677787,4.0,-8894.51772050689,False,0.26100766272276377,0.053581364271837566,0.2121469834788771,-0.03707755628281653,0.21536268892055646,0.02088289501677787,0.04715354821648343,0.025446129132485423,True,True,0.5353201554,0.0310797737,0.5301160599,0.5504573649,0.0443996767,0.5430229427,0.0336382433,0.0295997844,0.0286819618,0.5291813928,0.0318174827,0.5380080342,0.143895915,0.0218203863,0.1207965687,0.5179280049,0.0351023533,0.4954716563,0.5,0.0,0.5,0.0393877879,0.0257306796,0.0301160599,5.5202176903,3.1994814424,9.0,1.603822428,0.7035910419,0.9306783584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.03614884477389332,0.04252575856648337,0.04905652949648098,4.0,-8871.981097355274,False,0.291547594742265,0.05581378969521661,0.21385115522610668,-0.10747424143351662,0.23933873310279344,0.04905652949648098,0.05287670094508587,0.017867109931542485,True,True,0.5424437636,0.0280011805,0.5341611767,0.5606339479,0.0400016865,0.548801681,0.040422632,0.026667791,0.032534454,0.5240636313,0.0309792099,0.5341526866,0.1742864781,0.0215279584,0.1608641893,0.5230944762,0.0303172356,0.4996285737,0.5,0.0,0.5,0.044017246,0.0254562612,0.0341611767,5.776366794,3.0254553133,8.6606507335,1.8098817787,0.721991001,1.072764828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,-0.038356540390475334,-0.08392222789955847,0.050673721125870874,4.0,-15914.030820143898,False,0.19525624189766635,0.0922722305265869,0.08664345960952466,0.06607777210044152,0.10896495335136532,0.050673721125870874,0.08902610008674423,0.02425939054668511,True,False,0.0068316476,0.0136683977,0.0,0.4690857891,0.0547797107,0.4586427761,-0.0206094739,0.0365198071,-0.0275714826,1.1005808043,0.1506613223,1.1369630098,0.1290645765,0.0240035852,0.1560681909,1.1213006866,0.1564807831,1.1971421242,0.0,0.0,0.0,0.0068316476,0.0136683977,0.0,8.9387844563,0.4104838355,9.0,2.1212073222,1.1394753422,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.019487860520445297,0.014490338185775466,0.016932487140941532,4.0,-6287.257424413728,False,0.1457737973711325,0.02428469905933514,0.1055121394795547,0.08949033818577547,0.1383522034741676,0.016932487140941532,0.009255485042263742,0.022451784005617578,True,True,0.5255705867,0.0218409429,0.5154565499,0.5365294095,0.0312013471,0.5220807856,0.0243529397,0.020800898,0.0147205237,0.3237175761,0.0175352402,0.3312170506,0.0673065786,0.0074301578,0.0632279515,0.3217621711,0.0214549974,0.3170501888,0.5,0.0,0.5,0.0274391697,0.0194415445,0.0154565499,4.0343724714,3.3482479423,3.3073387378,1.3527661281,0.9795924463,1.5367039404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03291766055283773,0.021575077365090997,0.009455977264976045,4.0,-5480.508163906904,False,0.125,0.039358053046124004,0.09208233944716226,0.021575077365090997,0.09457611327059322,0.009455977264976045,0.03291766055283773,0.021575077365090997,True,True,0.4473762803,0.0312878644,0.4342952311,0.5319661147,0.0446969491,0.5132789016,0.0213107432,0.0297979661,0.0088526011,0.4992874318,0.0216591261,0.4685068429,0.0243442883,0.0032970656,0.0208492,0.4969613816,0.0235162917,0.4612227678,0.425,0.0,0.425,0.0303337201,0.0236536213,0.0092952311,5.084946794,3.6619945008,4.7756601465,0.3941153671,0.2256224988,0.4058937107,0.0070265109,0.0074714212,0.0195830322,0.0070265109,0.0074714212,0.0195830322,0.0,0.0,0.0
-0.125,0.075,0.0,-0.020437453492251578,0.014404149474443535,0.02014001340457028,4.0,-5906.146542952681,False,0.1457737973711325,0.025003380318070156,0.10456254650774842,-0.060595850525556466,0.12085190620383542,0.02014001340457028,0.024935845554329695,0.0018364732017304775,True,True,0.5461212803,0.0203782371,0.5353304148,0.5658875433,0.0291117672,0.5504720211,0.0439250289,0.0194078448,0.0336480141,0.3126768585,0.0168350111,0.3198237121,0.0860281548,0.012887427,0.0731311962,0.3142117026,0.0133643299,0.3046314716,0.5,0.0,0.5,0.046825341,0.0187038094,0.0353304148,3.8587823919,3.3274577014,2.7161269093,1.178888949,0.8888608389,0.4744561227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.02238692292095236,0.02964428910005886,0.07591696674254866,4.0,-6374.777838398881,False,0.19525624189766635,0.037147788549475334,0.10261307707904764,-0.12035571089994113,0.15816112270043098,0.07591696674254866,0.03710513251568663,0.0017797008484196231,True,False,0.0334465096,0.0291604633,0.0520157894,0.5467090277,0.0430016664,0.5743082706,0.0311393518,0.0286677776,0.0495388471,0.5989477444,0.0754669564,0.5713964105,0.1663885016,0.0247143599,0.1597761363,0.6331412676,0.0547029828,0.5641309619,0.0,0.0,0.0,0.0334465096,0.0291604633,0.0520157894,3.9682866809,2.3186277989,4.4129977204,1.4902186507,0.699294409,0.3999579216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
