cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.031652034013472094,0.040531861140381625,0.04324720934794757,4.0,-9215.221824396933,False,0.291547594742265,0.051426481745236785,0.2183479659865279,0.19053186114038162,0.2897899659409753,0.04324720934794757,0.006287924734660901,0.05104062134441951,True,True,0.5111633285,0.0318607077,0.5015113221,0.5159476121,0.0455152967,0.5021590316,0.0106317414,0.0303435311,0.0014393544,0.5423229913,0.0243376271,0.5654326677,0.1254998444,0.0209782401,0.1275416464,0.527828459,0.0430428799,0.5303999782,0.5,0.0,0.5,0.0277007544,0.0192974818,0.0015113221,5.7953678849,3.3176451691,9.0,1.9665774789,1.0178666428,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.02959569198753737,0.05394015387858786,0.058121635970910024,4.0,-9253.447725942337,False,0.26100766272276377,0.06152597162716669,0.22040430801246264,0.12894015387858787,0.255349999554898,0.058121635970910024,0.012847942550836787,0.060169556728276785,True,False,0.5199612234,0.03251669,0.5092973385,0.5285160334,0.0464524142,0.5132819121,0.0190106889,0.0309682761,0.0088546081,0.5381255093,0.0286534628,0.5579409003,0.1160432193,0.0224711048,0.1080817953,0.5207319652,0.0429624719,0.5127650499,0.5,0.0,0.5,0.0312977723,0.0218228094,0.0092973385,5.6111117728,3.4177734737,9.0,1.7916995114,1.0477518451,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.07066954758204913,-0.00666519359854051,-0.05234517113445447,4.0,-7947.912111561436,False,0.25,0.07098316533627907,0.17933045241795087,-0.00666519359854051,0.17945427264384922,0.05234517113445447,0.07066954758204913,0.00666519359854051,True,False,0.5012539048,0.0447684833,0.4950721225,0.5017912925,0.0639549761,0.492960175,0.001194195,0.0426366508,-0.0046932166,0.8290875104,0.0397264163,0.8652601242,0.0417880903,0.0094635309,0.0356448181,0.8201460809,0.0430587348,0.8465961218,0.5,0.0,0.5,0.0374236799,0.0246019827,0.0049278775,6.9293033121,2.9569078134,9.0,0.7526474852,0.4272162666,0.5437386863,0.0133841163,0.0083270714,0.0262890183,0.0133841163,0.0083270714,0.0262890183,0.0,0.0,0.0
-0.25,0.075,0.0,-0.036242826203653995,0.023802930288421117,0.01593287093532192,4.0,-8694.79756632134,False,0.26100766272276377,0.04336037294055142,0.213757173796346,-0.05119706971157888,0.2198027963799677,0.01593287093532192,0.041554053277222634,0.012384772818967913,True,True,0.5342054977,0.0312480354,0.5327453855,0.5488649967,0.0446400506,0.5467791222,0.0325766644,0.0297600338,0.0311860815,0.5302318867,0.0327604577,0.5355013609,0.1401187672,0.0245127752,0.1239135042,0.5218737544,0.0365066809,0.4914643466,0.5,0.0,0.5,0.0381044436,0.0263535039,0.0327453855,5.6081785867,3.2906708924,9.0,1.6217679121,0.7449743236,0.9646603596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.036055301793785875,0.026918221783505215,0.03695152152616599,4.0,-8918.281144539593,False,0.291547594742265,0.04499528254636205,0.21394469820621412,-0.12308177821649478,0.24682272589752033,0.03695152152616599,0.044766477073872414,0.00453188501855571,True,True,0.5401234761,0.0297472748,0.5337620026,0.5573192516,0.0424961068,0.5482314322,0.0382128344,0.0283307379,0.0321542881,0.5260939281,0.0326580619,0.5345329046,0.1693989806,0.0221970015,0.1548992991,0.5263418089,0.0335864676,0.5008781552,0.5,0.0,0.5,0.041873181,0.0272292197,0.0337620026,5.8434026803,2.9618037572,9.0,1.8315516618,0.7239556273,1.0267202959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,-0.04214241548022407,-0.08085411545527847,0.040969848766504335,4.0,-15937.568309840231,False,0.19525624189766635,0.09117769008130953,0.08285758451977593,0.06914588454472152,0.10791910239583986,0.040969848766504335,0.08909276899038633,0.019386843017597997,True,True,0.004919649,0.0121612308,0.0,0.4667416474,0.0490787646,0.4613950495,-0.0221722351,0.0327191764,-0.0257366337,1.1005808043,0.1506613223,1.1369630098,0.1277985686,0.0215951131,0.1524646729,1.1212842906,0.1565985024,1.1925683022,0.0,0.0,0.0,0.004919649,0.0121612308,0.0,8.9091564263,0.565920087,9.0,2.1257567637,1.1674440013,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.02021630927268388,0.004352990415173523,0.001800443681858055,4.0,-6025.355759688845,False,0.1457737973711325,0.020679644246538596,0.10478369072731612,0.07935299041517352,0.1314401724370006,0.001800443681858055,0.015095747093319857,0.01413386379791181,True,True,0.5286330079,0.0218488006,0.5197665142,0.540904297,0.0312125723,0.5282378774,0.0272695314,0.0208083815,0.0188252516,0.3221025936,0.0175450312,0.3287391961,0.0674875081,0.008166648,0.0650919005,0.3208112361,0.0214670819,0.3142182231,0.5,0.0,0.5,0.0302194107,0.0195960825,0.0197665142,4.0026800414,3.3012867377,2.7877969918,1.326688833,0.9343840244,1.538505144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03205338073161348,0.025023534097644,0.0168136346047425,4.0,-5530.788156560301,False,0.125,0.04066443747381392,0.09294661926838652,0.025023534097644,0.09625617534557641,0.0168136346047425,0.03205338073161348,0.025023534097644,True,True,0.4494405548,0.0320538813,0.4413551211,0.5349150783,0.0457912591,0.5233644587,0.0232767188,0.030527506,0.0155763058,0.5001527332,0.0215116648,0.4743651748,0.0250536958,0.0037335445,0.0216111597,0.4979167944,0.0233546763,0.4664366245,0.425,0.0,0.425,0.0316538568,0.0249564696,0.0163551211,5.0231480174,3.5674523795,4.9645370537,0.402361462,0.2405839043,0.4430757708,0.0067865267,0.0071771989,0.0197057694,0.0067865267,0.0071771989,0.0197057694,0.0,0.0,0.0
-0.125,0.075,0.0,-0.01994990204933329,0.014474190358958586,0.02042248274794045,4.0,-5874.202157755529,False,0.1457737973711325,0.024647530876851786,0.10505009795066671,-0.060525809641041414,0.12123900656203122,0.02042248274794045,0.024553809378895706,0.00214737591264681,True,True,0.5474364108,0.0210645936,0.5324747099,0.5677663012,0.0300922766,0.5463924427,0.0451775341,0.0200615177,0.0309282951,0.3119800441,0.0168508375,0.3214556277,0.0861402959,0.0125409724,0.0715226158,0.3150849895,0.0150461693,0.3060702085,0.5,0.0,0.5,0.0480247845,0.0196862959,0.0324747099,3.822179312,3.3528531371,2.1650387381,1.1900723619,0.9035618652,0.4799075656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.022528188112792953,0.029219868767858988,0.06960250887054131,4.0,-6267.841771825825,False,0.19525624189766635,0.03689607012211852,0.10247181188720705,-0.12078013123214101,0.1583929049291677,0.06960250887054131,0.03686951955702886,0.0013994706464064977,True,False,0.0338567476,0.0325870744,0.0483517187,0.5454833,0.049944048,0.5690738838,0.0303222,0.033296032,0.0460492559,0.5989477444,0.0754669564,0.5713964105,0.1673657328,0.023698178,0.1541274041,0.6388779742,0.0541691846,0.5679555535,0.0,0.0,0.0,0.0338567476,0.0325870744,0.0483517187,3.956700256,2.3046849952,3.3028646092,1.5045548986,0.7040328646,0.4525305995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
