cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.06296240321130331,0.02712646383797461,-0.02903474469973122,4.0,-11814.69151344917,False,0.291547594742265,0.06855734284885669,0.1870375967886967,0.1771264638379746,0.25759822748659666,0.02903474469973122,0.04003336483515714,0.0556546400443924,True,True,0.4926700068,0.0413720441,0.4824236631,0.4895285811,0.0591029202,0.4748909473,-0.0069809459,0.0394019468,-0.0167393684,0.8353567043,0.0331752159,0.8476295471,0.0824620281,0.0159670392,0.0749434233,0.8223043638,0.0446733187,0.8333365321,0.5,0.0,0.5,0.0342220326,0.0243767783,0.0175763369,7.4266408388,2.5322710245,9.0,1.9575484708,1.0989914345,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.06573734801136731,0.020752062399420065,-0.027041061036872094,4.0,-11404.604366752834,False,0.26100766272276377,0.06893509278587388,0.18426265198863268,0.09575206239942007,0.20765640460054777,0.027041061036872094,0.05700189859440378,0.038766358792519454,True,True,0.4972146697,0.0420996052,0.4817804119,0.4960209567,0.0601422932,0.4739720169,-0.0026526955,0.0400948621,-0.0173519887,0.832715627,0.0370955692,0.8467337489,0.0732981647,0.0173548573,0.063809894,0.8177937487,0.0459697402,0.8215683699,0.5,0.0,0.5,0.0348260952,0.0238175968,0.0182195881,7.0606280496,2.8788383381,9.0,1.7712197679,1.1128751538,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06730575861059775,-8.154248754723478e-05,-0.04227178605348936,4.0,-7920.27292411131,False,0.25,0.06730580800588704,0.18269424138940227,-8.154248754723478e-05,0.1826942595869571,0.04227178605348936,0.06730575861059775,8.154248754723478e-05,True,True,0.4988731973,0.0421772189,0.4930233587,0.4983902818,0.0602531698,0.4900333695,-0.0010731455,0.0401687799,-0.0066444203,0.8325350341,0.0367606864,0.8624024391,0.0416399509,0.0093104901,0.0328867994,0.8230250841,0.0391149959,0.8472951651,0.5,0.0,0.5,0.034769145,0.0239017579,0.0069766413,6.9625367591,2.9448879865,9.0,0.7763450462,0.4338187018,0.6911300114,0.0145028068,0.0072382932,0.0230715536,0.0145028068,0.0072382932,0.0230715536,0.0,0.0,0.0
-0.25,0.075,0.0,-0.0704830088779726,0.013451783478417348,-0.03604216391552417,4.0,-11035.031172398543,False,0.26100766272276377,0.07175517416355831,0.1795169911220274,-0.06154821652158265,0.189774953717538,0.03604216391552417,0.07137582010441744,0.0073686717707076325,True,True,0.5080709168,0.0411954214,0.5072638389,0.5115298811,0.058850602,0.5103769128,0.0076865874,0.0392337347,0.0069179418,0.8301831269,0.0408300633,0.8613780737,0.0867677281,0.0172805818,0.076614283,0.8173384026,0.0426903269,0.8337748647,0.5,0.0,0.5,0.0338560252,0.0248187832,0.0072638389,6.9925371954,2.796014715,9.0,1.6054678741,0.945772984,0.6958134919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.07362673039961991,-0.015408118731463435,-0.08070701824841009,4.0,-11232.631112119041,False,0.291547594742265,0.07522170931440729,0.17637326960038008,-0.16540811873146344,0.24180028116569727,0.08070701824841009,0.0552069887745575,0.05109299308738011,True,False,0.5103564228,0.037986154,0.5092335909,0.5147948897,0.0542659343,0.5131908441,0.0098632598,0.0361772895,0.0087938961,0.8317305115,0.0411824938,0.8584648967,0.1060278414,0.0161002477,0.0922969356,0.8214695892,0.0386897434,0.8395959139,0.5,0.0,0.5,0.0318520244,0.0231441554,0.0092335909,7.3352594858,2.5042891743,9.0,1.7255093072,1.0454588861,0.4427238519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.008266979498223508,-0.14271113397655188,-0.09521944730929388,4.0,-16080.988021837944,False,0.19525624189766635,0.14295037849161993,0.1332669794982235,0.0072888660234481095,0.13346615822929683,0.09521944730929388,0.10434133864915045,0.09771231119874656,True,False,0.0039275157,0.0124826245,0.0,0.4350765281,0.0603117594,0.4151950665,-0.0432823146,0.0402078396,-0.0565366223,1.6932013059,0.2317866677,1.7491738796,0.0968698483,0.0226256577,0.1210754961,1.6921425664,0.2419582217,1.7668912411,0.0,0.0,0.0,0.0039275157,0.0124826245,0.0,8.9985325429,0.0207010294,9.0,2.0905235923,1.1031137754,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.0375316185255191,0.016544424298508355,0.002795309372442878,4.0,-8470.024779571593,False,0.1457737973711325,0.04101634265160855,0.0874683814744809,0.09154442429850836,0.12661397781410488,0.002795309372442878,0.02367106129859992,0.03349658522166234,True,True,0.5129788983,0.0325833264,0.5060368722,0.5185412833,0.0465476091,0.5086241032,0.0123608555,0.0310317394,0.0057494021,0.4996543768,0.0251401328,0.5179161429,0.0428930496,0.0068038237,0.0412443131,0.4955102481,0.0279405542,0.5083258748,0.5,0.0,0.5,0.0290593689,0.0196386872,0.0060368722,5.3525858856,3.5117227967,7.95510462,1.3996761722,1.1268673714,1.9875841237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03358200079371392,0.015756718225915584,0.00851251225989591,4.0,-5474.986048089219,False,0.125,0.03709481023755079,0.09141799920628607,0.015756718225915584,0.09276596761814875,0.00851251225989591,0.03358200079371392,0.015756718225915584,True,True,0.4448128406,0.0305196942,0.4357374135,0.528304058,0.0435995631,0.5153391622,0.018869372,0.0290663754,0.0102261081,0.4982089126,0.0223314786,0.4697029591,0.0246430302,0.0040934979,0.0206585135,0.4953063495,0.0239968042,0.4630405307,0.425,0.0,0.425,0.0283071415,0.0228627673,0.0107374135,5.0550654074,3.6140070329,4.9718307258,0.3977298905,0.2291311412,0.4322937994,0.0075060239,0.0069504683,0.0185508475,0.0075060239,0.0069504683,0.0185508475,0.0,0.0,0.0
-0.125,0.075,0.0,-0.0372416162052479,0.016322025759771045,0.00508591279397741,4.0,-8586.5510319952,False,0.1457737973711325,0.04066136375580156,0.08775838379475209,-0.058677974240228956,0.1055681703318002,0.00508591279397741,0.040332035411482677,0.005164631840559446,True,True,0.5278699708,0.0325949542,0.5208831653,0.539814244,0.0465642202,0.5298330933,0.0265428293,0.0310428135,0.0198887289,0.4937166794,0.0305544566,0.5047658682,0.0551869816,0.0087313995,0.0474987626,0.4903228703,0.0256835699,0.4945296347,0.5,0.0,0.5,0.0338098093,0.0263830079,0.0208831653,5.5253851217,3.5391900275,7.8847199546,1.2964633114,1.0179005535,0.4765543347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.01889011177810044,0.06982264055134883,0.13588354593037644,4.0,-9713.21101666771,False,0.19525624189766635,0.07233282419864437,0.10610988822189957,-0.08017735944865116,0.13299517790740473,0.13588354593037644,0.06573239313748297,0.03018757938244424,True,False,0.0198407855,0.0295189896,0.0260300595,0.4973317949,0.0703704065,0.5371857993,-0.0017788034,0.0469136043,0.0247905329,0.921458112,0.1161030183,0.8790714741,0.1050154836,0.011417924,0.1022786573,0.927925047,0.0925119089,0.8541523218,0.0,0.0,0.0,0.0198407855,0.0295189896,0.0260300595,6.8303453338,2.7527369563,9.0,1.666433449,0.8850648925,0.8439656886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
