cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.07692261622914563,0.029933939295588997,0.15098610184830252,4.0,-14067.559053565756,False,0.291547594742265,0.08254168407107058,0.17307738377085435,0.17993393929558898,0.24966378047965287,0.15098610184830252,0.05055971453298754,0.0652445007309523,True,False,0.47175724,0.0312485358,0.4442291141,0.4596532,0.0446407655,0.4203273058,-0.0268978667,0.0297605103,-0.0531151295,0.895847452,0.0627008134,0.8858160377,0.0857243718,0.0152765421,0.1083288044,0.901516211,0.0620454102,0.9043360949,0.5,0.0,0.5,0.0339522736,0.0249272462,0.0557708859,8.2210348882,1.9243380217,5.1642756139,2.0061768971,1.0301061138,1.7565514829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.028180353236991206,0.025650391977559125,0.07453034981658546,4.0,-11460.864851075978,False,0.26100766272276377,0.03810610078667234,0.2218196467630088,0.10065039197755912,0.2435866521287698,0.07453034981658546,0.01962129715850757,0.03266618457949402,True,False,0.480834223,0.0241686142,0.4494171461,0.4726203186,0.0345265916,0.4277387802,-0.0182531209,0.0230177278,-0.0481741466,0.8042240694,0.0233861119,0.7816322446,0.0789474219,0.0113968795,0.0811180547,0.7983926702,0.0244147599,0.7751348615,0.5,0.0,0.5,0.0235425639,0.0199297919,0.0505828539,6.9700617622,2.9733398008,2.2639959966,1.8346059284,0.9232834877,1.8132953997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06730575861059775,-8.154248754723478e-05,-0.04227178605348936,4.0,-7920.27292411131,False,0.25,0.06730580800588704,0.18269424138940227,-8.154248754723478e-05,0.1826942595869571,0.04227178605348936,0.06730575861059775,8.154248754723478e-05,True,True,0.4988731973,0.0421772189,0.4930233587,0.4983902818,0.0602531698,0.4900333695,-0.0010731455,0.0401687799,-0.0066444203,0.8325350341,0.0367606864,0.8624024391,0.0416399509,0.0093104901,0.0328867994,0.8230250841,0.0391149959,0.8472951651,0.5,0.0,0.5,0.034769145,0.0239017579,0.0069766413,6.9625367591,2.9448879865,9.0,0.7763450462,0.4338187018,0.6911300114,0.0145028068,0.0072382932,0.0230715536,0.0145028068,0.0072382932,0.0230715536,0.0,0.0,0.0
-0.25,0.075,0.0,-0.0014681462698903042,-0.0057143158467611995,0.011203581002760199,4.0,-3722.676149303606,False,0.26100766272276377,0.005899903309914407,0.2485318537301097,-0.0807143158467612,0.2613099368587719,0.011203581002760199,-0.00023576748817477134,0.005895190646438735,False,True,0.4940742222,0.0163129545,0.4825041571,0.4915346031,0.0233042207,0.4750059387,-0.0056435979,0.0155361471,-0.0166627076,0.7840230951,0.0258189149,0.7868828177,0.0951309954,0.0175127985,0.0763263404,0.7671634328,0.0330867352,0.7554697394,0.5,0.0,0.5,0.0136846313,0.0106751203,0.0174958429,2.1225375527,1.9490007251,1.0996054414,1.5751288025,0.4204044171,1.2828822876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.009871244033908476,-0.034972584536229735,-0.005898615852129252,4.0,-6444.09001014595,False,0.291547594742265,0.03633900284708854,0.2401287559660915,-0.18497258453622972,0.3031116567732679,0.005898615852129252,-0.009528724373161873,0.03506745698993612,False,True,0.4927926154,0.022117964,0.4916169435,0.4897037363,0.0315970915,0.488024205,-0.0068641758,0.0210647276,-0.0079838634,0.8103349239,0.0367207181,0.8121795654,0.1125461915,0.0174783253,0.1045957059,0.7943613172,0.0403259996,0.7752992511,0.5,0.0,0.5,0.016834719,0.0160543751,0.0083830565,4.4544313184,2.864705841,2.8425613332,2.1429243929,0.6633483721,1.2593161355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.03384832953091161,-0.1648215658382236,-0.09570575448837126,4.0,-16379.763284122218,False,0.19525624189766635,0.16826127890099096,0.1588483295309116,-0.01482156583822361,0.15953830451856346,0.09570575448837126,0.10495026169309113,0.1315192022023733,True,False,0.0040367012,0.0128802786,0.0,0.4539434861,0.0511118787,0.4693695195,-0.0307043426,0.0340745858,-0.0204203203,1.4728134349,0.3640850875,1.2780452967,0.0878035537,0.0193080596,0.0835974813,1.4758481467,0.3736196355,1.3187154531,0.0,0.0,0.0,0.0040367012,0.0128802786,0.0,8.9522993099,0.3927223043,9.0,2.2059733265,1.111661447,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03813734750963827,0.056709552055991604,0.1262018354050768,4.0,-12033.304782436859,False,0.1457737973711325,0.06834054850132631,0.08686265249036174,0.1317095520559916,0.15777365591394307,0.1262018354050768,0.003525681869951696,0.0682495431253135,True,False,0.4984178123,0.0245836199,0.4901308147,0.4977397319,0.035119457,0.4859011639,-0.0015068454,0.0234129713,-0.0093992241,0.5367914587,0.0415083599,0.5597616434,0.0475418391,0.0063227659,0.0367399901,0.5413033065,0.0379867213,0.5665155053,0.5,0.0,0.5,0.0202249017,0.0140645312,0.0098691853,7.1480906069,3.1044098015,2.4041529501,1.5325931989,1.1660462328,0.7195705462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03358200079371392,0.015756718225915584,0.00851251225989591,4.0,-5474.986048089219,False,0.125,0.03709481023755079,0.09141799920628607,0.015756718225915584,0.09276596761814875,0.00851251225989591,0.03358200079371392,0.015756718225915584,True,True,0.4448128406,0.0305196942,0.4357374135,0.528304058,0.0435995631,0.5153391622,0.018869372,0.0290663754,0.0102261081,0.4982089126,0.0223314786,0.4697029591,0.0246430302,0.0040934979,0.0206585135,0.4953063495,0.0239968042,0.4630405307,0.425,0.0,0.425,0.0283071415,0.0228627673,0.0107374135,5.0550654074,3.6140070329,4.9718307258,0.3977298905,0.2291311412,0.4322937994,0.0075060239,0.0069504683,0.0185508475,0.0075060239,0.0069504683,0.0185508475,0.0,0.0,0.0
-0.125,0.075,0.0,-0.008003024392579302,-0.018508443555404076,-0.00815349153439493,4.0,-3039.576653751512,False,0.1457737973711325,0.020164594770830335,0.1169969756074207,-0.09350844355540408,0.1497735668181725,0.00815349153439493,-0.0026599788478836725,0.019988381495273932,False,True,0.5160038448,0.0151583634,0.5077701692,0.5228626354,0.0216548048,0.5111002417,0.0152417569,0.0144365365,0.0074001611,0.4790725006,0.025273664,0.4860242605,0.0548967014,0.0107756705,0.0439440794,0.4743114968,0.0251898471,0.4705941379,0.5,0.0,0.5,0.0176000144,0.0132717189,0.0077701692,1.6044954757,2.2207838852,0.42396986,1.1394241786,0.4920734708,0.7093472498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.05731142682631416,-0.023826520802898966,0.021664160882691297,4.0,-9620.812924061354,False,0.19525624189766635,0.062066921451276603,0.06768857317368585,-0.17382652080289895,0.1865406182919154,0.021664160882691297,0.01838584107716216,0.05928122456835955,True,True,0.0149871887,0.0274617254,0.0,0.4816147199,0.068778453,0.4815869145,-0.0122568534,0.045852302,-0.0122753903,1.0873977658,0.3156777529,0.5461204648,0.1051342724,0.0204453938,0.1354170591,1.0813760534,0.3379861519,0.4664532542,0.0,0.0,0.0,0.0149871887,0.0274617254,0.0,6.8105336753,2.8836343184,8.8997156862,1.8593469964,1.0627145735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
