cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.052636292003891666,0.10630622129792183,0.23478610934654687,4.0,-13901.389968304075,False,0.291547594742265,0.11862374097355756,0.19736370799610833,0.2563062212979218,0.3234892769629194,0.23478610934654687,-0.009558851604243239,0.11823798153964629,False,False,0.4772704161,0.0311879572,0.4389122041,0.4675291658,0.0445542246,0.4127317201,-0.0216472228,0.0297028164,-0.0581788532,0.8945677796,0.0634390237,0.8804492354,0.085464588,0.0154614347,0.1041848212,0.9017416921,0.061227295,0.9049623013,0.5,0.0,0.5,0.0308547796,0.0231798455,0.0610877959,8.2345005855,1.8973583584,8.9560829956,1.9617869475,1.1071875956,1.0984959001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.03044861112468449,0.0026095505850892275,0.05005447330382928,4.0,-11315.46533614088,False,0.26100766272276377,0.030560230262195336,0.2195513888753155,0.07760955058508923,0.2328648850709345,0.05005447330382928,0.028414631240796157,0.011248840168122687,True,False,0.4851166549,0.0242431285,0.455643473,0.4787380785,0.0346330408,0.4366335329,-0.0141746143,0.0230886939,-0.0422443114,0.8040194654,0.0232907648,0.7888433933,0.0783719713,0.01177053,0.0834116414,0.7981684947,0.024423457,0.7829358578,0.5,0.0,0.5,0.0210360653,0.0191501227,0.044356527,7.0239449113,2.9034199581,2.046313348,1.8088100266,0.9372449794,1.2457847365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.0754759973462142,0.0009521984153080354,-0.06348933558527992,4.0,-8068.608730953349,False,0.25,0.07548200353215227,0.17452400265378581,0.0009521984153080354,0.17452660021933836,0.06348933558527992,0.0754759973462142,0.0009521984153080354,True,False,0.5005510357,0.0407965293,0.4963168308,0.5007871939,0.0582807562,0.4947383298,0.0005247959,0.0388538374,-0.0035077801,0.8326616761,0.0356427425,0.8669967055,0.0433680322,0.0081533023,0.0337831862,0.8246714684,0.0377860777,0.8532504439,0.5,0.0,0.5,0.0340885791,0.0224193939,0.0036831692,7.1177810961,2.8287752516,9.0,0.7346663468,0.4366471176,0.6523364378,0.0130581919,0.0077417691,0.0228528096,0.0130581919,0.0077417691,0.0228528096,0.0,0.0,0.0
-0.25,0.075,0.0,-0.0018581167760163646,-0.006951610878490924,0.009250591295264288,4.0,-3647.9158106818777,False,0.26100766272276377,0.007195657840619355,0.24814188322398364,-0.08195161087849093,0.261324435779597,0.009250591295264288,-0.00021777759813551513,0.0071923615507715625,False,True,0.4930587697,0.0159382135,0.4829900993,0.4900839567,0.0227688764,0.4757001419,-0.0066106955,0.0151792509,-0.0161999054,0.7845700511,0.0258806979,0.7874748707,0.0974048576,0.0184055778,0.078646712,0.7693067056,0.0336990739,0.7559995651,0.5,0.0,0.5,0.0138270742,0.0105365719,0.0170099007,2.0995078426,1.9482168067,1.0853193608,1.5852942979,0.418018943,1.2861643494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.00976332928833895,-0.038505956067614734,-0.011671256370373695,4.0,-6469.773891932063,False,0.291547594742265,0.03972444148724577,0.24023667071166105,-0.18850595606761472,0.3053656061634783,0.011671256370373695,-0.011439165159313853,0.03804177640346929,False,True,0.4895875563,0.0229941814,0.4902367934,0.4851250805,0.0328488306,0.486052562,-0.009916613,0.0218992204,-0.009298292,0.8102715781,0.0365927014,0.8105252385,0.1150172309,0.0174352751,0.106465973,0.7951757762,0.041098255,0.7735929489,0.5,0.0,0.5,0.0191279468,0.0164703678,0.0097632066,4.4198043393,2.845787029,1.4721318058,2.1490218381,0.6645280549,1.0009506404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.0534072181441746,-0.19455379086824304,-0.14264514677911388,4.0,-16279.123867735883,False,0.19525624189766635,0.20175110530330062,0.1784072181441746,-0.04455379086824304,0.1838863120699152,0.14264514677911388,0.11526989428594359,0.16557886327188892,True,False,0.0053200147,0.0150719275,0.0,0.4621212236,0.0506601008,0.4637129251,-0.0252525176,0.0337734005,-0.0241913833,1.4724852818,0.3643263868,1.2780452967,0.0881838668,0.0178050154,0.0834915936,1.4752037948,0.3749024519,1.3220603466,0.0,0.0,0.0,0.0053200147,0.0150719275,0.0,8.9660611508,0.2856999835,9.0,2.1289427039,1.1941803656,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.046386055926999216,0.02132338620259416,0.07992791686809109,4.0,-11956.411085848455,False,0.1457737973711325,0.05105245325748491,0.07861394407300079,0.09632338620259416,0.12433160069848294,0.07992791686809109,0.028804923116531683,0.04215008170642592,True,False,0.5026767892,0.0237130449,0.468655796,0.5038239846,0.0338757784,0.4552225657,0.0025493231,0.0225838523,-0.0298516229,0.5358343661,0.0405844821,0.5464326739,0.0480379697,0.0067964087,0.0387275219,0.5400497501,0.0370538714,0.553255856,0.5,0.0,0.5,0.0199257906,0.0131315104,0.031344204,7.065972708,3.1499884349,2.8224636617,1.5271183459,1.1386713448,0.6338688376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03442710180083738,0.014837118126596974,0.0064433471029797795,4.0,-5499.294400080603,False,0.125,0.03748820364738503,0.09057289819916262,0.014837118126596974,0.09178011746831917,0.0064433471029797795,0.03442710180083738,0.014837118126596974,True,True,0.4467168288,0.0291286293,0.4418879951,0.5310240412,0.0416123276,0.5241257073,0.0206826941,0.0277415517,0.0160838049,0.4991086264,0.0216488568,0.4748076797,0.025012981,0.0034562294,0.0221992712,0.4968231635,0.0236105053,0.4674495459,0.425,0.0,0.425,0.0280014502,0.0231520299,0.0168879951,5.1307741753,3.648011749,4.6699523576,0.3866940799,0.2276900646,0.4341624637,0.0070764942,0.0075538748,0.0205190987,0.0070764942,0.0075538748,0.0205190987,0.0,0.0,0.0
-0.125,0.075,0.0,-0.008179220289859153,-0.019575908504519405,-0.00897182978741573,4.0,-3014.009339844616,False,0.1457737973711325,0.021215933595469205,0.11682077971014085,-0.0945759085045194,0.1503053460178329,0.00897182978741573,-0.0030580982978141227,0.020994377178860657,False,True,0.515858163,0.015758913,0.5088122665,0.5226545186,0.0225127328,0.5125889522,0.0151030124,0.0150084885,0.0083926348,0.4790105094,0.0257439704,0.4850431085,0.0566412458,0.0111373718,0.0454695784,0.4748254547,0.0262341473,0.468983978,0.5,0.0,0.5,0.0177090863,0.013645986,0.0088122665,1.556967906,2.1336119756,0.4277246425,1.1409672381,0.4848415886,0.7014268392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.05175471621744658,-0.010836479009001872,0.03732266648074978,4.0,-9733.414511791461,False,0.19525624189766635,0.052877026467653854,0.07324528378255342,-0.16083647900900186,0.17672929744781957,0.03732266648074978,0.024807748160846042,0.046696419126620474,True,True,0.0147871614,0.0259552437,0.0125612024,0.4804878389,0.0681701521,0.5179445748,-0.0130081074,0.0454467681,0.0119630499,1.0872393636,0.3161977833,0.5524093509,0.1073153158,0.0190245991,0.1380281299,1.0821099977,0.3403072972,0.4680595994,0.0,0.0,0.0,0.0147871614,0.0259552437,0.0125612024,6.8797705454,2.8152941186,7.2719249921,1.8200415292,1.1492669629,0.1516171933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
