cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.06800832773883435,0.06510727318358715,0.1749831863307154,4.0,-13991.633539739772,False,0.291547594742265,0.09414929454454214,0.18199167226116564,0.21510727318358713,0.2817660514485269,0.1749831863307154,0.02481924422517463,0.09081902212271441,True,False,0.4809064639,0.0295378781,0.4265277639,0.4727235199,0.0421969687,0.3950396627,-0.0181843201,0.0281313125,-0.0699735582,0.8966388211,0.0635724594,0.8680274487,0.0835470694,0.0149473694,0.1105107665,0.9025591543,0.0620968982,0.8960083127,0.5,0.0,0.5,0.0284371563,0.0206972825,0.0734722361,8.268797336,1.8395361852,8.8754510022,2.0055154287,1.0649978948,1.5009733088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.027868475119852548,0.012430557474127604,0.05740705119104761,4.0,-11619.88864420375,False,0.26100766272276377,0.03051508913018984,0.22213152488014745,0.0874305574741276,0.23871848844573454,0.05740705119104761,0.02312126359222495,0.019914262088319597,True,False,0.4874438592,0.0215385176,0.451474753,0.4820626559,0.0307693109,0.4306782186,-0.0119582294,0.0205128739,-0.0462145209,0.8056013051,0.022166508,0.7840136886,0.0792292301,0.0128484503,0.0805887356,0.8008067471,0.0230145911,0.7763044834,0.5,0.0,0.5,0.0192508751,0.0158419766,0.048525247,7.1716127313,2.8560291756,1.9655522865,1.8594225279,0.899860601,1.2744091692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06937705938881443,0.04271782181175866,0.009981156437353533,4.0,-7703.518274429342,False,0.25,0.08147385267544581,0.18062294061118556,0.04271782181175866,0.18560565448114189,0.009981156437353533,0.06937705938881443,0.04271782181175866,True,True,0.5030574802,0.0432956168,0.5051464327,0.5043678289,0.0618508812,0.5073520467,0.0029118859,0.0412339208,0.0049013644,0.8298797756,0.0388933138,0.8645116091,0.0435600376,0.0090973374,0.0370242409,0.8215682411,0.0411401566,0.8477227092,0.5,0.0,0.5,0.0363839314,0.0236657592,0.0051464327,6.8137378202,2.9456650092,9.0,0.8136221841,0.5027568354,0.9389403772,0.0130843411,0.0081616848,0.0249351093,0.0130843411,0.0081616848,0.0249351093,0.0,0.0,0.0
-0.25,0.075,0.0,-0.0016894981644947342,-0.005348734936838263,0.011718507707785708,4.0,-3588.964821140836,False,0.26100766272276377,0.005609221824137934,0.24831050183550527,-0.08034873493683826,0.2609866366842386,0.011718507707785708,8.129807623062998e-05,0.005608632640420167,True,True,0.4957143404,0.0163073514,0.4864939244,0.4938776291,0.0232962163,0.4807056063,-0.0040815806,0.0155308108,-0.0128629291,0.7835758767,0.0271729826,0.7917453647,0.0989862927,0.0186935859,0.0780096203,0.768631677,0.0349687954,0.7595431209,0.5,0.0,0.5,0.0135346105,0.010055392,0.0135060756,2.0650198,1.9229042114,1.0867445985,1.5790736204,0.3979045312,1.3012960647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.010806592723945126,-0.03708312338250304,-0.003933364922481086,4.0,-6405.408266884057,False,0.291547594742265,0.03862564544578081,0.23919340727605487,-0.18708312338250305,0.30366689173975075,0.003933364922481086,-0.009812532766453476,0.03735846205092555,False,True,0.4918241275,0.0230980334,0.4928856895,0.4883201821,0.0329971906,0.4898366993,-0.0077865453,0.0219981271,-0.0067755338,0.8100231647,0.0373153887,0.8137007952,0.1154408365,0.0184530095,0.1051022932,0.7951571199,0.0418547331,0.7758239508,0.5,0.0,0.5,0.018328368,0.0162614564,0.0071143105,4.4290608433,2.7397986834,2.6538706877,2.1589367818,0.6622700407,0.9681002582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.06913600291234648,-0.19328010461010725,-0.14816701882318084,4.0,-16445.929319084582,False,0.19525624189766635,0.2052729542262935,0.19413600291234648,-0.043280104610107256,0.19890187299732606,0.14816701882318084,0.10422209876464898,0.17684665636048008,True,False,0.0048136654,0.0140306487,0.0,0.4613175802,0.0479011165,0.427147571,-0.0257882799,0.0319340777,-0.048568286,1.4725711915,0.3642691836,1.2780452967,0.088497775,0.0179053734,0.0848369598,1.4736079565,0.3759750494,1.3109441996,0.0,0.0,0.0,0.0048136654,0.0140306487,0.0,8.9731081181,0.2336973715,9.0,2.1653320865,1.1781927011,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03998964320629734,0.05024794922029442,0.10961823546273175,4.0,-11811.320123453434,False,0.1457737973711325,0.06421859516224449,0.08501035679370267,0.12524794922029442,0.15137308065201713,0.10961823546273175,0.0084384795583893,0.06366176267866681,True,False,0.5063883201,0.0221481847,0.4863538096,0.5091261716,0.0316402639,0.4805054422,0.0060841144,0.0210935093,-0.0129963718,0.5358071372,0.0414031386,0.557404995,0.0483026858,0.0065304184,0.0415144861,0.5406193486,0.038323981,0.5656715631,0.5,0.0,0.5,0.0192808216,0.0126333938,0.0136461904,7.0880563374,3.1455868069,2.0501492891,1.5016464326,1.2028707391,0.7001958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03278438437705162,0.022641089345675425,0.011784669076031262,4.0,-5553.173298113339,False,0.125,0.03984262523656195,0.09221561562294839,0.022641089345675425,0.09495440322322193,0.011784669076031262,0.03278438437705162,0.022641089345675425,True,True,0.4495305268,0.0316928286,0.4446367855,0.5350436098,0.0452754695,0.5280525507,0.0233624065,0.0301836463,0.0187017005,0.5004046349,0.0208881504,0.477090776,0.0254674054,0.0039853355,0.0213502124,0.4984363957,0.0225309743,0.4703364372,0.425,0.0,0.425,0.0315244638,0.0247465212,0.0196367855,5.1049433006,3.6694018768,4.7659556801,0.3997568962,0.2402463734,0.4578937955,0.0067921148,0.0070924932,0.0191515464,0.0067921148,0.0070924932,0.0191515464,0.0,0.0,0.0
-0.125,0.075,0.0,-0.008114737450822515,-0.01879343785575012,-0.007655205557205669,4.0,-2991.16201895991,False,0.1457737973711325,0.02047052198488654,0.11688526254917748,-0.09379343785575012,0.14986451743488388,0.007655205557205669,-0.0027108140485794805,0.020290237985981025,False,True,0.5191393623,0.0154022541,0.5140078547,0.5273419461,0.0220032202,0.5200112211,0.0182279641,0.0146688134,0.013340814,0.4769338681,0.0265334839,0.4801528156,0.057136691,0.011164294,0.0448800325,0.4736811827,0.0270834733,0.4644442797,0.5,0.0,0.5,0.0196918309,0.0146893301,0.0140078547,1.574028262,2.2109279049,0.4116392435,1.1392059146,0.494502018,0.7204468866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.045958490193571615,-0.007898036251850635,0.04621472740663213,4.0,-9642.824622432812,False,0.19525624189766635,0.04663219700494676,0.07904150980642838,-0.15789803625185062,0.17657675420244434,0.04621472740663213,0.023354468938354373,0.04036248974128833,True,True,0.0169326448,0.0311577878,0.007078285,0.4841555374,0.0748695712,0.5101118358,-0.0105629751,0.0499130474,0.0067412239,1.0876505177,0.3145409276,0.5495824814,0.1097372488,0.0178625347,0.1400063932,1.0840272363,0.3382833193,0.4665446281,0.0,0.0,0.0,0.0169326448,0.0311577878,0.007078285,6.9144781295,2.8213401714,9.0,1.8200875125,1.1300663467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
