cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.062395701210281186,0.03638962761782276,0.0008864369683505569,4.0,-12691.553102122978,False,0.291547594742265,0.07223176951789631,0.18760429878971882,0.18638962761782274,0.26445503626872513,0.0008864369683505569,0.03478156343173165,0.06330617168121068,True,True,0.4981112261,0.0455625713,0.5041708469,0.4973017516,0.0650893876,0.5059583527,-0.0017988323,0.0433929251,0.0039722351,0.8296835738,0.0379318702,0.8659561872,0.0849242952,0.0148215261,0.0880158767,0.8156499931,0.0495465129,0.8372172117,0.5,0.0,0.5,0.0373560049,0.02615424,0.0041708469,7.0403722765,2.7834688868,9.0,1.9423858327,1.1334746248,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.06686058372341712,-0.0015033426434079356,-0.055969176460489156,4.0,-11043.723536512096,False,0.26100766272276377,0.06687748271981803,0.18313941627658287,0.07349665735659207,0.19733677922962004,0.055969176460489156,0.06447280686538338,0.017772306261105552,True,False,0.5025477619,0.045744343,0.4901838075,0.5036396598,0.0653490614,0.4859768678,0.0024264399,0.0435660409,-0.0093487548,0.8274906105,0.0416014223,0.8584427834,0.0755207427,0.0152112005,0.0618662722,0.8126626045,0.051061289,0.8342830539,0.5,0.0,0.5,0.0380424073,0.0255305945,0.0098161925,6.8514067324,2.975642658,9.0,1.7646439177,1.095001067,2.8269246785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.0725701540647403,0.0380221549636839,-0.019810859530490665,4.0,-7982.546665042034,False,0.25,0.08192747725313244,0.1774298459352597,0.0380221549636839,0.18145807917172602,0.019810859530490665,0.0725701540647403,0.0380221549636839,True,True,0.5046143909,0.0468322406,0.4990775097,0.506591987,0.0669032009,0.4986821567,0.004394658,0.0446021339,-0.0008785622,0.8254533771,0.0433607377,0.8708493114,0.0442088125,0.0097137327,0.0353135467,0.8168252373,0.0457370088,0.8517650962,0.5,0.0,0.5,0.0393303734,0.025839371,0.0009224903,6.9037480902,2.9572495187,9.0,0.7851972887,0.4941866884,0.7446389577,0.0143117226,0.0089580697,0.0275135416,0.0143117226,0.0089580697,0.0275135416,0.0,0.0,0.0
-0.25,0.075,0.0,-0.07308816047458773,-0.025481063904000446,-0.0703915993479115,4.0,-11217.663896384673,False,0.26100766272276377,0.07740260860745485,0.17691183952541228,-0.10048106390400044,0.20345575235796368,0.0703915993479115,0.06268383140622628,0.04540816115495804,True,False,0.5104484759,0.0451861542,0.5070018983,0.5149263941,0.0645516489,0.5100027118,0.0099509294,0.0430344326,0.0066684745,0.8250406629,0.0438592602,0.8617655635,0.090389741,0.0172007073,0.0669404045,0.814512963,0.0460431128,0.8391634226,0.5,0.0,0.5,0.0382229179,0.0262672368,0.0070018983,7.0015679426,2.7911344315,9.0,1.6056035058,0.9742513497,0.5844805831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.07590265570668624,0.020977083508091222,-0.01681599270831624,4.0,-12379.434348684686,False,0.291547594742265,0.0787480233138152,0.17409734429331375,-0.12902291649190878,0.2166951736196787,0.01681599270831624,0.07587861073744004,0.02106389347649749,True,True,0.514059504,0.0417818273,0.5081102696,0.5200850057,0.0596883247,0.5115860994,0.0133900038,0.0397922165,0.0077240663,0.8266688564,0.0450845541,0.8601260185,0.1084022754,0.0158553334,0.0940005556,0.819890323,0.0429890313,0.8384164572,0.5,0.0,0.5,0.0353732121,0.0263082993,0.0081102696,7.2521311292,2.568936369,9.0,1.7887747009,0.9494301902,0.7061944846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.04061565916907215,-0.16560751963688233,-0.14197312815685348,4.0,-16374.722084475765,False,0.19525624189766635,0.17051534338592114,0.16561565916907214,-0.015607519636882339,0.16634945515757465,0.14197312815685348,0.10122170926426372,0.13722116419721658,True,False,0.0054077274,0.0153333005,0.0,0.4394100996,0.0656129551,0.3886201419,-0.0403932669,0.04374197,-0.0742532387,1.6932013059,0.2317866677,1.7491738796,0.0968049148,0.0220288038,0.1185496226,1.6911633831,0.2434916677,1.7605514526,0.0,0.0,0.0,0.0054077274,0.0153333005,0.0,8.9878014648,0.1085450692,9.0,2.1589050132,1.1364870035,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.037398296388299834,0.024223729034054738,0.014812714428693141,4.0,-8469.461271899705,False,0.1457737973711325,0.044558070212503895,0.08760170361170017,0.09922372903405474,0.13236089633685502,0.014812714428693141,0.019605768818020404,0.04001294103308036,True,True,0.5173061679,0.0362713364,0.5089777214,0.524723097,0.0518161949,0.5128253163,0.0164820647,0.0345441299,0.0085502109,0.4965014461,0.0278287748,0.5153059363,0.0450143151,0.0068684335,0.0451340005,0.4926127261,0.0302412932,0.5036011934,0.5,0.0,0.5,0.0332168594,0.0226219704,0.0089777214,5.3378765769,3.559675501,7.4777038404,1.3935950144,1.1457957952,2.1404646896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03277790523934011,0.02064008365076858,0.01428411074916569,4.0,-5578.432933992191,False,0.125,0.03873505034190461,0.09222209476065989,0.02064008365076858,0.09450358625552184,0.01428411074916569,0.03277790523934011,0.02064008365076858,True,True,0.4479103064,0.0338792146,0.4424373945,0.5327290091,0.048398878,0.5249105636,0.0218193394,0.0322659187,0.0166070424,0.4994294403,0.0220607839,0.4752638936,0.0251232342,0.0037681211,0.0223417766,0.4972212335,0.0242218465,0.4670996964,0.425,0.0,0.425,0.0320560603,0.0253986676,0.0174373945,5.1584686136,3.611932079,4.7440723675,0.4015723268,0.2424077023,0.4498833841,0.0073936836,0.0080314614,0.0214367647,0.0073936836,0.0080314614,0.0214367647,0.0,0.0,0.0
-0.125,0.075,0.0,-0.03776576841928063,0.02801239508405661,0.016659909990722754,4.0,-8470.712634026877,False,0.1457737973711325,0.04702071397420517,0.08723423158071937,-0.046987604915943386,0.0990840359251447,0.016659909990722754,0.0467961376237374,0.004590103064664581,True,True,0.5304346525,0.0351164763,0.5246232336,0.543478075,0.0501663947,0.5351760481,0.0289853833,0.0334442632,0.0234506987,0.4915744215,0.0324991069,0.5014639497,0.0559218032,0.0086884941,0.0468767546,0.4899986933,0.0276980179,0.4896350801,0.5,0.0,0.5,0.0364290118,0.028850686,0.0246232336,5.4102501065,3.5336736756,7.6001009891,1.2599717853,0.958960774,0.5056167557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.02797379166223308,0.06672588332274519,0.11892811839567208,4.0,-9511.477924375946,False,0.19525624189766635,0.07235244657344093,0.09702620833776693,-0.0832741166772548,0.12786189273110576,0.11892811839567208,0.06916862849009044,0.021226807531102666,True,False,0.0188149949,0.0278801405,0.0180967106,0.4932332953,0.0699464224,0.5258524437,-0.0045111365,0.0466309482,0.0172349624,0.921458112,0.1161030183,0.8790714741,0.1043999854,0.0119921838,0.1012549102,0.9309690019,0.094930735,0.8574184179,0.0,0.0,0.0,0.0188149949,0.0278801405,0.0180967106,6.7919202574,2.8373630966,9.0,1.6727341122,0.915749315,0.7894721987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
