cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.05588001337535457,0.06830203267522227,0.02474341814085168,4.0,-12864.522017441514,False,0.291547594742265,0.08824819296958401,0.1941199866246454,0.21830203267522225,0.2921272782149697,0.02474341814085168,0.012775610259614819,0.08731853952564346,True,True,0.5015361207,0.043555041,0.4858230908,0.5021944581,0.0622214871,0.4797472726,0.0014629721,0.0414809914,-0.0135018183,0.8293229708,0.0383910394,0.8523650765,0.0861381025,0.0157465086,0.0858336166,0.8138431898,0.0515669917,0.8222131729,0.5,0.0,0.5,0.0360942492,0.0244255284,0.0141769092,7.2415544537,2.6474351028,9.0,1.9915665891,1.1318473071,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.062473468076889166,0.04973197522474573,-0.0005807878113025522,4.0,-11156.371971583196,False,0.26100766272276377,0.0798511338260692,0.18752653192311083,0.12473197522474572,0.22522048267991987,0.0005807878113025522,0.04554835192710037,0.06558621204211922,True,True,0.5054092521,0.0433840346,0.4976787976,0.507727503,0.0619771922,0.4966839965,0.0051516687,0.0413181282,-0.002210669,0.8262418643,0.0402016595,0.8688972592,0.080455367,0.0159774212,0.0718041733,0.8101428282,0.0505916684,0.8343829513,0.5,0.0,0.5,0.0370633663,0.0231892506,0.0023212024,6.9446218428,2.9449570146,9.0,1.7781970781,1.1509706318,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06695234266203288,0.021231411292532382,-0.019805669242906054,4.0,-7848.91150289985,False,0.25,0.07023808805346954,0.18304765733796713,0.021231411292532382,0.18427484278216194,0.019805669242906054,0.06695234266203288,0.021231411292532382,True,True,0.5041642727,0.0450829765,0.5037492236,0.5059489609,0.0644042521,0.5053560337,0.003965974,0.0429361681,0.0035706891,0.8268549275,0.0406882511,0.8665806055,0.0437352458,0.0090294049,0.0374846011,0.8180517805,0.0433061428,0.8455429077,0.5,0.0,0.5,0.0383751199,0.0240242816,0.0037492236,6.8906237206,2.9725198549,9.0,0.789667038,0.4698669371,0.7984796146,0.0140089345,0.0102224075,0.029936599,0.0140089345,0.0102224075,0.029936599,0.0,0.0,0.0
-0.25,0.075,0.0,-0.06889976052292805,0.021947775524957358,-0.018717528031765074,4.0,-10873.111969170715,False,0.26100766272276377,0.07231100781078045,0.18110023947707193,-0.05305222447504264,0.18871098341220927,0.018717528031765074,0.07230064856428439,0.0012239557976466825,True,True,0.5126572575,0.0437634506,0.5199463538,0.5180817965,0.0625192152,0.5284947911,0.012054531,0.0416794768,0.0189965274,0.8242502037,0.044150214,0.842656076,0.09096642,0.016534142,0.0809907317,0.8117179421,0.0480011147,0.805568397,0.5,0.0,0.5,0.0371268723,0.0264015366,0.0199463538,6.8696250372,2.9264480058,9.0,1.6206356073,0.9111198493,0.7867626164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.07439285149016357,-0.010808899162807929,-0.06259052765507034,4.0,-11999.41569748935,False,0.291547594742265,0.07517398921135743,0.17560714850983644,-0.1608088991628079,0.23811210103165667,0.06259052765507034,0.05823021113629035,0.047543360892687535,True,False,0.514344261,0.0397333121,0.5046419272,0.5204918014,0.0567618745,0.5066313245,0.013661201,0.0378412496,0.004420883,0.8276747963,0.0440988582,0.8652585745,0.1044781869,0.0159290949,0.0885216743,0.8191886371,0.0438546961,0.8423833251,0.5,0.0,0.5,0.0340334191,0.0250243941,0.0046419272,7.1591745201,2.6383517543,9.0,1.7493798389,0.9676691065,0.5248566634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.0017031521209315966,-0.1177486684805927,-0.07288877372524705,4.0,-16031.834935746247,False,0.19525624189766635,0.11776098528842037,0.12670315212093158,0.03225133151940729,0.13074340190676792,0.07288877372524705,0.08936670135297224,0.07668925834423115,True,False,0.0048684445,0.0145146538,0.0,0.4349716567,0.0634850486,0.3842167482,-0.0433522289,0.0423233657,-0.0771888345,1.6932013059,0.2317866677,1.7491738796,0.0978001281,0.0203128971,0.1091055125,1.6888081038,0.2439527818,1.7562036514,0.0,0.0,0.0,0.0048684445,0.0145146538,0.0,8.9689552346,0.2185667295,9.0,2.0751545724,1.1177510949,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03555163875687414,0.02871916003195771,0.018742460742081635,4.0,-8322.383790003702,False,0.1457737973711325,0.045702397871889316,0.08944836124312586,0.1037191600319577,0.13696230681036148,0.018742460742081635,0.01570939279562138,0.042917643798714676,True,True,0.521953181,0.0358914346,0.5131771275,0.5313616872,0.051273478,0.5188244679,0.0209077915,0.0341823187,0.0125496453,0.494221904,0.0290321043,0.5115831494,0.0466147871,0.0080453241,0.0469065234,0.4903082848,0.0318209435,0.497969687,0.5,0.0,0.5,0.0348895108,0.0235129596,0.0131771275,5.193764297,3.5655110251,7.6670899949,1.4070880139,1.1395421914,2.1373796141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.033684790003111045,0.025502512600963288,0.016466422911743717,4.0,-5570.799966690377,False,0.125,0.04224977191081605,0.09131520999688895,0.025502512600963288,0.09480952339157822,0.016466422911743717,0.033684790003111045,0.025502512600963288,True,True,0.4511547204,0.0334776833,0.4409430603,0.5373638863,0.0478252618,0.5227758004,0.0249092576,0.0318835079,0.015183867,0.5001357673,0.0217118271,0.4740230739,0.0259700267,0.0037376085,0.0233778711,0.4977360973,0.024019713,0.4649537206,0.425,0.0,0.425,0.0337111523,0.0258531022,0.0159430603,5.0572300595,3.6221614289,6.3721212196,0.4007320518,0.2403327583,0.4330447709,0.0081372354,0.0085854399,0.0234181335,0.0081372354,0.0085854399,0.0234181335,0.0,0.0,0.0
-0.125,0.075,0.0,-0.0379124806816066,0.02129622998727214,0.011219494660530849,4.0,-8390.542920587683,False,0.1457737973711325,0.04348431444905143,0.0870875193183934,-0.05370377001272786,0.10231486174848457,0.011219494660530849,0.04346650391575109,0.001244443829981491,True,True,0.5333765292,0.0353604708,0.5202256349,0.5476807559,0.0505149582,0.5288937641,0.0317871706,0.0336766388,0.0192625094,0.4896747126,0.0334376739,0.5053468347,0.0564548246,0.0087531769,0.0482099913,0.4874011593,0.0290453115,0.4911150932,0.5,0.0,0.5,0.0383647884,0.029874715,0.0202256349,5.3890579713,3.460272999,6.1218024699,1.2675446897,0.9998176074,0.461447988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.010252386948582038,0.06942004491082449,0.14806373240815496,4.0,-9818.701302067244,False,0.19525624189766635,0.07017302953104095,0.11474761305141797,-0.08057995508917551,0.14021463498212833,0.14806373240815496,0.059893373914906824,0.03656552795535028,True,False,0.0211865642,0.0318140675,0.0291246783,0.4995147462,0.0725416113,0.5416066833,-0.0003235025,0.0483610742,0.0277377889,0.921458112,0.1161030183,0.8790714741,0.107229591,0.0126945629,0.1060325801,0.9334087363,0.0954739984,0.8543714881,0.0,0.0,0.0,0.0211865642,0.0318140675,0.0291246783,6.9144098016,2.782429745,9.0,1.6733363424,0.8977038952,0.8841613353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
