cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.06649957284687592,0.02808973438455209,-0.007603272248531412,4.0,-13373.422054324808,False,0.291547594742265,0.07218882438862434,0.1835004271531241,0.17808973438455208,0.25571147854278914,0.007603272248531412,0.04257086416716341,0.058300496487359084,True,True,0.5059116483,0.0436932145,0.5096417303,0.5084452118,0.0624188778,0.5137739005,0.0056301412,0.0416125852,0.0091826003,0.8279446155,0.0421488742,0.8578615785,0.0838739386,0.0163347943,0.0802066103,0.8166785589,0.053567558,0.8421672583,0.5,0.0,0.5,0.0368735075,0.0241741394,0.0096417303,8.1762400632,2.0330317346,9.0,1.9319815134,1.129565472,3.0,1.0,0.0,1.0,1.7287952817,1.1803142411,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.05226293365566287,0.08023366778696125,0.06389067376485069,4.0,-11717.825697133123,False,0.26100766272276377,0.09575414184694406,0.19773706634433713,0.15523366778696124,0.2513910082342991,0.06389067376485069,0.027003836808347136,0.09186755944550197,True,False,0.5080616615,0.0455913089,0.5040268694,0.5115166593,0.0651304413,0.5057526706,0.0076777728,0.0434202942,0.0038351137,0.8246884778,0.0432610124,0.8661693931,0.0759676015,0.0186893472,0.0621668883,0.8116876626,0.0504595905,0.8387033939,0.5,0.0,0.5,0.0393024055,0.0244719995,0.0040268694,7.7930980858,2.4786243216,9.0,1.7952162817,1.1869956219,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06020376529193762,0.04767935298989759,0.009758471149968861,4.0,-8214.147096988767,False,0.25,0.07679722688262883,0.1897962347080624,0.04767935298989759,0.195693462872149,0.009758471149968861,0.06020376529193762,0.04767935298989759,True,True,0.5086299311,0.0473925869,0.5148678727,0.512328473,0.0677036956,0.5212398181,0.008218982,0.0451357971,0.0141598787,0.8227812022,0.0454917259,0.850143075,0.0425367218,0.0091153506,0.0331288688,0.815497224,0.0474875229,0.8347014785,0.5,0.0,0.5,0.0407299105,0.0257217301,0.0148678727,7.7744641222,2.4637446512,9.0,0.8214777173,0.4979171606,1.0034950426,0.0,0.0,0.0,0.0,0.0,0.0,0.0110932083,0.008521269,0.0245603972,0.0110932083,0.008521269,0.0245603972,0.0,0.0,0.0
-0.25,0.075,0.0,-0.06248211775953375,0.031209456555205028,-0.012212000698736403,4.0,-11484.785819962039,False,0.26100766272276377,0.0698430040747638,0.18751788224046625,-0.043790543444794966,0.19256315290091156,0.012212000698736403,0.06881498609717762,0.011939133412133518,True,True,0.5130819913,0.0440822576,0.5102794291,0.518688559,0.0629746537,0.5146848988,0.0124590393,0.0419831024,0.0097899325,0.8250025421,0.0467376319,0.8569189906,0.0877830381,0.0183722083,0.0674832016,0.8169465527,0.0488508605,0.8327749968,0.5,0.0,0.5,0.037295732,0.026896325,0.0102794291,7.8606656888,2.3012282568,9.0,1.6968690727,0.8504647507,0.9328095253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.0736184644435048,-0.03152996110376475,-0.10108726444244931,4.0,-12822.830256566776,False,0.291547594742265,0.08008630815704079,0.17638153555649522,-0.18152996110376474,0.25310782853084873,0.10108726444244931,0.04690528130544387,0.06491310607174545,True,False,0.5137131255,0.0435235609,0.5080925776,0.5195901793,0.0621765155,0.5115608252,0.0130601195,0.0414510104,0.0077072168,0.8258327672,0.0455219786,0.8601521254,0.1049989318,0.0155927859,0.0898923501,0.8194295901,0.0427174222,0.8388491869,0.5,0.0,0.5,0.0371397535,0.0265139373,0.0080925776,8.0841087786,2.0876255727,9.0,1.7447369981,1.0147094412,0.3821648692,1.0,0.0,1.0,1.485566461,1.0792940722,0.1321648692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.05958079117273049,-0.16772449460338945,-0.1533507846753268,4.0,-16453.567426111073,False,0.19525624189766635,0.17799263121469647,0.1845807911727305,-0.017724494603389457,0.18542984166227594,0.1533507846753268,0.09070683283558979,0.15314583652083824,True,False,0.0048433649,0.014765712,0.0,0.4257248285,0.0694145408,0.3614253365,-0.049516781,0.0462763605,-0.092383109,1.6932013059,0.2317866677,1.7491738796,0.0989272029,0.0238912252,0.1248552799,1.6909651738,0.2414030145,1.7627993822,0.0,0.0,0.0,0.0048433649,0.014765712,0.0,9.0,0.0,9.0,2.1685511294,1.1508046827,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03626050605849947,0.025390861287503872,0.02066292472525766,4.0,-9262.873571711481,False,0.1457737973711325,0.04426646740524637,0.08873949394150053,0.10039086128750387,0.13398889064038277,0.02066292472525766,0.0180296370688503,0.04042836038853515,True,True,0.5245836723,0.0361013676,0.5223327034,0.5351195319,0.0515733822,0.531903862,0.0234130213,0.0343822548,0.0212692413,0.4932457176,0.0302568852,0.50348562,0.0446985148,0.0075924878,0.0421177484,0.4913391352,0.0325879803,0.4938461483,0.5,0.0,0.5,0.0358373961,0.0249669126,0.0223327034,6.6246837809,3.2157949093,9.0,1.4083935026,1.1429031679,2.1127083695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03540290987353905,0.017123652166914544,0.006788972898751133,4.0,-6199.7660277523555,False,0.125,0.039326651154750085,0.08959709012646094,0.017123652166914544,0.09121873723453225,0.006788972898751133,0.03540290987353905,0.017123652166914544,True,True,0.4521073744,0.0347409356,0.4485174449,0.5387248206,0.049629908,0.5335963499,0.0258165471,0.0330866053,0.0223975666,0.5006872348,0.0210734654,0.4803158045,0.0249328811,0.003894888,0.0213129707,0.499417557,0.0226628133,0.4738196135,0.425,0.0,0.425,0.0345194632,0.0273888484,0.0235174449,6.2796531873,3.381911317,9.0,0.3892701718,0.2238266788,0.4238077181,0.0,0.0,0.0,0.0,0.0,0.0,0.0053634354,0.0063796291,0.0175317409,0.0053634354,0.0063796291,0.0175317409,0.0,0.0,0.0
-0.125,0.075,0.0,-0.038135438798460104,0.019128536015452835,0.01324592985432893,4.0,-9160.402200145914,False,0.1457737973711325,0.042663949447344564,0.0868645612015399,-0.05587146398454716,0.10328152051801243,0.01324592985432893,0.04254241957611629,0.0032179370806855135,True,True,0.5324669659,0.0353775028,0.5292733428,0.5463813798,0.0505392897,0.5418190612,0.0309209199,0.0336928598,0.0278793741,0.49031078,0.0332420025,0.4973649085,0.0557024274,0.0085045142,0.0455177054,0.4895666127,0.0284742993,0.488178283,0.5,0.0,0.5,0.0376841464,0.0297586406,0.0292733428,6.8205026746,3.1807758759,9.0,1.2665078437,1.0077494424,0.4785853239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.016691843912841973,0.07294479389461674,0.14548171660387232,4.0,-10229.630573427761,False,0.19525624189766635,0.07483021187688028,0.10830815608715802,-0.07705520610538326,0.1329216365492965,0.14548171660387232,0.06672360098032526,0.033875089398511304,True,False,0.0178815892,0.0288709454,0.0179120206,0.488477356,0.0726938821,0.5255886009,-0.0076817627,0.0484625881,0.0170590673,0.921458112,0.1161030183,0.8790714741,0.1071675436,0.0129475672,0.1025186703,0.9308929867,0.0928252745,0.8560271859,0.0,0.0,0.0,0.0178815892,0.0288709454,0.0179120206,7.918034296,2.3232376682,9.0,1.6634090151,0.868549389,0.9928514633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
