trial,generation,command_name,cmd_vx_m_s,cmd_vy_m_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,score,planar_error_m_s,projected_speed_m_s,vx_progress_m_s,vy_progress_m_s,vx_deficit,vy_deficit,yaw_penalty,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
0,0,forward_right,0.25,-0.15,0.063932387816547,-0.03415199375186081,-0.17343473331321727,3.0,False,0.3375415503978729,-1.1422950551544515,0.219184663823272,0.0723926261013197,0.063932387816547,0.03415199375186081,0.20084515229316247,0.0,0.8671736665660863,-0.576927727743676,0.19588268450460056,1.2430203154366009,2.632424002023738,2.399444235632151,0.5433310376176773,0.9394229700025563,2.3209378199217046,0.7142350229233774,-0.17164704014332466,-0.08363992978309664
1,0,forward_right,0.25,-0.15,0.048763909903376236,0.013041710168273147,-0.1343666805835809,1.1,True,0.4024085998535156,-3.5108369096056338,0.25899529573328484,0.035104803247136454,0.048763909903376236,-0.013041710168273147,0.39045112620779704,1.4347236722757715,0.6718334029179044,-0.4800875252889605,0.2779859046069195,0.8543116390369888,2.950277023621071,1.7417013445578933,0.924298776327326,1.3137198157135512,2.854719125478095,1.2573300714192275,-0.0632724067840259,-0.007374131077087731
2,0,forward_right,0.25,-0.15,0.033652509479928754,0.02505222739829584,0.07048126488692619,3.0,False,0.2972426116466522,-2.9578022695710318,0.27829753676854024,0.015967524151084843,0.033652509479928754,-0.02505222739829584,0.5793436315008906,1.8350742466098613,0.35240632443463094,-0.4639434141388268,0.3518667811885218,0.7244581887465072,2.491212950143108,0.941621709250553,0.5262387543218318,0.74454578076592,1.9685682094417132,-1.7901102527020756,-0.020258082803945143,-0.008473249610958189
3,0,forward_right,0.25,-0.15,0.04182505371716591,-0.029388286674884703,-0.2568521619245199,3.0,False,0.5661311745643616,-1.6657665364899457,0.24059092595332987,0.050984836433532445,0.04182505371716591,0.029388286674884703,0.4771868285354261,0.020390444170509857,1.2842608096225994,-0.9203328022547793,0.830571629857694,0.7177569142631854,1.2897590942042605,2.6902769493926675,0.14328324802266768,0.5531240591470006,1.6254047762648476,0.21147412791045417,-0.01662799915162183,0.3723901088700581
4,0,forward_right,0.25,-0.15,0.031844891597843976,-0.023552755287943216,-0.11030367843577042,3.0,False,0.1395477056503296,-1.7134823193184203,0.2521518530910039,0.039424561889504064,0.031844891597843976,0.023552755287943216,0.6019388550269503,0.21490815706855942,0.5515183921788521,-0.057960153095725664,0.32454110121484414,1.036130294103361,-0.5287067983895359,1.078269894048244,0.6313952934682205,0.9785946270128222,1.643831794838655,1.4118205667006736,-0.10769264105338139,0.19788749968638486
5,0,forward_right,0.25,-0.15,0.010231427198360576,0.018120838213022943,-0.08700461808036215,3.0,False,0.4526847004890442,-3.1520206999040465,0.2928371300651345,-0.0005497179028521192,0.010231427198360576,-0.018120838213022943,0.8721071600204927,1.6040279404340982,0.43502309040181075,-0.3712657044283647,0.6372751415899099,0.9431411639584942,0.8277608667887035,1.970193090334467,0.5410122831750762,0.8592041237307175,-1.3042052515061426,0.9568200032635694,0.364217443305215,0.6176129538219477
6,0,forward_right,0.25,-0.15,-0.0033227054388951555,0.022275175301727516,0.1231070931228011,3.0,False,0.051556773483753204,-3.5278485407107856,0.3063513164915767,-0.01430967955222207,-0.0033227054388951555,-0.022275175301727516,1.0415338179861895,1.742505843390917,0.6155354656140055,-0.01877927831627413,0.3094140306271369,1.229220571281688,1.5963829390459114,3.034324705400575,0.30204452243740587,0.943269001994384,2.2540589674480964,-0.021822910155118613,0.0876189064113213,-0.13376902073309116
7,0,forward_right,0.25,-0.15,0.1315363742396731,0.052670334467887964,0.7365303400482812,3.0,False,0.2800411581993103,-3.936073840059447,0.23475283832492497,0.08569284686372092,0.1315363742396731,-0.052670334467887964,0.0,2.7556778155962656,3.682651700241406,-0.31720454304535495,0.15938691874543504,1.3023878491300505,-2.466524945727082,1.251069541551784,0.05417729853683731,1.0027145269051139,0.5577179470123141,1.9084062312917354,0.6275105268959815,-0.22716542082405272
8,1,forward_right,0.25,-0.15,0.07295092546914671,-0.06385356248254899,-0.29165384302529346,3.0,False,0.26687565445899963,-1.0943465593170507,0.19689485389207034,0.09540728938017418,0.07295092546914671,0.06385356248254899,0.08811343163566618,0.0,1.4582692151264671,-0.49963074328373724,0.22552268107659346,1.051427557090914,2.43865572286402,2.829615398556715,0.16462547816998058,0.8778712553106426,1.1514064528928003,2.1595478950579814,-0.32890018231937296,0.10221593103947901
9,1,forward_right,0.25,-0.15,0.030818562681473424,-0.004224890306102488,-0.03117691460718719,3.0,False,0.42674317955970764,-2.125349000886947,0.26323161867694206,0.028600387609628714,0.030818562681473424,0.004224890306102488,0.6147679664815822,0.859170323129917,0.15588457303593595,-0.6260831407520391,0.6736094129783146,0.9146368742618414,2.328342698245925,1.9200056508246233,0.002949059975620054,0.998156656408079,2.4002894841904014,-2.5657447969841116,-0.03790613754434102,-0.020660412781018933
10,1,forward_right,0.25,-0.15,0.1571887592671082,-0.0026331128028973944,0.462042666172378,3.0,False,0.4564827084541321,-1.735993713089023,0.17415776137899328,0.13614297443373,0.1571887592671082,0.0026331128028973944,0.0,0.9122295732367535,2.31021333086189,-0.508831427660488,0.5623902899075242,1.2762638554525354,2.4482540760908336,1.8040577192141312,0.2850167076701172,0.8032477571795593,0.5893461155448652,0.4447941061694136,-0.3644578381170635,0.25423324874057984
11,1,forward_right,0.25,-0.15,0.03974107913489792,-0.026889671951549354,-0.09221545221993181,3.0,False,0.6114824414253235,-1.4787463058344261,0.2436492698030396,0.047912316302268124,0.03974107913489792,0.026889671951549354,0.5032365108137761,0.10367760161502151,0.461077261099659,-0.8383169777633903,0.420638450982944,0.7109298898310918,1.4541418631120973,1.3067682924903563,0.6732366791045,1.2727092040617503,2.836125808851186,-1.936684222339518,0.09746373793289831,0.12071088521445594
12,1,forward_right,0.25,-0.15,0.03273843951494764,0.006565071372232261,-0.05469926738807077,3.0,False,0.335532009601593,-2.432623860371484,0.2677969515102669,0.02469527892784336,0.03273843951494764,-0.006565071372232261,0.5907695060631545,1.2188357124077422,0.27349633694035386,-0.5489316253717803,0.2638378081429886,0.9459718627184108,2.057904023165756,2.938987190100004,0.3974259804946716,0.6868301825113468,2.8234225087312446,1.517323237712592,0.22039627837121833,0.3585509943687928
13,1,forward_right,0.25,-0.15,0.052566746800701995,0.0838269197591906,0.45597995536883457,3.0,False,0.4330362379550934,-5.008046554623534,0.30603090999591703,0.0019470191026570616,0.052566746800701995,-0.0838269197591906,0.34291566499122506,3.7942306586396866,2.279899776844173,-0.5484475932102924,0.5505233038617776,0.7729737781908637,2.9451061527614204,2.1733195788827055,0.26276842065702843,1.2537086043178085,1.963748052428751,0.09151013805372044,0.2933038241527005,-0.1366023225596611
14,1,forward_right,0.25,-0.15,0.08355528336256247,0.02910274534944304,0.15390104907426835,3.0,False,0.6106023788452148,-2.5145071574567788,0.24450283656478164,0.05667482543572774,0.08355528336256247,-0.02910274534944304,0.0,1.9700915116481015,0.7695052453713417,-0.7875217942743452,0.45508764308600064,0.7699599209829411,0.8631099902115533,2.872689555039506,0.7043124059409992,0.7828080248921743,2.0150830640916784,0.7119482760975187,0.15975174335780562,-0.16621150101840831
15,1,forward_right,0.25,-0.15,0.05980139626102988,-0.06630765184577392,-0.21346361598148755,3.0,False,0.3134938180446625,-1.1545946623484031,0.20779778151804693,0.0853942796685826,0.05980139626102988,0.06630765184577392,0.25248254673712656,0.0,1.0673180799074378,-0.3071835380056589,0.34325482535317564,0.8194536631979531,0.30171611934945863,0.7727502198532736,0.6456771242320674,1.0976680624095132,2.1250994477895047,2.5419639851492137,-0.42934696175263914,-0.2762266096243647
16,2,forward_right,0.25,-0.15,0.0726201384712178,-0.04573599024258426,-0.40559873360831933,3.0,False,0.4400629699230194,-1.3710354742278277,0.20575373388267934,0.08580222785341902,0.0726201384712178,0.04573599024258426,0.0922482691097775,0.0,2.0279936680415966,-0.5723957952890556,0.23928802315832623,0.899752091498427,2.537962582415613,1.9680870344783887,0.19664016420686564,0.6258433336883593,2.8793299422372325,2.9809945005290714,-0.5931854274823811,-0.20128682956848803
17,2,forward_right,0.25,-0.15,0.059524491262285796,-0.03666557949195722,-0.3899015039617914,3.0,False,0.4005663990974426,-1.5800100986233132,0.221642979362724,0.06990611518295078,0.059524491262285796,0.03666557949195722,0.25594385922142754,0.0,1.9495075198089569,-0.5288536630214946,0.5461566786454133,0.5559558858314082,2.40457773935824,3.043810906431351,0.018088324677714342,1.1321667642047437,1.2936149316154806,-0.5020957552098495,-0.092589380468874,0.5116495192224513
18,2,forward_right,0.25,-0.15,0.05235617348569562,-0.006355498500474416,-0.0915915779258308,3.0,False,0.33136406540870667,-1.842850119090933,0.24432933710519425,0.04816492538348277,0.05235617348569562,0.006355498500474416,0.34554783142880474,0.7881500499841861,0.45795788962915396,-0.6269799679331994,0.008944381444096443,0.7520424959982736,1.9918587284414269,2.8949323025570504,0.18719534765215762,1.100343778485092,0.4646871221546447,3.1274131773174014,-0.3953286504386967,-0.3637056237560109
19,2,forward_right,0.25,-0.15,0.024097582069791526,0.00024400210447278608,-0.04303275904820625,3.0,False,0.3256314694881439,-2.3694156372999067,0.2713027139471395,0.02053796810455705,0.024097582069791526,-0.00024400210447278608,0.6987802241276059,1.008133403482426,0.21516379524103124,-0.535550688891997,0.21302398422249308,0.856472378782088,0.8517529002385404,2.6785588193394307,0.32060963960318295,1.20938126557506,2.3802170114801005,2.981555570856572,-0.28352724092658516,-0.43371811556741335
20,2,forward_right,0.25,-0.15,0.056911716162761215,-0.0810493252168284,-0.2926329278668695,3.0,False,0.39330485463142395,-1.2906392467524963,0.205029951246799,0.0905009278040514,0.056911716162761215,0.0810493252168284,0.2886035479654848,0.0,1.4631646393343474,-0.5436287776864213,0.3800737375113314,1.2240721206503355,1.5691861125602822,3.0211215034341397,0.3200061360404065,1.0719740154551638,1.961124909891323,1.7440308911345381,-0.3722931287829477,-0.02598576068248737
21,2,forward_right,0.25,-0.15,0.088727727547723,0.06348614930947825,0.36129273417880103,3.0,False,0.35881125926971436,-3.818980292088253,0.267553885804169,0.04342004433855775,0.088727727547723,-0.06348614930947825,0.0,3.1162049769826083,1.8064636708940052,-0.5596227364186849,0.2906121590699771,1.1781649020388503,2.0642625561849552,2.75673833214604,0.3550432340604711,0.7754361654903543,1.3293502160452988,0.00013902811550581262,0.21491278123421087,-0.38199571650343783
22,2,forward_right,0.25,-0.15,0.19346140014603289,-0.07828391404497353,-0.7447440881084088,3.0,False,0.3697289228439331,-0.9950867836337588,0.09132256160531062,0.2061685235180592,0.19346140014603289,0.07828391404497353,0.0,0.0,3.7237204405420434,-0.25342336147470224,0.48125843488726017,1.4997647045551272,0.9307615418929194,3.0653983904912323,0.7046243123381499,0.545812988115659,0.11634541738680193,2.778060276556764,-0.24195002187580528,0.34924034122716363
23,2,forward_right,0.25,-0.15,0.09073179694802347,-0.012550590033570294,-0.04194649968288925,3.0,False,0.555307149887085,-1.1046452647266503,0.21037751971996746,0.08425909932050007,0.09073179694802347,0.012550590033570294,0.0,0.5816469988809903,0.20973249841444624,-0.6361436068040576,0.7932641852777454,0.9672951712242375,0.2753594744264487,2.0720635475316653,0.661321019575071,0.8629406955069813,1.654584097048966,3.0367346831490414,-0.1156551835380698,0.21986079925151525
24,3,forward_right,0.25,-0.15,0.06377942335606604,-0.010156002986548897,-0.19129884316660295,3.0,False,0.4707489013671875,-1.7421129093406873,0.232882903336199,0.05991562476254073,0.06377942335606604,0.010156002986548897,0.20275720804917452,0.6614665671150368,0.9564942158330147,-0.37887796359286663,0.7109620219698888,1.4998582602576422,2.9925596472469636,2.552406675992062,0.6774559770170961,0.48730528788756955,1.0078102147425145,2.65164527849506,-0.23855749129579146,0.15318966841919968
25,3,forward_right,0.25,-0.15,0.05896055676313398,-0.025540342851563567,-0.1720677332161169,3.0,False,0.4720919132232666,-1.3577928976098697,0.22800498926505555,0.06369865830975352,0.05896055676313398,0.025540342851563567,0.2629930404608253,0.1486552382812144,0.8603386660805845,-0.6543821882920602,0.5066489193014541,1.200545037197432,0.19093830088874597,0.812875874088383,0.3965361328225423,0.21511863657924163,1.0269105753859256,0.7741693975905704,-0.03466525719470137,0.3546734991654372
26,3,forward_right,0.25,-0.15,0.11411106738806902,0.05363115462879567,0.1011393803376978,3.0,False,0.45522427558898926,-2.9461243882776667,0.2448090054345763,0.07025643161558388,0.11411106738806902,-0.05363115462879567,0.0,2.787705154293189,0.505696901688489,-0.36797497141202073,0.73733920352242,1.3392873328690271,2.389149836378963,2.27790021840104,0.5568133811720634,0.6666380648048372,0.5392353721703946,2.566897058602959,-0.14380902846961718,0.32358978094985
27,3,forward_right,0.25,-0.15,0.04102084218335359,-0.0291537108204409,-0.18813443555165485,3.0,False,0.6116296648979187,-1.565198062785591,0.24140446145468072,0.05017454245107482,0.04102084218335359,0.0291537108204409,0.4872394727080801,0.028209639318636678,0.9406721777582742,-0.6989970885601747,0.711800750518828,1.285241284521086,1.5763316500669156,2.7446666747927893,0.6568182935860366,0.18399376330504058,2.2167213087269078,1.4687482337656546,-0.07143699954172178,0.31626090264493945
28,3,forward_right,0.25,-0.15,0.12720258029816708,0.001532183526378891,0.06024495305193985,3.0,False,0.42290738224983215,-1.3144501579829149,0.19504155693005598,0.10828701081720223,0.12720258029816708,-0.001532183526378891,0.0,1.0510727842126297,0.30122476525969927,-0.5718028138373739,0.3319213415825891,1.0384370463194905,2.215166125924899,1.9604463270290644,0.6729567928511139,0.8962254139331515,1.1661362418353445,3.138489324956476,-0.16427409553615502,0.1206823026216135
29,3,forward_right,0.25,-0.15,0.18214301870862726,-0.01041449331971338,0.6391278784996871,3.0,False,0.480203241109848,-1.696416941867298,0.1552052949649916,0.16154456261849634,0.18214301870862726,0.01041449331971338,0.0,0.6528502226762207,3.1956393924984354,-0.5085226378270782,0.6055265687005735,1.1182369474027383,-1.4084052197123307,2.751609467337331,0.6500269958464199,0.7355054214079496,0.501402542257336,3.0715873794610458,-0.30054499527386735,-0.08431111218245779
30,3,forward_right,0.25,-0.15,0.09340223649517067,-0.07842493523646317,-0.45403885670420613,3.0,False,0.2921678125858307,-1.1255163283906415,0.1721797009830687,0.12044105333917783,0.09340223649517067,0.07842493523646317,0.0,0.0,2.2701942835210307,-0.4674038771619142,0.2783891987490512,0.8217155054896851,1.7777029354872678,3.140526969944937,0.3216455795174112,0.484512194027227,1.4135164569151417,3.0531604413612774,-0.2877302416935635,0.24678669017202792
31,3,forward_right,0.25,-0.15,0.2023361191393823,-0.0539529708403951,-0.17355974273350405,3.0,False,0.4748601019382477,-0.08262632559539233,0.10722349252417192,0.20126036526823923,0.2023361191393823,0.0539529708403951,0.0,0.0,0.8677987136675203,-0.6632737247754286,0.5097425743019622,1.3333893099331773,1.990553228474731,1.2438726202243657,0.43558177374755264,0.8485409775563274,0.3548342705263341,0.3213810797594103,-0.08471579170437904,0.043880656941088
