trial,generation,command_name,cmd_vx_m_s,cmd_vy_m_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,score,planar_error_m_s,projected_speed_m_s,vx_progress_m_s,vy_progress_m_s,vx_deficit,vy_deficit,yaw_penalty,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
0,0,reverse_right,-0.25,-0.15,0.060644450678998506,-0.005373399185271948,-0.025872296172103553,3.0,False,0.2483137995004654,-3.4935345761440617,0.3426613902978849,-0.04923759636792438,-0.060644450678998506,0.005373399185271948,1.7580556334874813,0.8208866938242684,0.12936148086051777,-0.44829819364970824,0.2911406601548594,0.5515600598610364,1.0718557407081573,2.7133530291888377,0.1108701866305809,0.4475618444277459,0.5043689331181227,-2.3349856680034797,0.2085491596034864,0.2893152240000122
1,0,reverse_right,-0.25,-0.15,0.056448028619112744,0.030129351547028938,0.10725134884079957,3.0,False,0.6429422497749329,-4.540733547752184,0.3554672664723064,-0.06390520869603858,-0.056448028619112744,-0.030129351547028938,1.7056003577389094,2.0043117182342978,0.5362567442039978,-0.7294744150866713,0.7817402136083265,0.8427672065760107,2.5350630591750356,3.1100427717472456,0.6494479925196792,0.9617707946444951,2.16283755980659,0.8540798616728345,0.3605305851324341,0.4573472472121678
2,0,reverse_right,-0.25,-0.15,0.07758476884768202,0.06200744564886209,0.5387874601668047,3.0,False,0.6548969745635986,-6.492283139630379,0.3902037131954852,-0.09843095802117291,-0.07758476884768202,-0.06200744564886209,1.9698096105960252,3.06691485496207,2.693937300834023,-0.7516955161311805,0.5142702529102303,1.1868809104902975,2.015966674715944,2.801472966736717,0.7900875283905169,0.3509725700760419,2.9998925121080395,-0.4323786410654118,0.2182032041629447,-0.41175294649853794
3,0,reverse_right,-0.25,-0.15,0.005036180397991534,-0.01683446551985621,-0.13226558297143484,3.0,False,0.24557717144489288,-2.506285601794942,0.28770907682132524,0.004342771990967143,-0.005036180397991534,0.01683446551985621,1.0629522549748942,0.4388511493381263,0.6613279148571741,-0.5350651132575317,0.09422774341677337,0.7552499886843557,2.9492154562330626,3.096838453848764,0.5057172893985978,0.7974022176845583,2.9167919702313734,1.2041409913377388,-0.0009459027117193486,0.14311103523473068
4,0,reverse_right,-0.25,-0.15,0.0816606227180878,-0.08473774405178162,-0.3074174649421327,3.0,False,0.5694093704223633,-3.503791702529227,0.3380206069357319,-0.026426196650895586,-0.0816606227180878,0.08473774405178162,2.0207577839760975,0.0,1.5370873247106633,-0.6173162837965549,0.6511555382697517,1.1334679609791405,-0.519750687978072,3.0477993630536044,0.8158868301429468,1.3798733326362957,1.5931266351186473,-0.25925476806577663,-0.20086474894559536,0.1339267217291097
5,0,reverse_right,-0.25,-0.15,0.12777166805632062,-0.10776624669768838,-0.6415922858307904,3.0,False,0.28019779920578003,-4.761788943974694,0.3801251413732791,-0.05411802496047004,-0.12777166805632062,0.10776624669768838,2.597145850704008,0.0,3.207961429153952,-0.21312907462999287,0.11793817197958734,0.6370944588758947,1.6454225044855404,1.5203712758779853,0.38050441559267106,1.2601591683494002,2.9950290080771342,0.42407321626784356,-0.6817526002619592,-0.04994123876402479
6,0,reverse_right,-0.25,-0.15,0.10972979938524356,0.058661988745250665,0.6357744807096081,3.0,False,0.2715230882167816,-7.0562221593324015,0.415866990891163,-0.12427387092707183,-0.10972979938524356,-0.058661988745250665,2.3716224923155447,2.955399624841689,3.17887240354804,-0.3461302090669408,0.05461196242875094,1.2132740339267345,-0.38442745327993455,1.131572462290439,0.6695375839922029,1.3188673588385746,1.9665069218118791,1.7066501330558799,0.529036335557842,-0.17485450180186046
7,0,reverse_right,-0.25,-0.15,0.04000084681278298,-0.021626044533922556,0.008682396099451614,3.0,False,0.1988421529531479,-2.7038006803998127,0.31714407387516746,-0.02317393504508276,-0.04000084681278298,0.021626044533922556,1.5000105851597871,0.27913184886924813,0.043411980497258064,-0.3454599095639247,0.3427377081171392,0.5781598922665512,2.3333366176156902,3.0123229314962012,0.4097326832768221,1.1057136560016514,2.1319702247298276,-0.056254655288730415,-0.1508944580475231,-0.12467764387274793
8,1,reverse_right,-0.25,-0.15,0.026627885761702854,-0.03561477247561931,0.0149342259836908,3.0,False,0.11663247644901276,-2.260357051746411,0.29934422903539337,-0.004509574398118743,-0.026627885761702854,0.03561477247561931,1.3328485720212857,0.0,0.074671129918454,-0.2618476220888467,0.004291507423359006,1.4571892002044027,2.71643600171845,0.3817885588692591,0.16032258006663436,0.9087417428704931,1.2378855970240012,-1.1498308361631133,-0.16329641232140624,-0.5187109836587664
9,1,reverse_right,-0.25,-0.15,0.10584364529814765,0.08454642006313462,0.005869645473784324,3.0,False,0.26811695098876953,-6.602288869433534,0.4261886003443855,-0.13425895133386484,-0.10584364529814765,-0.08454642006313462,2.3230455662268454,3.8182140021044875,0.02934822736892162,-0.3392994949555216,0.33364029376875287,0.893137834412163,1.678261360428305,3.1387314136460587,0.45420667112014934,1.242935983796763,0.27959045846118435,2.932310566915474,-0.24789529942582084,-0.36392029330256914
