cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.03380629427953344,0.007306331279645321,0.005409326358865374,4.0,-11360.890047288774,False,0.291547594742265,0.03458681843827702,0.21619370572046656,0.15730633127964533,0.26736678973613986,0.005409326358865374,0.025229581758131493,0.02365832229876197,True,True,0.5035661664,0.0383348692,0.4923486653,0.5050945234,0.0547640988,0.4890695219,0.0033963489,0.0365093992,-0.0072869854,0.6250671908,0.0301968567,0.6460961103,0.1607464476,0.033294902,0.1643511653,0.619224034,0.0493021313,0.6095263958,0.5,0.0,0.5,0.0306722336,0.0232700199,0.0076513347,6.6397299354,2.934111988,9.0,1.9923651858,1.0260840569,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.03602766379552795,0.03788970397129803,0.015474562973036843,4.0,-9869.436747961821,False,0.26100766272276377,0.05228405326288498,0.21397233620447204,0.11288970397129802,0.24192611666276734,0.015474562973036843,0.02362071705757985,0.04664422741649763,True,True,0.5143410001,0.0377936311,0.4904032007,0.520487143,0.0539909016,0.4862902868,0.0136580953,0.0359939344,-0.0091398088,0.6200141573,0.0317206198,0.6440615058,0.1537665938,0.0336017972,0.1203266457,0.5990870839,0.0504323564,0.6144734621,0.5,0.0,0.5,0.0334205766,0.0227395667,0.0095967993,6.1812916155,3.1677213132,5.6103222135,1.808121487,1.06303441,2.2965373533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.043882307049471506,0.04532278835540803,0.02752085128098891,4.0,-6658.447572998543,False,0.25,0.06308575129372089,0.2061176929505285,0.04532278835540803,0.21104184061829412,0.02752085128098891,0.043882307049471506,0.04532278835540803,True,True,0.5179544497,0.0372786031,0.5096365495,0.5256492138,0.0532551473,0.5137664992,0.0170994759,0.0355034315,0.0091776662,0.6201033738,0.0344408026,0.6434019208,0.0906993076,0.0194721279,0.071616441,0.6042474031,0.0387580531,0.6067769527,0.5,0.0,0.5,0.0335774631,0.0241787197,0.0096365495,5.8894671313,3.3326903932,9.0,0.861175395,0.4011014997,0.9874306215,0.0389267258,0.0220625785,0.0669727839,0.0389267258,0.0220625785,0.0669727839,0.0,0.0,0.0
-0.25,0.075,0.0,-0.039733106783258615,0.004996862737531713,-0.020478207760153078,4.0,-9486.328618087502,False,0.26100766272276377,0.04004607860786827,0.21026689321674139,-0.07000313726246829,0.22161364039609227,0.020478207760153078,0.03949325201259892,0.006631097747501187,True,True,0.5311677046,0.0340447636,0.5216651008,0.5445252923,0.0486353765,0.5309501439,0.0296835282,0.0324235843,0.0206334293,0.6125136289,0.0373340989,0.6300939918,0.1883146868,0.0392952789,0.1127780676,0.6076654151,0.0462479215,0.602566421,0.5,0.0,0.5,0.037951102,0.0262713836,0.0216651008,6.2026092542,3.0955981057,3.5949689325,1.681064792,0.7818265537,1.0734201422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.03870358613192008,-0.01360484425028639,-0.0512927237477091,4.0,-11853.87513309495,False,0.291547594742265,0.0410251065391122,0.21129641386807993,-0.16360484425028637,0.2672315841656285,0.0512927237477091,0.02618841668780266,0.03157888848473812,True,False,0.5248819647,0.0329533476,0.5526092505,0.5355456638,0.0470762109,0.5751560722,0.0236971092,0.0313841406,0.0501040481,0.6182867011,0.0376450139,0.5961336493,0.1912196416,0.0450630346,0.1231238246,0.6301998585,0.037855564,0.5930800438,0.5,0.0,0.5,0.0327881867,0.0250992051,0.0526092505,6.7450718304,2.9115301533,9.0,1.9955846114,0.8765881296,0.8967897437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,-0.028566685719722158,-0.08450486642345616,0.03284909941486713,4.0,-15926.255005464413,False,0.19525624189766635,0.0892027352846063,0.09643331428027785,0.06549513357654384,0.11657185177086345,0.03284909941486713,0.08320638316391701,0.03215316132256629,True,True,0.0054701237,0.0142611404,0.0,0.4552621389,0.0579486429,0.4099018555,-0.0298252407,0.0386324286,-0.0600654297,1.2699009669,0.173839996,1.3118803501,0.1887482908,0.0414455941,0.2322338223,1.3024822083,0.1875147335,1.3817315102,0.0,0.0,0.0,0.0054701237,0.0142611404,0.0,8.9856271889,0.1406820903,9.0,2.0570430323,1.1171701334,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.023431263844002924,0.01524374581460426,0.01942068606254277,4.0,-6891.17451764552,False,0.1457737973711325,0.027953459746291577,0.10156873615599707,0.09024374581460426,0.13586810450940076,0.01942068606254277,0.012249300468306608,0.02512668998942533,True,True,0.522098616,0.0245953249,0.507448943,0.5315694514,0.0351361785,0.5106413472,0.0210463009,0.023424119,0.0070942314,0.3747053267,0.0205275716,0.3874968886,0.0936829159,0.0128404918,0.091557622,0.3730554207,0.0253294283,0.3679094315,0.5,0.0,0.5,0.026303332,0.0200353079,0.007448943,4.524662587,3.6505033918,6.9460660041,1.3960995261,1.021056227,1.9876962397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.021913782961267725,0.013224071607336166,0.01276321502346689,4.0,-4437.395087128168,False,0.125,0.025594725111817516,0.10308621703873228,0.013224071607336166,0.10393095887767308,0.01276321502346689,0.021913782961267725,0.013224071607336166,True,True,0.4559291228,0.0234758978,0.4430152368,0.5441844612,0.0335369968,0.5257360525,0.0294563075,0.0223579979,0.0171573684,0.3763698916,0.014693388,0.3568078876,0.0541300509,0.0077900196,0.04568379,0.3734855103,0.0194280359,0.3426473439,0.425,0.0,0.425,0.0325384102,0.0211891548,0.0180152368,4.0514245021,3.5458075125,2.5382852246,0.4192052128,0.1790211456,0.4307558508,0.0191370167,0.0191929206,0.0517299923,0.0191370167,0.0191929206,0.0517299923,0.0,0.0,0.0
-0.125,0.075,0.0,-0.024451260344098433,0.007846492938651934,0.013917790137983888,4.0,-6274.282219326451,False,0.1457737973711325,0.025679399990093135,0.10054873965590157,-0.06715350706134807,0.12091171389501018,0.013917790137983888,0.025003770081748557,0.005851757475344578,True,True,0.5452735245,0.0226146449,0.5326933501,0.5646764636,0.0323066356,0.5467047859,0.0431176424,0.0215377571,0.0311365239,0.3612869766,0.0202816221,0.3707661033,0.1218922803,0.018133092,0.1024274603,0.3674085438,0.0182373389,0.3531752527,0.5,0.0,0.5,0.0461683937,0.0207266401,0.0326933501,4.1064483832,3.417714658,3.4776584576,1.1786513159,0.8853078589,0.4740103995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.01745037717962572,0.034181848370069434,0.09533324164222279,4.0,-6980.2640052323695,False,0.19525624189766635,0.03837856721798796,0.10754962282037428,-0.11581815162993056,0.15805304684117405,0.09533324164222279,0.03743068253251565,0.008476934991826262,True,False,0.0311510606,0.0324013071,0.0527469216,0.5402467468,0.050960785,0.5753527451,0.0268311645,0.0339738567,0.0502351634,0.6910935843,0.0870772595,0.6593036056,0.2343319377,0.0338657909,0.2243219316,0.7469210455,0.0648788502,0.644043088,0.0,0.0,0.0,0.0311510606,0.0324013071,0.0527469216,4.5000490669,2.6613845966,5.5253411534,1.5313260389,0.7436159549,0.5627682246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
