cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.05357204076782647,-0.008407516791761285,-0.03960300189708155,4.0,-12806.676544525262,False,0.291547594742265,0.0542277594100421,0.19642795923217354,0.1415924832082387,0.24214122835484211,0.03960300189708155,0.050263277677442056,0.0203532014128924,True,True,0.4968664277,0.0454905632,0.4882961107,0.4955234681,0.0649865188,0.4832801581,-0.0029843546,0.0433243459,-0.0111465612,0.8287718698,0.0370513909,0.8558114171,0.1660390755,0.028817332,0.1815018356,0.8110542372,0.0598282456,0.8188497424,0.5,0.0,0.5,0.038113809,0.0250309445,0.0117038893,7.3677813706,2.5327888226,9.0,1.9893589613,1.0865758333,2.8530173742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.05747647038904228,0.005044908310616329,-0.04822376761287539,4.0,-11354.624528453878,False,0.26100766272276377,0.05769745010175909,0.19252352961095773,0.08004490831061632,0.20850059184644126,0.04822376761287539,0.05360283038442818,0.021347888022546915,True,True,0.5005435223,0.0441942498,0.5258004591,0.5007764604,0.0631346426,0.5368577987,0.0005176403,0.0420897617,0.0245718658,0.8299279222,0.0399460875,0.8340426087,0.1443271345,0.0303523608,0.1344827712,0.8079454637,0.0590198166,0.7901960611,0.5,0.0,0.5,0.0359427657,0.0257205118,0.0258004591,7.2508274721,2.6679884137,5.6782227701,1.8080514505,1.1420679892,2.0241135589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06815366748077005,0.008816260819863633,-0.05890723432230305,4.0,-8026.686040238097,False,0.25,0.0687215311669002,0.18184633251922994,0.008816260819863633,0.1820599217442933,0.05890723432230305,0.06815366748077005,0.008816260819863633,True,False,0.5074821391,0.0470241075,0.4906501059,0.5106887701,0.0671772965,0.4866430084,0.0071258467,0.0447848643,-0.0089046611,0.8251468143,0.043697405,0.8590929508,0.0866168552,0.0201770037,0.0658981055,0.8112274361,0.049600013,0.8262527585,0.5,0.0,0.5,0.0391753186,0.027065541,0.0093498941,7.0118405677,2.7870784895,9.0,0.791322882,0.4736289679,0.4487548445,0.0270689172,0.0177185045,0.0501628037,0.0270689172,0.0177185045,0.0501628037,0.0,0.0,0.0
-0.25,0.075,0.0,-0.05289653289058526,0.03064789936605268,-0.00010363533480295395,4.0,-10950.064177157974,False,0.26100766272276377,0.061133762581706524,0.19710346710941473,-0.04435210063394732,0.20203189247541073,0.00010363533480295395,0.05947229867955311,0.0141556567197176,True,True,0.5179925477,0.0384991905,0.4994288191,0.5257036396,0.0549988436,0.4991840273,0.0171357597,0.0366658957,-0.0005439818,0.8269078469,0.0461810541,0.8713397384,0.1667687661,0.0394466902,0.1210285574,0.8220378685,0.0531124779,0.8430449963,0.5,0.0,0.5,0.0334152802,0.0262552564,0.0005711809,6.9972148826,2.7691174431,9.0,1.6885937523,0.8791727095,0.7274034184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.05908884709973,-0.024957706697997826,-0.07144672957838216,4.0,-12028.860075227642,False,0.291547594742265,0.06414342503482766,0.19091115290027,-0.17495770669799782,0.2589541801839331,0.07144672957838216,0.03782763421520364,0.05180201796145891,True,False,0.521168371,0.0387051768,0.5348179072,0.5302405299,0.0552931097,0.5497398674,0.0201603533,0.0368620732,0.0331599116,0.8241425681,0.0478786262,0.8208113909,0.1925940664,0.0416020322,0.1692198366,0.8266560227,0.0530204364,0.7886847258,0.5,0.0,0.5,0.0352282243,0.0265549027,0.0348179072,7.0701722792,2.7153691007,9.0,1.8095929053,0.9642850392,0.6386535443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.051018644885209644,-0.16589350100002317,-0.15922718400852331,4.0,-16168.306070381392,False,0.19525624189766635,0.17356138913931238,0.17601864488520963,-0.01589350100002318,0.17673473546890342,0.15922718400852331,0.09478157706759313,0.1453960400029785,True,False,0.0054670408,0.0156647817,0.0,0.4306249016,0.0692623907,0.3742504641,-0.0462500656,0.0461749271,-0.0838330239,1.6932013059,0.2317866677,1.7491738796,0.1977424693,0.041344239,0.2343746871,1.6854295903,0.2496136634,1.7771452665,0.0,0.0,0.0,0.0054670408,0.0156647817,0.0,8.992494562,0.1058772321,9.0,2.1307412125,1.1368113066,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03822647530196121,0.007283817064989169,0.00186060215891104,4.0,-8237.358577103456,False,0.1457737973711325,0.03891423139479537,0.08677352469803878,0.08228381706498916,0.11958374111603028,0.00186060215891104,0.029031439183109523,0.025913180893226733,True,True,0.5182243036,0.0351874955,0.5061039353,0.5260347194,0.0502678507,0.5087199076,0.0173564796,0.0335119005,0.0058132717,0.4963875881,0.0280745994,0.5178565979,0.0902619414,0.015384246,0.0885209367,0.4922654843,0.0336331881,0.5006453395,0.5,0.0,0.5,0.0328873941,0.0221066593,0.0061039353,5.0987801936,3.7163004527,8.0708166132,1.435543331,1.1290941172,2.2014234501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.032666781499763785,0.008551669066054828,-0.001990430728672443,4.0,-5319.970700195213,False,0.125,0.03376758293642926,0.09233321850023621,0.008551669066054828,0.09272838984058593,0.001990430728672443,0.032666781499763785,0.008551669066054828,True,True,0.4498913142,0.0334525517,0.4416145716,0.5355590203,0.0477893596,0.5237351023,0.0237060135,0.031859573,0.0158234015,0.500029697,0.0219000886,0.4745806158,0.0510392573,0.0080669854,0.0443672054,0.496273524,0.0262053747,0.4596211612,0.425,0.0,0.425,0.0325804214,0.0260224303,0.0166145716,4.7807478046,3.5667860011,4.3189745324,0.3910252826,0.2157058891,0.3802298106,0.0152579895,0.0154428171,0.0425018183,0.0152579895,0.0154428171,0.0425018183,0.0,0.0,0.0
-0.125,0.075,0.0,-0.038361270252161274,0.03160976342475717,0.029528888920955065,4.0,-7944.0012969786885,False,0.1457737973711325,0.04970678222464687,0.08663872974783873,-0.043390236575242824,0.09689676012320833,0.029528888920955065,0.0491576069746812,0.007368437802631184,True,True,0.5376843015,0.0330063371,0.5264456114,0.5538347165,0.0471519101,0.5377794448,0.035889811,0.0314346067,0.0251862966,0.4869844885,0.0326751745,0.4998566806,0.1122681582,0.0180595522,0.0917402804,0.4889965022,0.0275496411,0.4802865088,0.5,0.0,0.5,0.0410058265,0.0287758068,0.0264456114,5.0029498724,3.4334632051,4.9685869479,1.169344969,0.866991533,0.4822896026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.0252282469199708,0.03152713937590076,0.0854188480461252,4.0,-8580.557324323794,False,0.19525624189766635,0.04037852102148478,0.0997717530800292,-0.11847286062409923,0.1548877703923701,0.0854188480461252,0.040370549462448065,0.0008023066636408851,True,False,0.0228199568,0.031824972,0.0416302945,0.5090849537,0.0668962357,0.5594718494,0.0060566358,0.0445974904,0.0396478996,0.921458112,0.1161030183,0.8790714741,0.211316018,0.0260028563,0.2060576379,0.9587052238,0.0860991567,0.8392591476,0.0,0.0,0.0,0.0228199568,0.031824972,0.0416302945,6.1487853366,2.8022252015,8.5483739722,1.664565423,0.8862336271,0.4056895658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
