cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05961377814084836,0.03707860946209513,0.004424620842122658,6.0,-22369.03312478538,False,0.125,0.07020417241068269,0.040386221859151646,0.11207860946209514,0.11913295771957254,0.004424620842122658,0.02544385683542161,0.06543115445418513,True,True,0.4694452855,0.0663494245,0.4468234215,0.4563504078,0.0947848921,0.4240334593,-0.0290997281,0.0631899281,-0.0506443605,0.8127846565,0.0477746849,0.7981796265,0.0976288673,0.0139139171,0.1060336158,0.7913332574,0.0537288136,0.770167172,0.5,0.0,0.5,0.0618091804,0.0389289343,0.0531765785,8.6030940622,1.5259070327,9.0,1.8252677092,1.2752783487,3.0,1.0,0.0,1.0,1.6914258741,1.3209768241,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06835623090653466,-0.01710892490178551,-0.04946885623565659,6.0,-21137.812470097782,False,0.10680004681646915,0.07046481118290476,0.03164376909346535,0.02039107509821449,0.03764470834130045,0.04946885623565659,0.07001127805982756,0.007981889467533861,True,True,0.4753312819,0.0705102287,0.4504121166,0.4647589742,0.1007288982,0.4291601665,-0.0234940172,0.0671525988,-0.0472265556,0.8075846781,0.0503153082,0.8031519651,0.0831293124,0.0140514324,0.0788510963,0.7852066616,0.0554126903,0.7716655135,0.5,0.0,0.5,0.0649761296,0.0368556724,0.0495878834,8.5786240661,1.4424713132,9.0,1.67311356,1.242654202,2.308648257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.0746693671773853,0.021798374905602613,-0.011879072432052254,6.0,-16355.396790247427,False,0.1,0.07778613978850211,0.025330632822614704,0.021798374905602613,0.033418708947524155,0.011879072432052254,0.0746693671773853,0.021798374905602613,True,True,0.4799381628,0.0749699089,0.4422533212,0.4713402325,0.1070998698,0.4175047446,-0.0191065117,0.0713999132,-0.0549968369,0.8035366144,0.0504280719,0.791851759,0.0474284942,0.0085309329,0.0377775878,0.7928314642,0.0512351032,0.7767906189,0.5,0.0,0.5,0.0690222499,0.0354808903,0.0577466788,8.5469021313,1.5264972303,9.0,0.7259468134,0.7788623394,0.707024985,0.0,0.0,0.0,0.0,0.0,0.0,0.0156291602,0.0083289324,0.0204486409,0.0156291602,0.0083289324,0.0204486409,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.0637913815579897,0.0036585349261724948,-0.03618093022953972,6.0,-21465.410994616785,False,0.10680004681646915,0.06389620676443206,0.0362086184420103,-0.0338414650738275,0.04956116229288993,0.03618093022953972,0.06101432920463463,0.01897305643778889,True,True,0.4916717403,0.0672738946,0.4697335154,0.4881024861,0.0961055637,0.4567621648,-0.0079316759,0.0640703758,-0.0288252234,0.8118294549,0.0542587008,0.8299719691,0.0933027637,0.0183436149,0.0798389465,0.8024117625,0.0525418523,0.8196675777,0.5,0.0,0.5,0.0573980165,0.0360638947,0.0302664846,8.5619037206,1.4777187812,9.0,1.7062046526,1.0940235767,0.6973370164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.07297377620611625,-0.0033047803797800067,-0.03525976932717301,6.0,-22963.418284685078,False,0.125,0.07304857005540162,0.027026223793883752,-0.07830478037978,0.0828375241233263,0.03525976932717301,0.056396152737025,0.046428090027493756,True,True,0.493615332,0.0608229632,0.4560851306,0.4908790457,0.0868899475,0.4372644722,-0.0060806362,0.0579266316,-0.0418236852,0.815722187,0.0488214503,0.8110182285,0.1146255711,0.0140245737,0.1032855436,0.8104833847,0.0455548892,0.799975574,0.5,0.0,0.5,0.0529721105,0.0305639059,0.0439148694,8.5980200985,1.4223606999,9.0,1.7362885825,1.1221865831,0.1915963215,1.0,0.0,1.0,1.5348785451,1.1770865929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.03457012518877429,-0.07689357980383907,0.034282214500355325,6.0,-30481.67052843602,False,0.09013878188659974,0.0843072723471522,0.015429874811225715,-0.001893579803839071,0.015545632221418497,0.034282214500355325,0.08315538093421859,0.013888800967034098,True,True,0.0046469102,0.0124434626,0.0,0.418025853,0.0778558744,0.4181387853,-0.0546494313,0.0519039163,-0.0545741431,1.2707799137,0.1747256974,1.3118803501,0.1138790309,0.0193565858,0.1178332195,1.2846449155,0.1776231915,1.344504714,0.0,0.0,0.0,0.0046469102,0.0124434626,0.0,9.0,0.0,9.0,2.3029657375,1.1038316235,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.039549021540987696,0.014792803091000997,0.011040380405954823,6.0,-16916.508514415327,False,0.0625,0.04222501779915122,0.010450978459012307,0.052292803091001,0.05332691821083366,0.011040380405954823,0.02276353537818956,0.035563655397393416,True,True,0.5049829235,0.0597495464,0.4720704112,0.5071184622,0.0853564949,0.4601005875,0.0047456414,0.0569043299,-0.0265996084,0.4853800554,0.0325431173,0.4999327362,0.0461736578,0.0058315111,0.0489170775,0.4834173922,0.0328944778,0.4924226999,0.5,0.0,0.5,0.0539593171,0.0261386671,0.0279295888,7.9109364223,2.4102439708,9.0,1.3969522108,1.3167029048,2.3634076281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03169822420218192,0.026310076816972908,0.021740197874427825,6.0,-12096.088289275789,False,0.05,0.04119463022879082,0.01830177579781808,0.026310076816972908,0.03204957315579437,0.021740197874427825,0.03169822420218192,0.026310076816972908,True,True,0.437282244,0.0576489023,0.4090019667,0.5175460629,0.0823555748,0.4771456667,0.0116973753,0.0549037165,-0.0152362222,0.4889351496,0.0294922734,0.4475810826,0.0255405546,0.004191282,0.0205898583,0.4889374044,0.032094124,0.4433046877,0.425,0.0,0.425,0.0520891761,0.0275856338,0.0159980333,7.8452203983,2.4282728055,9.0,0.3803265494,0.5315992173,0.3050183879,0.0,0.0,0.0,0.0,0.0,0.0,0.002855463,0.0039393138,0.0092795038,0.002855463,0.0039393138,0.0092795038,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.036889046652079815,0.028647370868390244,0.027827745927147058,6.0,-17496.582450588572,False,0.0625,0.046706248196257585,0.013110953347920187,-0.008852629131609755,0.015819802155310453,0.027827745927147058,0.046699659842698,0.000784468703464307,True,True,0.5226803138,0.0576354623,0.4996129331,0.5324004483,0.0823363747,0.4994470472,0.0216002989,0.0548909165,-0.0003686352,0.4828348172,0.0388161853,0.5229580402,0.0584725345,0.0092714616,0.0489482433,0.4874547329,0.0307626508,0.5193805695,0.5,0.0,0.5,0.0527752583,0.0324193656,0.0003870669,8.0012397847,2.2546090066,9.0,1.375794948,1.1037774422,0.4850330951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.025297331652618674,0.059307984903336365,0.10706760352132583,6.0,-20476.515592124037,False,0.09013878188659974,0.06447784163599893,0.02470266834738133,-0.015692015096663632,0.029265357699413734,0.10706760352132583,0.06337966112708769,0.011849498616080197,True,False,0.0263106617,0.0422205971,0.0181536863,0.4660353376,0.1220474579,0.5259338375,-0.0226431083,0.0813649719,0.017289225,0.921458112,0.1161030183,0.8790714741,0.1223672813,0.0145407489,0.1158500314,0.9452974717,0.1045414398,0.8676612973,0.0,0.0,0.0,0.0263106617,0.0422205971,0.0181536863,8.6520181252,1.238084245,9.0,2.1340631317,1.1282023457,1.031035167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.03570038474037212,-0.0800399692235665,0.014394231873527582,6.0,-26617.142809218596,False,0.075,0.0876408246419445,-0.03570038474037212,-0.005039969223566504,0.03605438614628034,0.014394231873527582,0.0800399692235665,0.03570038474037212,True,True,0.0044152815,0.0119911274,0.0,0.4198138634,0.0749658355,0.4338183254,-0.0534574244,0.0499772236,-0.0441211164,1.2707799137,0.1747256974,1.3118803501,0.0617561613,0.0110675796,0.0619020276,1.2772459769,0.1757919728,1.3264964819,0.0,0.0,0.0,0.0044152815,0.0119911274,0.0,9.0,0.0,9.0,1.1238078204,1.4125866425,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
