cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,0.11882026879754633,-0.14755455252587424,-0.23818549758778185,6.0,-33020.83276926767,False,0.125,0.18944815187336123,0.21882026879754635,-0.07255455252587424,0.23053518848293048,0.23818549758778185,-0.006523483522512533,0.18933580329922717,False,False,0.3830824155,0.0396720706,0.3623063706,0.3329748792,0.0566743866,0.3032948151,-0.1113500805,0.0377829244,-0.1311367899,1.8725618478,0.1366035011,1.6807056665,0.1256062774,0.0176500735,0.1521893144,1.8516625218,0.1290760221,1.6854579449,0.5,0.0,0.5,0.117548341,0.0377621806,0.1376936294,9.0,0.0,9.0,2.2934644982,1.2052639677,3.0,1.0,0.0,1.0,2.2636695619,1.2196236425,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.02648989693460439,-0.060352673913080884,-0.022032476689560026,6.0,-26950.66504369707,False,0.10680004681646915,0.06591024114706785,0.07351010306539561,-0.022852673913080886,0.07698038683757502,0.022032476689560026,0.04599450198408978,0.04720874575012767,True,True,0.3726654326,0.0381554393,0.333209832,0.3180934751,0.0545077705,0.2617283314,-0.1212710166,0.0363385137,-0.158847779,1.9465101405,0.1530123829,1.6183265448,0.1300166682,0.0165236602,0.148692891,1.9102152836,0.1466172095,1.5929317474,0.5,0.0,0.5,0.128176124,0.035225145,0.166790168,8.8148510557,1.0325351736,9.0,2.6991692172,0.6729376097,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.0746693671773853,0.021798374905602613,-0.011879072432052254,6.0,-16355.396790247427,False,0.1,0.07778613978850211,0.025330632822614704,0.021798374905602613,0.033418708947524155,0.011879072432052254,0.0746693671773853,0.021798374905602613,True,True,0.4799381628,0.0749699089,0.4422533212,0.4713402325,0.1070998698,0.4175047446,-0.0191065117,0.0713999132,-0.0549968369,0.8035366144,0.0504280719,0.791851759,0.0474284942,0.0085309329,0.0377775878,0.7928314642,0.0512351032,0.7767906189,0.5,0.0,0.5,0.0690222499,0.0354808903,0.0577466788,8.5469021313,1.5264972303,9.0,0.7259468134,0.7788623394,0.707024985,0.0,0.0,0.0,0.0,0.0,0.0,0.0156291602,0.0083289324,0.0204486409,0.0156291602,0.0083289324,0.0204486409,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.08268026867788307,-0.025147161733884562,-0.028161808162661783,6.0,-23138.333509673503,False,0.10680004681646915,0.086419943137664,0.017319731322116935,-0.06264716173388456,0.06499723045162623,0.028161808162661783,0.06858618999816843,0.05257700175411509,True,True,0.3860086492,0.0680020375,0.3666047312,0.3371552131,0.0971457679,0.3094353303,-0.1085631912,0.0647638453,-0.1270431131,1.92575773,0.1554962076,1.6427377462,0.125149181,0.0181392885,0.1072920039,1.8912204591,0.1555981263,1.6072034836,0.5,0.0,0.5,0.1187017279,0.0593986949,0.1333952688,8.9332222675,0.4668143094,9.0,2.118250669,1.1009207386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.08544638603406385,-0.008858121440428827,0.0069351812212748625,6.0,-27298.168287548626,False,0.125,0.08590431422074007,0.014553613965936157,-0.08385812144042883,0.0851116455662044,0.0069351812212748625,0.06304223596299378,0.058354328772781364,True,True,0.4032170426,0.0868698907,0.3986280046,0.3617386323,0.1240998439,0.3551828638,-0.0921742451,0.0827332293,-0.0965447575,1.7459349791,0.1641048172,1.552026391,0.1175166978,0.0131029411,0.1145698205,1.7236050836,0.1672432668,1.5057177544,0.5,0.0,0.5,0.1139829151,0.0626195962,0.1013719954,8.9903704162,0.1370546081,9.0,2.3435266804,1.0781321342,0.0,1.0,0.0,1.0,2.2739296619,1.1098127826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,0.13900815695649746,-0.13552952322882642,-0.2628512529222991,6.0,-30666.399601559733,False,0.09013878188659974,0.19414303842032357,0.18900815695649748,-0.06052952322882642,0.19846386718594652,0.2628512529222991,0.035659527753336036,0.19084003104035666,True,False,0.0006438572,0.0050795979,0.0,0.3816217755,0.0797066154,0.4447587319,-0.0789188163,0.0531377436,-0.0368275121,1.733286893,0.3556670926,1.4349398613,0.117266234,0.0192420948,0.0953940153,1.7239726011,0.3613086655,1.474160552,0.0,0.0,0.0,0.0006438572,0.0050795979,0.0,9.0,0.0,9.0,2.2963674908,1.2253676602,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.05063555337402961,0.07811778728433644,0.15605805030484396,6.0,-26782.96749795604,False,0.0625,0.09309322185688407,-0.0006355533740296099,0.11561778728433644,0.11561953409617819,0.15605805030484396,-0.006362229671378169,0.09287556185188692,False,False,0.4210005644,0.0400755588,0.4222880688,0.3871436634,0.0572507982,0.3889829554,-0.0752375577,0.0381671988,-0.0740113631,1.1270469115,0.0651490955,1.0685156584,0.0562973519,0.0109829375,0.0633611605,1.124931283,0.0576853295,1.0779657364,0.5,0.0,0.5,0.080282352,0.0374393535,0.0777119312,8.8141829018,0.9712237423,9.0,1.8048833705,1.2806752266,1.9050811643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03169822420218192,0.026310076816972908,0.021740197874427825,6.0,-12096.088289275789,False,0.05,0.04119463022879082,0.01830177579781808,0.026310076816972908,0.03204957315579437,0.021740197874427825,0.03169822420218192,0.026310076816972908,True,True,0.437282244,0.0576489023,0.4090019667,0.5175460629,0.0823555748,0.4771456667,0.0116973753,0.0549037165,-0.0152362222,0.4889351496,0.0294922734,0.4475810826,0.0255405546,0.004191282,0.0205898583,0.4889374044,0.032094124,0.4433046877,0.425,0.0,0.425,0.0520891761,0.0275856338,0.0159980333,7.8452203983,2.4282728055,9.0,0.3803265494,0.5315992173,0.3050183879,0.0,0.0,0.0,0.0,0.0,0.0,0.002855463,0.0039393138,0.0092795038,0.002855463,0.0039393138,0.0092795038,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.060824031094791085,-0.030654362503104608,-0.022101113949948736,6.0,-19410.965201194456,False,0.0625,0.06811205986528274,-0.010824031094791083,-0.06815436250310461,0.06900852684520657,0.022101113949948736,0.03026660737397011,0.06101790865935834,True,True,0.4324510625,0.0788814805,0.4173843011,0.4035015179,0.1126878293,0.381977573,-0.0643323214,0.0751252195,-0.078681618,1.0445576926,0.0980994437,0.9546627402,0.0509353353,0.0085524836,0.0376704261,1.0361916516,0.0986655385,0.9377287626,0.5,0.0,0.5,0.0906177466,0.0507303748,0.0826156989,8.543545171,1.3921923349,9.0,1.7483944829,1.1490682499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.05693418946463718,0.017591590140427226,0.06163037874419911,6.0,-21124.408155662557,False,0.09013878188659974,0.05958998215861437,-0.006934189464637176,-0.05740840985957277,0.05782567341705738,0.06163037874419911,0.046218493822171795,0.03761405059912914,True,False,0.0191709091,0.0378829049,0.0,0.4132590149,0.1371791748,0.4309620913,-0.0578273234,0.0914527832,-0.0460252725,1.4031264877,0.3093298217,0.8543477058,0.1280212531,0.0216918845,0.1222128049,1.4097088089,0.3204288043,0.8207149506,0.0,0.0,0.0,0.0191709091,0.0378829049,0.0,8.7801683283,0.927139339,9.0,1.9901158331,1.2837909816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
