cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.058457261316801214,0.04124248746717771,0.015168664072909769,6.0,-22664.63475459331,False,0.125,0.07154155556836246,0.04154273868319879,0.1162424874671777,0.12344276013544701,0.015168664072909769,0.022020316573134347,0.0680683467638229,True,True,0.4709208873,0.0715825852,0.4437466864,0.4584584105,0.1022608361,0.4196381234,-0.027694393,0.0681738907,-0.0535745844,0.8076963756,0.0478726865,0.7939189672,0.0979430995,0.0131001437,0.1093330309,0.7885565243,0.0545709784,0.7701818347,0.5,0.0,0.5,0.0671758647,0.0381715142,0.0562533136,8.4426804912,1.854348609,9.0,1.7865179214,1.2561295523,3.0,1.0,0.0,1.0,1.64182119,1.3024163811,2.8295427871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06395715074452406,0.03435922075402136,-0.0022828649578464275,6.0,-21096.45275594301,False,0.10680004681646915,0.07260215687003621,0.03604284925547595,0.07185922075402136,0.08039175697687007,0.0022828649578464275,0.04782061851483234,0.05462839579413092,True,True,0.4782430704,0.072395785,0.4497753585,0.468918672,0.1034225501,0.4282505121,-0.0207208854,0.0689483667,-0.0478329919,0.8079325638,0.051824561,0.8022695184,0.0854613406,0.0143429643,0.0744962618,0.7898178534,0.0556072809,0.7781313062,0.5,0.0,0.5,0.0652856211,0.0381090718,0.0502246415,8.5795175326,1.5676897285,9.0,1.7250542107,1.3342402835,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06821767830286364,0.01832794652907793,-0.013007161188673585,6.0,-15284.168635318823,False,0.1,0.0706368548068622,0.031782321697136365,0.01832794652907793,0.03668827600791572,0.013007161188673585,0.06821767830286364,0.01832794652907793,True,True,0.4803168749,0.0763958411,0.4484635482,0.4718812498,0.1091369158,0.4263764974,-0.0187458334,0.0727579439,-0.0490823351,0.8035463752,0.0542361395,0.8004517555,0.0463457952,0.0079592727,0.0380175263,0.7936621984,0.055012125,0.7864564657,0.5,0.0,0.5,0.0685932972,0.038970624,0.0515364518,8.46950794,1.7276500054,9.0,0.5839431802,0.639920756,0.5113642704,0.0,0.0,0.0,0.0,0.0,0.0,0.0140928177,0.0095012119,0.0208599386,0.0140928177,0.0095012119,0.0208599386,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06353892683594371,-0.018927134599675276,-0.07339992832957513,6.0,-20949.40385769703,False,0.10680004681646915,0.06629805161252955,0.03646107316405629,-0.05642713459967527,0.06718207629572441,0.07339992832957513,0.052847590467874156,0.04003203503892214,True,False,0.4907495821,0.0701163198,0.4858129824,0.4867851173,0.1001661712,0.4797328319,-0.0088099218,0.0667774474,-0.0135114454,0.8090048299,0.0544729125,0.8523509502,0.0908151172,0.0156888807,0.0743268058,0.7999417222,0.0522144076,0.8346105814,0.5,0.0,0.5,0.0607923212,0.0361408664,0.0141870176,8.6496022468,1.2819355508,9.0,1.4777198332,1.2181844805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.07365323386166461,0.021715290937552575,-0.012855682014683381,6.0,-23260.0118314843,False,0.125,0.07678771202987893,0.026346766138335392,-0.05328470906244742,0.05944251261359838,0.012855682014683381,0.07195176165186323,0.026819707566956702,True,True,0.4970047778,0.0649842425,0.4604050752,0.4957211111,0.0928346322,0.4434358217,-0.0028525926,0.0618897548,-0.0377094522,0.8142059926,0.0536989695,0.8170131445,0.1106857835,0.0162455562,0.0776239932,0.8106969821,0.0465320971,0.8113195896,0.5,0.0,0.5,0.0549471891,0.0348242665,0.0395949248,8.6873837751,1.1919227463,9.0,1.8048500307,1.0644141913,0.9649794,1.0,0.0,1.0,1.6077044297,1.126483924,0.7149794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.057635290622648404,-0.04765289088181065,0.0616436654174363,6.0,-30189.95795944266,False,0.09013878188659974,0.07478385343475485,-0.007635290622648401,0.02734710911818935,0.0283929927977742,0.0616436654174363,0.07161990890214087,0.021522392603981963,True,False,0.0061734582,0.0148353253,0.0,0.4204207776,0.0844715602,0.429361606,-0.0530528149,0.0563143734,-0.0470922627,1.2707799137,0.1747256974,1.3118803501,0.1167388397,0.0182097872,0.1075423211,1.2844385707,0.1760173468,1.3570050001,0.0,0.0,0.0,0.0061734582,0.0148353253,0.0,9.0,0.0,9.0,2.2762129713,1.1412350268,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03649072777236573,0.025025835087505364,0.02306344432829695,6.0,-17085.99685361655,False,0.0625,0.044247775482886345,0.013509272227634275,0.06252583508750537,0.06396858986651377,0.02306344432829695,0.014177081165389366,0.041915104733423726,True,True,0.5065695066,0.0609848523,0.4909350949,0.5093850094,0.0871212175,0.4870501356,0.0062566729,0.0580808117,-0.0086332429,0.4845846239,0.0338977971,0.5156941414,0.046107404,0.0053259156,0.0505268797,0.4851296254,0.0331992812,0.511252284,0.5,0.0,0.5,0.0550193912,0.0271141515,0.0090649051,7.8377203237,2.4424550205,9.0,1.3913783424,1.3293972745,2.389250828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03146580458693455,0.024523830860647883,0.02496275049208818,6.0,-12009.245364463704,False,0.05,0.03989379824464972,0.018534195413065453,0.024523830860647883,0.030739789844619333,0.02496275049208818,0.03146580458693455,0.024523830860647883,True,True,0.4389316136,0.0568011134,0.4148118255,0.5199023052,0.0811444477,0.485445465,0.0132682035,0.0540962985,-0.0097030234,0.4900780683,0.028652231,0.4523786008,0.0253977824,0.0034877748,0.0208602995,0.4908586719,0.0313140459,0.4497459233,0.425,0.0,0.425,0.0510663979,0.0285075313,0.0101881745,7.770580128,2.4663068845,9.0,0.3796669016,0.5192008867,0.3099185492,0.0,0.0,0.0,0.0,0.0,0.0,0.0018259163,0.0029243492,0.0053779991,0.0018259163,0.0029243492,0.0053779991,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03768719907535826,0.02230568771904475,0.01714630357356602,6.0,-17405.36939874966,False,0.0625,0.04379347758245773,0.012312800924641744,-0.01519431228095525,0.019556896284969302,0.01714630357356602,0.043533171891713456,0.0047677692699791534,True,True,0.5237358421,0.0600911923,0.5032357007,0.5339083458,0.0858445605,0.5046224296,0.0226055639,0.057229707,0.0030816197,0.481450039,0.0398925236,0.5204046965,0.056800696,0.0091495217,0.0446055755,0.4872697726,0.0310499962,0.5197136998,0.5,0.0,0.5,0.0551193429,0.0337075604,0.0032357007,7.9679206326,2.2876488907,9.0,1.3723073681,1.1067397095,0.543949013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.022687258971713822,0.05305613015263627,0.10985524791483654,6.0,-20247.158774651147,False,0.09013878188659974,0.05770324658477276,0.02731274102828618,-0.021943869847363726,0.03503597074944929,0.10985524791483654,0.0567299957133502,0.010553305301485268,True,False,0.0259076869,0.0421983139,0.0,0.4602429139,0.1253769747,0.4763828674,-0.0265047241,0.0835846498,-0.015744755,0.921458112,0.1161030183,0.8790714741,0.1192970623,0.0133641545,0.1134918556,0.9430121126,0.104753193,0.8657058477,0.0,0.0,0.0,0.0259076869,0.0421983139,0.0,8.6464376464,1.2680678956,9.0,2.1184233941,1.1506003669,1.197437921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
