cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05716068429964053,0.045940801096767035,0.024953481301421904,6.0,-21404.84917793694,False,0.125,0.07333417371877782,0.042839315700359475,0.12094080109676703,0.12830387499839135,0.024953481301421904,0.018164066781652208,0.07104905145719795,True,True,0.4654824369,0.0662572595,0.4398701243,0.4506891956,0.0946532278,0.4141001776,-0.0328738696,0.0631021519,-0.0572665483,0.8131153101,0.0443111526,0.7885538936,0.097939115,0.0125974547,0.0954118595,0.7922071149,0.050155507,0.7691998482,0.5,0.0,0.5,0.0638138739,0.0388494027,0.0601298757,8.4184681894,1.8476756672,9.0,1.7556308566,1.3067026049,3.0,1.0,0.0,1.0,1.6267941641,1.3528877313,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06375836383799623,-0.0016142413898918705,-0.04591484772352872,6.0,-21586.607372210106,False,0.10680004681646915,0.06377879533640586,0.03624163616200378,0.03588575861010813,0.05100239075496373,0.04591484772352872,0.06026561436795217,0.020875594827846723,True,True,0.47468412,0.0684000778,0.4582076341,0.4638344572,0.0977143969,0.4402966201,-0.0241103619,0.0651429313,-0.0398022532,0.8099800875,0.0483326842,0.8139631748,0.0831911348,0.0159677052,0.0809767619,0.7902227656,0.0537210364,0.7823549509,0.5,0.0,0.5,0.0631595172,0.0364738236,0.0417923659,8.5369420579,1.6274085803,9.0,1.7672818481,1.2553931976,1.4422831496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.0714204635821973,0.03080200640341386,-0.000715469128738988,6.0,-15565.413720253251,False,0.1,0.07777947169254827,0.02857953641780271,0.03080200640341386,0.04201848998158382,0.000715469128738988,0.0714204635821973,0.03080200640341386,True,True,0.4753013933,0.0735909315,0.4505746651,0.4647162761,0.1051299021,0.4293923788,-0.0235224826,0.0700866014,-0.0470717475,0.8051422324,0.0491702665,0.8033772707,0.047511015,0.0082564746,0.0373831652,0.7940986113,0.050877394,0.7877445817,0.5,0.0,0.5,0.0685163616,0.0364849911,0.0494253349,8.4296504475,1.6630188183,9.0,0.6243051879,0.6636207085,0.6830557278,0.0,0.0,0.0,0.0,0.0,0.0,0.0153179625,0.0080589605,0.021200543,0.0153179625,0.0080589605,0.021200543,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06877467471324626,0.02217914782017398,0.0004881576218241553,6.0,-20307.88320365979,False,0.10680004681646915,0.07226251088871714,0.031225325286753744,-0.015320852179826018,0.0347814526835735,0.0004881576218241553,0.07218335332594959,0.0033814172417913884,True,True,0.4877049376,0.0664270693,0.4580195352,0.4824356251,0.0948958133,0.4400279075,-0.0117095833,0.0632638755,-0.039981395,0.8107884409,0.0496153094,0.8137021065,0.0970080589,0.0149574297,0.0804468542,0.7995960695,0.049204648,0.7928268313,0.5,0.0,0.5,0.0592594512,0.0324351899,0.0419804648,8.5241674656,1.6087953555,9.0,1.6957965734,1.0163751767,0.4997991318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06911733157966486,-0.0007841327042193494,-0.039923485159160776,6.0,-22507.328902557245,False,0.125,0.06912177940990209,0.030882668420335144,-0.07578413270421935,0.08183504126284226,0.039923485159160776,0.05482338564120028,0.042097705111174395,True,True,0.4949083721,0.0627082583,0.4710492666,0.4927262459,0.0895832261,0.4586418094,-0.0048491694,0.0597221507,-0.0275721271,0.8161836666,0.0505892152,0.8318013549,0.1131343339,0.0155884512,0.0916324109,0.8116184733,0.0458434275,0.8253519535,0.5,0.0,0.5,0.0529788674,0.0339336107,0.0289507334,8.7362300971,1.1907545671,9.0,1.6495200907,1.168979082,0.6597985967,1.0,0.0,1.0,1.4682463311,1.225558212,0.4097985967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.04142965719578236,-0.08220833452768249,0.010666091544071943,6.0,-30259.75027591465,False,0.09013878188659974,0.09205773602025738,0.008570342804217645,-0.007208334527682492,0.011198699140738837,0.010666091544071943,0.09138250791682657,0.01112942082978808,True,True,0.0044708093,0.0119734718,0.0,0.4143627923,0.0785681458,0.4497985356,-0.0570914718,0.0523787638,-0.033467643,1.2707799137,0.1747256974,1.3118803501,0.1163588249,0.0202724953,0.0994198546,1.28338365,0.1770365406,1.354700923,0.0,0.0,0.0,0.0044708093,0.0119734718,0.0,9.0,0.0,9.0,2.2576794506,1.143476779,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03564192802423858,0.021284827716411825,0.01456439417798494,6.0,-17208.391384425042,False,0.0625,0.04151374379891961,0.014358071975761423,0.058784827716411824,0.06051289284532153,0.01456439417798494,0.01574264578954377,0.038413018987672604,True,True,0.5024429681,0.0591572907,0.4782480432,0.5034899545,0.0845104152,0.468925776,0.0023266363,0.0563402768,-0.0207161494,0.4864014682,0.0321512057,0.5050895214,0.046354819,0.0057898626,0.0477764346,0.4860994917,0.0320304842,0.4996222556,0.5,0.0,0.5,0.0530919239,0.0262068836,0.0217519568,8.0062455152,2.172733524,9.0,1.4231486968,1.3133696447,2.2399199284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03382773933012344,0.017141499973623187,0.013746092882141495,6.0,-11965.272208447444,False,0.05,0.03792290824201783,0.016172260669876565,0.017141499973623187,0.02356635390806478,0.013746092882141495,0.03382773933012344,0.017141499973623187,True,True,0.433789437,0.0561807577,0.4138692972,0.5125563386,0.0802582253,0.484098996,0.0083708924,0.0535054836,-0.0106006693,0.4895556925,0.0299826151,0.4515999258,0.0255271279,0.0037952347,0.0204922091,0.48984258,0.0326735541,0.4485368729,0.425,0.0,0.425,0.0504162455,0.0263008351,0.0111307028,7.8908985694,2.3023423602,9.0,0.3556617201,0.4921037393,0.2366840579,0.0,0.0,0.0,0.0,0.0,0.0,0.002153847,0.0032375312,0.0060528745,0.002153847,0.0032375312,0.0060528745,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03899460473807955,0.015093318953348471,0.009501559660481126,6.0,-17365.986234741486,False,0.0625,0.041813723533148356,0.011005395261920452,-0.022406681046651528,0.024963535014045465,0.009501559660481126,0.04025167516247272,0.01132210768016895,True,True,0.5197678825,0.0572841382,0.4917251762,0.5282398322,0.0818344831,0.4881788231,0.0188265548,0.0545563221,-0.0078807846,0.4836726241,0.0374608159,0.5163551569,0.0579523688,0.009388617,0.0452127121,0.4888972277,0.0294610967,0.514575839,0.5,0.0,0.5,0.0523799148,0.0304727122,0.0082748238,7.961784915,2.3269931593,9.0,1.3443131754,1.1080899841,0.4568863955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.02135919451294341,0.05930853782872134,0.11978884386857569,6.0,-20643.557077666228,False,0.09013878188659974,0.06303743213062078,0.02864080548705659,-0.015691462171278654,0.03265758294822322,0.11978884386857569,0.061195635744677276,0.015126533490109338,True,False,0.0255648238,0.0412677874,0.0,0.460674116,0.124016285,0.4968396034,-0.026217256,0.0826775233,-0.0021069311,0.921458112,0.1161030183,0.8790714741,0.1211788194,0.0135142876,0.1128300354,0.9433491943,0.1033709915,0.8670749664,0.0,0.0,0.0,0.0255648238,0.0412677874,0.0,8.6709929342,1.2169132391,9.0,2.1525373801,1.1385169765,1.2244033137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.018588465303981134,-0.13137877672148615,-0.025527771763492746,6.0,-27373.848968586324,False,0.075,0.13268727902550198,-0.018588465303981134,-0.056378776721486154,0.05936410958625169,0.025527771763492746,0.13137877672148615,0.018588465303981134,True,True,0.003904043,0.0109178519,0.0,0.414286564,0.0748590748,0.427266404,-0.0571422906,0.0499060499,-0.048489064,1.2707799137,0.1747256974,1.3118803501,0.0631215895,0.0111259465,0.062914826,1.2766809267,0.1746199691,1.3259974718,0.0,0.0,0.0,0.003904043,0.0109178519,0.0,9.0,0.0,9.0,1.1083064401,1.3948588085,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
