cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06168182449129079,-0.007213133883955301,-0.0525156755201448,6.0,-22456.411302168446,False,0.125,0.062102147893629764,0.03831817550870922,0.0677868661160447,0.0778674629877641,0.0525156755201448,0.05367333992340581,0.03123858758761023,True,False,0.4726080252,0.0745224616,0.4776097263,0.4608686075,0.1064606595,0.4680138947,-0.026087595,0.070973773,-0.0213240702,0.8058876449,0.0495852948,0.8409274817,0.0956708972,0.0126679665,0.0912681818,0.7869714634,0.0564364903,0.8232460022,0.5,0.0,0.5,0.0691910151,0.0389425346,0.0223902737,8.5185513704,1.6803931843,9.0,1.7694542881,1.2537912154,2.6339354461,1.0,0.0,1.0,1.6208550644,1.2964299555,2.1339354461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06336684509412223,0.04113817467745433,0.022877091414185518,6.0,-20494.712764571897,False,0.10680004681646915,0.07554936447763957,0.03663315490587778,0.07863817467745432,0.08675223659917855,0.022877091414185518,0.04488764847871232,0.06076845799447919,True,True,0.4797463173,0.0765326828,0.4729021369,0.4710661676,0.109332404,0.4612887669,-0.0192892216,0.0728882693,-0.0258074887,0.8025429984,0.0530533814,0.8343779445,0.0829956757,0.0145406315,0.0828834027,0.785307739,0.0581286295,0.8057298064,0.5,0.0,0.5,0.0696245134,0.0376814321,0.0270978631,8.5445777674,1.505053019,9.0,1.694405527,1.2609281784,2.0045275527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06802561945373602,0.039030145478867455,-0.0029567712016791425,6.0,-15467.357682016021,False,0.1,0.07842727305068094,0.03197438054626399,0.039030145478867455,0.05045506186121332,0.0029567712016791425,0.06802561945373602,0.039030145478867455,True,True,0.4822329788,0.0787325131,0.4683844201,0.4746185411,0.1124750187,0.4548348859,-0.0169209726,0.0749833458,-0.0301100761,0.8011033483,0.0545196822,0.8280967474,0.0457572957,0.0086104117,0.038135048,0.7921188831,0.0553358252,0.8138387799,0.5,0.0,0.5,0.0710089757,0.0383692719,0.0316155799,8.5515787335,1.5322846798,9.0,0.6648980915,0.6608372325,0.649890328,0.0,0.0,0.0,0.0,0.0,0.0,0.0133223795,0.0082264742,0.0204659287,0.0133223795,0.0082264742,0.0204659287,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.0683936427372696,0.016972158875412622,-0.014145913895868759,6.0,-21026.00502127809,False,0.10680004681646915,0.07046803916503934,0.03160635726273041,-0.020527841124587377,0.03768758523248275,0.014145913895868759,0.06999828609065854,0.008123083659290752,True,True,0.4915572986,0.0738326511,0.4460606879,0.487938998,0.1054752158,0.4229438398,-0.008040668,0.0703168105,-0.0513707735,0.8069878983,0.0560812831,0.7971231937,0.0908843906,0.0160509056,0.0767262354,0.798379702,0.0542642552,0.7800922394,0.5,0.0,0.5,0.063484691,0.0386294393,0.0539393121,8.5278108477,1.558221419,9.0,1.6398995837,1.1263812102,0.5482093193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06953811566813364,0.01729575649297251,-0.02848742779527787,6.0,-22221.608295876602,False,0.125,0.07165677025472844,0.030461884331866362,-0.05770424350702749,0.06525110049467618,0.02848742779527787,0.06600794643029043,0.027886264206502174,True,True,0.4977265451,0.0694014804,0.4569651209,0.4967522073,0.099144972,0.4385216013,-0.0021651951,0.066096648,-0.0409855992,0.8082807712,0.0561529444,0.8122391105,0.1091932013,0.0151406172,0.090731293,0.8048468226,0.051134804,0.8024258614,0.5,0.0,0.5,0.0596000188,0.0356310515,0.0430348791,8.5762822628,1.5014124919,9.0,1.7038936632,1.160799385,0.5012430135,1.0,0.0,1.0,1.5115483626,1.2132663595,0.2512430135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.03127287323493432,-0.08295958465331041,0.007427978199238498,6.0,-30308.02704978011,False,0.09013878188659974,0.0886582499613998,0.01872712676506568,-0.007959584653310411,0.020348470820384858,0.007427978199238498,0.08637361574887696,0.019997094506037615,True,True,0.0059413779,0.014426483,0.0,0.412213508,0.091575146,0.455794435,-0.058524328,0.0610500973,-0.0294703767,1.2707799137,0.1747256974,1.3118803501,0.112625386,0.0199899617,0.1135228425,1.284253637,0.1791538381,1.3327428102,0.0,0.0,0.0,0.0059413779,0.014426483,0.0,9.0,0.0,9.0,2.336933017,1.0760864461,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03566780034677863,0.029681006876354693,0.028138142505492663,6.0,-17098.44900206753,False,0.0625,0.04640209209477388,0.01433219965322137,0.0671810068763547,0.06869279170204554,0.028138142505492663,0.010725636151610091,0.04514548570915093,True,True,0.5114336213,0.0645371529,0.482622507,0.5163337447,0.0921959327,0.47517501,0.0108891631,0.0614639551,-0.0165499933,0.4817444041,0.0366330567,0.5087438822,0.0450865484,0.0056099861,0.0459267311,0.482634459,0.0364913952,0.5044278502,0.5,0.0,0.5,0.0585766976,0.0294031001,0.017377493,7.8295826661,2.4239187265,9.0,1.4011305551,1.3159663606,2.2752001006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03304565613381346,0.022748751751618303,0.021726283736046275,6.0,-11952.823587281538,False,0.05,0.04011883716623651,0.016954343866186543,0.022748751751618303,0.02837173738405271,0.021726283736046275,0.03304565613381346,0.022748751751618303,True,True,0.4428502285,0.0612227511,0.4238759776,0.5255003265,0.0874610729,0.4983942537,0.0170002177,0.058307382,-0.0010704976,0.488824631,0.0276772163,0.4598744512,0.0248370063,0.0035823066,0.0205328111,0.4898831148,0.0301974075,0.4575085938,0.425,0.0,0.425,0.055416698,0.0315570197,0.0011240224,7.7730000072,2.4687680961,9.0,0.3652742317,0.4976136935,0.3475601427,0.0,0.0,0.0,0.0,0.0,0.0,0.0017560903,0.0027670281,0.0053103555,0.0017560903,0.0027670281,0.0053103555,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03792676884688787,0.021396334713784382,0.01942007896060227,6.0,-17278.97631309646,False,0.0625,0.04354587161086065,0.01207323115311213,-0.016103665286215617,0.020126871245351154,0.01942007896060227,0.04317921590578093,0.005638993537105216,True,True,0.5288893317,0.0634644538,0.5028580421,0.5412704738,0.0906635054,0.5040829172,0.0275136492,0.0604423369,0.0027219448,0.4781412123,0.0425467342,0.5207404494,0.0549531718,0.0088745881,0.0426597819,0.4840914954,0.034388659,0.519729197,0.5,0.0,0.5,0.0591585751,0.0369133224,0.0028580421,7.9317205073,2.2784399411,9.0,1.352166552,1.1257506908,0.4534196128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.018595718065394458,0.06182942366794989,0.13076181598145956,6.0,-19960.86665803286,False,0.09013878188659974,0.06456530307741519,0.031404281934605545,-0.013170576332050106,0.034054265588124945,0.13076181598145956,0.061760238621480286,0.018824220751369622,True,False,0.0280999588,0.0457002109,0.0112971805,0.4588210396,0.13396679,0.5161388293,-0.0274526403,0.0893111934,0.0107592195,0.921458112,0.1161030183,0.8790714741,0.1206544374,0.0124560452,0.1155126765,0.9453279841,0.1064966896,0.8693712354,0.0,0.0,0.0,0.0280999588,0.0457002109,0.0112971805,8.580547162,1.4160063336,9.0,2.0597074099,1.1204853571,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
