time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.00941207157610176,-0.0032441686240939657,0.09125449895563395,0.010833448107515905,-0.0022056438407420114,0.003894464034105649
0.02,1,seg1,-0.15029669843282265,-0.005285414706198402,0.08957748550955853,0.0007054631941834949,-0.004883931769929942,0.0037507621150565246
0.02,2,seg2,-0.326135982845072,0.0013127248812221028,0.08913012953812204,0.0010611176147154158,0.0008998763807840047,0.0033016136501793497
0.02,3,seg3,-0.5005266817769287,0.00799311232706953,0.08871354579691242,-2.9739637466712254e-05,0.006724635718340966,0.002883207304965399
0.02,4,seg4,-0.6752638442438113,0.009250189603615273,0.08831162270473529,-0.0007985239437424292,0.0070620456512545055,0.00247945983910583
0.02,5,seg5,-0.8513609694319874,0.004721767844401432,0.08790144765377111,-0.00023275885705718858,0.0015563023412508562,0.00206744752751839
0.02,6,seg6,-1.0180328636157587,-0.007334051044653452,0.08770274680677213,-0.009124343599703995,-0.011458133918716749,0.0018668770614022195
0.04,0,head,-0.03194862930459106,-0.014688935716359586,0.09183752594148535,0.0333180235208172,-0.013752201616064509,0.00447749101995705
0.04,1,seg1,-0.15689953683879232,-0.013917471567270977,0.0901155549775547,0.0072692009370579295,-0.01354575764582108,0.004288831583052696
0.04,2,seg2,-0.33158843753014783,0.0063538936968874846,0.08901413204010948,0.0065363121336427035,0.005916338291066216,0.0031856161521667953
0.04,3,seg3,-0.5004902846064678,0.023167169510858412,0.08808891032499035,2.478885257868431e-06,0.021898702349853427,0.0022585718330433296
0.04,4,seg4,-0.6711297302788509,0.023151976109032264,0.08728651849966888,-0.004869733381121626,0.020982384010332117,0.0014543556340394226
0.04,5,seg5,-0.8464303151000617,0.004851465295980117,0.08651808701487321,-0.005162776302009572,0.0017082943119931554,0.0006840868886204832
0.04,6,seg6,-0.9962334162594856,-0.028721289671725003,0.0864241695044222,-0.031020278686705566,-0.032746579323242715,0.0005882997590522798
0.06,0,head,-0.05263550980802672,-0.03171950374372526,0.08663091258006372,0.0539276822779419,-0.030876139193367954,-0.0007291223414645776
0.06,1,seg1,-0.16998545878514462,-0.02058270726228865,0.08593698293885185,0.020324849674821094,-0.02027009821338239,0.00011025954434984442
