time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.0009799877623500506,0.009395594012322903,0.0888248294369752,0.0024586060379745765,0.010472118471521666,0.0014647945154468989
0.02,1,seg1,-0.15018168198085038,0.0007023487828118583,0.08732888840680009,0.0006175238879347028,0.0011042905925858287,0.001502165012298079
0.02,2,seg2,-0.3254777345020108,-0.00496019563598374,0.08735780970718048,0.0003745105847578762,-0.0053700034811215306,0.0015292938192377897
0.02,3,seg3,-0.5008001068465326,-0.005736572509920049,0.0874035206998371,0.00018159859931594867,-0.007006145145879994,0.0015731822078900864
0.02,4,seg4,-0.6760983641762014,-0.0027957474450381508,0.08746090899309424,-1.84828691209104e-05,-0.0049875418445584855,0.0016287461274647752
0.02,5,seg5,-0.8507741187555906,0.003131598059383429,0.08753739978368699,-0.0008267940963403305,-3.1197515766580106e-05,0.001703399657434268
0.02,6,seg6,-1.022846224092482,0.01593588631502859,0.08767401265590308,-0.004205808384717811,0.011789800078520075,0.0018381429105331637
0.04,0,head,-0.008780502392304101,0.032106593182994615,0.08811225797385812,0.010361737412567941,0.03314761243070571,0.0007522230523298173
0.04,1,seg1,-0.15347537541215575,0.005655254178669754,0.08639996653988748,0.003933580106991771,0.006042251652642407,0.0005732431453854686
0.04,2,seg2,-0.32697907251979313,-0.015700896576302616,0.08618463070960443,0.0018272650531509294,-0.016117383486823133,0.00035611482166174324
0.04,3,seg3,-0.5017632646857718,-0.021907238038196684,0.08607239970693967,0.0010716247233458211,-0.023181000636694104,0.00024206121499265043
0.04,4,seg4,-0.6759000036670593,-0.013441144373658752,0.08607242686415092,-0.0002649785965658633,-0.015631932973965333,0.0002402639985214644
0.04,5,seg5,-0.8470259934483128,0.004992433551970349,0.08618469363830662,-0.004566466601822865,0.0018465675385786532,0.0003506935120538984
0.04,6,seg6,-1.0108167930290057,0.03964655257163525,0.08649238438425777,-0.01612789958724666,0.03555461961029673,0.0006565146388878562
0.06,0,head,-0.017824148160475707,0.049709932205149215,0.08826958136092344,0.01948489097090368,0.05070987716655012,0.0009095464393951425
0.06,1,seg1,-0.15938111344277855,0.013508846613234126,0.08735355605383763,0.009874770789548785,0.01386905873371121,0.0015268326593356196
0.06,2,seg2,-0.33015521258223757,-0.019969995604207858,0.08787197956961397,0.004984068274179193,-0.0204008010042369,0.0020434636816712842
