time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.00037660358919424573,-0.011814648951541171,0.08878881641279023,0.0017593177828704163,-0.010735179210709479,0.001428781491261924
0.02,1,seg1,-0.14972523995525389,-0.0018333368292081985,0.08720775631506454,0.00014962045361760964,-0.0014293051174434721,0.0013810329205625332
0.02,2,seg2,-0.3250826039450705,0.005465627287784073,0.08714122487761028,2.65284257718314e-05,0.005057499585848778,0.0013127089896675936
0.02,3,seg3,-0.5006050887558787,0.008284208108669472,0.08709066542347405,4.998284111849856e-05,0.007015373976609648,0.0012603269315270282
0.02,4,seg4,-0.6760166285120891,0.008082179648642983,0.08705356725668656,-5.102897692254588e-05,0.00589064363487794,0.0012214043910570987
0.02,5,seg5,-0.8509780925680601,0.0035893630818237964,0.0870390521231985,-0.0006207524090950579,0.00042564048074453486,0.0012050519969457746
0.02,6,seg6,-1.0251328343114092,-0.008528164927224465,0.08705981072812993,-0.0020298451370104236,-0.01268434083428044,0.001223940982760019
0.04,0,head,-0.0064474329982667855,-0.038087601577029694,0.0879242441282149,0.007711281889909898,-0.03703531481180454,0.0005642092066865945
0.04,1,seg1,-0.1513615093576758,-0.007967316556440994,0.08644246065029655,0.0017581359844627631,-0.007570621152130471,0.0006157372557945434
0.04,2,seg2,-0.32502840615593326,0.01525276104199769,0.08649172428585515,1.6587470836544573e-05,0.014844778354769802,0.0006632083979124653
0.04,3,seg3,-0.5003527601400114,0.02344570337326424,0.08659593208694076,-0.00013378467745327094,0.022177855234228595,0.0007655935949937437
0.04,4,seg4,-0.6753640069083922,0.01953991733984759,0.08675462810340116,-0.0006518333516057884,0.017351215263779366,0.0009224652377717024
0.04,5,seg5,-0.8487978062747545,0.0018532800129961188,0.08697634503194147,-0.0028088667771592247,-0.0013005658378507257,0.0011423449056887497
0.04,6,seg6,-1.0183989795326194,-0.034790828345745914,0.08727904243470205,-0.008882387778280766,-0.03891628604165249,0.0014431726893321395
0.06,0,head,-0.013641583265816869,-0.061230752503167334,0.0890489193111726,0.01480070796991039,-0.06021076023812932,0.0016888843896443045
0.06,1,seg1,-0.1537197135605265,-0.012984537402808366,0.08781209088978385,0.004093628788518816,-0.012598454228599724,0.001985367495281845
0.06,2,seg2,-0.324843861934645,0.025107539948532258,0.0879166172992414,-0.00012339270010138965,0.024700290995822542,0.0020881014112987123
0.06,3,seg3,-0.49973163416907557,0.03857403970257621,0.08779308421673906,-0.0006864957214181598,0.03730884555430054,0.0019627457247920477
0.06,4,seg4,-0.6750062322123564,0.030401017941937516,0.08747089192534407,-0.0009604917565910027,0.02821382264003732,0.0016387290597146137
0.06,5,seg5,-0.845925086869766,-0.0014298952197016113,0.08696498886704959,-0.005696402948344864,-0.004570717401244252,0.0011309887407968677
0.06,6,seg6,-1.0075899042968486,-0.06278632959996203,0.08621318828729493,-0.01981794490323311,-0.06686262369587082,0.00037731854192502023
0.08,0,head,-0.025127782475233697,-0.08502912449684501,0.08964405620328808,0.026179176277153264,-0.08406082817906,0.0022840212817597794
