cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05720126489896606,-0.022788024926762757,-0.0734677558138183,6.0,-23878.62752490561,False,0.125,0.061573361010297686,0.04279873510103394,0.05221197507323724,0.06751164393863344,0.0734677558138183,0.05943382687523051,0.01609033899796943,True,False,0.483422107,0.0654567823,0.488466587,0.4763172958,0.093509689,0.4835236957,-0.0157884695,0.0623397926,-0.0109842028,0.8179516665,0.0537763258,0.8560490012,0.0641754662,0.0142978332,0.0548828878,0.8098672837,0.0741444682,0.7984157801,0.5,0.0,0.5,0.0538410273,0.0407499774,0.011533413,8.7104762879,1.2806657882,9.0,2.0667239671,1.0832889505,2.5835145631,1.0,0.0,1.0,1.9136562879,1.1395750539,2.2953873289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.0559172826490969,-0.01878728004095852,-0.06161259259131402,6.0,-21406.662807749883,False,0.10680004681646915,0.058989019234060774,0.044082717350903106,0.018712719959041477,0.04788999746612149,0.06161259259131402,0.058953637700790956,0.0020427902585117433,True,False,0.4839023008,0.0656650586,0.5279955572,0.4770032868,0.0938072266,0.5399936531,-0.0153311421,0.0625381511,0.0266624354,0.8164490769,0.0510091902,0.8308175802,0.0618212874,0.0139393404,0.0545856655,0.8079632451,0.0706070448,0.8198476434,0.5,0.0,0.5,0.0551825127,0.0390631046,0.0279955572,8.6114766866,1.4653016969,9.0,1.8629138869,1.1844028595,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06244755296699311,0.03958398055799194,0.007391140871909767,6.0,-14563.118435550101,False,0.1,0.07393638068218443,0.0375524470330069,0.03958398055799194,0.05456260436399891,0.007391140871909767,0.06244755296699311,0.03958398055799194,True,True,0.4840833571,0.0663867228,0.4344340919,0.4772619387,0.0948381755,0.4063344169,-0.0151587075,0.0632254503,-0.062443722,0.8155789775,0.0522475548,0.781036675,0.0336783353,0.007499804,0.0261158161,0.8102459979,0.0703884835,0.7576889992,0.5,0.0,0.5,0.0558870855,0.0392067617,0.0655659081,8.5333084713,1.690934697,9.0,0.6843558913,0.7471288182,0.197979511,0.0,0.0,0.0,0.0,0.0,0.0,0.0069499942,0.0080126376,0.0015507322,0.0069499942,0.0080126376,0.0015507322,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05792450211466232,0.009154475572117675,-0.024997672740422344,6.0,-20858.823719746983,False,0.10680004681646915,0.058643434144258794,0.04207549788533769,-0.028345524427882324,0.0507327929192818,0.024997672740422344,0.057450752394936966,0.011767047951277452,True,True,0.4868427579,0.0655110637,0.4853550576,0.4812039399,0.0935872339,0.4790786537,-0.0125307067,0.0623914893,-0.0139475642,0.8190956193,0.0541096968,0.8517128825,0.0630466005,0.0144299416,0.059186019,0.8097063126,0.0718015049,0.860294342,0.5,0.0,0.5,0.0527391008,0.0410292547,0.0146449424,8.6944345957,1.3884269674,9.0,1.6262712743,1.17525905,0.3291316479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.05398741007405076,-0.017659319001632357,-0.07576905378254721,6.0,-22549.704364699275,False,0.125,0.05680221821465365,0.04601258992594925,-0.09265931900163235,0.1034548588976846,0.07576905378254721,0.0325943366582612,0.046519901245736336,True,False,0.4874197908,0.0613904941,0.4827690789,0.4820282726,0.0877007059,0.4753843984,-0.0119811516,0.0584671372,-0.0164104011,0.8191536407,0.0503362551,0.8481106162,0.0651712031,0.0143885163,0.0322010256,0.8134483951,0.0690007931,0.845475316,0.5,0.0,0.5,0.0508395816,0.0366386595,0.0172309211,8.7599901333,1.1277838621,9.0,1.6561098744,1.2380248883,0.2574653756,1.0,0.0,1.0,1.5141343773,1.2704166569,0.0074653756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.04089127145961216,-0.08026257342370803,0.025565132314578538,6.0,-30470.893993075977,False,0.09013878188659974,0.09007872542492935,0.009108728540387842,-0.0052625734237080335,0.010519677498022177,0.025565132314578538,0.08946489414405503,0.010498070773853735,True,True,0.0158860695,0.0286223618,0.0,0.4675186331,0.089681747,0.3193982616,-0.0216542446,0.0597878313,-0.1204011589,1.2707799137,0.1747256974,1.3118803501,0.0717008744,0.01417884,0.0607377626,1.2740437031,0.1896466635,1.2785445452,0.0,0.0,0.0,0.0158860695,0.0286223618,0.0,8.9741090454,0.4476964573,9.0,2.3076396617,1.1289438129,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.02692370351572955,-0.006924454563778516,-0.03804817485471634,6.0,-17110.001663392264,False,0.0625,0.027799889963968216,0.023076296484270453,0.03057554543622148,0.038306388999126466,0.03804817485471634,0.02569363555085075,0.010614658458414916,True,True,0.494794878,0.0625504803,0.4796138212,0.4925641114,0.089357829,0.4708768874,-0.0049572591,0.059571886,-0.0194154084,0.4895561533,0.0319217404,0.5062302351,0.0353146512,0.0080115117,0.0280588455,0.4911004503,0.0438794655,0.5240538716,0.5,0.0,0.5,0.0519989639,0.0351534299,0.0203861788,8.1330240513,2.085541115,9.0,1.5406165607,1.1678298757,1.5736495055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.024155925740416025,0.003680704433467307,-0.014384401278591493,6.0,-11467.803550508273,False,0.05,0.024434736206946032,0.025844074259583977,0.003680704433467307,0.026104860839725557,0.014384401278591493,0.024155925740416025,0.003680704433467307,True,True,0.4214693479,0.0624936719,0.4845350416,0.4949562113,0.0892766741,0.5850500595,-0.0033625258,0.0595177828,0.0567000397,0.4876397982,0.0335809053,0.5103422403,0.0193166773,0.0050625782,0.017500056,0.4853612311,0.0439343077,0.387312144,0.425,0.0,0.425,0.0518952123,0.0349973067,0.0595350416,7.9673919236,2.3505387241,9.0,0.3629019187,0.3990220317,0.1675509687,0.0,0.0,0.0,0.0,0.0,0.0,0.0052914272,0.006932513,0.0,0.0052914272,0.006932513,0.0,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.02894408728199717,-0.007984778352537537,-0.030477367478363753,6.0,-16361.801471927021,False,0.0625,0.030025270588739453,0.021055912718002834,-0.04548477835253754,0.05012201634179955,0.030477367478363753,0.018364402814075212,0.02375427505122833,True,True,0.4943515475,0.0626176379,0.5257603774,0.4919307822,0.0894537684,0.5368005391,-0.0053794785,0.0596358456,0.0245336927,0.4886407523,0.0292654106,0.5004608631,0.0339783954,0.0093041008,0.0364790112,0.4881243834,0.0407707062,0.4650538266,0.5,0.0,0.5,0.0527312803,0.0342386575,0.0257603774,8.049024971,2.3201532482,9.0,1.2425234771,1.1889185706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.034530904366285,0.0016402228503331077,0.0038861621444885586,6.0,-18449.756621193836,False,0.09013878188659974,0.03456983782652553,0.015469095633715006,-0.07335977714966689,0.07497299395898373,0.0038861621444885586,0.020519047333212227,0.027821617204786483,True,True,0.0185959887,0.0336414277,0.0,0.4735369833,0.0947541746,0.4538811371,-0.0176420112,0.0631694497,-0.0307459086,0.921458112,0.1161030183,0.8790714741,0.0641153995,0.0170495628,0.0650593936,0.9269988477,0.124784129,0.893723011,0.0,0.0,0.0,0.0185959887,0.0336414277,0.0,8.6284314925,1.4083226737,9.0,2.011170721,1.1921117561,0.9546891749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.04220510238344466,-0.08577688200260046,0.01741008464259286,6.0,-26474.954281183516,False,0.075,0.09559782504474194,-0.04220510238344466,-0.010776882002600463,0.04355929123499394,0.01741008464259286,0.08577688200260046,0.04220510238344466,True,True,0.014251967,0.0271090764,0.037388538,0.4633700479,0.0868066614,0.5534121972,-0.0244199681,0.0578711076,0.0356081314,1.2707799137,0.1747256974,1.3118803501,0.03909684,0.0091832985,0.0543193594,1.2693745782,0.1908907747,1.2639003992,0.0,0.0,0.0,0.014251967,0.0271090764,0.037388538,8.9732796273,0.4620384359,9.0,1.0930475605,1.4114573163,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
