cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.049076425098419814,-0.04156925424343346,-0.09973876228051311,6.0,-24163.272477904517,False,0.125,0.06431561551284432,0.05092357490158019,0.033430745756566536,0.06091654325876542,0.09973876228051311,0.06420269262479593,0.00380954833569488,True,False,0.4808930402,0.0625493701,0.5344421163,0.4727043431,0.089356243,0.5492030233,-0.0181971046,0.0595708287,0.0328020155,0.8187387399,0.0534482827,0.8213618398,0.0618448629,0.0140526849,0.061569564,0.8106123553,0.0723598272,0.7590913177,0.5,0.0,0.5,0.0524808093,0.0390290183,0.0344421163,8.6804866832,1.2936795679,9.0,2.0950471813,1.0709216092,1.5386099124,1.0,0.0,1.0,1.945497233,1.1365655575,1.2886099124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05760373463767506,-0.0028892364210468487,-0.05722891037963692,6.0,-21739.918722005666,False,0.10680004681646915,0.05767614698733255,0.04239626536232494,0.03461076357895315,0.054729775005849086,0.05722891037963692,0.05495053611392026,0.017520745192403587,True,False,0.4883311664,0.0646529928,0.450548004,0.4833302377,0.0923614183,0.4293542914,-0.0111131749,0.0615742789,-0.0470971391,0.8169166245,0.0519783067,0.8033402562,0.0615614238,0.0151627048,0.0471315086,0.8070988744,0.0710443648,0.8180795908,0.5,0.0,0.5,0.0522096628,0.0398788449,0.049451996,8.6992567262,1.2433309924,9.0,1.8271261419,1.2180680981,1.5848081639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.05561952527811174,0.025988365752456836,-0.02319606515472805,6.0,-15518.977406439732,False,0.1,0.06139158530813471,0.04438047472188827,0.025988365752456836,0.05142977436294694,0.02319606515472805,0.05561952527811174,0.025988365752456836,True,True,0.488976744,0.0627983789,0.3786377221,0.4842524914,0.0897119699,0.3266253173,-0.0104983391,0.0598079799,-0.1155831218,0.8173114002,0.0518581489,0.7043427229,0.0357407853,0.0086136386,0.0235435013,0.8107901388,0.0700577338,0.8125172257,0.5,0.0,0.5,0.0528210631,0.0357083164,0.1213622779,8.7247395647,1.2367446801,9.0,0.7050742291,0.7355775703,0.2354309449,0.0,0.0,0.0,0.0,0.0,0.0,0.0073823625,0.0087783061,0.0071729567,0.0073823625,0.0087783061,0.0071729567,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.062031539958177194,0.017375095065283716,-0.0380097016586034,6.0,-21894.578950624487,False,0.10680004681646915,0.06441898693794075,0.03796846004182281,-0.020124904934716283,0.042972267296232616,0.0380097016586034,0.06418274396962927,0.005511919324481946,True,True,0.4790800074,0.0648944909,0.5065658215,0.4701142962,0.0927064156,0.509379745,-0.0199238025,0.0618042771,0.0062531633,0.8213882174,0.0518448606,0.8624107838,0.0618988968,0.0141464519,0.0588670745,0.8140486832,0.0718863954,0.7177114487,0.5,0.0,0.5,0.0539715232,0.0416655221,0.0065658215,8.7271969825,1.1865617278,9.0,1.8050144065,1.0778217772,0.9548007339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.052416539754619046,0.027398288075710906,-0.025523962780636955,6.0,-22127.74627342717,False,0.125,0.05914524350551954,0.04758346024538096,-0.047601711924289095,0.06730608194692926,0.025523962780636955,0.05837220464912178,0.009531293392202697,True,True,0.4895981247,0.0667170187,0.4338239949,0.4851401782,0.0953100268,0.4054628499,-0.0099065479,0.0635400178,-0.0630247667,0.8166096445,0.0526721344,0.7801934481,0.0657447409,0.01479388,0.0633421689,0.8110170529,0.0715985964,0.6965061426,0.5,0.0,0.5,0.0533226212,0.0414253263,0.0661760051,8.6283116529,1.465723471,9.0,1.6776956631,1.2202278352,0.3286944129,1.0,0.0,1.0,1.526228313,1.2580210164,0.0786944129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.016366637941301856,-0.116052541485899,0.018983134000312523,6.0,-30753.122172285795,False,0.09013878188659974,0.11720093524728362,0.033633362058698144,-0.041052541485899,0.05307084138981531,0.018983134000312523,0.10564012857958449,0.05075650161828359,True,True,0.0130487541,0.0254544288,0.0,0.4580407157,0.0886044051,0.3457110003,-0.0279728562,0.0590696034,-0.1028593332,1.2707799137,0.1747256974,1.3118803501,0.0682431623,0.0132436103,0.0647134557,1.273415908,0.1941859155,1.2845480442,0.0,0.0,0.0,0.0130487541,0.0254544288,0.0,8.9739974245,0.4496265629,9.0,2.3585948949,1.0633958034,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.02803830600012522,0.008204573827745478,-0.01499552455225217,6.0,-17059.99088786962,False,0.0625,0.029214065705608045,0.02196169399987478,0.045704573827745475,0.050707238853244345,0.01499552455225217,0.017507900503452894,0.023386642662271515,True,True,0.499684217,0.0641406044,0.4212712679,0.4995488814,0.0916294348,0.3875303827,-0.0003007457,0.0610862899,-0.0749797449,0.4879942519,0.0340699495,0.4577190578,0.0337321401,0.008628086,0.0260317717,0.4864000873,0.0449069758,0.4494659007,0.5,0.0,0.5,0.0529827913,0.0361516344,0.0787287321,7.9954625762,2.3121759949,9.0,1.5789003988,1.2247774815,2.2942324354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.02123633696017564,-0.014529507936317949,-0.04554393242805325,6.0,-11783.786245983798,False,0.05,0.025731082533730448,0.028763663039824364,-0.014529507936317949,0.032225066521887655,0.04554393242805325,0.02123633696017564,0.014529507936317949,True,True,0.4196100064,0.0657113428,0.4309675844,0.4923000092,0.0938733469,0.5085251206,-0.0051333272,0.0625822313,0.0056834137,0.4875676959,0.0333512839,0.4657481015,0.019105888,0.0050802685,0.0141398534,0.4861238136,0.0441168194,0.504733026,0.425,0.0,0.425,0.0541219424,0.0376543219,0.0059675844,8.171347758,2.0788551564,9.0,0.3636343371,0.4159112499,0.2162729569,0.0,0.0,0.0,0.0,0.0,0.0,0.0035898911,0.0057225518,0.0127131236,0.0035898911,0.0057225518,0.0127131236,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.02978489200590488,0.009167536465876688,-0.011726152038637213,6.0,-16150.628617749015,False,0.0625,0.03116381742753277,0.02021510799409512,-0.02833246353412331,0.03480487151427736,0.011726152038637213,0.029328435484249918,0.010536906030841576,True,True,0.4938147938,0.0663995083,0.4168879796,0.4911639912,0.0948564404,0.3812685423,-0.0058906725,0.0632376269,-0.0791543052,0.4879970502,0.0328665574,0.4540943503,0.0340220121,0.0091785181,0.0530933328,0.4881908722,0.0435815788,0.4768697321,0.5,0.0,0.5,0.0544355362,0.0385217325,0.0831120204,7.9352666081,2.3914408116,9.0,1.2875605108,1.1138201004,0.1888420613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.03457916134211057,-0.017735886922876035,-0.017026697100362087,6.0,-18327.895744400415,False,0.09013878188659974,0.03886232216510948,0.01542083865788943,-0.09273588692287603,0.09400929203161307,0.017026697100362087,0.004423917647250875,0.03860970132900669,True,True,0.0207547231,0.0332137477,0.0,0.4787357099,0.0965803942,0.361386925,-0.0141761934,0.0643869295,-0.0924087167,0.921458112,0.1161030183,0.8790714741,0.0604736134,0.0160362804,0.0517842136,0.925167857,0.1271105669,0.9157505631,0.0,0.0,0.0,0.0207547231,0.0332137477,0.0,8.7329203373,1.1605169651,9.0,1.9892356447,1.2347850275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
