cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.0649200066540805,0.01996144403984989,-0.005129661935422118,6.0,-22224.006964602093,False,0.125,0.06791955912785297,0.035079993345919505,0.09496144403984988,0.10123379765317163,0.005129661935422118,0.03995913889935447,0.054921159224328206,True,True,0.4705672043,0.0737745572,0.4470552554,0.457953149,0.1053922245,0.4243646506,-0.028031234,0.070261483,-0.0504235663,0.8082556448,0.0489138052,0.7985007167,0.0961576369,0.0139053013,0.1012482271,0.788736192,0.0550915198,0.7793090343,0.5,0.0,0.5,0.0682214133,0.0406793991,0.0529447446,8.5703882,1.5730475273,9.0,1.803674707,1.2795473147,3.0,1.0,0.0,1.0,1.6681102163,1.3150870311,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06443862223048907,0.02402505848864799,0.0077907691167327835,6.0,-20220.31864232825,False,0.10680004681646915,0.06877164728539398,0.03556137776951093,0.06152505848864799,0.07106296089312225,0.0077907691167327835,0.0519000009358597,0.04512127406450753,True,True,0.4775330653,0.0780853807,0.4567442393,0.467904379,0.1115505438,0.4382060561,-0.0213970807,0.0743670292,-0.0411959626,0.8027719973,0.0541007136,0.811932683,0.0852735406,0.0147245957,0.0752997845,0.7840248269,0.0593624154,0.7980296612,0.5,0.0,0.5,0.0708284924,0.0398172637,0.0432557607,8.3864243908,1.9187224304,9.0,1.6513014357,1.2903541833,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06888964363431306,0.016476793358515224,-0.026847232782073016,6.0,-15936.037534346682,False,0.1,0.07083267409495325,0.031110356365686945,0.016476793358515224,0.03520424679749944,0.026847232782073016,0.06888964363431306,0.016476793358515224,True,True,0.4830653474,0.0790355678,0.460782814,0.4758076392,0.1129079541,0.4439754486,-0.0161282406,0.0752719694,-0.0373497009,0.801980529,0.0555878098,0.8175375462,0.0461577478,0.0091175175,0.03785754,0.7931984307,0.0562636258,0.8056538701,0.5,0.0,0.5,0.0704427056,0.039638727,0.039217186,8.7728668259,0.9397709553,9.0,0.6180394106,0.6400137546,0.4529927779,0.0,0.0,0.0,0.0,0.0,0.0,0.0132369018,0.0083129273,0.0175886546,0.0132369018,0.0083129273,0.0175886546,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06714720524654362,-0.02610984353460696,-0.06468005315412502,6.0,-21535.053851974084,False,0.10680004681646915,0.07204492419194507,0.032852794753456385,-0.06360984353460696,0.07159272531207281,0.06468005315412502,0.05370410934335041,0.04802436612242347,True,False,0.4909451109,0.0784641319,0.4695353756,0.4870644442,0.112091617,0.456479108,-0.0086237039,0.0747277447,-0.029013928,0.8008479935,0.0576361499,0.8296965957,0.0921605747,0.0161013985,0.0741283745,0.7936910876,0.0557439619,0.8136507273,0.5,0.0,0.5,0.0692811613,0.037930617,0.0304646244,8.5995153919,1.4425863746,9.0,1.5418097728,1.260979516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.07027929522898842,-0.014361362439563574,-0.0467784510492136,6.0,-21915.838852281686,False,0.125,0.0717316392465962,0.02972070477101159,-0.08936136243956357,0.09417416518950764,0.0467784510492136,0.04760661871945259,0.05365666708904391,True,True,0.4969796811,0.0721153905,0.4997245288,0.4956852588,0.1030219864,0.4996064696,-0.0028764941,0.0686813243,-0.0002623536,0.8075727542,0.0574670461,0.8717525601,0.1112325821,0.0150727739,0.095893003,0.8050290956,0.052697313,0.8590098619,0.5,0.0,0.5,0.0616561752,0.0375268962,0.0002754712,8.6607437353,1.4167323808,9.0,1.6409117418,1.2436432698,0.6464907452,1.0,0.0,1.0,1.4706951898,1.2754855661,0.3964907452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.026524016575516368,-0.10362567585844251,-0.000717408670038037,6.0,-30525.229583202286,False,0.09013878188659974,0.10696636925883417,0.023475983424483635,-0.028625675858442515,0.0370209550943685,0.000717408670038037,0.10093465129809523,0.03541186693396982,True,True,0.0057956011,0.0143641284,0.0,0.4072926947,0.0964800441,0.4018787369,-0.0618048702,0.0643200294,-0.0654141754,1.2707799137,0.1747256974,1.3118803501,0.1145777226,0.0201064489,0.1103160605,1.2848278896,0.1777097501,1.3433179855,0.0,0.0,0.0,0.0057956011,0.0143641284,0.0,9.0,0.0,9.0,2.3396222359,1.098830274,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.036584990466475835,0.022995052888699324,0.01918432935957104,6.0,-17372.12379961677,False,0.0625,0.043211502922094795,0.013415009533524168,0.06049505288869932,0.061964618168686175,0.01918432935957104,0.015470960639961076,0.04034703659084496,True,True,0.51153062,0.0660117904,0.4908673292,0.5164723143,0.0943025577,0.4869533274,0.0109815428,0.0628683718,-0.0086977817,0.4811049324,0.0368536271,0.5156374574,0.0458518092,0.0051270859,0.0497489534,0.4822525717,0.0367344455,0.5127643943,0.5,0.0,0.5,0.0598962316,0.0300491781,0.0091326708,7.99400071,2.2290488933,9.0,1.4161674234,1.316277365,2.0977980005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.034460451939998867,0.016111561116194956,0.01406637004131528,6.0,-11721.64880977235,False,0.05,0.03804083528932898,0.015539548060001136,0.016111561116194956,0.02238436855285336,0.01406637004131528,0.034460451939998867,0.016111561116194956,True,True,0.4442824421,0.0621884674,0.4216663931,0.5275463459,0.0888406677,0.4952377044,0.0183642306,0.0592271118,-0.0031748638,0.4881816553,0.0274578332,0.4580459595,0.0251747055,0.0038963344,0.0206454229,0.4895317386,0.0301767916,0.4558615088,0.425,0.0,0.425,0.0560911955,0.0330604876,0.0033336069,7.8966065007,2.353752692,9.0,0.3170640897,0.4457035721,0.2732307684,0.0,0.0,0.0,0.0,0.0,0.0,0.0015854795,0.002612285,0.0047049487,0.0015854795,0.002612285,0.0047049487,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.038101831641283605,0.016060549757746522,0.011082165607281999,6.0,-17392.39860236762,False,0.0625,0.041348407864653894,0.011898168358716397,-0.021439450242253476,0.02451971527123475,0.011082165607281999,0.040117795167674795,0.010012659178572947,True,True,0.5274316877,0.0646286389,0.5027736454,0.5391881253,0.0923266269,0.5039623505,0.0261254169,0.0615510846,0.002641567,0.4780509525,0.0424191651,0.5208154321,0.0547670941,0.0094105633,0.042188406,0.4841515301,0.0340415251,0.5206747651,0.5,0.0,0.5,0.0600469716,0.0363829583,0.0027736454,8.0596967832,2.1518695569,9.0,1.3281533395,1.1097976198,0.4555298055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.020816448368591322,0.053250353152404624,0.11744320854167989,6.0,-19617.906958771047,False,0.09013878188659974,0.057174510348039165,0.02918355163140868,-0.021749646847595373,0.036396796889537016,0.11744320854167989,0.055853860008822344,0.01221764935054666,True,False,0.0274855137,0.0454975701,0.0,0.4562883938,0.134573741,0.4852931839,-0.0291410708,0.0897158274,-0.009804544,0.921458112,0.1161030183,0.8790714741,0.1194561108,0.0124342148,0.1099887192,0.9456535524,0.1053345318,0.8671230674,0.0,0.0,0.0,0.0274855137,0.0454975701,0.0,8.5571125385,1.3463046656,9.0,2.0729778104,1.1573269686,2.0335549507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
