cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06405065926826324,0.0058854303157288325,-0.018899924429904773,6.0,-22739.734305872447,False,0.125,0.06432048851416207,0.035949340731736765,0.08088543031572883,0.08851445043837267,0.018899924429904773,0.047709269225173295,0.043138739813541015,True,True,0.4695939297,0.0741281438,0.4458668899,0.4565627567,0.1058973483,0.4226669855,-0.0289581622,0.0705982322,-0.051555343,0.8070161454,0.0478805823,0.7968547344,0.0970554617,0.0142414111,0.1024899334,0.7882140255,0.0554735334,0.7764954567,0.5,0.0,0.5,0.0690634199,0.0406171743,0.0541331101,8.4662505991,1.6009381153,9.0,1.8283968021,1.2121995653,3.0,1.0,0.0,1.0,1.6781546955,1.2614074782,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06785810709053895,0.01657237220112705,-0.011000778656992116,6.0,-20587.22451401171,False,0.10680004681646915,0.06985246035955886,0.03214189290946105,0.05407237220112705,0.06290407550596766,0.011000778656992116,0.057718577240932954,0.03934376773475307,True,True,0.4777323696,0.0790177836,0.4576672371,0.4681890994,0.112882548,0.4395246245,-0.0212072671,0.075255032,-0.040316917,0.8020522203,0.0546488238,0.8132132888,0.0852489455,0.0150561283,0.0794840381,0.7842481806,0.0599781612,0.7916748524,0.5,0.0,0.5,0.0715910336,0.0401793653,0.0423327629,8.4464469654,1.7104634936,9.0,1.661737634,1.2743954172,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06537343261864804,0.04164572145263579,0.008580381774908533,6.0,-14852.162971933816,False,0.1,0.0775116236938399,0.03462656738135196,0.04164572145263579,0.05416055099355837,0.008580381774908533,0.06537343261864804,0.04164572145263579,True,True,0.4813131691,0.0796871619,0.4636171266,0.4733045272,0.1138388027,0.4480244666,-0.0177969818,0.0758925352,-0.0346503556,0.7999513634,0.0551844192,0.8214731812,0.0466128694,0.0088940508,0.0423766151,0.790471612,0.056283793,0.8082472682,0.5,0.0,0.5,0.0722589978,0.0384431874,0.0363828734,8.5364885071,1.5880607873,9.0,0.6629898671,0.682623943,0.7407883537,0.0,0.0,0.0,0.0,0.0,0.0,0.014156968,0.008143706,0.0204722305,0.014156968,0.008143706,0.0204722305,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06687710706452729,-0.013048033553204543,-0.05396146953340386,6.0,-21820.45228536851,False,0.10680004681646915,0.06813808501070306,0.033122892935472714,-0.050548033553204544,0.06043368044816301,0.05396146953340386,0.05803751620876378,0.035699374521737465,True,False,0.4892035655,0.0774359934,0.4943926111,0.4845765221,0.1106228477,0.4919894445,-0.0102823186,0.0737485651,-0.0053403703,0.8034229618,0.0577966207,0.8643122315,0.0930416897,0.0166232444,0.0674171522,0.7950891479,0.0568642001,0.8482114673,0.5,0.0,0.5,0.0680417503,0.0385125471,0.0056073889,8.6310413004,1.2975653657,9.0,1.6507231986,1.1665840438,0.1626703524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.0527450022094687,-0.057298547806324644,-0.12263376901930578,6.0,-22845.40783075821,False,0.125,0.07787912967406947,0.04725499779053131,-0.13229854780632463,0.14048466310542757,0.12263376901930578,0.007816873083780174,0.07748583957074093,True,False,0.498790637,0.0715311705,0.47758223,0.4982723386,0.1021873865,0.4679746144,-0.0011517743,0.0681249243,-0.0213502571,0.8082419519,0.0585714162,0.8408891559,0.1076164627,0.0170915067,0.0928398073,0.8072231968,0.0532344921,0.8355482817,0.5,0.0,0.5,0.0601942951,0.0386628731,0.02241777,8.7350430195,1.1888000529,9.0,1.7145806848,1.2831940783,0.0475402919,1.0,0.0,1.0,1.5779526323,1.3037677162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.0026601430846075595,-0.1614481285688323,-0.047641503629167005,6.0,-31274.832714173524,False,0.09013878188659974,0.1614700423595931,0.04733985691539244,-0.08644812856883231,0.09856135645283698,0.047641503629167005,0.13580854478700993,0.08734193576079882,True,True,0.0060295726,0.0145092789,0.0,0.4097277461,0.0937586733,0.3919069096,-0.0601815026,0.0625057822,-0.0720620602,1.2707799137,0.1747256974,1.3118803501,0.11504866,0.0206086125,0.1171444803,1.2852143619,0.1773789703,1.3441200256,0.0,0.0,0.0,0.0060295726,0.0145092789,0.0,9.0,0.0,9.0,2.3778392093,1.1423385419,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03666780412586129,0.02146270351139408,0.017981295516384426,6.0,-16958.557189085506,False,0.0625,0.04248735695981262,0.013332195874138711,0.05896270351139408,0.06045120223948375,0.017981295516384426,0.016456621193852588,0.039170845284632036,True,True,0.5123776526,0.0654182318,0.4813961133,0.5176823608,0.0934546169,0.4734230191,0.0117882406,0.0623030779,-0.0177179873,0.4809290383,0.0370409231,0.5077191591,0.0464883235,0.005774928,0.0484252013,0.4823306785,0.0373074303,0.5051660538,0.5,0.0,0.5,0.0597077306,0.0294573972,0.0186038867,7.8158922193,2.4336082302,9.0,1.3845543762,1.3144469893,2.3604573149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03376204239255847,0.020012545806310615,0.01943144633050098,6.0,-12010.613009173434,False,0.05,0.03924764319251024,0.016237957607441532,0.020012545806310615,0.02577155907023766,0.01943144633050098,0.03376204239255847,0.020012545806310615,True,True,0.4433250944,0.0619497134,0.4203658852,0.5261787062,0.0884995906,0.493379836,0.0174524708,0.0589997271,-0.0044134427,0.4887516428,0.0269388866,0.4569701254,0.025091908,0.0037316706,0.0216070171,0.4899893745,0.0293736618,0.4552271664,0.425,0.0,0.425,0.0560755089,0.0320797971,0.0046341148,7.9161878626,2.2837154945,9.0,0.3392849403,0.4716482293,0.2975843139,0.0,0.0,0.0,0.0,0.0,0.0,0.0014280702,0.0023467538,0.0037193085,0.0014280702,0.0023467538,0.0037193085,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.0367586208354341,0.02923419541697841,0.028579279290428028,6.0,-17528.786211162584,False,0.0625,0.04696631119644475,0.0132413791645659,-0.008265804583021587,0.015609537071434906,0.028579279290428028,0.046947413918534325,0.0013321838323222715,True,True,0.5288607945,0.0637646812,0.4989363896,0.5412297064,0.0910924017,0.4984805565,0.0274864709,0.0607282678,-0.0010129623,0.4780593971,0.0426643497,0.5223913789,0.0554143088,0.0092951479,0.0431219898,0.484860131,0.0342028552,0.5237145424,0.5,0.0,0.5,0.0592892735,0.0371976085,0.0010636104,7.8471583325,2.4237570752,9.0,1.3711029258,1.089026085,0.5251888669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.014354925445307786,0.0678576827981095,0.12925582577437678,6.0,-20114.9621058078,False,0.09013878188659974,0.06935941896576982,0.035645074554692215,-0.0071423172018905,0.03635359727760084,0.12925582577437678,0.06442368490656179,0.025696650021534543,True,False,0.0271156926,0.0441578964,0.0084342793,0.4568455974,0.1319277037,0.5120489704,-0.0287696017,0.0879518025,0.008032647,0.921458112,0.1161030183,0.8790714741,0.1203384059,0.0127533078,0.1090658009,0.9448826816,0.1054148617,0.8649395108,0.0,0.0,0.0,0.0271156926,0.0441578964,0.0084342793,8.5545163429,1.4563246017,9.0,2.0685592403,1.1269992616,0.984458918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
